II,aVR,PLETH
2307,819,2780
2291,802,2778
2271,819,2780
2250,858,2774
2235,906,2780
2214,939,2780
2199,949,2780
2190,941,2769
2199,949,2780
2194,984,2805
2163,1035,2845
2103,1079,2873
2055,1121,2910
2019,1177,2954
1983,1251,3009
1922,1323,3052
1875,1380,3107
1858,1413,3166
1875,1423,3237
1890,1398,3297
1911,1337,3368
1939,1261,3444
1983,1208,3532
2019,1170,3609
2055,1121,3695
2088,1049,3779
2127,992,3859
2160,968,3910
2199,949,3957
2237,893,4002
2271,819,4055
2278,773,4089
2271,776,4120
2262,799,4147
2271,819,4186
2277,835,4208
2271,863,4218
2248,890,4213
2235,906,4218
2233,902,4220
2235,906,4218
2219,924,4197
2199,949,4186
2188,955,4180
2199,949,4186
2205,943,4171
2199,949,4153
2176,952,4129
2163,949,4120
2159,943,4103
2163,949,4088
2150,966,4064
2127,992,4055
2100,1014,4040
2091,1035,4022
2092,1053,3985
2091,1078,3957
2075,1100,3934
2055,1121,3924
2035,1137,3895
2019,1164,3859
2008,1191,3814
2019,1208,3793
2058,1184,3776
2127,1121,3761
2213,1008,3724
2307,863,3695
2374,709,3671
2379,604,3663
2302,555,3645
2163,561,3630
1956,618,3608
1658,776,3597
1252,1055,3577
793,1423,3564
347,1803,3554
-36,2156,3564
-359,2472,3569
-613,2760,3564
-796,3001,3541
-901,3191,3532
-947,3343,3530
-937,3493,3532
-896,3648,3512
-829,3795,3499
-745,3896,3493
-613,3924,3499
-417,3850,3485
-144,3666,3466
162,3397,3444
469,3105,3434
737,2833,3415
973,2588,3401
1169,2356,3381
1334,2156,3368
1465,2016,3347
1586,1941,3336
1699,1897,3320
1802,1854,3303
1890,1795,3267
1983,1725,3237
2087,1644,3213
2199,1553,3205
2303,1425,3187
2415,1251,3172
2540,1035,3151
2668,819,3139
2770,629,3121
2848,474,3107
2906,346,3086
2956,259,3074
2982,217,3056
2992,216,3041
2988,223,3019
2992,216,3009
3002,180,2992
3028,129,2976
3058,79,2950
3100,43,2943
3135,10,2942
3172,-43,2943
3211,-125,2923
3280,-216,2910
3367,-303,2906
3461,-388,2910
3534,-479,2895
3605,-561,2878
3665,-628,2866
3713,-690,2878
3732,-758,2882
3749,-819,2878
3767,-856,2856
3785,-863,2845
3774,-849,2839
3749,-819,2845
3713,-777,2844
3677,-733,2845
3624,-694,2841
3569,-647,2845
3510,-585,2843
3461,-518,2845
3404,-466,2841
3353,-431,2845
3298,-398,2844
3244,-345,2845
3174,-267,2840
3100,-173,2845
3022,-80,2846
2956,0,2845
2884,66,2826
2812,129,2812
2732,194,2805
2668,259,2812
2610,321,2812
2559,388,2812
2490,467,2807
2415,561,2812
2334,665,2812
2271,776,2812
2213,888,2807
2163,992,2812
2104,1073,2814
2055,1121,2812
2009,1146,2793
1983,1164,2780
1969,1174,2773
1983,1164,2780
2000,1140,2779
2019,1121,2780
2038,1098,2776
2091,1035,2780
2165,924,2777
2235,819,2780
2271,761,2778
2307,733,2780
2357,694,2775
2415,647,2780
2443,616,2781
2451,604,2780
2450,598,2761
2451,604,2747
2435,625,2740
2415,647,2747
2404,649,2746
2415,647,2747
2423,647,2743
2415,647,2747
2393,638,2745
2379,647,2747
2378,670,2743
2379,690,2747
2365,685,2745
2343,690,2747
2340,715,2743
2379,733,2747
2448,680,2745
2523,561,2747
2595,415,2742
2668,302,2747
2709,220,2746
2668,173,2747
2503,181,2739
2235,302,2747
1878,551,2760
1442,906,2780
937,1317,2789
433,1768,2812
-28,2231,2841
-433,2674,2878
-797,3063,2901
-1081,3407,2943
-1269,3712,3000
-1370,3968,3074
-1423,4150,3135
-1406,4269,3205
-1306,4343,3281
-1118,4356,3368
-868,4254,3434
-541,4011,3499
-146,3659,3569
288,3278,3663
692,2928,3749
1045,2631,3826
1339,2385,3886
1586,2199,3957
1782,2073,4025
1947,1984,4088
2083,1888,4122
2199,1768,4153
2291,1622,4181
2379,1466,4218
2470,1297,4239
2559,1121,4251
2635,940,4248
2704,776,4251
2764,633,4248
2812,518,4251
2845,407,4248
2884,302,4251
2927,212,4238
2956,173,4218
2956,169,4189
2956,173,4186
2969,152,4189
2992,129,4186
2994,123,4150
2992,129,4120
2999,117,4099
3028,86,4088
3049,55,4053
3064,43,4022
3075,43,3998
3100,43,3990
3111,40,3960
3100,43,3924
3070,48,3883
3064,43,3859
3081,22,3825
3100,0,3793
3086,-7,3753
3064,0,3728
3053,5,3705
3064,0,3695
3066,-17,3677
3064,-43,3663
3058,-82,3640
3064,-129,3630
3074,-177,3613
3100,-216,3597
3124,-244,3571
3136,-259,3564
3119,-264,3562
3100,-259,3564
3082,-244,3553
3064,-216,3564
3017,-176,3600
2956,-129,3663
2892,-74,3714
2848,0,3761
2799,87,3794
2740,173,3826
2661,242,3832
2596,302,3826
2549,351,3805
2523,388,3793
2490,421,3776
2451,474,3761
2407,545,3728
2379,604,3695
2358,629,3657
2343,647,3630
2321,682,3597
2307,733,3564
2290,778,3525
2271,819,3499
2244,864,3469
2235,906,3434
2236,930,3379
2235,949,3336
2204,982,3299
2163,1035,3270
2120,1087,3220
2091,1121,3172
2062,1143,3130
2055,1164,3107
2055,1190,3074
2055,1208,3041
2022,1224,3002
1983,1251,2976
1947,1285,2943
1947,1294,2910
1966,1265,2871
2019,1208,2845
2083,1137,2823
2163,1035,2812
2230,906,2793
2307,776,2780
2395,671,2761
2523,561,2747
2674,398,2726
2848,173,2714
3032,-97,2697
3244,-388,2682
3472,-704,2657
3713,-1035,2649
3965,-1378,2647
4254,-1725,2649
4566,-2090,2631
4867,-2458,2616
5129,-2801,2608
5371,-3062,2616
5574,-3217,2616
5696,-3278,2616
5724,-3307,2611
5732,-3321,2616
5758,-3257,2614
5732,-2976,2616
5520,-2417,2612
5083,-1639,2616
4489,-793,2623
3857,0,2649
3261,659,2670
2740,1164,2682
2282,1527,2673
1875,1811,2682
1512,2062,2707
1226,2286,2747
1016,2449,2765
865,2544,2780
738,2594,2799
649,2631,2845
598,2670,2893
577,2717,2943
536,2775,2985
469,2846,3041
374,2930,3102
288,3019,3172
217,3098,3234
180,3148,3303
167,3149,3366
180,3105,3434
199,3046,3493
216,3019,3564
209,3019,3632
180,3019,3695
148,2993,3730
144,2976,3761
166,2974,3789
180,2976,3826
158,2949,3847
108,2933,3859
52,2954,3856
0,3019,3859
-55,3073,3857
-108,3105,3859
-151,3119,3846
-180,3148,3826
-212,3185,3791
-252,3234,3761
-305,3278,3727
-360,3321,3695
-409,3348,3646
-433,3364,3597
-418,3353,3543
-360,3321,3499
-285,3260,3448
-216,3191,3401
-164,3119,3347
-108,3062,3303
-42,3003,3252
36,2933,3205
126,2832,3149
252,2717,3107
412,2590,3068
577,2458,3041
713,2320,2997
829,2199,2943
939,2103,2881
1045,2027,2845
1135,1945,2824
1226,1854,2812
1339,1748,2779
1478,1639,2747
1606,1535,2719
1694,1466,2714
1739,1434,2711
1766,1423,2714
1794,1393,2711
1838,1337,2714
1909,1255,2710
2019,1164,2714
2139,1060,2722
2235,949,2747
2290,833,2766
2343,733,2780
2413,654,2777
2487,604,2780
2530,561,2788
2559,518,2812
2602,468,2831
2668,431,2845
2719,407,2844
2740,388,2845
2725,362,2842
2704,345,2845
2680,353,2842
2668,388,2845
2661,420,2842
2668,431,2845
2671,425,2842
2668,431,2845
2647,453,2844
2632,474,2845
2624,477,2831
2632,474,2812
2634,473,2787
2632,474,2780
2614,482,2778
2596,518,2780
2571,570,2764
2559,604,2747
2554,602,2726
2559,604,2714
2558,629,2696
2559,647,2682
2555,628,2662
2559,604,2649
2559,613,2630
2559,647,2616
2545,671,2596
2523,690,2583
2487,725,2564
2451,776,2551
2410,823,2531
2379,863,2518
2352,906,2499
2343,949,2485
2338,966,2464
2343,949,2453
2350,908,2444
2379,863,2453
2425,808,2463
2487,733,2485
2542,641,2509
2596,561,2551
2635,508,2594
2668,474,2649
2683,436,2703
2704,388,2780
2732,340,2868
2776,302,2976
2804,274,3082
2812,259,3205
2793,253,3332
2776,259,3466
2758,272,3582
2740,302,3695
2703,344,3804
2668,388,3924
2640,415,4029
2632,431,4120
2616,447,4186
2596,474,4251
2568,502,4304
2559,518,4349
2558,517,4369
2559,518,4382
2543,531,4383
2523,561,4382
2501,587,4365
2487,604,4349
2467,617,4321
2451,647,4284
2431,691,4227
2415,733,4186
2393,759,4153
2379,776,4120
2363,795,4056
2343,819,3990
2306,852,3931
2271,906,3891
2234,975,3832
2199,1035,3761
2154,1066,3683
2127,1078,3630
2118,1083,3580
2127,1078,3532
2136,1057,3463
2163,1035,3401
2198,1006,3343
2235,949,3303
2261,858,3254
2307,776,3205
2366,726,3146
2415,690,3107
2431,643,3079
2451,604,3074
2488,583,3060
2523,561,3041
2524,514,3012
2523,474,3009
2539,466,3021
2559,474,3041
2547,471,3040
2523,474,3041
2503,508,3049
2487,561,3074
2451,592,3090
2415,604,3107
2392,617,3118
2379,647,3139
2356,674,3153
2343,690,3172
2342,704,3186
2343,733,3205
2323,764,3207
2307,776,3205
2303,771,3198
2307,776,3205
2289,800,3207
2271,819,3205
2265,817,3186
2271,819,3172
2260,852,3156
2235,906,3139
2210,940,3104
2199,949,3074
2185,955,3051
2163,992,3041
2135,1042,3014
2127,1078,2976
2157,1063,2931
2235,992,2910
2343,859,2896
2451,690,2878
2519,516,2840
2523,388,2812
2460,317,2793
2343,302,2780
2155,340,2746
1875,474,2714
1498,728,2690
1081,1078,2682
668,1442,2665
288,1768,2649
-54,2041,2629
-324,2286,2616
-509,2499,2596
-613,2674,2583
-671,2807,2567
-685,2933,2551
-665,3075,2526
-613,3234,2518
-544,3371,2517
-433,3450,2518
-267,3448,2499
-36,3364,2485
226,3212,2481
505,3019,2485
767,2806,2470
1009,2588,2453
1207,2377,2442
1370,2199,2453
1500,2069,2457
1622,1984,2453
1734,1917,2432
1838,1854,2420
1929,1788,2414
2019,1725,2420
2106,1651,2420
2199,1553,2420
2297,1415,2415
2415,1251,2420
2545,1062,2421
2668,863,2420
2754,668,2412
2812,518,2420
2851,427,2435
2884,388,2453
2903,365,2452
2920,345,2453
2934,324,2452
2956,302,2453
2971,266,2435
2992,216,2420
3016,153,2412
3064,86,2420
3126,8,2420
3208,-86,2420
3295,-195,2416
3389,-302,2420
3466,-396,2419
3533,-474,2420
3583,-545,2416
3641,-604,2420
3687,-652,2418
3713,-690,2420
3709,-719,2416
3713,-733,2420
3729,-735,2419
3749,-733,2420
3737,-735,2415
3713,-733,2420
3689,-718,2421
3677,-690,2420
3647,-665,2402
3605,-647,2387
3559,-631,2380
3533,-604,2387
3504,-565,2388
3461,-518,2387
3389,-461,2381
3316,-388,2387
3242,-301,2390
3172,-216,2387
3094,-145,2368
3028,-86,2355
2970,-25,2348
2920,43,2355
2850,111,2355
2776,173,2355
2698,233,2350
2632,302,2355
2558,383,2354
2487,474,2355
2412,576,2350
2343,690,2355
2267,807,2356
2199,906,2355
2134,966,2337
2091,992,2322
2061,1008,2313
2055,1035,2322
2051,1067,2325
2055,1078,2322
2058,1051,2303
2091,992,2289
2140,923,2281
2199,863,2289
2236,816,2293
2271,776,2289
2302,736,2270
2343,690,2256
2375,644,2250
2415,604,2256
2452,578,2256
2487,561,2256
2503,541,2252
2523,518,2256
2550,493,2256
2596,474,2256
2641,446,2251
2704,388,2256
2781,290,2259
2884,173,2256
2997,48,2236
3136,-86,2224
3310,-259,2218
3533,-474,2224
3775,-718,2221
4001,-949,2224
4174,-1138,2223
4290,-1251,2224
4340,-1260,2206
4326,-1121,2191
4240,-822,2180
4110,-388,2191
3960,90,2202
3821,518,2224
3689,821,2246
3569,992,2289
3446,1049,2331
3316,1035,2387
3156,995,2449
2956,992,2551
2704,1062,2680
2415,1208,2845
2102,1386,3015
1802,1553,3205
1538,1678,3404
1334,1768,3630
1172,1837,3856
1045,1898,4088
946,1937,4310
901,1941,4546
904,1905,4766
937,1854,4971
960,1807,5137
973,1768,5298
984,1724,5448
1009,1682,5592
1031,1650,5699
1045,1639,5788
1045,1624,5856
1045,1596,5919
1036,1559,5955
1009,1553,5984
958,1584,6000
901,1639,6017
845,1682,6015
793,1725,6017
736,1780,6012
685,1854,6017
645,1911,6012
613,1941,6017
567,1951,6006
505,1984,5984
441,2044,5940
397,2113,5919
362,2150,5904
324,2156,5886
279,2160,5832
252,2199,5788
248,2255,5753
252,2286,5723
247,2270,5655
252,2243,5592
279,2222,5535
324,2199,5494
361,2156,5425
397,2113,5363
441,2087,5307
505,2070,5265
572,2033,5197
649,1984,5134
734,1937,5076
829,1898,5036
919,1842,4971
1009,1768,4905
1097,1682,4840
1190,1596,4807
1287,1508,4773
1406,1423,4742
1544,1327,4689
1694,1208,4644
1839,1057,4599
1983,906,4578
2116,778,4558
2235,690,4546
2329,622,4513
2415,561,4480
2494,493,4437
2559,431,4415
2600,378,4394
2632,345,4382
2655,332,4349
2668,345,4317
2664,366,4277
2668,388,4251
2674,403,4217
2668,431,4186
2630,472,4137
2596,518,4088
2585,546,4029
2596,561,3990
2596,563,3953
2596,561,3924
2596,554,3875
2596,561,3826
2566,592,3771
2523,647,3728
2489,700,3677
2487,733,3630
2501,740,3576
2523,733,3532
2530,726,3481
2523,733,3434
2491,763,3379
2451,819,3336
2406,889,3286
2379,949,3237
2358,981,3180
2343,992,3139
2321,1003,3105
2307,1035,3074
2290,1080,3023
2271,1121,2976
2243,1136,2934
2235,1121,2910
2245,1084,2878
2271,1035,2845
2297,974,2807
2343,906,2780
2399,834,2746
2451,776,2714
2482,732,2675
2523,690,2649
2578,631,2626
2632,561,2616
2653,500,2600
2668,474,2583
2685,473,2560
2704,474,2551
2692,467,2546
2668,474,2551
2644,497,2548
2632,518,2551
2611,516,2549
2596,518,2551
2579,547,2545
2559,604,2551
2520,655,2562
2487,690,2583
2474,712,2588
2487,733,2583
2493,741,2573
2487,733,2583
2466,722,2600
2451,733,2616
2442,760,2615
2451,776,2616
2466,759,2616
2487,733,2616
2484,733,2598
2451,776,2583
2390,842,2576
2343,906,2583
2316,941,2583
2307,949,2583
2289,953,2580
2271,992,2583
2241,1060,2580
2199,1121,2583
2135,1162,2583
2091,1208,2583
2085,1255,2567
2127,1251,2551
2181,1160,2541
2235,1035,2551
2276,944,2556
2307,906,2551
2323,871,2529
2343,819,2518
2382,753,2515
2451,690,2518
2538,613,2504
2632,518,2485
2722,392,2463
2812,259,2453
2902,122,2437
2992,0,2420
3056,-117,2396
3064,-216,2387
2986,-282,2384
2812,-259,2387
2525,-102,2374
2127,216,2355
1626,646,2330
1081,1121,2322
556,1572,2319
108,1984,2322
-256,2349,2309
-541,2674,2289
-760,2949,2264
-901,3191,2256
-970,3413,2256
-973,3623,2256
-940,3799,2239
-865,3924,2224
-751,3981,2215
-577,3968,2224
-361,3887,2227
-108,3752,2224
155,3575,2205
433,3364,2191
696,3129,2183
937,2889,2191
1133,2673,2195
1298,2501,2191
1422,2388,2170
1514,2329,2158
1578,2293,2154
1658,2243,2158
1770,2152,2155
1911,2027,2158
2053,1870,2160
2199,1682,2158
2344,1455,2139
2487,1208,2126
2624,948,2122
2776,690,2126
2941,437,2111
3100,216,2093
3221,28,2082
3316,-129,2093
3405,-273,2099
3497,-388,2093
3564,-468,2070
3605,-518,2060
3620,-561,2059
3641,-604,2060
3660,-637,2044
3677,-647,2027
3677,-647,2018
3677,-647,2027
3673,-650,2031
3677,-647,2027
3682,-652,2019
3713,-690,2027
3762,-760,2044
3821,-819,2060
3853,-837,2060
3857,-819,2060
3826,-785,2058
3785,-733,2060
3747,-686,2055
3749,-690,2060
3780,-755,2074
3821,-819,2093
3822,-823,2096
3785,-776,2093
3723,-727,2088
3677,-690,2093
3639,-650,2092
3605,-604,2093
3541,-550,2090
3461,-474,2093
3365,-368,2091
3280,-259,2093
3192,-169,2091
3100,-86,2093
2990,15,2089
2884,129,2093
2782,229,2094
2704,302,2093
2636,354,2076
2596,388,2060
2568,399,2051
2559,388,2060
2553,365,2065
2559,345,2060
2560,337,2039
2559,345,2027
2549,366,2023
2559,388,2027
2578,397,2025
2596,388,2027
2581,376,2028
2559,388,2027
2536,428,2010
2523,474,1995
2502,503,1987
2487,518,1995
2470,532,1996
2451,561,1995
2413,599,1990
2379,647,1995
2354,695,1996
2343,733,1995
2324,743,1988
2307,733,1995
2298,722,2009
2307,733,2027
2312,756,2030
2307,776,2027
2286,789,2022
2271,819,2027
2264,866,2028
2271,906,2027
2272,913,2021
2271,906,2027
2265,901,2041
2271,906,2060
2275,917,2064
2271,949,2060
2241,996,2051
2199,1035,2060
2154,1052,2074
2127,1078,2093
2106,1124,2094
2091,1164,2093
2069,1169,2086
2055,1164,2093
2037,1179,2093
2019,1208,2093
1993,1216,2083
1983,1208,2093
1990,1191,2114
2019,1164,2158
2049,1109,2209
2091,1035,2289
2140,963,2387
2199,906,2518
2243,856,2664
2271,819,2845
2285,793,3045
2307,776,3270
2329,754,3491
2343,733,3728
2331,722,3976
2307,733,4251
2282,754,4510
2271,776,4742
2256,793,4926
2235,819,5101
2208,858,5265
2199,906,5428
2199,938,5564
2199,949,5690
2180,944,5793
2163,949,5886
2156,967,5952
2163,992,6017
2153,1012,6070
2127,1035,6115
2097,1059,6131
2091,1078,6148
2096,1079,6162
2091,1078,6181
2058,1090,6168
2019,1121,6148
1992,1147,6121
1983,1164,6115
1980,1176,6100
1983,1208,6082
1994,1241,6044
2019,1251,6017
2060,1193,5982
2127,1078,5952
2208,936,5899
2271,819,5854
2274,735,5800
2199,690,5755
2041,689,5689
1802,776,5625
1476,967,5551
1081,1251,5494
655,1573,5425
252,1898,5363
-102,2193,5291
-397,2458,5232
-644,2686,5163
-829,2889,5101
-943,3070,5028
-973,3234,4971
-951,3373,4912
-901,3493,4873
-845,3603,4831
-757,3709,4807
-624,3774,4773
-433,3752,4742
-200,3618,4698
72,3407,4676
360,3168,4657
649,2933,4644
902,2694,4606
1118,2458,4578
1292,2252,4554
1442,2113,4546
1561,2035,4515
1658,1984,4480
1743,1923,4438
1838,1854,4415
1945,1776,4383
2055,1682,4349
2158,1548,4297
2271,1380,4251
2405,1188,4198
2559,992,4153
2702,792,4100
2812,604,4055
2878,446,4002
2920,345,3957
2942,288,3903
2956,259,3859
2956,245,3807
2956,259,3761
2953,288,3705
2956,302,3663
2952,284,3624
2956,259,3597
2963,241,3552
2992,216,3499
3034,159,3438
3100,86,3401
3170,8,3369
3244,-86,3336
3310,-213,3282
3389,-345,3237
3475,-447,3200
3569,-518,3172
3636,-582,3123
3677,-647,3074
3693,-700,3030
3713,-733,3009
3732,-757,2979
3749,-776,2943
3739,-785,2899
3713,-776,2878
3673,-756,2862
3641,-733,2845
3596,-703,2808
3533,-647,2780
3451,-564,2758
3389,-474,2747
3337,-403,2725
3280,-345,2714
3191,-286,2711
3100,-216,2714
3021,-135,2698
2956,-43,2682
2879,50,2663
2812,129,2649
2754,193,2625
2704,259,2616
2632,342,2616
2559,431,2616
2495,505,2595
2451,561,2583
2399,617,2582
2343,690,2583
2282,776,2564
2235,863,2551
2182,948,2548
2127,1035,2551
2064,1112,2532
2019,1164,2518
1979,1202,2515
1947,1251,2518
1915,1309,2500
1911,1337,2485
1925,1308,2481
1947,1251,2485
1955,1202,2469
1983,1164,2453
2042,1110,2446
2127,1035,2453
2192,961,2442
2235,906,2420
2265,862,2394
2307,819,2387
2346,775,2385
2379,733,2387
2396,690,2375
2415,647,2355
2435,611,2328
2451,604,2322
2444,619,2323
2415,647,2322
2375,666,2301
2343,690,2289
2330,714,2287
2343,733,2289
2374,710,2272
2415,647,2256
2472,544,2249
2559,431,2256
2663,313,2254
2740,216,2256
2743,134,2256
2668,86,2256
2513,95,2238
2271,216,2224
1920,463,2216
1478,819,2224
986,1235,2222
505,1682,2224
60,2115,2228
-324,2501,2256
-649,2830,2294
-901,3148,2355
-1095,3477,2416
-1226,3795,2485
-1308,4060,2552
-1334,4269,2649
-1311,4430,2769
-1226,4528,2910
-1083,4533,3040
-865,4442,3172
-586,4265,3297
-252,4011,3434
92,3685,3569
433,3321,3728
739,2970,3892
1009,2674,4055
1227,2447,4188
1406,2286,4317
1553,2169,4444
1694,2070,4578
1834,1956,4686
1983,1811,4774
2128,1628,4839
2271,1423,4905
2411,1204,4957
2559,992,5003
2699,787,5025
2812,604,5036
2889,438,5031
2956,302,5036
3028,183,5036
3100,86,5036
3147,7,5017
3172,-43,5003
3187,-72,4985
3208,-86,4971
3226,-105,4936
3244,-129,4905
3258,-156,4869
3280,-173,4840
3299,-190,4790
3316,-216,4742
3328,-246,4686
3353,-259,4644
3375,-256,4591
3389,-259,4546
3382,-281,4493
3389,-302,4447
3405,-306,4383
3425,-302,4317
3412,-304,4241
3389,-302,4186
3364,-284,4133
3353,-259,4088
3323,-238,4021
3280,-216,3957
3231,-189,3895
3208,-173,3859
3193,-173,3823
3172,-173,3793
3130,-164,3753
3100,-173,3728
3089,-214,3705
3100,-259,3695
3101,-272,3676
3100,-259,3663
3096,-252,3642
3100,-259,3630
3087,-253,3608
3064,-216,3597
3027,-167,3588
2992,-129,3597
2943,-98,3599
2884,-43,3597
2808,41,3578
2740,129,3564
2677,198,3545
2632,259,3532
2579,336,3510
2523,431,3499
2461,512,3484
2415,561,3466
2376,595,3429
2343,647,3401
2301,715,3379
2271,776,3368
2248,819,3338
2235,863,3303
2213,912,3263
2199,949,3237
2193,954,3204
2199,949,3172
2187,960,3133
2163,992,3107
2134,1019,3075
2127,1035,3041
2128,1050,2990
2127,1078,2943
2097,1118,2901
2055,1164,2878
2009,1208,2848
1983,1251,2812
1962,1292,2759
1947,1337,2714
1924,1371,2674
1911,1380,2649
1903,1361,2616
1911,1337,2583
1922,1317,2544
1947,1294,2518
1975,1243,2496
2019,1164,2485
2066,1074,2468
2127,992,2453
2183,921,2431
2235,863,2420
2271,814,2404
2307,776,2387
2329,752,2362
2343,733,2355
2349,703,2353
2379,647,2355
2419,588,2346
2451,561,2355
2448,568,2371
2451,561,2387
2475,509,2382
2523,431,2387
2557,353,2401
2596,259,2420
2649,126,2416
2740,-43,2420
2840,-238,2443
2956,-474,2485
3085,-763,2506
3244,-1078,2518
3418,-1387,2535
3605,-1682,2583
3788,-1987,2634
3965,-2286,2682
4120,-2543,2718
4254,-2717,2780
4366,-2815,2856
4470,-2846,2943
4562,-2827,3018
4650,-2760,3107
4735,-2704,3203
4831,-2717,3303
4912,-2809,3381
4939,-2889,3466
4857,-2863,3561
4650,-2674,3663
4304,-2317,3734
3821,-1768,3793
3214,-1033,3851
2559,-173,3924
1952,695,3982
1478,1466,4022
1156,2064,4038
973,2458,4055
886,2664,4069
865,2760,4088
865,2823,4091
865,2889,4088
846,2945,4069
829,2976,4055
821,2980,4036
829,2976,4022
831,2972,3993
829,2976,3957
814,2988,3905
793,3019,3859
746,3072,3807
685,3148,3761
618,3222,3706
577,3278,3663
556,3313,3614
541,3364,3564
501,3438,3496
433,3536,3434
353,3625,3376
288,3709,3336
245,3776,3286
216,3838,3237
185,3880,3181
144,3924,3139
92,3976,3100
36,4054,3074
-22,4126,3040
-72,4183,3009
-104,4209,2968
-108,4226,2943
-102,4230,2921
-108,4226,2910
-141,4214,2890
-180,4226,2878
-209,4253,2869
-216,4269,2878
-209,4239,2879
-180,4183,2878
-133,4118,2868
-72,4054,2878
-18,3972,2894
36,3881,2910
106,3769,2907
216,3623,2910
354,3419,2922
505,3191,2943
660,2964,2945
829,2760,2943
991,2571,2937
1118,2415,2943
1203,2283,2942
1298,2156,2943
1432,1995,2940
1586,1811,2943
1711,1623,2940
1802,1466,2943
1877,1352,2943
1947,1294,2943
1991,1258,2927
2019,1208,2910
2054,1122,2890
2127,1035,2878
2210,967,2859
2271,906,2845
2293,836,2826
2307,776,2812
2324,747,2792
2343,733,2780
2352,702,2762
2379,647,2747
2431,572,2724
2487,474,2714
2511,351,2711
2523,216,2714
2564,43,2700
2668,-216,2682
2816,-580,2659
2992,-992,2649
3174,-1405,2633
3353,-1811,2616
3498,-2209,2594
3605,-2544,2583
3679,-2795,2569
3749,-2976,2551
3796,-3088,2515
3785,-3062,2485
3674,-2869,2462
3497,-2588,2453
3297,-2335,2436
3100,-2113,2420
2844,-1833,2399
2487,-1423,2387
2055,-906,2370
1658,-345,2355
1354,188,2333
1154,647,2322
1054,990,2305
1118,1208,2289
1346,1310,2264
1658,1337,2256
1926,1324,2254
2127,1294,2256
2283,1253,2239
2415,1208,2224
2492,1173,2213
2523,1164,2224
2514,1193,2234
2487,1251,2256
2442,1309,2280
2415,1337,2322
2409,1335,2370
2415,1337,2453
2402,1369,2556
2379,1423,2682
2347,1483,2803
2307,1553,2943
2259,1624,3095
2235,1682,3270
2235,1706,3445
2235,1725,3630
2203,1758,3801
2163,1811,3957
2134,1858,4083
2127,1898,4218
2122,1924,4362
2127,1941,4513
2132,1950,4635
2127,1984,4742
2081,2056,4828
2019,2156,4905
1966,2239,4956
1947,2286,5003
1932,2306,5040
1911,2329,5069
1881,2354,5069
1875,2372,5069
1878,2374,5066
1875,2372,5069
1848,2362,5043
1838,2329,5003
1860,2255,4949
1911,2156,4905
1959,2049,4853
2019,1941,4807
2088,1817,4753
2163,1682,4709
2217,1546,4656
2271,1423,4611
2335,1298,4557
2415,1164,4513
2477,1025,4460
2523,906,4415
2557,809,4352
2596,733,4284
2621,662,4205
2632,604,4153
2626,558,4106
2632,518,4055
2646,458,3979
2668,388,3924
2673,326,3886
2668,302,3859
2650,312,3805
2632,345,3761
2597,372,3733
2559,388,3728
2537,389,3708
2559,388,3695
2593,385,3689
2596,388,3695
2553,402,3679
2523,431,3663
2521,460,3651
2523,474,3663
2498,471,3664
2487,474,3663
2505,493,3654
2523,518,3663
2494,536,3665
2451,561,3663
2425,601,3641
2415,647,3630
2381,677,3624
2343,690,3630
2317,703,3618
2307,733,3597
2286,777,3562
2271,819,3532
2266,837,3495
2271,819,3466
2264,776,3431
2271,733,3401
2299,695,3364
2343,647,3336
2376,582,3302
2415,518,3270
2466,469,3230
2523,431,3205
2551,387,3185
2559,345,3172
2564,316,3141
2596,302,3107
2634,284,3067
2668,259,3041
2674,231,3008
2668,216,2976
2648,211,2935
2632,216,2910
2610,229,2889
2596,259,2878
2577,300,2858
2559,345,2845
2535,375,2827
2523,388,2812
2520,387,2788
2523,388,2780
2509,400,2777
2487,431,2780
2463,474,2762
2451,518,2747
2435,546,2737
2415,561,2747
2388,575,2749
2379,604,2747
2378,634,2738
2379,647,2747
2361,641,2760
2343,647,2780
2324,682,2789
2307,733,2812
2272,777,2841
2235,819,2878
2196,877,2905
2163,949,2943
2121,1007,2987
2091,1035,3041
2077,1039,3086
2091,1035,3139
2108,1021,3190
2127,992,3237
2138,949,3266
2163,906,3303
2204,853,3349
2271,776,3401
2334,680,3424
2379,604,3434
2395,569,3440
2415,561,3466
2446,544,3488
2487,518,3499
2511,492,3485
2523,474,3466
2525,453,3444
2523,431,3434
2507,421,3419
2487,431,3401
2465,452,3367
2451,474,3336
2432,494,3300
2415,518,3270
2395,540,3224
2379,561,3172
2358,578,3114
2343,604,3074
2334,631,3039
2343,647,3009
2348,645,2960
2343,647,2910
2321,664,2856
2307,690,2812
2303,711,2770
2307,733,2747
2295,756,2729
2271,776,2714
2246,789,2680
2235,819,2649
2223,864,2624
2199,906,2616
2168,926,2600
2163,949,2583
2190,967,2560
2235,949,2551
2282,858,2544
2343,733,2551
2410,614,2551
2451,518,2551
2429,419,2543
2343,345,2551
2188,346,2565
1947,474,2583
1599,705,2584
1190,992,2583
774,1290,2589
397,1596,2616
60,1892,2638
-216,2156,2649
-431,2367,2643
-577,2544,2649
-665,2702,2663
-685,2846,2682
-659,2973,2682
-613,3105,2682
-574,3245,2679
-505,3364,2682
-379,3408,2677
-180,3364,2682
57,3254,2684
324,3105,2682
597,2913,2660
