III,V,PLETH,RESP
8231,15571,2403,2462
8082,15645,2396,2427
7898,15092,2403,2397
7835,14609,2402,2364
7786,14972,2403,2333
7559,15703,2399,2290
7341,15930,2403,2252
7349,15542,2401,2218
7564,15451,2403,2188
7723,15829,2400,2147
7786,15930,2403,2108
7819,15355,2400,2070
7898,14972,2403,2043
7972,15162,2401,2011
8120,15211,2403,1979
8366,14649,2400,1943
8676,14493,2403,1915
8874,15273,2401,1882
8899,15930,2403,1850
8716,15305,2399,1814
8454,14253,2403,1786
8271,14122,2403,1759
8343,14852,2403,1738
8501,15230,2386,1711
8454,15092,2371,1689
8069,15099,2361,1665
7675,15451,2371,1641
7580,15273,2375,1612
7786,14253,2371,1593
7948,13321,2349,1577
7898,13774,2339,1561
7692,15258,2334,1532
7564,16169,2339,1512
7591,15513,2332,1502
7786,14253,2339,1496
8023,13629,2349,1478
8231,13774,2371,1464
8348,14003,2388,1459
8454,14253,2435,1464
8537,14635,2504,1458
8565,15092,2595,1448
8418,15583,2672,1435
8120,16529,2755,1432
7703,17502,2850,1428
7341,17247,2979,1432
7216,15259,3115,1437
7453,13175,3268,1448
7760,12755,3429,1454
7786,13894,3620,1464
7526,14873,3813,1476
7453,14852,4005,1496
7720,14350,4176,1513
8009,14253,4357,1528
7987,14502,4534,1540
7898,14612,4709,1561
7984,14298,4856,1583
8120,14014,4998,1609
8004,14220,5127,1626
7786,14972,5254,1641
7713,15623,5353,1653
7786,15690,5446,1673
7757,15250,5525,1694
7675,14972,5606,1722
7707,15137,5669,1745
7898,15571,5735,1770
7989,15855,5785,1790
7898,16050,5831,1818
7754,16262,5846,1849
7786,16529,5863,1882
7917,16560,5882,1906
8009,16169,5927,1931
8045,15180,5960,1952
8231,13894,5991,1979
8499,13010,6001,2001
8565,13295,6023,2027
8251,14325,6046,2050
7898,14852,6087,2075
7856,14073,6108,2091
8120,12816,6119,2108
8315,12245,6108,2121
8343,12696,6119,2140
8397,13447,6132,2155
8676,14014,6151,2172
8912,14334,6144,2185
8787,14612,6151,2204
8334,14773,6162,2220
8009,14852,6183,2236
7938,14875,6169,2244
7898,14972,6151,2252
7744,14990,6126,2258
7786,14972,6119,2269
8044,15122,6099,2275
8120,15690,6087,2285
7769,16208,6066,2290
7453,16169,6055,2301
7481,15890,6021,2307
7564,16529,5991,2317
7322,18149,5951,2322
7119,19284,5927,2333
7399,18484,5891,2339
8009,16289,5863,2349
8376,14261,5815,2355
8454,13415,5767,2365
8548,13646,5698,2371
8787,14612,5638,2381
8862,15628,5571,2386
8676,15930,5510,2397
8467,15211,5428,2408
8565,14253,5350,2429
8827,13723,5264,2447
8899,13534,5190,2462
8629,13140,5096,2464
8343,12696,4998,2478
8279,12565,4888,2497
8343,12816,4806,2526
8243,13070,4725,2542
8009,13295,4645,2558
7809,13548,4541,2570
7786,13894,4453,2590
7793,14183,4370,2604
7786,14493,4293,2623
7695,14684,4190,2636
7564,14612,4101,2655
7351,14228,4027,2667
7230,14014,3973,2687
7290,14298,3894,2706
7453,15092,3812,2735
7288,16063,3733,2757
6674,17008,3684,2783
6040,17474,3634,2804
6007,17128,3588,2832
6326,16048,3532,2854
6118,14972,3492,2880
5096,14264,3453,2900
4561,13774,3428,2928
6193,13256,3394,2951
10233,13175,3364,2976
14885,13940,3325,2990
18020,15211,3300,3009
18894,15858,3268,3026
18465,15451,3236,3057
17919,14686,3193,3081
17575,14612,3172,3105
16859,14992,3156,3117
15350,14852,3140,3137
13201,13919,3102,3157
11012,13295,3076,3186
9239,13636,3057,3202
8120,14373,3043,3218
7592,14651,3008,3227
7453,14852,2979,3250
7353,15520,2960,3268
7119,16289,2947,3282
6803,16132,2913,3279
6674,15092,2883,3282
6822,14057,2863,3287
7119,13774,2851,3298
7280,14020,2819,3297
7230,14373,2787,3298
7034,14508,2763,3296
6896,14493,2755,3298
6833,14409,2738,3288
6896,14493,2723,3282
7025,14678,2705,3274
7230,14852,2691,3266
7353,14854,2667,3241
7341,14852,2659,3218
7200,14884,2658,3197
7119,14972,2659,3186
7088,15010,2639,3162
7008,15092,2627,3137
6809,15121,2624,3103
6674,15092,2627,3073
6659,15097,2610,3036
6674,15451,2595,3009
6629,15911,2589,2982
6674,16050,2595,2960
6790,15831,2583,2927
6785,15930,2563,2896
6563,16422,2539,2862
6452,16649,2531,2832
6634,16125,2525,2790
6896,15571,2531,2751
6905,15654,2532,2710
6785,16169,2531,2671
6802,16374,2512,2620
7008,16289,2499,2574
7170,16157,2492,2531
7230,15930,2499,2494
7210,15286,2499,2446
7119,14612,2499,2397
6870,14441,2494,2345
6563,14852,2499,2301
6338,15211,2499,2251
6340,15211,2499,2204
6565,15010,2493,2154
7008,15092,2499,2108
7498,15510,2502,2056
7786,16050,2499,2011
7599,16267,2479,1967
7008,16169,2467,1931
6355,16047,2463,1889
6118,16289,2467,1850
6419,16655,2452,1808
7008,16768,2435,1770
7363,16545,2424,1727
7230,16529,2435,1689
6734,16889,2441,1649
6340,17247,2435,1609
6351,17004,2412,1559
6785,16289,2403,1512
7344,15533,2401,1468
7786,15092,2403,1432
7956,14870,2386,1392
7898,14852,2371,1351
7680,14955,2362,1307
7453,15211,2371,1271
7268,15560,2372,1237
7230,16050,2371,1207
7421,16366,2365,1168
7898,16169,2371,1126
8362,15364,2373,1082
8454,14612,2371,1046
8107,14510,2351,1013
7786,15092,2339,981
7825,15613,2349,942
8120,15571,2403,901
8284,15001,2472,859
8231,14493,2531,821
8026,14299,2553,780
7786,14373,2563,740
7607,14421,2574,699
7675,14493,2595,660
7897,14631,2601,618
8009,14852,2595,579
7899,14906,2575,543
7898,14852,2563,515
8140,14940,2555,486
8343,15451,2563,450
8144,15992,2566,407
7786,16050,2563,370
7733,15501,2543,343
8120,14972,2531,322
8515,14805,2526,293
8565,14852,2531,257
8258,14728,2527,221
7898,14612,2531,193
7625,14679,2531,169
7453,14852,2531,145
7324,14784,2512,114
7341,14612,2499,80
7493,14599,2491,51
7675,14852,2499,32
7716,15008,2496,23
7675,14972,2499,16
7635,14933,2503,7
7675,15211,2531,0
7777,15519,2567,-2
8009,15451,2627,0
8288,14942,2696,1
8454,14612,2787,0
8323,14762,2876,-1
8009,15211,2979,0
7676,15570,3091,0
7453,15930,3236,0
7291,16206,3383,0
7230,16050,3524,0
7280,15218,3642,0
7453,14373,3780,0
7575,14235,3934,0
7564,14852,4101,0
7454,15416,4242,0
7453,15451,4389,0
7559,15072,4552,0
7675,14852,4741,0
7713,14996,4904,0
7786,15451,5030,0
7848,15891,5111,0
7786,16169,5190,0
7623,16090,5264,0
7675,15690,5350,0
7957,15082,5418,0
8120,14612,5478,0
7874,14293,5520,0
7564,14014,5574,0
7618,13654,5622,0
8009,13534,5671,0
8237,13811,5698,0
8120,14373,5735,0
7913,14814,5764,0
8009,15092,5799,0
8364,15300,5811,0
8676,15571,5831,0
8644,15684,5843,0
8343,15571,5863,0
7985,15280,5859,0
7786,15092,5863,0
7706,14978,5867,0
7675,14972,5895,0
7608,15257,5911,0
7564,16169,5927,0
7567,17253,5922,0
7675,17607,5927,0
7807,16761,5921,0
7898,15451,5927,0
7857,14429,5921,0
7786,13774,5927,0
7804,13169,5923,0
8009,12936,5927,0
8236,13395,5910,0
8343,14373,5895,0
8308,15299,5870,0
8343,16050,5863,0
8449,16425,5846,0
8454,16169,5831,0
8168,15328,5793,0
7786,14612,5767,0
7574,14216,5743,0
7675,13774,5735,0
7938,13247,5697,0
8231,13415,5638,0
8417,14196,5559,0
8454,14493,5510,0
8302,13769,5475,0
8120,13295,5446,0
8068,14020,5384,0
8231,15092,5318,0
8391,14973,5239,0
8343,14014,5158,0
8055,13807,5052,0
7786,14972,4966,0
7667,16048,4894,0
7675,15571,4838,0
7698,13721,4756,0
7786,12097,4677,0
7923,11587,4596,0
8009,11858,4517,0
7901,12207,4404,0
7786,12816,4293,0
7762,13899,4195,0
7786,14972,4133,0
7638,15067,4067,0
7453,14253,4005,0
7399,13442,3932,0
7564,13415,3876,0
7722,13931,3821,0
7675,14493,3780,0
7200,14847,3730,0
6452,15211,3684,0
5944,15570,3629,0
6007,15571,3588,0
5867,14580,3550,0
4672,12816,3524,0
3280,11490,3488,0
4116,11858,3460,0
8130,13421,3433,0
13348,14612,3428,0
16998,14711,3415,0
18465,14852,3396,0
18819,15931,3357,0
18798,17128,3332,0
18179,16791,3313,0
16908,14852,3300,0
15261,12709,3266,0
13459,11738,3236,0
11578,12001,3211,0
10011,12936,3204,0
9051,13828,3187,0
8565,14373,3172,0
8139,14561,3151,0
7675,14612,3140,0
7184,14281,3121,0
6674,13534,3108,0
6193,13141,3088,0
6007,14253,3076,0
6173,16331,3056,0
6452,17367,3043,0
6572,16221,3025,0
6674,14253,3011,0
6910,13208,2991,0
7230,13295,2979,0
7270,13592,2962,0
7008,14014,2947,0
6690,14801,2924,0
6674,15571,2915,0
6888,15368,2912,0
7119,14253,2915,0
7191,13203,2900,0
7230,13175,2883,0
7275,14160,2872,0
7230,15571,2883,0
6940,16401,2889,-1
6563,16050,2883,0
6354,14695,2860,1
6452,13415,2851,0
6659,12959,2850,-3
6785,13295,2851,0
6753,13823,2832,3
6674,14373,2819,0
6572,15017,2814,-7
6452,15930,2819,0
6291,16908,2805,18
6229,17607,2787,32
6358,17426,2776,38
6674,16169,2787,64
6951,14357,2793,130
7008,13295,2787,225
6776,13715,2765,316
6452,15211,2755,402
6256,16488,2751,492
6340,16768,2755,595
6551,16076,2751,695
6674,15092,2755,788
6580,14309,2756,875
6452,14014,2755,965
6492,14035,2736,1054
6785,14253,2723,1142
7130,14581,2716,1223
7341,15092,2723,1303
7314,15517,2721,1380
7119,15571,2723,1464
6763,15201,2722,1549
6340,14972,2723,1641
6039,15255,2707,1729
6118,15930,2691,1818
6454,16293,2680,1902
6674,16050,2691,1995
6540,15462,2697,2090
6340,15211,2691,2188
6381,15487,2668,2275
6674,16050,2659,2365
6975,16417,2658,2457
7230,16529,2659,2558
7409,16372,2641,2654
7453,16050,2627,2751
7292,15600,2621,2839
7119,15211,2627,2928
7066,14723,2624,3011
7119,14014,2627,3105
7176,13324,2629,3196
7341,13415,2627,3282
7600,14313,2606,3351
7786,15211,2595,3427
7713,15292,2593,3506
7564,14852,2595,3588
7577,14462,2576,3655
7786,14373,2563,3733
7940,14530,2560,3813
7898,15211,2563,3894
7665,16217,2546,3950
7453,16768,2531,4006
7449,16139,2525,4058
7786,14852,2531,4103
8244,13942,2517,4109
8454,14014,2499,4103
8149,14679,2487,4094
7564,15451,2499,4103
7115,15944,2505,4102
7119,16050,2499,4103
7496,15610,2477,4097
8009,14852,2467,4103
8312,14183,2464,4100
8231,14014,2467,4103
7772,14081,2451,4098
7230,14014,2435,4103
6874,13906,2423,4099
6896,14493,2435,4103
7281,15761,2441,4098
7898,16768,2435,4103
8347,16599,2408,4099
8343,15690,2403,4103
7986,14962,2413,4098
7786,14852,2435,4103
7902,15019,2443,4098
8009,15211,2467,4103
7717,15107,2505,4098
7230,14612,2563,4103
6974,14116,2615,4098
7119,14493,2691,4103
7359,15590,2789,4098
7453,16169,2915,4103
7365,15275,3036,4098
7230,13774,3172,4103
7047,13052,3319,4098
6896,13534,3492,4103
6919,14380,3654,4098
7230,14852,3812,4103
7534,14651,3955,4098
7453,14014,4101,4103
6976,13398,4229,4098
6674,13534,4357,4103
6891,14489,4477,4098
7341,15571,4613,4103
7394,15780,4743,4098
7008,15092,4870,4103
6683,14244,4968,4098
6896,14014,5062,4103
7437,14336,5141,4098
7786,14852,5222,4103
7623,15321,5286,4098
7230,15930,5350,4103
7035,16569,5399,4098
7230,16768,5446,4103
7541,15947,5475,4098
7675,14493,5510,4103
7533,13528,5540,4098
7341,13894,5574,4103
7324,14865,5589,4098
7564,15211,5606,4103
7790,14734,5616,4098
7786,14612,5638,4103
7633,15245,5649,4098
7675,15571,5671,4103
7872,14459,5684,4098
7898,12696,5703,4103
7674,11842,5700,4098
7675,12456,5703,4103
8077,13492,5696,4098
8454,14014,5703,4103
8319,13962,5697,4098
7898,13894,5703,4103
7591,13941,5698,4098
7453,14014,5703,4103
7276,14027,5696,4098
7230,14253,5703,4103
7515,14676,5700,4098
8009,15092,5703,4103
8286,15304,5683,4098
8231,15571,5671,4103
7938,15934,5650,4098
7564,16289,5638,4103
7188,16718,5606,4098
7008,17727,5574,4103
7053,18969,5534,4098
7230,19284,5510,4103
7408,17971,5477,4098
7675,15930,5446,4103
8010,14143,5395,4098
8231,12816,5350,4103
8103,11997,5297,4098
7786,12337,5254,4103
7637,13591,5191,4098
7898,14373,5126,4103
8321,13789,5051,4098
8565,12936,4998,4103
8499,12968,4939,4098
8343,13534,4870,4103
8190,13548,4769,4098
8009,13175,4677,4103
7824,13072,4592,4098
7898,13175,4517,4103
8208,12884,4419,4098
8343,12696,4325,4103
7899,13632,4235,4098
7119,15690,4165,4103
6556,17133,4082,4098
6563,16529,4005,4103
6808,14311,3920,4098
6896,12696,3844,4103
6695,13162,3756,4098
6563,15092,3684,4103
6677,16386,3625,4098
7008,16050,3588,4103
7322,14959,3540,4098
7453,14612,3492,4103
7035,14994,3435,4098
6007,14972,3396,4103
5000,13897,3358,4098
4894,12696,3332,4103
5316,12413,3297,4098
5006,12936,3268,4103
3811,13141,3231,4098
3671,12696,3204,4103
6301,12391,3170,4098
11012,13175,3140,4103
15380,14759,3101,4098
17909,16169,3076,4103
18803,16769,3055,4098
18910,17008,3043,4103
18551,17376,3015,4098
17686,17727,2979,4103
16216,17267,2937,4098
14238,15930,2915,4103
11975,14596,2898,4098
9900,14373,2883,4103
8464,15047,2850,4098
7898,15451,2819,4103
7909,14663,2794,4098
8009,13175,2787,4103
7858,12017,2773,4098
7564,11738,2755,4103
7307,11903,2730,4098
7119,12097,2723,4103
6884,12326,2722,4098
6674,12936,2723,4103
6573,13761,2706,4098
6563,14373,2691,4103
6445,14469,2674,4098
6229,14493,2659,4103
5961,14934,2635,4098
5784,15930,2627,4103
5661,16826,2627,4098
5673,17008,2627,4103
5877,16214,2607,4098
6340,14972,2595,4103
6808,13995,2593,4098
7008,13774,2595,4103
6866,13966,2577,4098
6674,14014,2563,4103
6588,13659,2559,4098
6563,13415,2563,4103
6507,13686,2546,4098
6563,14373,2531,4103
6692,14820,2524,4098
6674,14852,2531,4103
6430,14919,2528,4098
6340,15690,2531,4103
6596,16962,2533,4098
6896,18086,2531,4103
6808,18632,2510,4098
6452,18805,2499,4103
6177,18340,2497,4098
6118,16768,2499,4103
6109,14383,2480,4098
6118,12816,2467,4103
6159,13049,2464,4098
6229,14373,2467,4103
6287,15268,2450,4098
6452,15451,2435,4103
6685,15535,2430,4098
6785,15930,2435,4103
6563,16199,2421,4098
6229,16050,2403,4103
6084,15611,2392,4098
6229,15451,2403,4103
6410,15942,2408,4098
6452,17247,2403,4103
6364,18883,2383,4098
6340,20002,2371,4103
6401,19666,2365,4098
6452,18086,2371,4103
6334,16595,2371,4098
6118,16529,2371,4103
5954,17234,2366,4098
6007,17008,2371,4103
6213,15409,2372,4098
6452,14253,2371,4103
6562,14806,2353,4098
6563,16050,2339,4103
6546,16129,2330,4098
6674,15092,2339,4103
6909,14168,2343,4098
7119,14014,2339,4103
7157,14201,2319,4098
7119,14612,2307,4103
7116,15344,2301,4099
7230,16289,2307,4103
7370,16975,2306,4098
7453,17247,2307,4103
7323,16905,2303,4099
7008,16050,2307,4103
6744,15354,2305,4098
6896,15930,2307,4103
7385,17527,2304,4099
7786,18445,2307,4103
7801,17249,2305,4098
7675,14852,2307,4103
7652,13372,2303,4101
7675,14014,2307,4103
7552,15823,2305,4096
7453,17128,2307,4103
7546,16925,2303,4105
7786,15571,2307,4103
7998,13877,2307,4072
8231,12816,2307,4038
8413,12968,2290,3997
8343,14373,2275,3958
7989,16006,2265,3901
7786,16529,2275,3845
7956,15287,2280,3789
8231,13295,2275,3749
8210,12203,2252,3700
8009,12936,2243,3652
7858,14676,2241,3598
7786,16169,2243,3556
7693,16894,2224,3507
7786,17128,2211,3459
8164,16554,2204,3404
8565,14972,2211,3363
8511,13608,2206,3321
8009,14612,2211,3282
7446,17703,2221,3229
7230,19763,2243,3186
7337,18351,2252,3148
7564,14972,2275,3121
7679,12659,2309,3080
7675,12456,2371,3041
7590,13085,2438,3002
7564,13774,2531,2976
7655,14756,2635,2944
7898,16050,2755,2912
8102,16684,2872,2874
8120,16169,3011,2848
7957,15101,3165,2820
7898,14612,3332,2800
8040,14931,3486,2773
8231,15451,3652,2751
8196,15383,3824,2724
8009,14852,4005,2703
7896,14413,4165,2676
8009,14493,4325,2655
8143,14881,4474,2628
8120,15451,4613,2606
7928,16214,4715,2580
7786,17247,4806,2558
7750,17997,4884,2531
7786,17846,4966,2510
7837,16596,5028,2483
8009,14972,5094,2462
8237,13809,5154,2434
8343,13534,5222,2413
8163,13901,5270,2392
7898,14612,5318,2381
7758,15223,5360,2366
7786,15571,5414,2349
7790,15797,5451,2321
7786,16169,5478,2301
7906,16091,5486,2283
8231,14972,5510,2269
8492,13596,5537,2243
8454,13894,5574,2220
8130,15983,5590,2200
7898,17727,5606,2188
7963,17402,5613,2170
8231,16050,5638,2156
8372,15261,5662,2138
8343,14972,5703,2124
8308,14152,5734,2103
8454,13295,5767,2092
8615,13589,5778,2081
8565,14972,5799,2075
8204,15776,5811,2058
7786,15092,5831,2043
7571,13635,5828,2030
7675,12816,5831,2027
7911,12892,5826,2019
8120,13295,5831,2011
8231,13549,5814,1998
8343,14014,5799,1995
8428,14911,5774,1992
8454,15930,5767,1995
8380,16437,5750,1993
8343,16529,5735,1995
8376,16663,5699,1993
8454,17008,5671,1995
8434,16962,5634,1992
8343,16289,5606,1995
8218,15545,5559,1994
8120,15571,5510,1995
7971,16066,5443,1990
7786,16289,5382,1995
7605,16388,5311,2002
7564,17367,5254,2011
7667,18765,5189,2009
7898,18685,5126,2011
8138,16366,5043,2016
8343,13894,4966,2027
8442,13331,4881,2027
8454,14253,4806,2027
8354,14777,4718,2029
8231,14493,4645,2043
8188,14078,4565,2053
8343,13774,4485,2059
8600,13224,4382,2057
8787,12936,4293,2059
8710,13633,4216,2063
8454,15092,4165,2075
8032,15899,4101,2084
7564,15211,4037,2092
7246,13408,3964,2090
7453,11858,3908,2092
7977,11635,3852,2094
8231,12936,3812,2108
7883,14729,3773,2117
7341,15930,3748,2124
6856,16315,3714,2120
6340,16649,3684,2124
5905,17118,3645,2130
5895,17128,3620,2140
5683,16074,3597,2138
4338,14493,3588,2140
2793,13325,3571,2144
3893,13175,3556,2156
8662,13931,3533,2162
14460,15211,3524,2172
17937,16143,3509,2180
18798,15930,3492,2188
18825,14560,3456,2185
18910,13295,3428,2188
18464,13153,3405,2194
17241,13774,3396,2204
15642,13656,3378,2203
13904,12337,3364,2204
11890,11134,3344,2209
9900,11858,3332,2220
8467,14324,3312,2221
7786,16529,3300,2220
7503,16693,3283,2217
7341,15211,3268,2220
7232,13434,3235,2219
7230,12217,3204,2220
7253,11585,3175,2218
7230,11738,3172,2220
7111,12657,3171,2218
7008,13894,3172,2220
7005,14830,3154,2219
7119,15451,3140,2220
7133,15629,3120,2212
7008,15092,3108,2204
6813,13933,3086,2193
6785,13175,3076,2188
6856,13348,3070,2179
6896,14014,3076,2172
6809,14621,3064,2156
6785,15571,3043,2140
6851,16929,3016,2119
6896,17727,3011,2108
6805,16956,3013,2093
6785,15211,3011,2075
6992,13721,2990,2047
7341,13175,2979,2027
7546,13414,2977,2010
7564,14253,2979,1995
7467,15079,2961,1969
7341,15211,2947,1947
7156,14756,2943,1929
7008,14852,2947,1915
6981,15652,2931,1889
7119,16050,2915,1866
7306,15335,2906,1847
7453,14612,2915,1834
7423,14771,2917,1811
7230,15092,2915,1786
7010,14376,2901,1763
7008,13175,2883,1754
7167,12868,2858,1741
7230,13894,2851,1722
6993,15253,2852,1693
6674,16169,2851,1673
6572,16525,2830,1657
6785,16529,2819,1641
7039,16064,2817,1615
7119,15451,2819,1593
6978,15535,2800,1575
6785,17008,2787,1561
6592,18983,2784,1537
6452,19763,2787,1512
6430,18615,2770,1491
6674,16768,2755,1480
7059,15510,2750,1465
7341,14972,2755,1448
7399,14661,2741,1429
7453,14852,2723,1416
7563,15648,2712,1400
7564,16289,2723,1384
7319,15806,2727,1359
7119,14612,2723,1335
7193,13752,2704,1314
7453,13774,2691,1303
7630,14329,2682,1290
7786,15092,2691,1271
8013,15638,2696,1243
8231,15571,2691,1223
8208,14713,2668,1207
8009,13774,2659,1191
7796,13549,2659,1165
7675,14253,2659,1142
7556,15167,2639,1125
7453,15690,2627,1110
7374,15681,2625,1086
7341,15571,2627,1062
7297,15517,2608,1042
7341,15571,2595,1030
7545,15819,2591,1014
7898,16529,2595,998
8141,17241,2578,979
8120,17128,2563,965
7893,15911,2557,949
7786,14612,2563,933
7940,14100,2549,916
8231,14253,2531,901
8341,14362,2520,884
8231,14373,2531,869
8079,14415,2536,852
8120,14493,2531,837
8268,14609,2510,819
8343,15211,2499,804
8235,16080,2494,789
8120,16289,2499,772
8115,15285,2488,752
8231,14014,2467,740
8341,13524,2439,733
8454,13894,2435,724
8540,14482,2436,706
8565,15211,2435,692
8435,15969,2413,684
8231,16289,2403,676
8022,15771,2399,659
7898,14972,2403,644
7867,14340,2393,635
8009,13774,2403,627
8224,13098,2428,611
8343,12936,2467,595
8188,13656,2490,586
7898,14852,2531,579
7674,15783,2596,564
7675,16289,2691,547
7788,16098,2779,536
7898,14972,2883,531
7883,13507,3009,523
7786,13415,3172,515
7640,15225,3331,507
7564,17247,3492,499
7605,17164,3653,488
7786,15092,3844,483
7921,13389,4039,483
7898,14014,4229,483
7757,16085,4388,474
7786,17247,4549,467
8043,16275,4707,466
8343,14373,4870,467
8391,13182,5004,459
8231,13175,5126,450
8045,13614,5233,449
8009,14014,5350,450
8080,14144,5451,444
8231,14014,5542,434
8353,13860,5607,430
8343,14373,5671,434
8071,15472,5718,438
7675,16169,5767,434
7391,15604,5797,425
7453,14493,5831,418
7771,14007,5856,417
8120,14373,5895,418
8251,14773,5925,413
8231,14852,5959,402
8281,14832,5973,391
8565,15211,5991,386
8810,16230,5999,386
8676,17846,6023,386
8145,19091,6036,380
7675,19044,6055,370
7519,17974,6061,360
7564,17128,6087,354
7576,16431,6104,347
7675,14972,6119,338
7936,13452,6109,328
8231,14253,6119,322
8353,17096,6133,315
8454,18206,6151,306
8643,15154,6133,294
8787,10780,6119,290
8613,9174,6109,291
8231,10660,6119,290
7902,12485,6104,281
7786,13415,6087,274
7785,14132,6062,273
7898,15092,6055,274
8097,15720,6036,267
8343,15930,6023,257
8470,16000,6001,254
8454,16050,5991,257
8295,16018,5961,259
8120,16289,5927,257
8050,16712,5872,256
8231,16529,5831,257
8527,15301,5781,258
8676,14014,5735,257
8478,13786,5667,256
8120,14612,5606,257
7848,15397,5539,259
7786,15690,5478,257
7786,16012,5397,254
7786,17008,5318,257
7787,18024,5231,266
7898,17727,5158,274
8107,15556,5074,274
8343,12816,4998,274
8375,11330,4913,279
8120,11858,4838,290
7735,13346,4743,299
7564,14373,4645,306
7653,14258,4537,313
7786,13534,4453,322
7753,12879,4372,330
7786,12696,4293,338
7963,12837,4190,345
8120,13175,4101,354
8043,13441,4024,361
8009,13534,3973,370
8113,13505,3908,378
8120,13774,3844,386
7787,14400,3772,393
7341,15092,3716,402
6819,15560,3660,411
6118,15930,3620,418
5552,15915,3581,423
5562,15211,3556,434
5275,14344,3521,451
3559,14612,3492,467
1749,15880,3454,474
3337,16649,3428,483
9182,16398,3402,498
15573,16529,3396,515
18511,17388,3383,524
18354,17367,3364,531
17928,15735,3325,543
18242,14612,3300,563
18015,15432,3282,581
16574,16289,3268,595
14553,14555,3233,603
12569,11139,3204,611
10608,9047,3182,622
8899,9582,3172,644
7834,11358,3141,669
7453,12936,3108,692
7354,13802,3080,706
7341,14014,3076,724
7356,13654,3064,747
7341,13295,3043,772
7218,13280,3005,789
7119,13534,2979,804
7134,13739,2959,825
7230,14014,2947,853
7267,14329,2927,878
7230,14493,2915,901
7044,14357,2909,923
6785,14373,2915,949
6520,14821,2904,974
6452,15571,2883,998
6531,16095,2856,1014
6674,16289,2851,1030
6813,16225,2852,1043
7119,16050,2851,1062
7539,15739,2831,1084
7786,15571,2819,1110
7548,15885,2815,1129
7008,16768,2819,1142
6591,17515,2804,1153
6563,17367,2787,1175
6683,16132,2776,1200
6674,14612,2787,1223
6528,13597,2792,1231
6563,13295,2787,1239
6870,13237,2766,1251
7230,13295,2755,1271
7308,13726,2750,1287
7119,14852,2755,1303
6848,16212,2752,1318
6674,17008,2755,1335
6574,16633,2754,1345
6563,15451,2755,1351
6606,14283,2749,1356
6674,13894,2755,1368
6676,14211,2758,1382
6674,14852,2755,1400
6731,15457,2733,1410
6896,16050,2723,1416
7055,16394,2722,1414
7119,16289,2723,1416
7001,15834,2703,1421
6785,15690,2691,1432
6588,15987,2689,1440
6563,16289,2691,1448
6663,16174,2672,1449
6785,16050,2659,1448
6798,16184,2656,1444
6785,16289,2659,1448
6864,15955,2641,1455
7119,15571,2627,1464
7366,15484,2623,1465
7453,15571,2627,1464
7377,15502,2611,1462
7341,15571,2595,1464
7333,15853,2587,1463
7230,16050,2595,1464
7016,16017,2594,1463
7008,16289,2595,1464
7338,16790,2593,1462
7786,16768,2595,1464
7963,15995,2580,1464
7898,15690,2563,1464
7855,16500,2552,1455
8009,17367,2563,1448
8154,16786,2569,1443
8120,15092,2563,1448
7943,13680,2540,1450
7898,13415,2531,1448
8067,14021,2530,1438
8343,15092,2531,1432
8481,15969,2513,1429
8454,16050,2499,1432
8326,15266,2493,1426
8231,14493,2499,1416
8159,14165,2488,1402
8120,14014,2467,1400
8061,13887,2442,1401
8009,14493,2435,1400
7965,15810,2432,1385
8009,16649,2435,1368
8089,15979,2431,1354
8120,14612,2435,1351
7982,13838,2435,1346
7786,13894,2435,1335
7683,13944,2418,1316
7786,13774,2403,1303
7947,13765,2393,1294
8009,14253,2403,1287
7893,14907,2407,1271
7786,15451,2403,1255
7850,15674,2381,1242
8120,15571,2371,1239
8344,15166,2367,1232
8343,14852,2371,1223
8113,14863,2355,1206
7898,15211,2339,1191
7796,15529,2327,1173
7786,15571,2339,1158
7763,15164,2351,1141
7786,14612,2371,1126
7855,14453,2390,1109
7898,15092,2435,1094
7743,15908,2491,1076
7453,16050,2563,1062
7214,15509,2632,1046
7230,15451,2723,1030
7395,16348,2825,1011
7564,17247,2947,998
7714,16803,3067,988
8009,15211,3204,981
8316,13715,3351,967
8343,13295,3524,949
7971,13722,3696,930
7564,14373,3876,917
7373,14651,4048,902
7341,14493,4229,885
7284,14108,4402,864
7341,14014,4581,853
7547,14338,4745,845
7675,14852,4902,837
7459,15050,5032,819
7119,14972,5158,804
6956,14996,5268,795
7008,15451,5382,788
7020,15865,5479,772
7008,15690,5574,756
7154,14986,5644,745
7564,14612,5703,740
7971,14856,5743,732
8120,15211,5799,724
7966,15124,5850,720
7786,15092,5895,724
7756,15689,5907,725
7898,16649,5927,724
8074,16906,5951,721
8231,16169,5991,724
8203,15179,6008,730
7898,14972,6023,740
7463,15516,6030,747
7341,16050,6055,756
7597,15805,6068,763
7898,14972,6087,772
7990,14160,6094,778
8120,13894,6119,788
8320,14015,6133,801
8231,14253,6151,821
7684,14362,6147,837
7230,14373,6151,853
7241,14219,6145,865
7453,14014,6151,885
7510,13878,6144,907
7675,14014,6151,933
8048,14277,6149,960
8231,14493,6151,998
7963,14548,6131,1038
7786,14852,6119,1078
8026,15772,6099,1108
8231,17247,6087,1142
7917,18346,6052,1185
7564,18325,6023,1239
7727,17358,5986,1287
8120,16529,5959,1335
8007,16233,5910,1386
7453,15930,5863,1448
7083,15001,5806,1507
7230,13894,5767,1561
7531,13201,5718,1605
