I,aVL,ABP,RESP
1539,1803,4332,998
1488,1800,4306,1013
1448,1786,4272,1020
1488,1800,4240,1029
1553,1814,4197,1044
1557,1800,4174,1062
1481,1748,4155,1070
1453,1738,4141,1078
1526,1781,4104,1089
1626,1831,4075,1110
1661,1822,4049,1128
1695,1800,4041,1142
1812,1816,4022,1148
2007,1893,4008,1158
2200,2010,3988,1171
2387,2203,3975,1190
2594,2489,3951,1207
2803,2824,3942,1222
2953,3105,3937,1236
3079,3320,3942,1255
3293,3550,3926,1272
3668,3879,3909,1287
4111,4257,3886,1293
4464,4561,3876,1303
4637,4711,3856,1317
4671,4748,3843,1335
4605,4721,3822,1345
4429,4624,3810,1351
4154,4412,3788,1355
3875,4127,3776,1367
3653,3854,3767,1382
3426,3631,3776,1399
3087,3388,3778,1408
2664,3072,3776,1415
2283,2711,3757,1419
2041,2420,3743,1432
1906,2264,3724,1446
1799,2203,3710,1464
1660,2112,3686,1473
1488,1924,3677,1480
1294,1680,3673,1483
1107,1489,3677,1496
944,1371,3661,1510
830,1272,3644,1528
751,1142,3620,1542
692,1024,3611,1560
631,947,3602,1576
588,900,3611,1592
556,835,3614,1604
519,776,3611,1625
450,737,3587,1649
381,714,3578,1673
352,676,3575,1685
381,652,3578,1705
406,651,3558,1733
381,652,3545,1769
324,613,3539,1794
311,559,3545,1818
351,519,3529,1843
381,496,3511,1882
354,466,3499,1916
311,434,3511,1946
294,407,3516,1967
277,372,3511,1995
217,312,3488,2023
138,248,3478,2059
77,198,3473,2089
35,155,3478,2123
-10,103,3473,2154
-35,62,3478,2188
-30,41,3478,2216
-35,31,3478,2252
-92,3,3456,2289
-173,-31,3445,2332
-219,-58,3438,2370
-208,-62,3445,2413
-165,-39,3438,2452
-104,31,3445,2493
-25,138,3456,2523
69,248,3478,2558
158,329,3476,2593
242,403,3478,2638
333,498,3491,2672
450,621,3545,2702
594,745,3611,2727
761,869,3710,2767
926,1000,3839,2807
1073,1148,4041,2847
1188,1296,4305,2875
1280,1427,4638,2911
1355,1530,4983,2949
1419,1614,5333,2992
1472,1682,5654,3021
1522,1738,5963,3056
1563,1775,6213,3093
1592,1800,6393,3137
1617,1823,6478,3166
1661,1862,6526,3201
1711,1911,6555,3237
1730,1955,6592,3281
1700,1970,6614,3313
1661,1955,6658,3346
1648,1929,6723,3374
1661,1924,6824,3410
1665,1939,6921,3434
1661,1955,7023,3458
1658,1946,7099,3477
1661,1924,7155,3507
1649,1903,7162,3529
1626,1893,7155,3555
1611,1878,7143,3573
1626,1862,7155,3603
1651,1842,7156,3627
1661,1831,7155,3651
1643,1817,7142,3663
1626,1800,7155,3683
1622,1769,7162,3704
1626,1738,7155,3732
1622,1719,7096,3746
1626,1738,7023,3764
1641,1773,6935,3776
1661,1800,6857,3796
1672,1799,6756,3808
1695,1800,6658,3828
1722,1803,6552,3842
1730,1800,6460,3860
1716,1785,6346,3864
1730,1800,6228,3877
1772,1838,6088,3888
1799,1862,5963,3909
1789,1850,5836,3916
1799,1862,5731,3925
1828,1905,5614,3927
1799,1924,5499,3941
1673,1874,5368,3947
1557,1831,5267,3957
1543,1857,5185,3959
1592,1924,5135,3973
1596,1944,5077,3980
1557,1924,5035,3989
1526,1911,4993,3985
1522,1924,4969,3989
1517,1928,4933,3992
1522,1924,4903,4005
1542,1921,4854,4005
1557,1924,4803,4005
1546,1919,4730,3997
1557,1924,4671,4005
1598,1930,4614,4010
1626,1924,4571,4021
1593,1895,4515,4018
1557,1893,4472,4021
1571,1923,4431,4018
1626,1955,4406,4021
1647,1936,4368,4015
1626,1893,4340,4021
1582,1857,4304,4025
1557,1862,4273,4037
1555,1883,4231,4035
1592,1924,4207,4037
1633,1961,4188,4033
1661,1986,4174,4037
1670,1964,4137,4032
1730,1924,4108,4037
1873,1922,4084,4040
2076,2017,4075,4053
2252,2159,4042,4052
2387,2296,4008,4053
2539,2463,3978,4047
2768,2762,3975,4053
3001,3135,3964,4051
3149,3413,3942,4053
3263,3562,3900,4047
3529,3786,3876,4053
3970,4185,3856,4057
4394,4592,3843,4070
4640,4811,3807,4068
4775,4903,3776,4070
4874,4984,3751,4063
4844,4996,3743,4070
4577,4810,3726,4068
4187,4499,3710,4070
3854,4220,3688,4062
3599,4003,3677,4070
3312,3768,3658,4075
2976,3506,3644,4086
2635,3235,3623,4076
2318,2948,3611,4070
2050,2670,3591,4061
1903,2513,3578,4070
1852,2481,3557,4070
1765,2420,3545,4070
1560,2219,3524,4057
1349,1986,3511,4053
1226,1837,3492,4044
1142,1738,3478,4037
1002,1593,3457,4017
865,1458,3445,4005
804,1403,3426,3992
796,1396,3412,3989
752,1336,3389,3972
692,1241,3379,3957
651,1163,3373,3936
623,1117,3379,3925
575,1070,3367,3902
554,1055,3346,3877
586,1077,3317,3839
623,1086,3313,3812
589,1030,3314,3781
519,962,3313,3748
489,944,3290,3696
519,962,3280,3651
553,939,3278,3609
554,869,3280,3571
524,801,3258,3510
484,776,3246,3442
434,759,3243,3371
381,714,3246,3314
334,641,3226,3250
311,590,3213,3185
299,570,3209,3109
277,559,3213,3040
239,518,3194,2966
208,465,3180,2895
180,422,3173,2818
138,403,3180,2751
85,395,3163,2683
69,403,3147,2622
109,427,3135,2550
173,465,3147,2477
231,513,3147,2400
311,590,3147,2332
420,686,3138,2260
519,776,3147,2188
581,844,3155,2105
657,931,3180,2027
786,1050,3211,1950
934,1179,3280,1882
1046,1286,3381,1809
1142,1396,3545,1737
1257,1523,3758,1666
1384,1645,4041,1609
1482,1728,4359,1553
1557,1800,4704,1496
1619,1880,5027,1433
1661,1955,5333,1383
1685,1994,5588,1342
1730,2017,5797,1303
1788,2046,5934,1251
1799,2079,6029,1206
1752,2095,6073,1171
1730,2110,6095,1142
1768,2130,6097,1105
1799,2141,6128,1078
1764,2116,6182,1061
1730,2079,6261,1046
1757,2063,6333,1017
1799,2079,6427,997
1779,2090,6526,993
1730,2079,6625,997
1714,2045,6682,987
1730,2017,6725,981
1731,2005,6756,986
1730,2017,6791,997
1738,2025,6795,996
1730,2017,6791,997
1685,1985,6772,1009
1661,1955,6758,1029
1689,1933,6713,1037
1730,1924,6658,1046
1732,1917,6586,1063
1730,1924,6526,1094
1750,1939,6457,1118
1765,1955,6393,1142
1731,1946,6301,1169
1695,1924,6195,1206
1699,1907,6066,1239
1730,1924,5963,1271
1743,1948,5864,1299
1765,1955,5764,1335
1815,1942,5627,1368
1868,1955,5499,1399
1859,1983,5376,1422
1799,1986,5267,1448
1742,1952,5131,1476
1730,1955,5002,1512
1735,2014,4884,1544
1730,2079,4803,1576
1708,2096,4725,1606
1695,2110,4671,1641
1683,2138,4626,1672
1661,2141,4605,1705
1638,2093,4569,1734
1661,2079,4538,1769
1710,2138,4499,1802
1730,2203,4472,1834
1691,2187,4426,1857
1661,2141,4373,1882
1674,2130,4300,1905
1695,2141,4240,1930
1675,2121,4181,1947
1661,2110,4141,1962
1688,2138,4098,1974
1730,2172,4075,1995
1712,2139,4053,2012
1661,2079,4041,2027
1634,2054,4009,2033
1661,2079,3975,2043
1688,2089,3933,2051
1695,2079,3909,2059
1675,2064,3886,2056
1661,2079,3876,2059
1668,2105,3856,2065
1730,2141,3843,2075
1810,2154,3820,2070
1868,2141,3810,2059
1897,2116,3801,2046
1972,2141,3810,2043
2123,2208,3810,2041
2318,2296,3810,2043
2505,2413,3790,2037
2699,2638,3776,2027
2901,2954,3757,2008
3079,3258,3743,1995
3207,3467,3710,1984
3356,3662,3677,1978
3605,3922,3646,1963
3945,4220,3644,1946
4260,4439,3645,1927
4464,4561,3644,1914
4533,4636,3622,1898
4498,4686,3611,1882
4367,4642,3606,1858
4152,4468,3611,1834
3887,4202,3594,1805
3633,3941,3578,1785
3403,3729,3566,1768
3149,3537,3578,1753
2810,3289,3582,1729
2422,2979,3578,1705
2099,2686,3554,1683
1938,2513,3545,1673
1900,2456,3539,1660
1868,2420,3545,1641
1745,2303,3540,1612
1557,2110,3545,1592
1377,1902,3545,1581
1246,1738,3545,1576
1118,1597,3525,1561
969,1458,3511,1544
825,1324,3495,1525
761,1241,3478,1512
764,1195,3441,1495
761,1148,3412,1480
687,1065,3390,1462
588,993,3379,1448
535,961,3347,1429
554,962,3313,1415
596,951,3282,1405
623,931,3280,1399
605,904,3279,1386
554,869,3280,1367
509,817,3271,1346
519,776,3280,1335
548,748,3293,1327
519,714,3313,1319
419,649,3321,1303
346,590,3346,1287
354,564,3377,1270
381,559,3412,1255
344,526,3418,1231
277,465,3412,1206
245,405,3393,1185
242,372,3379,1174
206,347,3347,1161
138,310,3313,1142
86,258,3271,1115
69,217,3246,1094
46,194,3220,1077
0,186,3213,1062
-33,188,3214,1037
0,217,3246,1013
75,263,3278,994
138,310,3313,981
175,356,3324,965
242,434,3346,949
349,545,3369,932
450,652,3412,917
529,734,3451,899
657,838,3511,885
854,987,3587,874
1038,1148,3710,869
1137,1268,3864,860
1211,1365,4075,853
1327,1472,4327,843
1453,1583,4638,836
1519,1666,4956,827
1557,1738,5267,820
1631,1815,5529,812
1730,1893,5764,804
1779,1938,5949,794
1765,1955,6095,788
1734,1956,6185,786
1730,1955,6261,788
1734,1949,6324,788
1730,1955,6393,788
1721,1973,6440,787
1730,1986,6493,788
1741,1965,6546,787
1730,1924,6625,788
1691,1901,6702,789
1661,1924,6791,788
1656,1947,6872,785
1661,1924,6957,788
1654,1869,7012,796
1661,1862,7056,804
1682,1904,7081,804
1695,1924,7122,804
1676,1868,7147,810
1661,1800,7155,820
1663,1772,7121,828
1661,1769,7089,836
1633,1744,7044,845
1626,1738,6990,853
1659,1769,6891,852
1695,1800,6791,853
1686,1775,6687,858
1661,1738,6592,869
1654,1731,6470,872
1661,1738,6360,869
1652,1716,6262,864
1661,1707,6195,869
1707,1744,6120,877
1765,1800,6062,885
1780,1813,5997,885
1765,1800,5930,885
1745,1792,5819,883
1730,1800,5698,885
1699,1805,5560,884
1661,1831,5433,885
1613,1871,5289,884
1557,1893,5168,885
1511,1872,5064,883
1522,1862,5002,885
1563,1881,4944,886
1557,1893,4903,885
1476,1849,4858,875
1419,1800,4836,869
1459,1804,4805,866
1557,1862,4770,869
1606,1899,4706,868
1592,1893,4638,869
1561,1867,4552,869
1557,1862,4472,869
1557,1865,4390,860
1557,1862,4340,853
1554,1842,4300,849
1557,1831,4273,853
1544,1818,4230,852
1522,1800,4207,853
1496,1770,4198,852
1488,1769,4207,853
1483,1785,4193,846
1488,1800,4174,836
1493,1788,4148,830
1522,1800,4141,836
1566,1834,4125,846
1626,1862,4108,853
1695,1852,4072,850
1799,1862,4041,853
1940,1921,4003,860
2111,2017,3975,869
2281,2113,3939,868
2457,2265,3909,869
2643,2521,3869,874
2837,2855,3843,885
3002,3153,3819,891
3149,3382,3810,901
3353,3614,3791,914
3702,3941,3776,933
4147,4321,3754,943
4533,4624,3743,949
4727,4761,3734,953
4740,4779,3743,965
4630,4733,3746,980
4429,4624,3743,997
4154,4417,3721,1012
3875,4158,3710,1029
3635,3905,3705,1045
3391,3662,3710,1062
3062,3364,3694,1075
2664,3010,3677,1094
2295,2666,3655,1115
2041,2420,3644,1142
1885,2282,3624,1165
1765,2203,3611,1190
1631,2104,3592,1214
1488,1955,3578,1239
1336,1765,3554,1260
1176,1583,3545,1287
1007,1426,3539,1317
865,1303,3545,1351
761,1189,3540,1377
692,1086,3545,1399
631,993,3545,1420
588,931,3545,1448
554,882,3524,1473
519,838,3511,1496
472,783,3505,1510
450,745,3511,1528
453,724,3498,1548
450,714,3478,1576
412,686,3452,1601
381,652,3445,1625
388,617,3441,1645
415,590,3445,1673
413,558,3441,1698
381,528,3445,1721
340,496,3442,1734
311,465,3445,1753
289,431,3440,1776
277,403,3445,1802
268,376,3445,1817
242,341,3445,1834
179,283,3427,1848
104,217,3412,1866
52,169,3400,1878
35,155,3412,1898
14,148,3415,1920
-35,124,3412,1946
-92,82,3388,1962
-104,62,3379,1978
-70,72,3373,1992
-35,93,3379,2011
-35,102,3371,2023
-35,124,3379,2043
11,174,3390,2064
104,248,3412,2091
206,329,3410,2107
311,434,3412,2123
425,568,3422,2136
554,714,3478,2155
686,840,3558,2170
830,962,3677,2188
977,1096,3824,2201
1107,1241,4041,2220
1211,1371,4311,2234
1315,1489,4638,2252
1425,1601,4976,2266
1522,1707,5333,2284
1583,1791,5666,2297
1626,1862,5963,2316
1666,1917,6176,2331
1695,1955,6327,2348
1707,1980,6409,2360
1730,2017,6460,2381
1770,2050,6472,2397
1799,2048,6493,2413
1789,2016,6524,2417
1765,2017,6592,2429
1748,2058,6666,2444
1730,2079,6758,2461
1692,2036,6848,2466
1661,1986,6957,2477
1654,1976,7049,2491
1661,1986,7122,2509
1657,1969,7147,2515
1661,1955,7155,2525
1679,1969,7148,2539
1695,1986,7155,2558
1680,1959,7152,2563
1661,1924,7155,2574
1676,1924,7139,2587
1730,1955,7122,2606
1759,1955,7075,2612
1730,1924,7023,2622
1672,1901,6951,2634
1661,1924,6890,2654
1698,1953,6812,2662
1730,1955,6725,2670
1724,1929,6605,2675
1730,1924,6493,2686
1767,1940,6373,2690
1799,1955,6261,2702
1794,1947,6125,2715
1799,1955,5996,2734
1829,1979,5858,2742
1834,1986,5731,2751
1776,1956,5589,2755
1730,1955,5466,2767
1744,2011,5344,2772
1765,2079,5234,2783
1711,2091,5107,2788
1626,2079,5002,2799
1584,2076,4917,2803
1592,2079,4870,2815
1603,2066,4816,2823
1626,2079,4770,2831
1657,2121,4723,2827
1661,2141,4704,2831
1617,2103,4676,2837
1592,2079,4638,2847
1611,2108,4566,2845
1626,2141,4505,2847
1586,2111,4449,2846
1557,2079,4406,2847
1592,2117,4338,2836
1661,2203,4273,2831
1680,2228,4211,2823
1661,2172,4174,2815
1637,2095,4134,2794
1626,2079,4108,2783
1621,2117,4082,2776
1661,2172,4075,2767
1717,2180,4058,2734
1730,2141,4041,2702
1677,2083,4007,2675
1661,2079,3975,2654
1721,2130,3936,2615
1799,2203,3909,2574
1824,2218,3874,2536
1868,2172,3843,2509
1997,2116,3800,2471
2180,2141,3776,2429
2326,2251,3756,2384
2457,2420,3743,2348
2637,2632,3719,2307
2872,2917,3710,2268
3063,3217,3706,2221
3183,3444,3710,2171
3321,3598,3693,2112
3599,3817,3677,2059
3993,4138,3658,2009
4360,4437,3644,1962
4573,4588,3610,1901
4637,4655,3578,1834
4586,4714,3549,1763
4429,4717,3545,1705
4176,4563,3540,1648
3910,4313,3545,1592
3685,4088,3541,1532
3460,3910,3545,1480
3157,3694,3541,1430
2803,3413,3545,1383
2471,3104,3532,1331
2214,2824,3511,1287
2034,2614,3472,1245
1938,2513,3445,1206
1884,2464,3423,1157
1799,2358,3412,1110
1635,2154,3390,1065
1453,1955,3379,1029
1301,1829,3373,994
1176,1738,3379,965
1051,1609,3365,939
969,1489,3346,917
935,1417,3320,889
900,1365,3313,869
801,1271,3309,856
692,1179,3313,853
640,1140,3299,845
657,1148,3280,836
683,1139,3253,826
692,1117,3246,820
680,1099,3245,816
657,1086,3246,820
628,1052,3227,827
623,1024,3213,836
643,1020,3206,842
657,1024,3213,853
631,991,3202,866
588,931,3180,885
561,874,3151,899
554,838,3147,917
531,797,3148,938
484,745,3147,965
426,689,3125,989
381,652,3114,1013
344,622,3110,1036
311,590,3114,1062
273,541,3095,1085
242,496,3081,1110
219,469,3071,1133
208,465,3081,1158
201,464,3078,1181
208,465,3081,1206
222,471,3076,1230
242,496,3081,1255
265,537,3073,1276
311,590,3081,1303
376,644,3091,1333
450,714,3114,1367
533,806,3123,1393
657,931,3147,1415
807,1062,3181,1436
934,1179,3246,1464
1015,1279,3331,1489
1107,1396,3478,1512
1242,1528,3689,1527
1384,1645,3975,1544
1483,1725,4282,1559
1557,1800,4605,1576
1622,1883,4917,1590
1661,1955,5234,1609
1657,1990,5511,1625
1661,2017,5731,1641
1697,2051,5858,1649
1730,2079,5930,1657
1726,2079,5961,1663
1730,2079,5996,1673
1769,2095,6021,1679
1799,2110,6062,1689
1772,2096,6110,1697
1730,2079,6195,1705
1722,2078,6289,1705
1730,2079,6393,1705
1712,2049,6477,1703
1695,2017,6559,1705
1710,2017,6625,1704
1730,2048,6692,1705
1705,2054,6730,1703
1661,2017,6758,1705
1641,1966,6759,1704
1661,1955,6758,1705
1692,1974,6739,1703
1730,1986,6725,1705
1760,1959,6692,1704
1765,1924,6658,1705
1728,1909,6605,1703
1695,1924,6559,1705
1698,1930,6496,1704
1730,1924,6427,1705
1743,1914,6325,1701
1730,1924,6228,1705
1714,1932,6123,1711
1730,1924,6029,1721
1765,1899,5912,1722
1799,1893,5797,1721
1816,1906,5673,1718
1834,1924,5565,1721
1845,1922,5446,1721
1834,1924,5333,1721
1786,1937,5209,1718
1730,1955,5101,1721
1686,1954,4991,1722
1661,1955,4903,1721
1648,1976,4820,1716
1661,2017,4770,1721
1677,2034,4729,1730
1661,2017,4704,1737
1610,1986,4666,1729
1592,1986,4638,1721
1625,2006,4601,1717
1661,2017,4571,1721
1648,1999,4520,1720
1626,1986,4472,1721
1625,1986,4416,1721
1626,1986,4373,1721
1600,1965,4319,1712
1592,1955,4273,1705
1614,1957,4218,1702
1626,1955,4174,1705
1585,1928,4129,1699
1557,1924,4108,1689
1582,1954,4089,1677
1626,1986,4075,1673
1616,1962,4039,1666
1592,1924,4008,1657
1595,1907,3971,1640
1626,1924,3942,1625
1637,1935,3901,1607
1661,1955,3876,1592
1727,1975,3854,1574
1834,1986,3843,1560
1934,1979,3819,1544
2041,2017,3810,1528
2178,2109,3804,1504
2353,2234,3810,1480
2540,2388,3794,1454
2733,2638,3776,1432
2905,2954,3754,1407
3045,3227,3743,1383
3195,3418,3724,1358
3460,3662,3710,1335
3842,4022,3690,1310
4221,4375,3677,1287
4464,4563,3656,1261
4567,4624,3644,1239
4576,4657,3626,1213
4498,4655,3611,1190
4318,4525,3586,1165
4083,4282,3578,1142
3834,4009,3574,1116
3564,3755,3578,1094
3245,3504,3560,1069
2906,3258,3545,1046
2583,2997,3533,1020
2284,2700,3545,997
2016,2407,3548,973
1834,2234,3545,949
1740,2190,3522,922
1661,2141,3511,901
1510,1968,3505,883
1315,1738,3511,869
1145,1564,3499,850
1038,1458,3478,836
942,1334,3449,822
830,1179,3445,804
708,1041,3446,777
623,962,3445,756
575,910,3423,745
554,869,3412,740
531,830,3409,726
519,807,3412,708
516,788,3393,690
519,776,3379,676
507,760,3371,659
484,745,3379,643
452,717,3375,632
415,683,3379,627
384,637,3379,620
381,590,3379,611
391,540,3358,601
381,496,3346,595
339,460,3342,588
311,434,3346,579
305,409,3328,568
277,372,3313,563
204,314,3304,563
138,248,3313,563
116,190,3311,555
104,155,3313,547
55,127,3309,543
0,93,3313,547
-25,53,3296,549
-35,31,3280,547
-70,27,3264,543
-104,31,3280,547
-93,34,3296,556
-35,62,3313,563
24,118,3306,562
69,186,3313,563
121,252,3323,568
208,341,3346,579
321,462,3353,587
450,590,3379,595
574,686,3422,603
692,776,3511,611
805,895,3629,617
934,1055,3810,627
1085,1221,4041,641
1246,1365,4340,659
1375,1473,4668,675
1453,1552,5035,692
1498,1620,5396,708
1557,1707,5731,724
1636,1800,5990,736
1695,1862,6195,756
1705,1870,6333,781
1695,1862,6427,804
1704,1870,6453,819
1730,1893,6460,836
1739,1909,6459,860
1730,1924,6493,885
1722,1934,6542,900
1730,1924,6625,917
1738,1887,6716,939
1730,1862,6824,965
1699,1861,6921,982
1661,1862,7023,997
1630,1832,7100,1017
1626,1800,7155,1046
1641,1790,7161,1070
1661,1800,7155,1094
1665,1799,7143,1116
1661,1800,7155,1142
1655,1804,7157,1165
1661,1800,7155,1190
1664,1758,7122,1214
1661,1707,7089,1239
1653,1684,7038,1260
1661,1707,6990,1287
1668,1732,6911,1312
1661,1738,6824,1335
1644,1726,6717,1349
1661,1738,6625,1367
1704,1769,6525,1389
1730,1800,6427,1415
1720,1803,6305,1437
1730,1800,6195,1464
1773,1798,6077,1493
1799,1800,5963,1528
1766,1792,5824,1554
1730,1800,5698,1576
1729,1826,5573,1596
1730,1862,5466,1625
1681,1879,5342,1655
1626,1893,5234,1689
1603,1909,5136,1714
1592,1924,5068,1737
1560,1921,4994,1758
1557,1924,4936,1785
1599,1939,4886,1811
1626,1955,4870,1834
1590,1943,4843,1847
1557,1924,4803,1866
1573,1914,4731,1887
1592,1924,4671,1914
1565,1936,4615,1932
1557,1955,4571,1946
1598,1963,4504,1958
1626,1955,4439,1978
1584,1927,4375,1995
1557,1924,4340,2011
1592,1941,4303,2021
1626,1955,4273,2043
1586,1935,4234,2068
1557,1924,4207,2091
1600,1933,4172,2098
1661,1955,4141,2107
1648,1951,4099,2120
1626,1955,4075,2139
1662,1978,4053,2147
1730,2017,4041,2155
1747,2016,4009,2162
1765,1986,3975,2171
1861,1968,3934,2170
2041,2017,3909,2171
2212,2110,3885,2176
2353,2234,3876,2188
2514,2414,3859,2188
2733,2700,3843,2188
2941,3027,3807,2185
3079,3289,3776,2188
3206,3475,3749,2181
3460,3724,3743,2171
3844,4084,3729,2159
4221,4437,3710,2155
4484,4652,3672,2149
4671,4779,3644,2139
4791,4881,3620,2120
4740,4903,3611,2107
4464,4753,3592,2096
4118,4499,3578,2091
3853,4254,3557,2076
3633,4034,3545,2059
3335,3780,3524,2039
2976,3506,3511,2027
2641,3232,3493,2011
2353,2948,3478,1995
2101,2675,3454,1974
1938,2513,3445,1962
1860,2462,3441,1948
1765,2389,3445,1930
1577,2198,3430,1902
1384,1986,3412,1882
1246,1837,3388,1865
1107,1707,3379,1850
922,1522,3362,1824
796,1365,3346,1802
776,1300,3321,1783
761,1272,3313,1769
652,1182,3310,1744
554,1086,3313,1721
564,1061,3297,1701
623,1086,3280,1689
606,1070,3256,1667
554,1024,3246,1641
543,989,3239,1613
554,962,3246,1592
518,909,3248,1569
484,869,3246,1544
511,876,3226,1517
554,900,3213,1496
535,873,3207,1473
484,807,3213,1448
459,746,3202,1414
450,714,3180,1383
415,684,3151,1356
381,652,3147,1335
369,619,3148,1306
346,590,3147,1271
276,547,3125,1233
208,496,3114,1206
182,443,3110,1183
173,403,3114,1158
126,376,3095,1123
69,372,3081,1094
59,383,3071,1069
104,403,3081,1046
148,417,3078,1013
173,434,3081,981
204,465,3075,955
277,528,3081,933
379,613,3074,902
484,714,3081,869
572,808,3088,839
657,900,3114,820
753,989,3135,799
865,1086,3180,772
983,1189,3250,742
1107,1303,3379,724
1222,1415,3558,710
1315,1520,3810,692
1393,1622,4104,664
1488,1738,4439,643
1589,1848,4771,634
1661,1924,5101,627
1692,1965,5390,611
1730,2017,5632,595
1782,2079,5791,585
1799,2110,5897,579
1758,2090,5952,567
1730,2079,5996,563
1769,2109,6013,570
1834,2141,6029,579
1841,2120,6043,578
1799,2079,6095,579
1765,2067,6169,592
1765,2079,6261,611
1758,2061,6339,620
1730,2017,6427,627
1699,1984,6511,640
1695,1986,6592,659
1710,1991,6634,675
1730,1986,6658,692
1734,1967,6658,708
1730,1955,6658,724
1724,1941,6639,736
1730,1924,6625,756
1734,1891,6595,786
1730,1862,6559,820
1710,1845,6491,845
1695,1862,6427,869
1699,1893,6357,897
1730,1924,6294,933
1759,1921,6198,966
1765,1893,6095,997
1741,1859,5985,1027
1730,1862,5897,1062
1750,1892,5798,1093
1799,1924,5698,1126
1842,1926,5576,1156
1868,1924,5466,1190
1863,1931,5348,1222
1834,1955,5234,1255
1799,1980,5097,1285
1799,2017,4969,1319
1815,2054,4850,1351
1799,2079,4770,1383
1727,2077,4698,1413
1661,2079,4638,1448
1643,2093,4572,1481
1661,2110,4538,1512
1664,2108,4516,1534
1661,2110,4505,1560
1670,2124,4471,1591
1695,2141,4439,1625
1712,2138,4401,1649
1730,2141,4373,1673
1741,2156,4323,1695
1730,2172,4273,1721
1687,2159,4216,1738
1661,2141,4174,1753
1671,2134,4120,1766
1695,2141,4075,1785
1685,2137,4029,1802
1661,2141,4008,1818
1648,2146,3989,1825
1661,2141,3975,1834
1662,2103,3942,1840
1661,2079,3909,1850
1654,2083,3868,1852
1661,2110,3843,1850
1678,2132,3819,1844
1730,2172,3810,1850
1790,2198,3792,1859
1834,2172,3776,1866
1869,2106,3751,1857
1972,2110,3743,1850
2142,2197,3739,1847
2318,2296,3743,1850
2461,2382,3727,1843
2630,2576,3710,1834
2835,2904,3687,1823
3010,3227,3677,1818
3122,3412,3659,1803
3287,3568,3644,1785
3605,3849,3621,1766
4014,4220,3611,1753
4346,4491,3594,1738
4533,4592,3578,1721
4598,4608,3552,1696
4567,4624,3545,1673
4423,4589,3542,1647
4187,4437,3545,1625
3918,4176,3526,1598
3668,3910,3511,1576
3423,3697,3503,1552
3149,3506,3511,1528
2815,3247,3500,1495
2457,2917,3478,1464
2150,2615,3449,1435
1972,2451,3445,1415
1897,2403,3447,1393
1834,2358,3445,1367
1701,2222,3422,1334
1522,2017,3412,1303
1349,1809,3409,1274
1211,1645,3412,1255
1075,1500,3393,1233
934,1365,3379,1206
805,1238,3372,1171
727,1148,3379,1142
685,1079,3366,1117
657,1024,3346,1094
619,968,3320,1062
588,931,3313,1029
567,902,3307,1001
554,869,3313,981
532,817,3313,958
519,776,3313,933
517,753,3294,906
519,745,3280,885
505,729,3270,861
484,714,3280,836
465,692,3282,809
450,652,3280,788
421,585,3259,772
381,528,3246,756
340,495,3239,732
311,465,3246,708
282,408,3246,683
242,341,3246,659
190,288,3240,633
138,248,3246,611
86,200,3247,593
35,155,3246,579
-13,129,3226,563
-35,124,3213,547
-36,113,3203,531
-35,93,3213,515
-43,78,3213,496
-35,93,3213,483
5,133,3203,473
69,186,3213,466
133,240,3225,452
208,310,3246,434
302,406,3254,420
415,528,3280,418
530,653,3314,420
657,776,3379,418
796,896,3454,409
934,1024,3578,402
1057,1152,3752,401
1176,1272,4008,402
1291,1372,4314,400
1384,1458,4671,402
1451,1544,5035,410
1522,1645,5400,418
1603,1738,5709,419
1661,1800,5963,418
1679,1829,6136,423
1695,1862,6261,434
1724,1903,6327,444
1730,1924,6360,450
1691,1907,6355,456
1661,1893,6360,466
1674,1905,6385,475
1695,1924,6460,483
1681,1914,6550,488
1661,1893,6658,499
1662,1877,6755,513
1661,1862,6857,531
1622,1826,6942,547
1592,1800,7023,563
1611,1804,7075,578
1661,1831,7122,595
1676,1839,7143,611
1661,1831,7155,627
1650,1816,7138,642
1661,1800,7122,659
1665,1768,7090,675
1661,1738,7056,692
1655,1715,6990,707
1661,1707,6923,724
1662,1700,6848,739
1661,1707,6791,756
1657,1722,6715,771
1661,1738,6625,788
1660,1727,6504,804
1661,1707,6393,820
1675,1701,6285,835
1730,1738,6195,853
1799,1783,6082,869
1834,1800,5963,885
1797,1771,5823,897
1730,1738,5698,917
1679,1725,5572,940
1661,1738,5466,965
1646,1759,5348,982
1626,1800,5234,997
1593,1841,5106,1012
1557,1862,5002,1029
1524,1853,4916,1044
1522,1862,4870,1062
1542,1896,4829,1083
1557,1924,4803,1110
1552,1909,4765,1134
1557,1893,4737,1158
1569,1903,4699,1180
1557,1924,4671,1206
1509,1904,4623,1230
1488,1862,4571,1255
1516,1830,4500,1277
1557,1831,4439,1303
1560,1841,4378,1327
1557,1862,4340,1351
1562,1871,4300,1372
1557,1862,4273,1399
1513,1823,4237,1425
1488,1800,4207,1448
1511,1805,4167,1461
1557,1831,4141,1480
1562,1823,4106,1503
1557,1800,4075,1528
1577,1799,4032,1543
1626,1862,4008,1560
1650,1923,3989,1582
1661,1924,3975,1609
1697,1869,3939,1625
1799,1862,3909,1641
1942,1924,3883,1655
2111,2017,3876,1673
2291,2121,3858,1681
2491,2327,3843,1689
2700,2657,3821,1700
2906,3010,3810,1721
3093,3265,3789,1739
3287,3475,3776,1753
3545,3757,3756,1760
3910,4127,3743,1769
