I,V,PLETH,RESP
1968,6809,8327,3172
1601,6869,8291,3167
1761,6617,8265,3172
2075,6400,8194,3171
2175,6425,8141,3172
2074,6493,8097,3159
2072,6425,8079,3153
2350,6117,8033,3148
2693,5754,8017,3153
2709,5570,8011,3150
2486,5562,8017,3153
2257,5557,7976,3152
2072,5562,7955,3153
1907,5619,7946,3141
1968,5754,7955,3135
2320,5903,7917,3129
2693,6138,7892,3135
2828,6459,7880,3132
2901,6809,7892,3135
3124,7071,7860,3132
3419,7288,7830,3135
3618,7438,7810,3130
3833,7480,7830,3135
4111,7400,7829,3140
4247,7384,7830,3153
4096,7476,7818,3153
3937,7576,7830,3153
4025,7565,7825,3147
4247,7576,7830,3153
4340,7670,7820,3157
4351,7768,7830,3172
4404,7730,7824,3180
4454,7672,7830,3190
4393,7694,7820,3187
4351,7768,7830,3190
4443,7741,7826,3192
4558,7672,7830,3208
4496,7670,7800,3218
4351,7768,7768,3226
4352,7784,7719,3222
4558,7672,7706,3226
4719,7536,7696,3230
4662,7576,7706,3245
4485,7713,7696,3252
4454,7768,7706,3263
4577,7653,7705,3268
4662,7576,7706,3281
4597,7615,7668,3288
4558,7672,7644,3300
4625,7611,7626,3305
4662,7576,7644,3318
4543,7629,7644,3324
4454,7672,7644,3336
4534,7566,7612,3342
4662,7480,7582,3355
4634,7512,7533,3361
4558,7576,7520,3373
4579,7518,7513,3379
4662,7480,7520,3391
4665,7535,7488,3397
4662,7576,7457,3410
4717,7465,7417,3415
4765,7384,7395,3428
4704,7429,7356,3434
4662,7480,7333,3446
4712,7374,7298,3452
4765,7288,7271,3465
4706,7329,7224,3470
4662,7384,7209,3483
4709,7282,7203,3489
4765,7192,7209,3501
4737,7230,7176,3507
4765,7288,7147,3520
4896,7190,7109,3525
4972,7097,7085,3538
4865,7128,7039,3544
4765,7192,7022,3556
4804,7107,7016,3562
4869,7001,7022,3575
4808,6984,6988,3580
4765,7001,6960,3593
4830,6900,6942,3598
4869,6809,6960,3611
4748,6828,6959,3617
4662,6905,6960,3630
4750,6871,6949,3635
4869,6809,6960,3648
4798,6820,6957,3654
4662,6905,6960,3666
4657,6895,6949,3671
4765,6809,6960,3685
4767,6748,6958,3692
4662,6809,6960,3703
4600,6858,6946,3700
4662,6809,6960,3703
4680,6696,6965,3705
4558,6713,6960,3721
4408,6832,6916,3731
4454,6905,6898,3740
4624,6837,6893,3735
4662,6809,6898,3740
4481,6871,6861,3745
4351,6905,6836,3758
4400,6787,6825,3757
4454,6713,6836,3758
4340,6790,6806,3753
4247,6905,6774,3758
4304,6867,6751,3757
4351,6809,6774,3758
4226,6842,6781,3747
4144,6905,6774,3740
4248,6852,6733,3726
4351,6809,6712,3721
4244,6853,6696,3711
4144,6905,6712,3703
4234,6837,6713,3683
4351,6809,6712,3666
4263,6900,6675,3644
4144,7001,6650,3630
4176,6953,6630,3609
4247,6905,6650,3593
4180,6950,6656,3566
4144,7001,6650,3538
4258,6904,6606,3498
4351,6809,6587,3465
4241,6830,6581,3427
4144,6905,6587,3391
4234,6865,6554,3342
4351,6809,6525,3300
4268,6832,6505,3254
4144,6905,6525,3208
4165,6874,6529,3149
4247,6809,6525,3098
4222,6815,6488,3050
4144,6809,6463,3007
4135,6685,6442,2948
4247,6713,6463,2897
4291,6881,6490,2848
4144,6809,6525,2805
4051,6561,6524,2742
4351,6809,6525,2677
4589,7199,6515,2613
4144,6713,6525,2567
3674,6001,6518,2514
4351,6809,6525,2457
5213,7986,6517,2389
4351,6809,6525,2328
2981,4933,6532,2269
4247,6905,6587,2218
6650,10500,6648,2162
4662,7576,6712,2108
-1739,-1831,6748,2049
-4558,-5850,6836,1998
710,2043,6953,1949
7666,12179,7085,1907
8336,12840,7166,1859
4351,6809,7271,1815
2462,4234,7407,1767
3937,6713,7582,1723
4871,8143,7727,1680
3937,6617,7892,1650
3327,5651,8069,1622
3937,6617,8265,1595
4351,7228,8415,1557
4040,6617,8576,1522
3842,6215,8748,1490
4040,6617,8949,1467
4086,6865,9108,1438
3937,6617,9260,1412
3929,6406,9386,1382
4040,6521,9508,1357
4012,6649,9573,1326
3937,6617,9632,1302
3943,6488,9683,1280
3937,6425,9757,1265
3849,6467,9793,1246
3833,6521,9819,1228
3910,6456,9812,1209
3937,6425,9819,1192
3867,6494,9808,1171
3833,6617,9819,1155
3908,6655,9815,1137
4144,6521,9819,1118
4255,6391,9786,1095
3937,6617,9757,1082
3606,6840,9712,1073
4040,6425,9695,1063
4590,5910,9660,1043
3937,6521,9632,1027
3032,7346,9585,1017
4040,6425,9570,1008
5465,5034,9542,989
3937,6329,9508,972
1667,8420,9432,961
4144,6425,9384,953
8229,2893,9344,935
4040,6329,9322,917
-6934,15064,9256,904
-9013,15344,9197,898
4207,2380,9129,889
17404,-9110,9073,880
15241,-5621,8973,871
4144,5850,8887,862
-297,10336,8806,843
3419,6809,8762,825
5555,4732,8695,812
3211,6905,8638,807
1762,8121,8567,798
3108,6617,8514,788
3775,5740,8440,777
2590,6713,8390,770
1813,7314,8325,761
2175,6809,8265,752
2273,6491,8181,740
1865,6713,8141,733
1836,6647,8110,725
2175,6329,8079,715
2238,6295,7999,702
2175,6425,7955,697
2395,6225,7941,697
2693,5850,7955,697
2718,5621,7918,687
2590,5562,7892,678
2454,5510,7879,675
2279,5466,7892,678
2028,5474,7860,679
1968,5562,7830,678
2262,5662,7809,677
2693,5850,7830,678
2927,6145,7829,676
3004,6521,7830,678
3119,6867,7818,685
3315,7192,7830,697
3501,7421,7825,706
3729,7480,7830,715
4022,7361,7821,723
4247,7288,7830,733
4252,7353,7823,742
4144,7480,7830,752
4091,7528,7823,760
4144,7576,7830,770
4227,7645,7821,778
4351,7672,7830,788
4487,7592,7826,797
4558,7576,7830,807
4506,7675,7800,815
4454,7768,7768,825
4487,7716,7719,833
4558,7672,7706,843
4564,7722,7698,852
4558,7768,7706,862
4596,7667,7677,870
4662,7576,7644,880
4672,7602,7595,889
4662,7672,7582,898
4661,7624,7572,906
4662,7576,7582,917
4609,7614,7556,927
4558,7672,7520,935
4542,7588,7466,936
4558,7480,7457,935
4550,7477,7456,933
4558,7576,7457,935
4598,7604,7417,934
4662,7576,7395,935
4676,7549,7384,934
4662,7576,7395,935
4645,7578,7366,934
4662,7576,7333,935
4667,7566,7290,934
4662,7576,7271,935
4646,7564,7233,934
4662,7576,7209,935
4671,7582,7189,935
4662,7576,7209,935
4634,7513,7214,933
4662,7480,7209,935
4725,7503,7167,936
4765,7576,7147,935
4716,7570,7135,925
4662,7480,7147,917
4674,7372,7122,913
4765,7384,7085,917
4840,7455,7031,917
4869,7480,7022,917
4829,7381,7021,915
4765,7288,7022,917
4719,7263,6985,916
4765,7288,6960,917
4846,7250,6944,916
4869,7192,6960,917
4798,7163,6958,915
4765,7192,6960,917
4813,7171,6950,917
4869,7097,6960,917
4826,7009,6957,913
4765,7001,6960,917
4781,6985,6950,925
4869,6905,6960,935
4873,6787,6959,935
4765,6809,6960,935
4647,6934,6929,940
4662,7001,6898,953
4743,6896,6840,963
4765,6809,6774,972
4691,6839,6674,979
4662,6905,6587,990
4688,6855,6507,999
4662,6809,6463,1008
4526,6846,6421,1016
4454,6905,6401,1027
4511,6852,6369,1035
4558,6809,6339,1045
4453,6849,6291,1053
4351,6905,6277,1063
4378,6849,6272,1071
4454,6809,6277,1082
4417,6852,6243,1091
4351,6905,6214,1100
4346,6846,6179,1106
4351,6809,6152,1118
4276,6857,6106,1129
4247,6905,6090,1137
4312,6836,6086,1135
4351,6809,6090,1137
4268,6899,6054,1144
4247,7001,6028,1155
4366,6956,6017,1157
4454,6905,6028,1155
4352,6943,6001,1152
4247,7001,5966,1155
4285,6944,5941,1155
4351,6905,5966,1155
4289,6954,5979,1154
4247,7001,5966,1155
4316,6902,5918,1154
4351,6809,5904,1155
4222,6832,5904,1155
4144,6905,5904,1155
4246,6864,5862,1147
4351,6809,5842,1137
4253,6834,5838,1125
4144,6905,5842,1118
4216,6874,5803,1110
4351,6809,5779,1100
4297,6783,5774,1087
4144,6809,5779,1082
4088,6796,5741,1081
4144,6809,5717,1082
4155,6858,5729,1073
4144,6905,5779,1063
4179,6856,5789,1053
4247,6809,5779,1045
4252,6828,5762,1032
4247,6905,5779,1027
4286,6920,5780,1026
4351,6905,5779,1027
4359,6888,5763,1017
4351,6905,5779,1008
4352,6899,5800,1004
4351,6905,5842,1008
4322,6905,5864,1008
4351,6905,5904,1008
4455,6881,5946,1007
4558,6905,6028,1008
4543,6932,6110,1007
4454,6905,6214,1008
4350,6783,6317,1009
4247,6713,6463,1008
4091,6741,6630,1004
3937,6809,6836,1008
3868,6780,7023,1018
3937,6713,7209,1027
4055,6679,7376,1025
4144,6713,7582,1027
4158,6720,7794,1034
4144,6713,8017,1045
4101,6702,8200,1046
4040,6713,8390,1045
3963,6675,8571,1049
3937,6617,8762,1063
3968,6555,8901,1074
3937,6617,9011,1082
3813,6759,9090,1088
3937,6713,9197,1100
4201,6476,9295,1110
4040,6521,9384,1118
3628,6745,9418,1124
3937,6521,9446,1137
4561,6121,9465,1148
4040,6617,9508,1155
3074,7312,9519,1153
3937,6521,9508,1155
5428,5365,9461,1162
4144,6617,9446,1173
1929,8474,9439,1175
4144,6521,9446,1173
8033,3258,9413,1171
4040,6617,9384,1173
-6692,14984,9342,1173
-9013,15344,9322,1173
3817,2801,9281,1172
17404,-9110,9260,1173
16385,-7075,9225,1172
5905,3548,9197,1173
816,8907,9132,1173
3522,6809,9073,1173
5399,5119,9001,1166
3315,6905,8949,1155
1859,8123,8876,1141
3004,7001,8825,1137
3764,6109,8760,1136
2797,6713,8700,1137
1959,7219,8602,1128
2175,6905,8514,1118
2346,6640,8415,1107
1968,6809,8327,1100
1686,6839,8200,1090
1865,6617,8079,1082
2129,6441,7962,1071
2175,6425,7892,1063
2065,6397,7804,1054
2072,6329,7706,1045
2325,6164,7585,1034
2590,5946,7520,1027
2492,5817,7481,1017
2175,5850,7457,1008
1971,5894,7388,997
1968,5850,7333,990
2023,5735,7287,981
2175,5754,7271,972
2502,5968,7230,959
2901,6329,7209,953
3136,6706,7196,953
3211,7097,7209,953
3295,7417,7180,944
3522,7576,7147,935
3841,7531,7117,930
4144,7480,7147,935
4292,7515,7179,937
4247,7576,7209,935
4094,7530,7201,930
4040,7480,7209,935
4158,7502,7206,944
4351,7576,7209,953
4447,7607,7190,953
4454,7672,7209,953
4498,7757,7240,959
4662,7768,7271,972
4801,7641,7241,981
4765,7576,7209,990
4602,7658,7191,997
4558,7768,7209,1008
4673,7731,7188,1017
4765,7672,7147,1027
4705,7698,7091,1034
4662,7768,7085,1045
4725,7730,7084,1054
4765,7672,7085,1063
4651,7661,7048,1069
4558,7672,7022,1082
4603,7606,6988,1098
4662,7576,6960,1118
4590,7620,6912,1135
4558,7672,6898,1155
4667,7615,6896,1173
4765,7576,6898,1192
4698,7616,6858,1206
4662,7672,6836,1228
4777,7619,6828,1255
4869,7576,6836,1283
4758,7610,6801,1301
4662,7672,6774,1320
4749,7629,6761,1343
4869,7576,6774,1375
4816,7569,6748,1403
4765,7576,6712,1430
4866,7508,6667,1454
4972,7480,6650,1485
4879,7527,6616,1513
4765,7576,6587,1540
4825,7519,6547,1558
4972,7480,6525,1577
4995,7493,6489,1597
4972,7480,6463,1632
5018,7355,6425,1668
5076,7288,6401,1705
5018,7337,6362,1731
4972,7384,6339,1760
5056,7282,6303,1786
5180,7192,6277,1815
5130,7222,6235,1838
4972,7288,6214,1870
4923,7208,6184,1905
5076,7097,6152,1943
5219,7096,6102,1970
5180,7192,6090,1998
5017,7163,6091,2024
4972,7001,6090,2053
5052,6858,6049,2077
5076,6905,6028,2108
4947,7032,6024,2142
4869,7097,6028,2182
4958,7038,5989,2209
5076,7001,5966,2237
5014,7006,5960,2266
4869,7001,5966,2310
4786,6922,5929,2349
4765,6905,5904,2383
4700,6964,5897,2406
4662,7001,5904,2438
4678,6898,5869,2472
4662,6809,5842,2512
4532,6829,5832,2539
4454,6905,5842,2567
4507,6900,5810,2590
4558,6905,5779,2622
4458,6959,5764,2647
4351,7001,5779,2677
4343,6935,5759,2701
4351,6905,5717,2732
4271,6961,5666,2756
4247,7001,5655,2787
4327,6897,5653,2813
4351,6809,5655,2842
4213,6837,5625,2858
4144,6905,5593,2878
4254,6858,5551,2898
4351,6809,5531,2933
4243,6842,5499,2962
4144,6905,5469,2988
4229,6858,5423,3001
4351,6809,5407,3025
4275,6838,5399,3050
4144,6905,5407,3080
4154,6869,5398,3095
4247,6809,5407,3117
4218,6792,5408,3140
4144,6809,5407,3172
4191,6756,5370,3188
4351,6713,5344,3208
4416,6734,5331,3229
4351,6809,5344,3263
4259,6822,5341,3289
4247,6809,5344,3318
4256,6797,5340,3341
4247,6809,5344,3373
4245,6829,5335,3398
4247,6809,5344,3428
4216,6729,5348,3450
4247,6809,5344,3483
4278,6922,5305,3514
4144,6713,5282,3556
3998,6424,5275,3591
4247,6809,5282,3630
4531,7317,5251,3656
4144,6713,5220,3685
3610,5849,5200,3706
4144,6809,5220,3740
4937,8204,5224,3772
4144,6809,5220,3813
2905,4585,5202,3839
4247,6809,5220,3868
6575,10737,5245,3895
4351,6809,5282,3941
-2306,-4589,5300,3986
-5180,-9110,5344,4033
331,862,5397,4064
7666,13426,5469,4106
8566,14408,5519,4148
4558,7192,5593,4198
2581,4016,5692,4233
4144,6809,5842,4271
5296,8357,5973,4303
4454,6521,6090,4345
3769,5500,6188,4377
4351,6713,6339,4418
4838,7340,6518,4452
4454,6521,6712,4491
3986,6094,6865,4520
4040,6617,7022,4565
4217,6846,7172,4610
4144,6521,7333,4656
3954,6367,7472,4670
3937,6521,7644,4675
4068,6525,7829,4668
4144,6425,8017,4675
4038,6451,8146,4672
3937,6521,8265,4675
4019,6475,8383,4669
4144,6425,8514,4675
4065,6452,8591,4671
3937,6521,8638,4675
3983,6474,8658,4670
4144,6329,8700,4675
4157,6211,8730,4670
3937,6329,8762,4675
3749,6542,8765,4670
4040,6425,8762,4675
4443,6101,8728,4670
4144,6329,8700,4675
3528,6840,8660,4670
3937,6521,8638,4675
4794,5801,8602,4670
4144,6425,8576,4675
2880,7499,8517,4670
3937,6425,8452,4675
5827,4654,8368,4670
4144,6329,8327,4675
1138,9175,8296,4670
3937,6425,8265,4675
9865,466,8176,4670
6941,2493,8079,4675
-5026,12652,7973,4670
-9013,15344,7892,4675
3605,3104,7793,4670
17404,-9110,7706,4675
15450,-5815,7606,4670
3833,6329,7520,4675
-885,11079,7413,4670
3108,7001,7333,4675
5438,4465,7259,4670
2901,6809,7209,4675
1237,8364,7138,4670
2590,6905,7085,4675
3305,5920,7019,4670
2072,6905,6960,4675
1275,7575,6880,4670
1761,7001,6836,4675
2027,6536,6801,4670
1657,6809,6774,4675
1522,7029,6704,4670
1761,6905,6650,4675
1794,6758,6606,4670
1657,6713,6587,4675
1723,6591,6545,4670
1968,6425,6525,4675
2112,6256,6517,4670
2072,6138,6525,4675
1891,6084,6492,4670
1761,6042,6463,4675
1784,5919,6444,4670
1968,5850,6463,4675
2221,5946,6463,4670
2486,6233,6463,4675
2712,6567,6451,4670
2901,6905,6463,4675
3045,7211,6462,4670
3211,7480,6463,4675
3470,7600,6448,4670
3833,7576,6463,4675
4113,7486,6486,4670
4144,7480,6525,4675
3988,7505,6532,4670
3937,7480,6525,4675
4079,7408,6488,4670
4247,7480,6463,4675
4292,7666,6444,4670
4351,7768,6463,4675
4516,7661,6471,4670
4662,7576,6463,4675
4632,7650,6417,4670
4558,7768,6401,4675
4587,7734,6399,4670
4662,7672,6401,4675
4628,7701,6361,4670
4558,7768,6339,4675
4576,7720,6333,4670
4662,7672,6339,4675
4652,7710,6302,4670
4558,7768,6277,4675
4498,7684,6268,4670
4558,7576,6277,4675
4637,7575,6243,4670
4662,7672,6214,4675
4638,7670,6200,4670
4662,7576,6214,4675
4691,7506,6208,4670
4662,7576,6214,4675
4598,7662,6216,4670
4662,7672,6214,4675
4815,7593,6173,4670
4869,7576,6152,4675
4740,7623,6149,4670
4662,7672,6152,4675
4753,7625,6113,4670
4869,7576,6090,4675
4824,7563,6085,4670
4765,7576,6090,4675
4841,7524,6053,4670
4972,7480,6028,4675
4954,7497,6021,4670
4869,7576,6028,4675
4902,7572,5993,4670
5076,7480,5966,4675
5163,7372,5956,4670
5076,7384,5966,4675
4947,7450,5935,4670
4972,7480,5904,4675
5072,7418,5888,4670
5076,7384,5904,4675
4969,7388,5883,4670
4972,7384,5842,4675
5111,7313,5789,4670
5180,7288,5779,4675
5055,7307,5778,4670
4972,7288,5779,4675
5070,7161,5747,4670
5180,7097,5717,4675
5092,7145,5679,4670
4972,7192,5655,4675
4998,7093,5618,4670
5076,7001,5593,4675
4998,7022,5558,4670
4869,7097,5531,4675
4838,7059,5489,4670
4869,7001,5469,4675
4819,6991,5457,4670
4765,7001,5469,4675
4773,6931,5466,4670
4765,6905,5469,4675
4644,6957,5461,4670
4558,7001,5469,4675
4600,6930,5465,4670
4662,6905,5469,4675
4577,6995,5461,4670
4454,7097,5469,4675
4423,7053,5465,4670
4454,7001,5469,4675
4413,7035,5460,4670
4351,7097,5469,4675
4333,7046,5470,4670
4351,7001,5469,4675
4336,7036,5435,4670
4351,7097,5407,4675
4383,7048,5389,4670
4351,7001,5407,4675
4212,7031,5413,4670
4144,7097,5407,4675
4228,7057,5368,4670
4351,7001,5344,4675
4332,7017,5332,4670
4247,7097,5344,4675
4247,7084,5343,4670
4351,7001,5344,4675
4370,6941,5335,4670
4247,7001,5344,4675
4109,7076,5344,4670
4144,7097,5344,4675
4284,7035,5315,4670
4351,7001,5282,4675
4280,6994,5238,4670
4247,7001,5220,4675
4310,6976,5210,4670
4351,7001,5220,4675
4277,7058,5217,4670
4247,7097,5220,4675
4319,7045,5212,4671
4351,7001,5220,4675
4243,7024,5218,4669
4144,7001,5220,4675
4185,6856,5210,4672
4351,6905,5220,4675
4404,7103,5221,4667
4247,7001,5220,4675
4128,6676,5203,4677
4351,6905,5220,4675
4526,7357,5250,4640
4144,6905,5282,4601
3766,6144,5275,4558
4351,6905,5282,4528
5041,8086,5305,4488
4247,6905,5344,4455
3060,5018,5344,4414
4144,7001,5344,4381
6123,10428,5356,4340
4247,6905,5407,4308
-1402,-3231,5439,4270
-3833,-7288,5469,4235
867,1576,5483,4184
7148,12946,5531,4143
8022,14121,5598,4101
4765,7768,5717,4070
3148,4671,5840,4023
4351,6905,5966,3978
5120,8319,6069,3927
4351,6809,6214,3886
3921,5839,6387,3838
4558,6809,6587,3795
4949,7426,6762,3744
4558,6809,6960,3703
4183,6373,7169,3655
4247,6713,7395,3611
4304,6920,7581,3561
4144,6713,7768,3520
3970,6587,7948,3472
3937,6713,8141,3428
4000,6743,8298,3375
4144,6617,8452,3336
4238,6503,8581,3298
4144,6521,8700,3263
3955,6602,8766,3214
3937,6617,8825,3172
4074,6488,8876,3130
4144,6425,8949,3098
4028,6510,8988,3052
3937,6617,9011,3007
4012,6558,9002,2956
4040,6521,9011,2915
3873,6631,9009,2866
3937,6617,9011,2823
4243,6405,8977,2780
4144,6521,8949,2750
3696,6857,8923,2714
3937,6617,8949,2677
4560,6061,8979,2628
4040,6521,9011,2585
3040,7367,8989,2543
3937,6617,8949,2512
5506,5299,8879,2475
4144,6521,8825,2438
1755,8562,8755,2391
4040,6617,8700,2347
8211,3133,8629,2298
4247,6521,8576,2255
-6727,15147,8506,2207
-9013,15344,8452,2163
4108,2360,8380,2115
17404,-9110,8327,2072
15353,-5583,8258,2025
4247,5946,8203,1980
-287,10496,8131,1926
3315,7001,8079,1870
5365,4916,8013,1810
3004,7097,7955,1760
1578,8364,7859,1712
2901,6905,7768,1668
3490,6032,7678,1619
2279,7001,7644,1577
1594,7586,7613,1538
2072,7001,7582,1503
2170,6575,7508,1458
1657,6809,7457,1412
1567,6877,7415,1363
1968,6617,7395,1320
2099,6477,7350,1273
1968,6521,7333,1228
2089,6400,7325,1181
2486,6138,7333,1137
2754,5915,7299,1089
2693,5850,7271,1045
2369,5871,7251,999
2072,5850,7271,953
1967,5744,7270,905
2072,5754,7271,862
2296,5945,7258,822
2590,6233,7271,788
2853,6489,7269,752
3004,6809,7271,715
3032,7188,7257,677
3108,7480,7271,642
3354,7524,7274,605
3729,7480,7271,568
4057,7499,7229,530
4247,7576,7209,495
4264,7576,7199,459
4144,7576,7209,422
4005,7620,7180,381
4040,7672,7147,348
4221,7647,7102,321
4351,7672,7085,293
4332,7777,7068,257
4351,7864,7085,220
4478,7812,7090,190
4558,7768,7085,165
4483,7809,7040,138
4454,7864,7022,110
4575,7807,7019,88
4662,7768,7022,73
4551,7813,6982,58
4454,7864,6960,37
4540,7773,6953,14
4662,7672,6960,0
4616,7676,6924,-3
4558,7768,6898,0
4648,7786,6887,1
4765,7768,6898,0
4694,7757,6869,-1
4558,7768,6836,0
4553,7714,6795,0
4662,7672,6774,0
4691,7691,6732,0
4662,7768,6712,0
4683,7758,6702,0
4765,7672,6712,0
4759,7600,6682,0
4662,7672,6650,0
4591,7772,6625,0
4662,7768,6650,0
4761,7634,6661,0
4765,7576,6650,0
4675,7626,6601,0
4662,7672,6587,0
4734,7603,6587,0
4765,7576,6587,0
4682,7637,6546,0
4662,7672,6525,0
4770,7558,6519,0
4869,7480,6525,0
4816,7526,6488,0
4765,7576,6463,0
4817,7471,6453,0
4869,7384,6463,0
4796,7424,6431,0
4765,7480,6401,0
4870,7380,6385,0
4972,7288,6401,0
4917,7322,6380,0
4869,7384,6339,0
4934,7295,6285,0
4972,7192,6277,0
4846,7183,6275,0
4765,7192,6277,0
4864,7080,6242,0
4972,7001,6214,0
4882,7041,6196,0
4765,7097,6214,0
4794,7000,6220,0
4869,6905,6214,0
4814,6927,6175,0
4765,7001,6152,0
4826,6957,6138,0
4869,6905,6152,0
4751,6934,6151,0
4662,7001,6152,0
4720,6959,6141,0
4765,6905,6152,0
4614,6926,6151,0
4454,7001,6152,0
4468,6974,6137,0
4558,6905,6152,0
4520,6898,6178,0
4454,7001,6214,0
4491,7053,6216,0
4558,7001,6214,0
4479,6899,6204,0
4351,6905,6214,0
4343,6973,6210,0
4454,7001,6214,0
4472,6929,6207,0
4351,6905,6214,0
4224,6956,6209,0
4247,7001,6214,0
4335,6940,6209,0
4351,6905,6214,0
4270,6949,6207,0
4247,7001,6214,0
4310,6944,6211,0
4351,6905,6214,0
4285,6946,6204,0
4247,7001,6214,0
4300,6945,6217,0
4351,6905,6214,0
4291,6946,6176,0
4247,7001,6152,0
4298,6946,6138,0
4351,6905,6152,0
4290,6946,6148,0
4247,7001,6152,0
4301,6946,6146,0
4351,6905,6152,0
4283,6944,6142,0
4247,7001,6152,0
4336,6978,6151,0
4351,6905,6152,0
4177,6857,6133,0
4144,7001,6152,0
4305,7123,6183,0
4247,6905,6214,0
3973,6632,6200,0
4144,7001,6214,0
4588,7464,6259,0
4351,6905,6339,0
3725,6124,6389,0
4144,7001,6463,0
5038,8232,6565,0
4351,6905,6712,0
2971,4869,6832,0
4144,7001,6960,0
6620,10855,7094,0
4765,7672,7271,0
-1659,-2474,7445,0
-4558,-6809,7644,0
753,1694,7830,1
7769,12659,8017,0
8371,13457,8165,-1
4351,7001,8327,0
2665,4184,8481,2
4454,6809,8638,0
5541,8382,8755,-4
4558,6809,8887,0
3847,5794,9010,11
4351,6809,9135,18
4615,7428,9220,17
4144,6713,9322,18
3858,6182,9419,28
4040,6521,9508,37
4083,6786,9535,37
3937,6617,9570,37
3969,6490,9621,45
4144,6617,9695,55
4143,6685,9707,56
4040,6617,9695,55
4020,6527,9672,62
4040,6521,9695,73
3987,6576,9701,76
3937,6617,9695,73
3960,6558,9651,77
4040,6521,9632,92
4090,6540,9603,106
4040,6617,9570,110
3931,6628,9496,108
4040,6425,9446,110
4201,6223,9405,118
3937,6521,9384,128
3536,6910,9320,137
3937,6521,9260,147
4631,5923,9187,158
4144,6617,9135,165
3233,7590,9061,165
4144,6521,9011,165
5555,4939,8949,172
4040,6617,8887,183
1648,9224,8781,193
3937,6521,8700,202
8016,1026,8629,212
4040,3261,8576,220
-6793,13026,8477,221
-9013,15344,8390,220
4026,3178,8312,225
17404,-9110,8265,238
15723,-6521,8175,252
4869,4987,8079,257
145,10054,7985,255
3419,6905,7955,257
5423,4866,7925,265
3211,7001,7892,275
1825,8254,7818,277
3108,6809,7768,275
3748,5921,7726,273
2590,6809,7706,275
1807,7329,7644,276
2175,6809,7582,275
2342,6529,7522,274
1968,6809,7520,275
1876,6805,7519,276
2175,6521,7520,275
2276,6456,7480,273
2175,6521,7457,275
2237,6323,7440,278
2486,6042,7457,275
2680,5905,7456,265
2693,5850,7457,257
2473,5738,7443,255
2175,5658,7457,257
1994,5677,7460,251
2072,5754,7457,238
2324,5794,7417,226
2590,5946,7395,220
2758,6286,7381,220
2901,6713,7395,220
3086,7002,7391,214
3315,7192,7395,202
3495,7377,7386,188
3626,7576,7395,183
3789,7637,7388,185
4040,7576,7395,183
4212,7508,7391,173
4144,7576,7395,165
3940,7695,7365,164
3937,7768,7333,165
4170,7750,7288,163
4351,7768,7271,165
4325,7825,7240,175
4351,7864,7209,183
4547,7808,7158,183
4662,7768,7147,183
4502,7797,7144,192
4351,7864,7147,202
4435,7838,7108,203
4558,7768,7085,202
4462,7730,7073,208
4351,7768,7085,220
4468,7753,7055,230
4662,7672,7022,238
4620,7599,6998,247
4454,7672,7022,257
4460,7777,7032,263
4662,7768,7022,275
4762,7622,6976,293
4662,7576,6960,312
4528,7676,6955,322
4558,7768,6960,330
4656,7679,6926,344
4662,7576,6898,367
4564,7591,6879,387
4558,7672,6898,403
4674,7641,6899,419
4765,7576,6898,440
4711,7559,6883,460
4662,7576,6898,477
4710,7516,6902,486
4765,7480,6898,495
4705,7518,6858,509
4662,7576,6836,532
4716,7530,6823,553
4765,7480,6836,568
4693,7477,6814,575
4662,7480,6774,587
4765,7406,6719,604
4869,7384,6712,623
4816,7442,6714,634
4765,7480,6712,642
4821,7379,6669,649
4869,7288,6650,660
4788,7282,6644,669
4765,7288,6650,678
4888,7182,6613,687
4972,7097,6587,697
4857,7094,6577,705
4765,7097,6587,715
4855,6983,6557,724
4972,6905,6525,733
4919,6942,6504,741
4869,7001,6525,752
4969,6916,6531,763
5076,6809,6525,770
4986,6783,6487,769
4869,6809,6463,770
4928,6754,6444,777
5076,6713,6463,788
5045,6746,6471,792
4869,6809,6463,788
4748,6768,6417,784
4765,6713,6401,788
4756,6729,6399,798
4662,6809,6401,807
4585,6796,6361,808
4662,6713,6339,807
4777,6653,6333,805
4765,6713,6339,807
4619,6788,6302,806
4558,6809,6277,807
4627,6774,6267,805
4662,6809,6277,807
4542,6880,6245,806
4454,6905,6214,807
4505,6831,6196,805
4558,6809,6214,807
4452,6862,6215,807
4351,6905,6214,807
4390,6840,6204,805
4454,6809,6214,807
4362,6859,6211,808
4247,6905,6214,807
4263,6836,6206,797
4351,6809,6214,788
4355,6897,6209,784
4351,7001,6214,788
4382,6960,6208,791
4351,6905,6214,788
4199,6936,6208,777
4144,7001,6214,770
4262,6955,6208,768
4351,6905,6214,770
4239,6931,6208,770
4144,7001,6214,770
4230,6993,6208,769
4351,7001,6214,770
4307,7058,6207,768
4247,7097,6214,770
4304,7001,6208,771
4351,6905,6214,770
4234,6912,6206,760
4144,7001,6214,752
4252,7047,6209,748
4351,7001,6214,752
4222,6912,6202,753
4144,7001,6214,752
4258,7106,6231,749
4247,6905,6277,752
4038,6639,6304,752
4144,7001,6339,752
4429,7494,6356,748
4144,7001,6401,752
3636,6195,6447,760
4144,6905,6525,770
4979,8072,6602,772
4247,7001,6712,770
2978,5200,6821,766
4247,7001,6960,770
6561,10184,7098,778
4351,6905,7271,788
-2315,-2544,7445,791
