II,aVR,ABP,RESP
273,7005,2523,2063
300,6931,2513,2073
364,6866,2523,2089
465,6789,2551,2090
545,6727,2602,2089
569,6651,2650,2085
591,6589,2720,2089
665,6515,2805,2088
773,6450,2917,2089
871,6347,3028,2086
954,6242,3154,2089
1008,6158,3273,2087
1000,6172,3390,2089
952,6221,3484,2087
954,6242,3587,2089
1018,6189,3698,2087
1045,6172,3824,2089
991,6221,3936,2087
954,6311,4060,2089
991,6349,4191,2086
1000,6381,4336,2089
894,6415,4459,2088
773,6450,4573,2089
772,6416,4680,2086
864,6381,4809,2089
906,6385,4933,2089
864,6450,5046,2089
802,6493,5125,2075
773,6519,5203,2063
764,6519,5279,2055
773,6519,5361,2063
794,6485,5423,2067
818,6450,5479,2063
833,6405,5519,2046
864,6381,5558,2037
912,6360,5577,2035
954,6381,5598,2037
961,6393,5601,2026
954,6381,5598,2012
967,6324,5572,1995
1000,6311,5558,1986
1012,6342,5541,1972
1000,6381,5519,1960
1011,6329,5460,1944
1091,6242,5401,1934
1180,6189,5349,1921
1182,6242,5322,1908
1097,6303,5272,1893
1045,6311,5203,1883
1072,6252,5114,1870
1091,6242,5046,1857
1040,6278,4984,1832
1000,6311,4927,1805
1027,6271,4846,1776
1045,6242,4770,1754
983,6239,4697,1728
909,6242,4652,1702
887,6209,4606,1672
864,6242,4573,1651
794,6329,4530,1628
773,6381,4494,1599
863,6304,4448,1557
954,6242,4415,1522
910,6277,4375,1494
773,6381,4336,1470
658,6441,4275,1434
591,6519,4218,1393
511,6638,4155,1351
455,6727,4100,1315
470,6679,4023,1276
545,6589,3942,1238
562,6600,3854,1200
500,6727,3784,1161
427,6791,3718,1111
455,6727,3666,1057
563,6601,3604,1004
636,6589,3548,954
612,6660,3493,902
545,6727,3469,851
477,6708,3451,799
364,6727,3430,748
240,6816,3384,695
273,6866,3351,645
548,6628,3327,593
1045,6034,3311,542
1869,5100,3273,487
3136,3953,3232,438
4499,2728,3189,397
5363,1664,3154,361
5755,892,3107,323
6272,624,3075,284
6838,1210,3051,243
6363,2982,3035,206
4242,5536,2998,169
1454,7906,2956,129
-554,9366,2912,88
-1454,10056,2878,52
-1834,10304,2834,15
-2000,10126,2799,-26
-1807,9429,2771,-69
-1318,8600,2759,-103
-883,8062,2739,-128
-636,7837,2720,-155
-423,7604,2696,-192
-182,7351,2681,-232
-53,7251,2659,-262
-91,7351,2641,-284
-141,7397,2617,-308
-45,7282,2602,-335
111,7129,2580,-361
136,7143,2562,-387
-8,7279,2538,-413
-91,7351,2523,-438
31,7238,2503,-462
227,7074,2483,-490
248,7022,2456,-519
91,7143,2444,-542
-59,7280,2441,-554
-91,7351,2444,-567
-36,7304,2427,-590
45,7213,2405,-619
121,7102,2378,-645
136,7074,2365,-671
62,7139,2357,-697
-45,7282,2365,-722
-102,7363,2370,-737
-91,7351,2365,-748
-59,7281,2341,-760
-45,7282,2326,-774
-60,7327,2322,-784
-91,7351,2326,-799
-111,7299,2307,-823
-91,7282,2286,-851
-54,7319,2274,-869
-45,7351,2286,-877
-64,7264,2292,-884
-45,7143,2286,-903
38,7071,2262,-929
136,7074,2247,-954
191,7032,2239,-969
227,6935,2247,-980
299,6810,2247,-990
409,6727,2247,-1006
511,6633,2239,-1019
591,6519,2247,-1032
673,6384,2261,-1042
773,6311,2286,-1057
861,6272,2303,-1071
909,6242,2326,-1083
928,6181,2352,-1093
954,6172,2405,-1109
990,6205,2472,-1125
1000,6242,2562,-1135
964,6223,2644,-1133
909,6242,2720,-1135
875,6308,2785,-1144
864,6381,2878,-1161
848,6376,2990,-1173
818,6381,3114,-1186
788,6417,3213,-1199
773,6450,3311,-1212
769,6402,3417,-1214
773,6381,3548,-1212
775,6432,3670,-1209
773,6519,3784,-1212
754,6529,3879,-1212
727,6519,3981,-1212
711,6518,4079,-1210
727,6519,4179,-1212
758,6467,4260,-1211
773,6450,4336,-1212
753,6483,4396,-1211
727,6519,4454,-1212
718,6477,4494,-1211
727,6450,4533,-1212
730,6478,4566,-1211
727,6519,4612,-1212
735,6462,4653,-1211
773,6381,4691,-1212
822,6347,4709,-1211
864,6381,4730,-1212
900,6367,4747,-1211
954,6311,4770,-1212
1014,6248,4773,-1211
1045,6242,4770,-1212
1042,6241,4748,-1211
1045,6242,4730,-1212
1072,6227,4705,-1212
1091,6242,4691,-1212
1072,6248,4670,-1210
1045,6242,4652,-1212
1041,6194,4613,-1213
1045,6172,4573,-1212
1014,6186,4525,-1201
954,6242,4494,-1186
912,6257,4456,-1171
909,6242,4415,-1161
905,6212,4351,-1149
864,6242,4297,-1135
802,6285,4249,-1112
773,6311,4218,-1083
778,6272,4166,-1052
773,6242,4100,-1032
728,6248,4013,-1018
682,6311,3942,-1006
671,6354,3877,-983
682,6381,3824,-954
671,6393,3760,-926
636,6450,3705,-903
590,6520,3645,-879
545,6589,3587,-851
490,6624,3519,-815
455,6658,3469,-774
443,6691,3426,-732
455,6727,3390,-696
452,6733,3341,-662
455,6727,3311,-619
463,6704,3290,-566
455,6727,3272,-516
436,6743,3228,-476
455,6727,3193,-438
494,6677,3169,-391
455,6727,3154,-335
339,6810,3114,-282
273,6797,3075,-232
309,6661,3045,-181
455,6519,3035,-129
942,6081,3015,-78
2045,4993,2996,-26
3488,3531,2973,33
4591,2497,2956,103
5200,1872,2930,179
5818,971,2917,258
6454,39,2913,335
6181,694,2917,413
4422,3558,2900,488
2000,7005,2878,567
197,9000,2852,653
-682,9501,2838,748
-1158,9613,2817,842
-1500,9709,2799,928
-1551,9354,2776,1004
-1318,8669,2759,1083
-1047,8179,2736,1171
-818,7976,2720,1264
-536,7675,2699,1346
-227,7282,2681,1418
-41,7059,2654,1482
0,7074,2641,1547
5,7093,2636,1610
45,7074,2641,1676
96,7065,2627,1740
136,7074,2602,1805
145,7032,2571,1867
136,7005,2562,1934
120,7032,2561,2000
136,7074,2562,2063
167,7045,2543,2114
182,7005,2523,2166
163,6984,2510,2217
136,7005,2523,2269
130,6995,2531,2310
136,7005,2523,2347
139,7028,2495,2381
136,7074,2483,2424
137,7075,2483,2464
136,7074,2483,2502
132,7067,2461,2528
136,7074,2444,2553
144,7058,2439,2568
136,7074,2444,2579
107,7108,2426,2584
91,7143,2405,2605
107,7114,2392,2632
136,7074,2405,2656
143,7050,2410,2658
136,7074,2405,2656
146,7081,2381,2653
182,7074,2365,2656
214,7036,2356,2653
227,7005,2365,2656
238,6942,2367,2658
273,6866,2365,2656
323,6774,2353,2639
364,6727,2365,2631
394,6694,2395,2629
455,6658,2444,2631
562,6561,2480,2615
682,6450,2523,2605
767,6330,2580,2602
818,6242,2681,2605
861,6172,2795,2590
909,6172,2917,2579
943,6206,3027,2574
954,6242,3154,2579
953,6209,3287,2567
954,6172,3430,2553
944,6170,3560,2544
909,6242,3705,2553
868,6317,3859,2557
864,6381,4021,2553
880,6389,4160,2536
864,6381,4297,2527
805,6358,4430,2523
773,6381,4573,2527
781,6415,4695,2525
773,6450,4809,2527
729,6441,4907,2524
727,6450,5006,2527
774,6476,5086,2524
773,6519,5164,2527
695,6504,5225,2526
682,6450,5282,2527
810,6366,5320,2522
954,6311,5361,2527
979,6263,5396,2537
954,6242,5440,2553
1003,6226,5464,2555
1091,6242,5479,2553
1099,6246,5475,2546
1045,6242,5479,2553
1035,6200,5476,2564
1091,6172,5479,2579
1126,6154,5472,2580
1091,6172,5479,2579
1015,6194,5479,2572
954,6242,5479,2579
935,6278,5457,2589
954,6311,5440,2605
974,6307,5418,2607
954,6311,5401,2605
900,6308,5360,2597
864,6311,5322,2605
863,6274,5276,2616
864,6242,5243,2631
826,6238,5199,2630
773,6311,5164,2631
739,6394,5122,2627
727,6450,5085,2631
709,6443,5027,2628
682,6450,4967,2631
655,6475,4899,2629
636,6519,4849,2631
599,6544,4790,2625
545,6589,4730,2631
484,6656,4649,2640
455,6727,4573,2656
443,6743,4489,2658
455,6727,4415,2656
472,6704,4332,2651
500,6727,4257,2656
531,6734,4175,2656
545,6727,4100,2656
518,6701,4014,2651
455,6727,3942,2656
399,6762,3874,2657
364,6797,3824,2656
302,6802,3764,2640
227,6797,3705,2631
340,6602,3637,2624
909,6034,3587,2631
1968,5039,3542,2630
3227,3884,3508,2631
4334,2781,3464,2626
5181,1803,3430,2631
5824,969,3389,2629
6136,694,3351,2631
5707,1551,3302,2627
4272,3745,3272,2631
2187,6544,3250,2629
273,8808,3232,2631
-891,9822,3191,2626
-1364,9848,3154,2631
-1520,9519,3124,2631
-1545,9224,3114,2631
-1422,8888,3094,2615
-1182,8461,3075,2605
-928,8013,3050,2599
-682,7698,3035,2605
-415,7490,3013,2603
-182,7351,2996,2605
-67,7223,2974,2602
-45,7143,2956,2605
-21,7091,2931,2601
45,7074,2917,2605
104,7062,2898,2606
136,7074,2878,2605
139,7082,2847,2588
136,7074,2838,2579
126,7030,2839,2574
136,7005,2838,2579
162,6994,2813,2575
182,7005,2799,2579
184,6986,2797,2580
182,7005,2799,2579
188,7039,2775,2562
182,7074,2759,2553
158,7038,2757,2551
136,7005,2759,2553
135,7009,2737,2539
136,7074,2720,2527
130,7099,2716,2522
136,7074,2720,2527
163,7013,2700,2516
182,7005,2681,2502
165,7030,2674,2491
136,7074,2681,2502
127,7078,2664,2507
136,7074,2641,2502
150,7044,2627,2482
182,7005,2641,2476
232,6926,2648,2476
273,6866,2641,2476
290,6820,2615,2459
318,6797,2602,2450
381,6732,2596,2448
455,6658,2602,2450
504,6574,2597,2435
545,6519,2602,2424
606,6448,2611,2420
682,6381,2641,2424
750,6298,2672,2412
818,6242,2720,2398
893,6190,2771,2389
954,6172,2838,2398
973,6158,2906,2401
954,6172,2996,2398
928,6191,3091,2382
909,6242,3193,2373
890,6279,3283,2366
864,6311,3390,2373
824,6323,3504,2375
773,6381,3627,2373
717,6454,3726,2357
682,6519,3824,2347
674,6521,3916,2341
682,6519,4021,2347
686,6515,4115,2346
682,6519,4218,2347
665,6499,4315,2343
636,6519,4415,2347
602,6560,4494,2345
591,6589,4573,2347
608,6546,4647,2344
636,6519,4730,2347
645,6537,4794,2345
636,6589,4849,2347
629,6592,4884,2343
636,6589,4927,2347
641,6586,4965,2346
636,6589,5006,2347
639,6546,5027,2341
682,6519,5046,2347
752,6515,5057,2358
818,6519,5085,2373
862,6456,5107,2373
909,6381,5125,2373
951,6342,5121,2369
954,6381,5125,2373
904,6425,5123,2369
864,6450,5125,2373
874,6422,5104,2381
909,6381,5085,2398
894,6345,5061,2403
818,6381,5046,2398
730,6453,5009,2389
682,6519,4967,2398
677,6500,4917,2413
682,6450,4888,2424
685,6412,4852,2419
682,6450,4809,2424
677,6500,4744,2436
682,6519,4691,2450
762,6422,4634,2447
954,6242,4573,2450
1190,6014,4486,2459
1364,5826,4415,2476
1528,5623,4353,2475
1863,5340,4297,2476
2389,4898,4214,2482
2818,4439,4139,2502
2827,4169,4074,2506
2363,4300,4021,2502
1604,4746,3941,2493
682,5340,3863,2502
-384,5941,3794,2513
-1500,6589,3745,2527
-2419,7200,3682,2528
-2909,7629,3627,2527
-2990,7779,3577,2523
-2909,7837,3548,2527
-2892,7920,3508,2527
-2909,7976,3469,2527
-2741,7828,3423,2521
-2227,7560,3390,2527
-1471,7347,3348,2538
-773,7351,3311,2553
-429,7557,3266,2554
-545,7976,3232,2553
-1011,8530,3203,2549
-1545,9085,3193,2553
-1849,9400,3178,2552
-1727,9363,3154,2553
-1222,8954,3108,2549
-545,8322,3075,2553
52,7662,3050,2552
455,7213,3035,2553
672,7021,3009,2549
773,7005,2996,2553
821,6984,2991,2553
864,6935,2996,2553
915,6874,2979,2547
954,6866,2956,2553
963,6865,2930,2564
954,6866,2917,2579
951,6849,2897,2579
954,6866,2878,2579
953,6874,2853,2575
954,6866,2838,2579
967,6837,2818,2576
1000,6866,2799,2579
1042,6896,2773,2577
1091,6866,2759,2579
1150,6754,2741,2573
1227,6727,2720,2579
1315,6803,2690,2589
1409,6866,2681,2605
1511,6762,2681,2606
1636,6589,2681,2605
1773,6455,2657,2600
1909,6381,2641,2605
2049,6251,2636,2603
2227,6103,2641,2605
2438,5978,2622,2602
2636,5895,2602,2605
2785,5766,2590,2602
2909,5618,2602,2605
3031,5479,2604,2602
3136,5410,2602,2605
3184,5380,2591,2602
3182,5410,2602,2605
3149,5430,2617,2603
3091,5410,2641,2605
2993,5319,2665,2600
2863,5271,2720,2605
2714,5303,2792,2605
2545,5410,2878,2605
2347,5506,2950,2589
2136,5618,3035,2579
1926,5724,3126,2573
1727,5826,3232,2579
1534,5883,3337,2578
1364,5964,3469,2579
1217,6067,3610,2575
1091,6172,3745,2579
970,6230,3842,2577
864,6311,3942,2579
767,6419,4055,2576
682,6519,4179,2579
601,6530,4266,2577
545,6519,4336,2579
514,6534,4403,2576
500,6589,4494,2579
476,6600,4576,2576
455,6589,4652,2579
444,6572,4708,2576
455,6589,4770,2579
460,6591,4825,2576
455,6589,4888,2579
444,6576,4933,2577
455,6589,4967,2579
463,6591,4980,2576
455,6589,5006,2579
434,6573,5030,2577
455,6589,5046,2579
508,6600,5037,2575
545,6589,5046,2579
525,6536,5065,2578
500,6519,5085,2579
509,6547,5068,2573
545,6589,5046,2579
563,6571,5023,2589
591,6519,5006,2605
659,6453,4964,2605
773,6381,4927,2605
894,6259,4900,2601
1045,6103,4888,2605
1249,5906,4852,2603
1500,5687,4809,2605
1767,5417,4762,2602
2045,5132,4730,2605
2343,4821,4679,2601
2636,4508,4612,2605
2908,4153,4526,2604
3136,3814,4454,2605
3266,3547,4378,2591
3272,3398,4297,2579
3314,3203,4193,2571
3591,2843,4100,2579
4017,2380,4004,2582
4272,2081,3903,2579
4288,1917,3775,2562
4363,1664,3666,2553
4610,1241,3579,2549
4636,1040,3508,2553
4023,1362,3410,2550
2818,2150,3311,2553
1300,3118,3231,2553
-364,4231,3193,2553
-1924,5410,3156,2539
-2909,6381,3114,2527
-3106,6788,3062,2520
-2909,6727,3035,2527
-2837,6540,3014,2528
-2909,6519,2996,2527
-2814,6657,2964,2522
-2454,6935,2956,2527
-2019,7330,2969,2529
-1636,7837,2996,2527
-1307,8314,2997,2512
-1045,8669,2996,2502
-908,8850,3002,2495
-864,8947,3035,2502
-842,9010,3060,2502
-818,9085,3075,2502
-828,9126,3071,2496
-864,9155,3075,2502
-897,9175,3073,2504
-909,9224,3075,2502
-921,9259,3069,2485
-954,9293,3075,2476
-1000,9309,3077,2471
-1045,9363,3075,2476
-1083,9421,3052,2473
-1136,9501,3035,2476
-1193,9562,3029,2476
-1227,9640,3035,2476
-1226,9705,3022,2461
-1227,9779,2996,2450
-1251,9833,2964,2444
-1273,9918,2956,2450
-1261,9993,2956,2448
-1227,10056,2956,2450
-1203,10056,2948,2449
-1182,10056,2956,2450
-1133,10050,2976,2437
-1045,10056,2996,2424
-938,10020,2985,2415
-818,9987,2956,2424
-674,9928,2906,2429
-500,9848,2838,2424
-314,9705,2740,2405
-136,9571,2641,2398
36,9435,2552,2398
227,9293,2483,2398
449,9086,2416,2383
682,8877,2365,2373
898,8666,2320,2369
1091,8461,2286,2373
1262,8209,2252,2360
1409,7976,2247,2347
1531,7756,2261,2338
1636,7560,2286,2347
1724,7332,2297,2350
1773,7143,2326,2347
1769,6989,2376,2331
1727,6866,2444,2321
1668,6708,2498,2314
1591,6589,2562,2321
1485,6524,2637,2323
1364,6519,2720,2321
1257,6466,2779,2305
1182,6381,2838,2295
1120,6280,2907,2290
1045,6242,2996,2295
952,6228,3074,2294
864,6242,3154,2295
803,6236,3228,2292
773,6242,3311,2295
752,6233,3386,2293
727,6242,3469,2295
698,6235,3547,2293
682,6242,3627,2295
677,6234,3696,2292
682,6242,3784,2295
682,6235,3881,2294
682,6242,3981,2295
679,6235,4059,2290
682,6242,4139,2295
681,6235,4219,2304
682,6242,4297,2321
680,6235,4343,2324
682,6242,4376,2321
682,6235,4397,2313
682,6242,4415,2321
679,6236,4404,2333
682,6242,4376,2347
684,6235,4332,2346
682,6242,4297,2347
676,6236,4255,2344
682,6242,4218,2347
702,6234,4175,2343
727,6242,4139,2347
736,6237,4096,2356
727,6242,4060,2373
705,6232,4017,2376
682,6242,3981,2373
670,6241,3938,2364
682,6242,3903,2373
694,6225,3861,2385
682,6242,3824,2398
647,6272,3768,2398
636,6311,3705,2398
660,6311,3635,2396
682,6311,3587,2398
664,6306,3546,2393
636,6311,3508,2398
643,6278,3447,2408
682,6242,3390,2424
702,6215,3340,2426
682,6242,3311,2424
645,6278,3274,2420
636,6311,3232,2424
667,6289,3172,2423
727,6242,3114,2424
796,6182,3049,2421
864,6172,2996,2424
919,6176,2946,2422
954,6172,2917,2424
962,6126,2892,2421
954,6103,2878,2424
948,6097,2864,2422
954,6103,2878,2424
962,6083,2909,2421
954,6103,2956,2424
920,6163,2984,2423
864,6242,2996,2424
794,6255,2989,2420
727,6242,2996,2424
685,6226,3010,2425
682,6242,3035,2424
692,6240,3042,2409
682,6242,3035,2398
650,6235,3011,2392
636,6242,2996,2398
646,6230,2989,2398
636,6242,2996,2398
587,6264,2985,2395
545,6311,2956,2398
543,6340,2909,2397
545,6381,2878,2398
508,6412,2856,2395
455,6450,2838,2398
420,6474,2800,2397
409,6519,2759,2398
383,6564,2716,2395
364,6589,2681,2398
357,6575,2636,2397
364,6589,2602,2398
341,6649,2575,2394
318,6727,2562,2398
330,6736,2542,2399
364,6727,2523,2398
376,6698,2500,2384
364,6658,2483,2373
347,6603,2460,2366
318,6658,2444,2373
278,6745,2435,2373
227,6727,2444,2373
147,6601,2447,2367
136,6519,2444,2373
567,6177,2422,2375
1727,5132,2405,2373
3254,3595,2394,2356
4409,2427,2405,2347
5032,1744,2410,2342
5636,902,2405,2347
6273,13,2380,2344
6090,555,2365,2347
4510,3213,2359,2347
2227,6589,2365,2347
390,8749,2363,2332
-682,9501,2365,2321
-1369,9749,2365,2316
-1818,9848,2365,2321
-1856,9458,2347,2319
-1545,8739,2326,2321
-1203,8202,2313,2320
-954,7976,2326,2321
-697,7706,2334,2308
-409,7351,2326,2295
-208,7109,2298,2287
-136,7074,2286,2295
-118,7077,2288,2299
-91,7074,2286,2295
-66,7072,2263,2278
-45,7074,2247,2269
-30,7032,2245,2266
0,7005,2247,2269
14,7024,2226,2266
0,7074,2208,2269
-38,7081,2203,2270
-45,7074,2208,2269
-16,7057,2190,2254
0,7074,2168,2244
-23,7070,2157,2238
-45,7074,2168,2244
-25,7063,2172,2242
0,7074,2168,2244
-14,7069,2160,2243
-45,7074,2168,2244
-52,7063,2173,2231
-45,7074,2168,2218
-62,7090,2145,2210
-91,7143,2129,2218
-100,7186,2122,2222
-91,7213,2129,2218
-88,7183,2128,2201
-91,7143,2129,2192
-91,7094,2125,2188
-91,7074,2129,2192
-96,7059,2126,2189
-91,7074,2129,2192
-69,7079,2127,2192
-45,7074,2129,2192
-29,7011,2122,2177
0,6935,2129,2166
48,6869,2142,2160
91,6866,2168,2166
110,6854,2183,2166
136,6797,2208,2166
208,6673,2247,2163
318,6589,2326,2166
422,6547,2419,2165
500,6519,2523,2166
565,6421,2615,2163
636,6311,2720,2166
710,6218,2841,2165
773,6172,2996,2166
822,6121,3154,2163
864,6103,3311,2166
882,6117,3446,2165
864,6172,3587,2166
827,6206,3735,2163
818,6242,3903,2166
846,6270,4062,2166
864,6311,4218,2166
831,6314,4354,2161
773,6311,4494,2166
736,6315,4628,2177
727,6381,4770,2192
713,6457,4894,2193
682,6519,5006,2192
650,6522,5088,2188
636,6519,5164,2192
634,6510,5234,2191
636,6519,5322,2192
636,6512,5392,2189
636,6519,5440,2192
645,6503,5453,2190
682,6450,5479,2192
743,6333,5516,2189
818,6242,5558,2192
888,6209,5563,2190
954,6242,5558,2192
1010,6253,5550,2189
1045,6242,5558,2192
1051,6199,5555,2190
1045,6172,5558,2192
1043,6150,5555,2189
1045,6172,5558,2192
1033,6206,5539,2191
1000,6242,5519,2192
952,6237,5491,2188
909,6242,5479,2192
878,6241,5457,2193
864,6242,5440,2192
861,6219,5403,2177
864,6242,5361,2166
852,6284,5297,2161
818,6311,5243,2166
780,6270,5193,2166
773,6242,5164,2166
784,6237,5124,2163
773,6242,5085,2166
723,6213,5025,2164
682,6242,4967,2166
677,6320,4899,2164
682,6381,4849,2166
662,6340,4791,2163
636,6311,4730,2166
604,6378,4647,2167
545,6519,4573,2166
442,6613,4494,2152
364,6658,4415,2141
344,6690,4312,2133
364,6727,4218,2141
350,6707,4130,2143
318,6658,4060,2141
320,6597,3977,2125
364,6589,3903,2115
404,6582,3832,2109
409,6589,3784,2115
381,6593,3736,2116
318,6658,3705,2115
232,6725,3669,2100
182,6727,3627,2089
271,6553,3561,2082
636,6172,3508,2089
1427,5454,3464,2092
2636,4369,3430,2089
3947,3093,3382,2072
4954,2011,3351,2063
5566,1257,3329,2061
5909,902,3311,2063
5792,1307,3268,2051
4727,3052,3232,2037
2703,5868,3207,2028
545,8530,3193,2037
-870,9894,3166,2043
-1454,10056,3154,2037
-1670,9776,3153,2018
-1773,9501,3154,2012
-1687,9110,3117,2012
-1409,8600,3075,2012
-1107,8137,3043,1995
-864,7837,3035,1986
-621,7577,3017,1985
-364,7351,2996,1986
-172,7213,2971,1970
-91,7213,2956,1960
-85,7233,2934,1958
-91,7213,2917,1960
-82,7134,2896,1945
-45,7074,2878,1934
-14,7054,2851,1932
0,7074,2838,1934
-7,7078,2833,1920
0,7074,2838,1908
23,7059,2834,1906
45,7074,2838,1908
53,7070,2840,1895
45,7074,2838,1883
42,7062,2816,1879
45,7074,2799,1883
52,7070,2781,1872
45,7074,2759,1857
26,7060,2715,1841
0,7074,2681,1831
-25,7095,2668,1815
-45,7143,2681,1805
-54,7177,2682,1802
-45,7213,2681,1805
-36,7216,2675,1795
-45,7213,2681,1779
-74,7195,2679,1762
-91,7213,2681,1754
-77,7224,2678,1741
-45,7213,2681,1728
-20,7139,2676,1711
0,7074,2681,1702
21,7026,2680,1691
45,7005,2681,1676
77,6942,2671,1649
136,6866,2681,1625
225,6780,2698,1607
318,6727,2720,1599
391,6660,2718,1586
455,6589,2720,1573
524,6500,2729,1557
591,6450,2759,1547
640,6407,2789,1534
682,6381,2838,1522
727,6354,2893,1505
773,6381,2956,1496
803,6402,3007,1484
818,6381,3075,1470
811,6306,3161,1451
773,6311,3272,1444
717,6406,3371,1444
682,6519,3469,1444
680,6531,3559,1432
682,6519,3666,1418
660,6538,3776,1404
636,6589,3903,1393
646,6567,4022,1375
682,6519,4139,1367
687,6509,4235,1365
636,6589,4336,1367
568,6651,4433,1355
545,6658,4533,1341
568,6604,4612,1326
591,6589,4691,1315
587,6612,4755,1299
591,6658,4809,1289
615,6643,4832,1287
636,6589,4849,1289
642,6524,4862,1280
682,6519,4888,1264
774,6526,4905,1246
864,6519,4927,1238
885,6468,4953,1227
864,6450,5006,1212
853,6468,5063,1194
864,6519,5125,1186
866,6528,5167,1186
864,6519,5203,1186
868,6501,5213,1175
864,6519,5203,1161
827,6523,5163,1145
773,6519,5125,1135
723,6498,5073,1122
682,6519,5006,1109
647,6553,4895,1094
636,6589,4770,1083
645,6584,4641,1070
636,6589,4533,1057
590,6589,4416,1043
545,6589,4297,1032
536,6544,4166,1018
545,6519,4060,1006
545,6528,3968,991
545,6589,3903,980
554,6630,3847,967
545,6658,3824,954
502,6654,3815,939
455,6658,3824,928
427,6668,3820,916
409,6727,3824,903
363,6804,3821,886
318,6866,3824,877
299,6872,3806,868
318,6866,3784,851
323,6863,3745,822
318,6866,3705,799
328,6822,3656,787
364,6797,3627,774
399,6787,3605,747
409,6797,3587,722
395,6774,3547,708
364,6797,3508,696
328,6835,3468,671
273,6866,3430,645
172,6873,3369,629
136,6866,3311,619
508,6504,3261,597
1545,5479,3232,567
2971,4023,3194,546
4181,2843,3154,542
4967,2044,3106,536
5636,1179,3075,516
6217,361,3048,485
6090,763,3035,464
4781,3002,3015,453
2727,6103,2996,438
820,8452,2970,412
-500,9571,2956,387
-1317,9925,2939,372
-1727,9918,2917,361
-1738,9528,2874,338
-1500,8947,2838,309
-1239,8453,2811,289
-1000,8114,2799,284
-712,7752,2777,277
-409,7421,2759,258
-199,7240,2737,229
-91,7213,2720,206
-16,7159,2695,192
45,7074,2681,181
60,7028,2662,167
45,7074,2641,155
33,7128,2611,144
45,7143,2602,129
49,7106,2604,103
45,7074,2602,77
37,7058,2564,61
45,7074,2523,52
67,7070,2494,40
91,7074,2483,26
115,7063,2451,12
136,7074,2405,0
150,7068,2364,-13
136,7074,2365,-26
107,7066,2395,-38
91,7074,2444,-52
95,7067,2483,-68
91,7074,2523,-77
64,7066,2558,-78
45,7074,2602,-77
48,7085,2629,-86
45,7143,2641,-103
17,7196,2635,-119
0,7213,2641,-129
19,7145,2645,-132
45,7074,2641,-129
47,7040,2615,-125
45,7074,2602,-129
66,7093,2599,-143
91,7074,2602,-155
104,6979,2580,-157
136,6866,2562,-155
204,6761,2554,-155
273,6727,2562,-155
313,6706,2558,-153
364,6658,2562,-155
465,6544,2583,-159
591,6450,2641,-155
679,6376,2699,-140
727,6311,2759,-129
781,6214,2819,-129
864,6172,2917,-129
935,6193,3032,-117
954,6242,3154,-103
931,6235,3260,-101
909,6242,3390,-103
896,6292,3540,-96
864,6381,3705,-77
807,6401,3844,-61
773,6381,3981,-52
775,6374,4116,-42
773,6450,4257,-26
727,6515,4376,-9
682,6519,4494,0
686,6459,4609,1
727,6450,4730,0
745,6486,4830,8
727,6519,4927,26
699,6479,5021,44
682,6450,5125,52
675,6467,5208,50
682,6519,5282,52
690,6523,5339,63
682,6519,5401,77
663,6519,5444,90
682,6519,5479,103
760,6454,5495,119
864,6381,5519,129
931,6326,5537,129
954,6311,5558,129
968,6272,5557,139
1000,6242,5558,155
1033,6224,5552,168
1045,6242,5558,181
1041,6241,5555,195
1045,6242,5558,206
1056,6232,5553,208
1045,6242,5558,206
1001,6234,5543,214
954,6242,5519,232
927,6260,5473,249
909,6311,5440,258
884,6328,5401,258
864,6311,5361,258
847,6276,5298,265
818,6311,5243,284
780,6368,5182,303
773,6381,5125,309
803,6297,5053,306
818,6242,5006,309
765,6277,4967,324
682,6381,4927,335
648,6411,4848,334
682,6381,4770,335
701,6363,4701,347
636,6450,4652,361
515,6573,4577,362
455,6658,4494,361
470,6663,4404,370
500,6658,4336,387
476,6678,4258,393
455,6727,4179,387
456,6740,4088,381
455,6727,4021,387
426,6698,3957,400
409,6727,3903,413
432,6748,3835,417
455,6727,3784,413
430,6671,3739,407
364,6727,3705,413
297,6843,3648,427
227,6866,3587,438
129,6687,3530,438
182,6381,3508,438
831,5792,3492,449
2273,4716,3469,464
3911,3306,3422,468
4909,2150,3390,464
5321,1434,3367,460
5909,971,3351,464
6583,987,3310,474
6090,2358,3272,490
3833,5167,3242,506
1045,8114,3232,516
-682,9748,3212,515
-1227,10056,3193,516
-1470,9871,3168,525
-1727,9640,3154,542
-1680,9191,3131,556
-1318,8600,3114,567
-1004,8144,3092,578
-818,7906,3075,593
-557,7650,3049,606
-227,7351,3035,619
-34,7131,3029,630
0,7074,3035,645
25,7067,3022,658
91,7074,2996,671
128,7075,2962,681
136,7074,2956,696
137,7037,2959,711
136,7005,2956,722
118,6993,2930,722
136,7005,2917,722
191,6978,2916,729
227,6935,2917,748
198,6873,2893,765
136,6866,2878,774
112,6888,2875,772
136,6935,2878,774
183,6921,2856,783
227,6866,2838,799
250,6813,2833,815
227,6866,2838,825
171,6960,2820,827
136,7005,2799,825
153,6932,2789,821
182,6866,2799,825
170,6870,2788,836
136,6935,2759,851
136,6949,2724,856
182,6935,2720,851
212,6920,2723,844
182,6935,2720,851
128,6912,2693,865
136,6866,2681,877
222,6792,2679,877
318,6727,2681,877
371,6645,2656,879
409,6589,2641,877
472,6545,2647,863
545,6519,2681,851
