I,II,PLETH
-586,2219,5724
-832,1947,5708
-949,2071,5690
-964,2331,5651
-949,2515,5623
-943,2542,5588
-865,2515,5556
-538,2545,5502
167,2663,5456
1232,2771,5403
2456,2811,5356
3575,2796,5287
4409,2811,5222
4963,2831,5141
5330,2811,5054
5499,2719,4945
5330,2663,4854
4743,2660,4768
3906,2663,4686
3147,2589,4578
2707,2515,4485
2582,2538,4409
2567,2663,4351
2400,2773,4268
1925,2811,4184
1195,2802,4105
419,2811,4050
-193,2822,3982
-558,2811,3916
-705,2781,3852
-698,2811,3816
-596,2936,3780
-446,3107,3749
-287,3185,3707
-112,3107,3682
66,2934,3659
223,2811,3649
311,2785,3628
335,2811,3615
326,2812,3595
335,2811,3582
364,2859,3560
391,2959,3548
374,3011,3531
307,2959,3515
213,2852,3479
140,2811,3448
102,2831,3421
84,2811,3414
53,2677,3400
0,2515,3381
-52,2411,3345
-84,2367,3314
-106,2299,3277
-167,2219,3247
-302,2182,3208
-502,2219,3180
-726,2245,3156
-921,2219,3146
-1029,2174,3121
-1005,2219,3079
-847,2355,3020
-614,2515,2979
-380,2609,2955
-195,2663,2946
-97,2717,2916
-112,2811,2879
-224,2931,2836
-363,3107,2812
-452,3329,2791
-474,3551,2778
-469,3672,2758
-474,3699,2745
-496,3718,2727
-530,3847,2711
-578,4067,2689
-642,4291,2678
-712,4411,2663
-753,4439,2644
-720,4427,2608
-586,4439,2577
-382,4447,2554
-167,4439,2544
23,4419,2526
195,4439,2510
328,4461,2490
391,4439,2477
374,4353,2457
335,4291,2444
285,4275,2426
195,4291,2410
54,4316,2376
-28,4439,2343
53,4660,2314
307,4883,2310
636,4949,2308
977,4883,2310
1282,4782,2292
1507,4735,2276
1599,4678,2263
1618,4587,2276
1704,4474,2291
2037,4439,2310
2695,4486,2315
3572,4587,2343
4308,4666,2393
4604,4735,2477
4526,4796,2566
4492,4883,2678
4739,4996,2808
5106,5179,2979
5315,5405,3168
5330,5622,3381
5189,5739,3591
4883,5770,3816
4485,5760,4041
4297,5770,4285
4486,5778,4522
4855,5770,4753
5078,5717,4948
5134,5622,5121
5179,5445,5260
5274,5179,5389
5324,4817,5502
5330,4439,5623
5330,4095,5731
5330,3847,5824
5252,3658,5879
5134,3551,5925
5049,3507,5956
5078,3551,5992
5187,3590,6008
5330,3551,6025
5395,3405,6026
5330,3255,6025
5114,3156,6004
4855,3107,5992
4641,3067,5971
4548,3107,5958
4556,3271,5931
4660,3551,5925
4827,3878,5921
5051,4291,5925
5236,4874,5903
5330,5770,5891
5326,7053,5883
5330,8582,5891
5341,9773,5876
5330,9913,5858
5290,8751,5830
5330,6806,5824
5400,4860,5817
5330,3403,5824
5008,2524,5811
4632,2219,5791
4406,2397,5748
4353,2811,5724
4309,3103,5694
4241,3107,5657
4187,2898,5584
4186,2663,5523
4192,2481,5469
4241,2367,5423
4366,2316,5341
4576,2367,5255
4771,2464,5166
4883,2515,5088
4851,2450,4986
4688,2367,4887
4409,2332,4792
4102,2367,4720
3850,2415,4635
3739,2515,4552
3770,2667,4462
3906,2811,4385
4061,2853,4298
4186,2811,4218
4236,2735,4128
4213,2663,4050
4106,2611,3972
3962,2663,3916
3827,2848,3862
3767,3107,3816
3755,3310,3758
3739,3403,3715
3630,3375,3676
3404,3255,3649
3018,3088,3609
2483,2959,3582
1841,2877,3558
1228,2811,3548
719,2759,3528
363,2811,3515
189,2965,3495
307,3107,3481
746,3134,3458
1423,3107,3448
2150,3099,3433
2818,3107,3414
3348,3093,3374
3711,3107,3347
3876,3144,3329
3906,3107,3314
3864,2909,3267
3823,2663,3213
3807,2518,3166
3851,2515,3146
3908,2535,3128
3906,2515,3113
3784,2445,3082
3600,2367,3046
3436,2281,3003
3348,2219,2979
3315,2192,2962
3321,2219,2946
3357,2271,2908
3432,2367,2879
3535,2533,2858
3655,2811,2845
3755,3135,2812
3795,3403,2778
3714,3522,2752
3516,3551,2745
3246,3584,2729
3014,3699,2711
2866,3852,2688
2818,3995,2678
2843,4081,2663
2930,4143,2644
2998,4202,2609
2958,4291,2577
2761,4376,2551
2511,4439,2544
2325,4449,2533
2260,4439,2510
2268,4426,2470
2316,4439,2444
2373,4446,2426
2428,4439,2410
2448,4418,2373
2456,4439,2343
2468,4499,2322
2511,4587,2310
2553,4660,2287
2567,4735,2276
2520,4768,2274
2428,4735,2276
2308,4635,2256
2204,4587,2243
2126,4629,2238
2093,4735,2243
2100,4815,2225
2149,4883,2209
2186,4916,2200
2176,4883,2209
2112,4741,2206
2065,4587,2209
2075,4483,2224
2121,4439,2276
2104,4406,2336
1981,4439,2410
1796,4558,2491
1674,4735,2611
1696,4887,2750
1870,5031,2912
2130,5171,3078
2428,5327,3280
2714,5505,3507
2958,5770,3749
3107,6054,3959
3153,6214,4151
3127,6172,4327
3097,6066,4519
3076,5994,4703
3041,5918,4887
2904,5726,5054
2651,5475,5222
2342,5240,5366
2121,5031,5490
2009,4754,5576
1953,4439,5657
1893,4120,5726
1870,3847,5791
1855,3587,5817
1814,3403,5824
1780,3293,5816
1870,3255,5824
1969,3235,5826
1870,3255,5824
1660,3312,5802
1870,3403,5791
2785,3475,5774
4046,3551,5757
4972,3663,5717
5330,3847,5690
5348,4010,5669
5330,4143,5657
5328,4435,5620
5330,5179,5590
5322,6315,5563
5330,7546,5556
5329,8730,5536
5330,9913,5523
5325,10674,5503
5330,10209,5490
5326,8308,5453
5330,5918,5423
5327,4154,5385
5330,3255,5356
5326,2776,5304
5330,2515,5255
5326,2553,5200
5330,2811,5155
5326,2979,5090
5330,2959,5021
5321,2868,4935
5330,2811,4854
5330,2744,4762
5330,2663,4686
5316,2578,4611
5330,2515,4552
5337,2473,4483
5330,2515,4418
5305,2601,4336
5330,2663,4251
5351,2647,4156
5274,2663,4084
5035,2734,4016
4772,2811,3950
4619,2818,3860
4604,2811,3782
4614,2818,3720
4604,2811,3682
4584,2774,3632
4604,2811,3582
4640,2948,3524
4688,3107,3481
4727,3231,3438
4772,3403,3414
4782,3579,3394
4744,3551,3381
4628,3209,3346
4465,2811,3314
4262,2668,3286
4046,2811,3280
3801,3005,3267
3544,3107,3247
3260,3120,3208
2958,3107,3180
2627,3087,3157
2316,3107,3146
2085,3178,3117
2009,3255,3079
2077,3235,3035
2232,3107,3013
2367,2934,2996
2428,2811,2979
2424,2733,2942
2428,2663,2912
2449,2571,2890
2456,2515,2879
2395,2504,2849
2288,2515,2812
2143,2507,2770
1981,2515,2745
1816,2531,2724
1674,2515,2711
1494,2430,2693
1256,2367,2678
1092,2397,2657
1228,2515,2644
1575,2612,2626
1674,2663,2611
1106,2706,2589
28,2811,2577
-947,2951,2563
-1284,3107,2544
-939,3289,2508
-251,3551,2477
393,3824,2453
809,3995,2444
1010,4010,2426
1088,3995,2410
1086,4039,2390
1032,4143,2377
1019,4259,2358
1172,4439,2343
1486,4682,2324
1814,4883,2310
2017,4889,2290
2093,4735,2276
2064,4550,2258
1870,4439,2243
1456,4361,2220
865,4291,2209
177,4246,2205
-474,4291,2209
-823,4379,2197
-614,4439,2176
-12,4429,2149
419,4439,2142
317,4501,2141
-84,4587,2142
-349,4605,2126
-307,4587,2109
13,4568,2088
558,4587,2075
1038,4629,2055
921,4735,2042
7,4849,2031
-1172,4883,2042
-1867,4759,2053
-1786,4587,2075
-1116,4465,2096
-112,4439,2142
980,4472,2209
1814,4587,2310
2137,4743,2419
2009,4883,2544
1681,4988,2668
1311,5179,2812
1014,5478,2965
921,5770,3146
1033,5906,3338
1116,5918,3548
966,5868,3758
614,5770,3983
223,5604,4203
-56,5475,4418
-13,5452,4607
419,5475,4787
795,5349,4944
419,5031,5088
-724,4619,5196
-1786,4291,5289
-2052,4049,5358
-1786,3847,5423
-1652,3607,5462
-1786,3403,5490
-1867,3235,5492
-1786,3107,5490
-1734,2991,5470
-1786,2959,5456
-1819,3018,5435
-1786,3107,5423
-1764,3127,5401
-1786,3107,5389
-1798,3091,5370
-1786,3107,5356
-1778,3130,5322
-1786,3255,5289
-1789,3640,5247
-1786,4439,5222
-1784,5653,5187
-1786,7250,5155
-1785,9118,5111
-1786,10949,5088
-1785,12041,5067
-1786,11689,5054
-1784,9785,5020
-1786,7102,4987
-1786,4677,4947
-1786,3107,4920
-1780,2331,4884
-1786,2071,4854
-1791,2126,4816
-1786,2367,4787
-1773,2557,4739
-1786,2515,4686
-1799,2309,4625
-1786,2219,4586
-1772,2341,4542
-1786,2515,4485
-1662,2590,4396
-1200,2663,4318
-508,2779,4248
-56,2811,4184
-134,2652,4086
-530,2515,3983
-821,2546,3887
-921,2663,3816
-1038,2672,3734
-1311,2663,3649
-1612,2736,3555
-1786,2811,3481
-1811,2752,3408
-1786,2663,3347
-1774,2695,3287
-1786,2811,3247
-1790,2849,3209
-1786,2811,3180
-1780,2789,3141
-1786,2811,3113
-1787,2813,3087
-1786,2811,3079
-1782,2855,3064
-1786,2959,3046
-1787,3053,3020
-1786,3107,3013
-1783,3115,3011
-1786,3107,3013
-1785,3097,2995
-1786,3107,2979
-1784,3115,2959
-1786,3107,2946
-1784,3087,2923
-1786,3107,2912
-1784,3137,2898
-1786,3107,2879
-1784,2971,2839
-1786,2811,2812
-1784,2703,2794
-1786,2663,2778
-1784,2648,2742
-1786,2663,2711
-1784,2680,2691
-1786,2663,2678
-1784,2586,2644
-1786,2515,2611
-1784,2456,2587
-1786,2367,2577
-1784,2240,2549
-1786,2219,2510
-1784,2380,2469
-1786,2663,2444
-1784,2919,2412
-1786,3107,2377
-1784,3181,2334
-1786,3107,2310
-1784,2917,2292
-1786,2811,2276
-1784,2899,2243
-1786,3107,2209
-1784,3273,2183
-1786,3403,2176
-1784,3546,2164
-1786,3699,2142
-1784,3785,2105
-1786,3847,2075
-1784,3957,2052
-1786,4143,2042
-1784,4321,2026
-1786,4439,2008
-1784,4469,1986
-1786,4439,1975
-1784,4363,1960
-1786,4291,1941
-1784,4218,1916
-1786,4143,1908
-1784,4048,1909
-1786,3995,1908
-1784,4020,1887
-1786,4143,1874
-1784,4296,1872
-1786,4439,1874
-1784,4529,1857
-1786,4587,1841
-1784,4600,1834
-1786,4587,1841
-1785,4522,1827
-1786,4439,1808
-1784,4346,1792
-1786,4291,1808
-1786,4265,1825
-1786,4291,1841
-1783,4345,1846
-1786,4439,1874
-1789,4525,1917
-1786,4587,1975
-1779,4588,2027
-1786,4587,2109
-1793,4659,2230
-1786,4883,2410
-1769,5188,2615
-1786,5475,2845
-1815,5694,3075
-1786,5918,3314
-1631,6126,3543
-1367,6214,3782
-1015,6103,4016
-586,5918,4251
-111,5798,4467
279,5770,4686
459,5726,4893
419,5622,5088
301,5435,5245
223,5179,5389
182,4863,5513
84,4587,5623
-80,4360,5696
-251,4143,5757
-416,3844,5807
-670,3551,5858
-1052,3336,5880
-1451,3255,5891
-1703,3235,5886
-1786,3255,5891
-1786,3264,5888
-1786,3255,5891
-1787,3227,5877
-1786,3255,5858
-1784,3328,5818
-1786,3403,5791
-1784,3444,5765
-1786,3551,5757
-1802,3804,5737
-1786,4291,5724
-1642,5130,5700
-1311,6510,5690
-892,8351,5669
-558,10209,5657
-388,11458,5634
-307,11689,5623
-233,10765,5602
-223,8878,5590
-354,6527,5567
-586,4439,5556
-780,3095,5537
-865,2515,5523
-892,2404,5489
-921,2515,5456
-918,2648,5414
-781,2663,5389
-442,2553,5356
84,2515,5322
710,2642,5267
1311,2811,5222
1716,2848,5171
1730,2811,5121
1231,2799,5040
279,2811,4954
-858,2746,4862
-1786,2663,4787
-2157,2623,4701
-1786,2663,4619
-755,2712,4529
614,2811,4452
1862,2959,4366
2651,3107,4285
2929,3150,4193
2902,3107,4117
2782,3068,4042
2651,3107,3983
2512,3183,3923
2400,3255,3883
2334,3313,3844
2288,3403,3816
2240,3502,3778
2260,3551,3749
2401,3496,3713
2623,3403,3682
2812,3356,3640
2930,3403,3615
3007,3490,3594
3069,3551,3582
3101,3522,3548
3069,3403,3515
2971,3233,3485
2818,3107,3481
2626,3070,3470
2428,3107,3448
2258,3128,3406
2149,3107,3381
2079,3078,3362
2009,3107,3347
1912,3145,3311
1814,3107,3280
1731,2960,3256
1646,2811,3247
1516,2722,3228
1339,2663,3213
1154,2536,3196
1005,2367,3180
900,2241,3145
837,2219,3113
801,2231,3087
781,2219,3079
746,2185,3064
670,2219,3046
531,2341,3014
363,2515,2979
224,2668,2936
167,2811,2912
173,2951,2894
167,3107,2879
90,3255,2843
-56,3403,2812
-221,3511,2788
-363,3551,2778
-473,3527,2759
-558,3551,2745
-624,3672,2726
-670,3847,2711
-695,3956,2687
-698,3995,2678
-657,4031,2676
-558,4143,2678
-417,4295,2659
-279,4439,2644
-189,4528,2638
-195,4587,2644
-364,4610,2632
-725,4587,2611
-1195,4471,2585
-1591,4291,2577
-1776,4102,2574
-1786,3995,2577
-1762,3966,2565
-1786,3995,2544
-1813,4046,2516
-1786,4143,2510
-1750,4239,2512
-1786,4291,2510
-1846,4276,2487
-1786,4291,2477
-1568,4358,2475
-1339,4439,2477
-1219,4451,2454
-1144,4439,2444
-998,4430,2449
-809,4439,2477
-697,4427,2489
-670,4439,2510
-610,4453,2544
-419,4439,2611
-109,4390,2682
223,4439,2778
480,4632,2893
586,4883,3046
545,5050,3205
419,5179,3381
277,5366,3564
140,5622,3782
17,5789,4012
-56,5770,4251
-12,5606,4469
167,5475,4686
430,5484,4889
670,5622,5088
815,5715,5259
865,5622,5423
850,5302,5564
781,4883,5690
650,4470,5780
446,4143,5858
158,3876,5914
-167,3699,5958
-377,3583,5973
-307,3551,5992
-27,3542,6007
195,3551,6025
167,3513,6011
-28,3403,5992
-219,3231,5966
-363,3107,5958
-459,3073,5939
-419,3107,5925
-146,3152,5901
279,3255,5891
668,3429,5870
921,3699,5858
1074,4164,5835
1200,5031,5824
1340,6303,5802
1535,7842,5791
1809,9537,5769
2121,11245,5757
2339,12276,5734
2316,11689,5724
1971,9304,5703
1339,6214,5690
548,3745,5667
-223,2367,5657
-800,1761,5638
-1060,1628,5623
-1019,1810,5587
-809,2071,5556
-596,2141,5518
-446,2071,5490
-343,2074,5441
-251,2219,5389
-181,2379,5318
-140,2515,5255
-105,2658,5183
0,2811,5121
232,2867,5051
586,2811,4987
952,2697,4905
1228,2663,4820
1391,2709,4715
1535,2811,4619
1721,2885,4524
1925,2959,4452
2066,3038,4380
2121,3107,4318
2140,3122,4244
2176,3107,4184
2218,3095,4125
2204,3107,4084
2105,3110,4032
1953,3107,3983
1799,3102,3924
1674,3107,3883
1585,3106,3843
1535,3107,3816
1508,3105,3778
1479,3107,3749
1431,3102,3722
1367,3107,3715
1280,3109,3701
1172,3107,3682
1089,3097,3643
1116,3107,3615
1258,3119,3591
1395,3107,3582
1363,3041,3562
1144,2959,3548
907,2881,3527
837,2811,3515
953,2727,3493
1144,2663,3481
1337,2640,3464
1535,2663,3448
1668,2677,3413
1563,2663,3381
1134,2601,3353
586,2515,3347
279,2421,3335
363,2367,3314
602,2352,3273
670,2367,3247
539,2369,3228
391,2367,3213
196,2358,3178
-307,2367,3146
-1116,2403,3121
-1786,2515,3113
-1951,2705,3096
-1786,2959,3079
-1702,3204,3058
-1786,3403,3046
-1841,3513,3027
-1786,3551,3013
-1749,3540,2992
-1786,3551,2979
-1816,3600,2959
-1786,3699,2946
-1756,3826,2927
-1786,3995,2912
-1826,4166,2890
-1786,4291,2879
-1642,4318,2864
-1479,4291,2845
-1415,4264,2808
-1451,4291,2778
-1409,4352,2755
-1088,4439,2745
-466,4520,2727
279,4587,2711
994,4602,2691
1591,4587,2678
1944,4566,2657
1842,4587,2644
1225,4607,2636
279,4587,2644
-710,4504,2644
-1535,4439,2644
-1965,4420,2637
-1786,4439,2644
-1048,4435,2646
-223,4439,2644
203,4444,2622
140,4439,2611
-137,4373,2604
-419,4291,2611
-719,4206,2605
-1116,4143,2611
-1525,4102,2627
-1786,4143,2678
-1837,4226,2736
-1786,4291,2812
-1763,4320,2893
-1786,4439,3013
-1800,4661,3161
-1786,4883,3347
-1777,5014,3540
-1786,5179,3749
-1790,5463,3957
-1786,5770,4184
-1782,5883,4412
-1786,5770,4653
-1787,5537,4877
-1786,5327,5088
-1778,5193,5261
-1758,5179,5423
-1752,5211,5560
-1786,5179,5690
-1807,4995,5793
-1702,4735,5891
-1429,4446,5965
-1116,4143,6025
-947,3803,6055
-977,3551,6092
-1086,3428,6125
-1116,3403,6159
-1005,3340,6161
-809,3255,6159
-590,3207,6153
-363,3255,6159
-97,3337,6144
195,3403,6126
461,3415,6098
642,3403,6092
753,3379,6076
837,3403,6059
906,3531,6019
921,3847,5992
874,4376,5965
837,5179,5958
912,6325,5939
1116,7842,5925
1339,9429,5899
1395,10505,5891
1145,10501,5873
586,9322,5858
-140,7376,5820
-809,5327,5791
-1254,3681,5762
-1451,2663,5757
-1516,2191,5742
-1563,2071,5724
-1587,2111,5683
-1451,2219,5657
-1051,2314,5624
-419,2367,5590
262,2404,5523
809,2515,5456
1123,2686,5384
1228,2811,5322
1196,2783,5238
1144,2663,5155
1175,2550,5063
1367,2515,4987
1698,2501,4900
2065,2515,4820
2328,2556,4730
2428,2663,4653
2405,2763,4565
2372,2811,4485
2418,2804,4395
2539,2811,4318
2638,2827,4240
2623,2811,4184
2524,2768,4129
2483,2811,4084
2606,2960,4027
2846,3107,3983
3058,3137,3941
3153,3107,3916
3130,3096,3881
3041,3107,3849
2917,3096,3808
2762,3107,3782
2553,3137,3758
2288,3107,3749
2011,2963,3731
1814,2811,3715
1727,2725,3690
1730,2663,3682
1780,2565,3679
1870,2515,3682
1938,2571,3665
1897,2663,3649
1708,2681,3626
1479,2663,3615
1327,2665,3595
1284,2663,3582
1273,2592,3562
1256,2515,3548
1252,2498,3516
1311,2515,3481
1436,2465,3439
1618,2367,3414
1838,2308,3394
2065,2367,3381
2213,2507,3350
2204,2663,3314
2051,2729,3271
1870,2663,3247
1783,2497,3228
1814,2367,3213
1889,2331,3180
1925,2367,3146
1887,2418,3117
1758,2515,3113
1504,2656,3113
1116,2811,3113
689,2941,3095
363,3107,3079
167,3322,3060
28,3551,3046
-57,3755,3024
-28,3995,3013
9,4255,2997
-223,4439,2979
-793,4467,2943
-1395,4439,2912
-1720,4436,2888
-1786,4439,2879
-1762,4366,2861
-1674,4291,2845
-1520,4311,2825
-1451,4439,2812
-1585,4552,2792
-1786,4587,2778
-1849,4531,2760
-1786,4439,2745
-1753,4340,2721
-1786,4291,2711
-1804,4282,2706
-1786,4291,2711
-1776,4279,2708
-1786,4291,2711
-1788,4342,2710
-1786,4439,2711
-1792,4521,2693
-1786,4587,2678
-1776,4606,2666
-1786,4587,2678
-1807,4511,2682
-1786,4439,2678
-1752,4401,2661
-1786,4439,2678
-1858,4508,2718
-1786,4587,2778
-1496,4615,2830
-1144,4587,2912
-940,4501,3017
-893,4439,3146
-888,4452,3276
-865,4587,3448
-821,4833,3656
-642,5179,3883
-118,5522,4072
837,5770,4251
2022,5881,4437
3069,5918,4653
3716,5880,4856
3962,5770,5054
3977,5676,5237
3934,5770,5423
3930,5960,5581
3990,5918,5724
4062,5429,5841
4046,4735,5958
3888,4169,6052
3655,3847,6126
3459,3605,6161
3348,3403,6192
3295,3231,6211
3265,3107,6226
3224,2992,6210
3153,2959,6192
3051,3020,6169
2958,3107,6159
2876,3121,6137
2762,3107,6126
2562,3102,6106
2316,3107,6092
2103,3115,6055
2009,3255,6025
2029,3604,5995
2149,4143,5992
2328,4817,5976
2567,5770,5958
2826,7154,5917
3069,8878,5891
3225,10416,5866
3265,11097,5858
3178,10486,5836
3014,8730,5824
2811,6457,5803
2623,4439,5791
2453,3116,5757
2316,2515,5724
2220,2392,5681
2204,2515,5657
2266,2693,5623
2372,2811,5590
2459,2826,5536
2511,2811,5490
2532,2810,5436
2539,2811,5389
2509,2753,5321
2428,2663,5255
2297,2571,5181
2176,2515,5121
2111,2482,5043
2121,2515,4954
2149,2585,4844
2149,2663,4753
2090,2671,4666
2009,2663,4586
1924,2697,4482
1842,2811,4385
1729,2924,4290
1591,2959,4218
1458,2895,4142
1395,2811,4084
1417,2770,4026
1507,2811,3983
1624,2924,3928
1758,3107,3883
1885,3293,3838
1981,3403,3816
2008,3371,3793
1981,3255,3782
1937,3145,3763
1925,3107,3749
1939,3107,3725
1953,3107,3715
1914,3095,3709
1814,3107,3715
1677,3123,3705
1563,3107,3682
1482,3037,3641
1423,2959,3615
1366,2884,3595
1339,2811,3582
1360,2758,3548
1423,2811,3515
1492,2962,3477
1563,3107,3448
1639,3144,3410
1730,3107,3381
1816,3009,3347
1897,2811,3314
1976,2494,3271
2065,2219,3247
2138,2130,3230
2176,2219,3213
2163,2323,3175
2121,2367,3146
2062,2359,3127
2009,2367,3113
1973,2409,3076
1981,2515,3046
2011,2661,3025
2009,2811,3013
1912,2900,2978
1730,2959,2946
1514,3058,2921
1339,3255,2912
1255,3456,2893
1284,3551,2879
1382,3531,2862
1479,3551,2845
1508,3674,2809
1479,3847,2778
1430,3986,2754
1395,4143,2745
1367,4327,2726
1339,4439,2711
1314,4350,2694
1311,4143,2678
1332,3991,2644
1367,3995,2611
1400,4070,2585
1423,4143,2577
1422,4199,2563
1395,4291,2544
1350,4385,2518
1311,4439,2510
1270,4429,2509
1200,4439,2510
1090,4499,2493
977,4587,2477
880,4612,2466
781,4587,2477
641,4558,2481
474,4587,2477
324,4611,2455
223,4587,2444
150,4500,2437
84,4439,2444
30,4421,2440
28,4439,2444
89,4437,2448
195,4439,2477
308,4435,2515
419,4439,2577
530,4465,2639
642,4587,2711
724,4761,2789
753,4883,2912
717,4879,3066
642,4883,3247
566,5030,3420
530,5327,3615
541,5606,3833
586,5770,4084
638,5802,4322
698,5770,4552
785,5701,4765
921,5622,4987
1085,5501,5194
1228,5327,5389
1300,5098,5548
1284,4883,5690
1189,4672,5800
1060,4439,5891
976,4137,5956
1005,3847,6025
1116,3593,6082
1200,3403,6126
1175,3224,6129
1088,3107,6126
1029,3065,6119
1032,3107,6126
1064,3176,6111
1088,3255,6092
1082,3290,6064
1032,3255,6059
961,3150,6044
921,3107,6025
923,3230,5983
921,3551,5958
894,3997,5936
893,4587,5925
948,5421,5889
1032,6658,5858
1136,8270,5818
1284,9913,5791
1401,10903,5749
1311,10653,5724
931,9128,5701
419,6954,5690
-18,4894,5656
-307,3403,5623
-492,2537,5582
-558,2219,5556
-475,2290,5519
-307,2515,5490
-202,2618,5451
-223,2515,5423
-303,2322,5374
-335,2219,5322
-295,2218,5251
-223,2219,5188
-151,2147,5117
-28,2071,5054
226,2044,4973
642,2071,4887
1138,2112,4781
1563,2219,4686
1783,2369,4593
1758,2515,4519
1539,2588,4434
1228,2663,4351
919,2762,4259
670,2811,4184
494,2703,4111
391,2515,4050
359,2420,3978
391,2515,3916
457,2691,3855
558,2811,3816
766,2828,3777
1088,2811,3749
1336,2769,3710
1200,2663,3682
599,2489,3656
-167,2367,3649
-652,2385,3634
-670,2515,3615
-381,2662,3577
-56,2811,3548
195,2969,3514
419,3107,3481
650,3147,3438
865,3107,3414
1051,3072,3397
1144,3107,3381
914,3147,3342
140,3107,3314
-962,2968,3295
-1786,2811,3280
-1970,2663,3243
-1786,2515,3213
-1697,2383,3193
-1786,2367,3180
-1838,2456,3144
-1786,2515,3113
-1751,2409,3092
-1786,2219,3079
-1806,2089,3045
-1786,2071,3013
-1771,2078,2989
-1786,2071,2979
-1794,2055,2948
-1786,2071,2912
-1781,2118,2882
-1786,2219,2879
-1790,2357,2869
-1786,2515,2845
-1785,2659,2804
-1786,2811,2778
-1787,2962,2760
-1786,3107,2745
-1783,3234,2709
-1786,3403,2678
-1789,3621,2654
-1786,3847,2644
-1779,3978,2627
-1786,3995,2611
-1796,3924,2591
-1786,3847,2577
-1767,3810,2556
-1786,3847,2544
-1822,3919,2539
-1758,3995,2544
-1484,4055,2532
-1005,4143,2510
-404,4240,2484
223,4291,2477
791,4236,2476
1228,4143,2477
1534,4095,2461
1758,4143,2444
1869,4225,2422
1758,4291,2410
1415,4301,2391
1032,4291,2377
809,4277,2356
725,4291,2343
611,4296,2323
391,4291,2310
201,4269,2290
223,4291,2276
494,4354,2254
865,4439,2243
1152,4464,2233
1284,4439,2243
1351,4407,2251
1479,4439,2276
1694,4475,2310
1925,4439,2377
2112,4290,2453
2260,4143,2544
2355,4088,2639
2316,4143,2778
2076,4216,2949
1674,4291,3146
1221,4397,3337
809,4587,3548
485,4815,3773
251,5031,4017
67,5191,4239
-112,5327,4452
-231,5426,4651
-167,5475,4854
114,5429,5029
446,5327,5188
617,5190,5323
558,5031,5456
364,4779,5566
140,4439,5657
-81,4083,5712
-307,3847,5757
-547,3700,5789
-781,3551,5824
-988,3315,5842
-1144,3107,5858
-1270,2987,5857
-1395,2959,5858
-1540,2940,5840
-1674,2959,5824
-1758,3027,5800
-1786,3107,5791
-1785,3123,5772
-1786,3107,5757
-1787,3091,5731
-1786,3107,5724
-1784,3176,5718
-1786,3403,5724
-1762,3825,5708
-1646,4439,5690
-1366,5277,5663
-921,6510,5657
-416,8162,5642
28,9913,5623
398,11123,5581
725,11245,5556
917,10094,5535
781,7990,5523
314,5572,5487
-223,3551,5456
-579,2334,5419
-753,1923,5389
-835,1999,5336
-809,2219,5289
-643,2356,5236
-474,2367,5188
-478,2293,5119
-642,2219,5054
-789,2187,4985
-809,2219,4920
-719,2284,4834
-586,2367,4753
-456,2440,4667
-363,2515,4586
-303,2542,4482
-251,2515,4385
-221,2426,4292
-251,2367,4218
-319,2346,4130
-307,2367,4050
-150,2411,3972
84,2515,3916
270,2631,3859
363,2663,3816
403,2577,3773
419,2515,3749
399,2604,3715
335,2811,3682
267,2957,3638
251,2959,3615
317,2871,3596
446,2811,3582
603,2801,3545
753,2811,3515
886,2805,3489
1005,2811,3481
1121,2822,3463
1228,2811,3448
1287,2742,3426
1256,2663,3414
1136,2628,3394
977,2663,3381
804,2733,3361
586,2811,3347
289,2845,3326
-28,2811,3314
-240,2722,3295
-251,2663,3280
-91,2656,3257
140,2663,3247
357,2645,3232
530,2663,3213
617,2738,3175
558,2811,3146
344,2781,3125
84,2663,3113
-84,2507,3080
-84,2367,3046
57,2257,3018
279,2219,3013
515,2221,3001
725,2219,2979
902,2225,2940
1088,2367,2912
1311,2658,2891
1535,2959,2879
1661,3098,2848
1618,3107,2812
1429,3090,2770
1200,3107,2745
1036,3108,2724
977,3107,2711
991,3143,2692
1032,3255,2678
1073,3399,2658
1116,3551,2644
1167,3696,2625
1228,3847,2611
1270,3955,2591
1256,3995,2577
1160,3978,2558
1005,3995,2544
834,4065,2524
698,4143,2510
608,4158,2492
558,4143,2477
532,4129,2456
530,4143,2444
547,4182,2427
586,4291,2410
643,4412,2385
725,4439,2377
822,4305,2374
921,4143,2377
1014,4080,2359
1116,4143,2343
1222,4226,2333
1311,4291,2343
1361,4310,2345
1367,4291,2343
1301,4212,2323
1116,4143,2310
795,4118,2297
419,4143,2310
110,4146,2333
-28,4143,2377
25,4174,2418
223,4291,2477
462,4405,2545
642,4439,2644
730,4399,2760
781,4439,2912
845,4619,3082
921,4883,3280
987,5112,3485
1060,5327,3715
1156,5554,3948
1256,5770,4184
1325,5890,4390
1367,5918,4586
1393,5872,4765
1395,5770,4954
1350,5615,5136
1256,5475,5322
1113,5348,5483
921,5179,5623
697,4901,5727
502,4587,5824
390,4279,5909
363,3995,5992
372,3718,6037
391,3551,6059
410,3472,6054
446,3403,6059
490,3243,6057
530,3107,6059
546,3073,6040
530,3107,6025
484,3106,6003
419,3107,5992
324,3123,5969
195,3107,5958
63,3043,5938
0,3107,5925
43,3388,5899
195,3847,5891
464,4483,5875
865,5475,5858
1328,6806,5816
1730,8286,5791
2030,9827,5769
2288,11393,5757
2471,12312,5720
2400,11541,5690
