III,V,PLETH,ABP
751,2642,8563,6968
732,2669,8572,6972
713,2673,8563,6948
706,2669,8572,6944
700,2668,8563,6939
706,2669,8572,6944
714,2658,8563,6920
732,2640,8572,6916
742,2632,8563,6921
757,2640,8572,6944
767,2647,8563,6930
782,2640,8572,6916
791,2621,8563,6893
807,2611,8572,6889
819,2608,8563,6858
832,2611,8572,6833
835,2606,8563,6804
832,2611,8572,6806
829,2621,8563,6799
832,2640,8572,6806
836,2650,8563,6799
832,2669,8572,6806
812,2692,8563,6791
782,2727,8572,6778
752,2754,8563,6743
732,2785,8572,6723
710,2820,8563,6696
681,2872,8572,6695
642,2918,8564,6687
605,2959,8572,6695
570,2995,8562,6688
530,3046,8572,6695
477,3096,8564,6688
429,3133,8572,6695
395,3145,8564,6680
378,3162,8572,6667
364,3182,8532,6632
353,3191,8447,6612
345,3158,8300,6587
353,3104,8196,6584
378,3044,8140,6566
429,2988,8134,6557
498,2918,8097,6531
580,2843,8071,6529
657,2759,8051,6521
732,2669,8071,6529
803,2562,8069,6519
883,2466,8071,6529
961,2385,8059,6533
1034,2321,8071,6557
1097,2256,8065,6576
1160,2205,8071,6640
1224,2160,8061,6721
1286,2118,8071,6833
1339,2065,8063,6938
1387,2031,8071,7082
1428,2013,8063,7241
1463,2002,8071,7414
1488,1970,8061,7551
1513,1944,8071,7691
1539,1935,8065,7817
1564,1944,8071,7940
1578,1934,8059,8019
1589,1915,8071,8106
1599,1893,8071,8188
1614,1886,8071,8272
1627,1881,8032,8304
1640,1886,8009,8327
1644,1887,7992,8338
1640,1886,8009,8355
1624,1869,8005,8323
1614,1857,8009,8272
1618,1851,7998,8195
1640,1857,8009,8133
1664,1855,8002,8048
1690,1857,8009,7967
1713,1856,7999,7871
1741,1857,8009,7801
1758,1843,8001,7731
1766,1828,8009,7691
1769,1810,8000,7650
1791,1799,8009,7635
1817,1790,8001,7612
1816,1799,8009,7608
1765,1813,8000,7594
1690,1828,8009,7608
1620,1835,8000,7613
1564,1857,8009,7635
1502,1888,8000,7639
1438,1915,8009,7663
1378,1916,8001,7680
1337,1915,8009,7718
1305,1924,8000,7740
1286,1944,8009,7774
1278,1949,8001,7779
1286,1944,8009,7774
1289,1940,7999,7729
1286,1944,8009,7691
1275,1946,8002,7642
1286,1944,8009,7608
1309,1943,7998,7555
1337,1944,8009,7525
1347,1944,8005,7498
1362,1944,8009,7497
1377,1948,7992,7471
1387,1973,8009,7442
1361,2029,8032,7392
1312,2118,8071,7359
1257,2191,8071,7304
1236,2176,8071,7248
1281,1991,8059,7173
1438,1625,8071,7138
1717,1114,8065,7115
2094,551,8071,7110
2530,-2,8061,7075
3027,-493,8071,7055
3572,-913,8064,7040
4112,-1247,8071,7055
4551,-1523,8063,7050
4818,-1741,8071,7055
4884,-1872,8063,7047
4818,-1828,8071,7055
4765,-1573,8064,7037
4818,-1131,8071,7027
4829,-585,8061,7003
4515,29,8071,6999
3769,673,8065,6979
2825,1306,8071,6972
1999,1841,8059,6949
1413,2234,8071,6944
1004,2473,8071,6931
732,2611,8071,6944
594,2683,8032,6944
555,2727,8009,6944
532,2747,7992,6911
504,2756,8009,6889
490,2756,8005,6864
504,2756,8009,6861
519,2754,7997,6841
530,2756,8009,6833
530,2758,8004,6820
530,2756,8009,6833
521,2743,7998,6832
530,2727,8009,6833
552,2719,8006,6812
580,2727,8009,6806
585,2733,7977,6788
580,2727,7946,6778
575,2705,7902,6744
580,2698,7883,6723
582,2707,7852,6698
580,2727,7821,6695
577,2728,7756,6677
580,2727,7696,6667
584,2731,7624,6644
580,2756,7571,6640
560,2782,7502,6621
530,2814,7446,6612
500,2839,7376,6588
479,2872,7320,6584
458,2906,7233,6568
429,2959,7133,6557
389,3016,7015,6529
353,3075,6945,6529
326,3118,6885,6536
303,3162,6820,6557
269,3205,6710,6544
227,3249,6632,6529
190,3271,6588,6503
177,3278,6570,6501
177,3268,6508,6485
177,3249,6444,6474
169,3211,6375,6440
177,3162,6319,6418
214,3095,6240,6382
277,3017,6194,6363
342,2926,6162,6337
404,2843,6132,6335
468,2759,6055,6327
555,2669,6006,6335
656,2562,5994,6328
757,2466,6006,6335
839,2385,5972,6335
908,2321,5944,6363
969,2247,5933,6390
1034,2176,5944,6446
1098,2118,5911,6500
1160,2089,5881,6584
1214,2062,5865,6668
1261,2031,5881,6778
1299,1992,5875,6887
1337,1973,5881,7027
1373,1960,5900,7161
1413,1944,5944,7304
1450,1909,5952,7413
1488,1886,5944,7525
1518,1879,5925,7618
1539,1886,5944,7718
1548,1875,5970,7790
1564,1857,6006,7857
1587,1837,6011,7888
1614,1828,6006,7912
1636,1812,5988,7907
1665,1799,6006,7912
1700,1790,6034,7907
1741,1799,6069,7912
1775,1804,6069,7893
1816,1799,6069,7884
1865,1779,6061,7864
1917,1770,6069,7857
1956,1769,6062,7819
1993,1770,6069,7774
2036,1747,6067,7699
2094,1712,6069,7635
2142,1673,6037,7558
2169,1654,6006,7497
2166,1647,5983,7427
2144,1654,6006,7387
2107,1664,6036,7346
2068,1683,6069,7331
2020,1697,6069,7305
1968,1712,6069,7304
1910,1721,6059,7303
1867,1741,6069,7331
1834,1759,6067,7342
1816,1770,6069,7359
1798,1767,6058,7360
1791,1770,6069,7387
1786,1783,6069,7400
1791,1799,6069,7414
1788,1803,6051,7394
1791,1799,6069,7387
1787,1797,6099,7376
1791,1799,6132,7387
1787,1799,6124,7371
1791,1799,6132,7359
1789,1806,6153,7332
1791,1828,6194,7331
1773,1862,6195,7316
1741,1915,6194,7304
1685,1971,6203,7266
1640,2002,6257,7248
1634,1942,6295,7226
1715,1741,6319,7221
1899,1370,6310,7197
2195,870,6319,7193
2590,307,6336,7184
3077,-232,6382,7193
3622,-709,6412,7176
4162,-1102,6444,7165
4588,-1429,6460,7141
4818,-1683,6507,7138
4858,-1857,6561,7118
4818,-1915,6632,7110
4794,-1838,6667,7087
4818,-1596,6695,7082
4851,-1193,6708,7062
4818,-638,6757,7055
4577,13,6811,7032
4011,696,6882,7027
3165,1320,6936,7009
2295,1828,7008,6999
1643,2182,7066,6966
1261,2408,7133,6944
1043,2536,7179,6916
908,2611,7258,6916
832,2649,7344,6909
807,2669,7446,6916
793,2672,7507,6908
782,2669,7571,6916
774,2664,7640,6911
782,2669,7758,6916
783,2674,7861,6899
782,2669,7946,6889
776,2652,7991,6857
782,2640,8071,6833
790,2639,8161,6795
807,2640,8259,6778
819,2626,8312,6756
832,2611,8384,6750
834,2604,8467,6728
832,2611,8572,6723
826,2611,8634,6711
832,2611,8697,6723
846,2606,8752,6727
858,2611,8822,6750
858,2618,8852,6761
858,2640,8885,6778
852,2666,8905,6772
832,2698,8947,6778
800,2722,8968,6773
782,2756,9010,6778
776,2794,9040,6760
757,2843,9072,6750
706,2885,9064,6729
656,2930,9072,6723
628,2971,9072,6700
605,3017,9072,6695
559,3057,9028,6684
504,3104,9010,6695
461,3150,9002,6691
429,3191,9010,6695
388,3202,8970,6678
353,3191,8947,6667
342,3161,8935,6633
353,3133,8947,6612
363,3095,8912,6585
378,3046,8885,6584
412,2976,8866,6568
479,2901,8885,6557
564,2817,8862,6527
656,2727,8822,6529
744,2623,8765,6535
832,2524,8759,6557
918,2431,8756,6550
1009,2350,8759,6557
1098,2269,8720,6566
1186,2205,8697,6612
1256,2154,8678,6654
1312,2118,8697,6723
1358,2074,8695,6798
1413,2031,8697,6916
1468,1991,8681,7041
1513,1973,8697,7193
1539,1957,8698,7336
1564,1944,8697,7497
1598,1923,8655,7637
1640,1915,8634,7774
1668,1912,8617,7874
1690,1915,8634,7967
1711,1902,8630,8026
1741,1886,8634,8078
1760,1866,8622,8101
1766,1857,8634,8133
1761,1850,8629,8147
1766,1857,8634,8161
1777,1860,8621,8144
1791,1857,8634,8133
1799,1838,8631,8105
1816,1828,8634,8078
1847,1825,8615,8019
1892,1828,8634,7967
1932,1815,8659,7905
1968,1799,8697,7857
2000,1782,8693,7789
2043,1770,8697,7746
2092,1742,8691,7706
2144,1712,8697,7691
2181,1686,8661,7655
2195,1683,8634,7635
2170,1692,8612,7610
2119,1712,8634,7608
2052,1727,8638,7587
1993,1741,8634,7580
1939,1750,8593,7567
1892,1770,8572,7580
1838,1787,8553,7576
1791,1799,8572,7580
1754,1796,8573,7567
1741,1799,8572,7580
1736,1811,8532,7587
1741,1828,8509,7608
1738,1832,8490,7603
1741,1828,8509,7608
1737,1825,8510,7592
1741,1828,8509,7580
1737,1830,8470,7542
1741,1828,8447,7525
1736,1825,8426,7505
1741,1828,8447,7497
1738,1838,8450,7462
1741,1857,8447,7442
1723,1888,8405,7420
1690,1944,8384,7414
1625,2006,8368,7381
1564,2031,8384,7359
1569,1931,8379,7334
1715,1654,8384,7331
1990,1195,8373,7303
2346,638,8384,7276
2770,71,8378,7234
3304,-435,8384,7221
3903,-875,8373,7200
4414,-1247,8384,7193
4708,-1564,8378,7169
4818,-1799,8384,7165
4835,-1937,8371,7155
4818,-1944,8384,7165
4792,-1801,8384,7159
4818,-1480,8384,7165
4878,-1002,8344,7156
4818,-406,8321,7165
4434,242,8304,7159
3708,899,8321,7165
2825,1495,8317,7156
2043,1973,8321,7165
1497,2286,8310,7161
1186,2466,8321,7165
1020,2558,8315,7146
933,2611,8321,7138
890,2633,8312,7117
883,2640,8321,7110
884,2638,8314,7087
883,2640,8321,7082
872,2641,8312,7072
883,2640,8321,7082
905,2637,8314,7076
933,2640,8321,7082
944,2643,8312,7076
959,2640,8321,7082
978,2625,8315,7067
1009,2611,8321,7055
1024,2605,8310,7021
1034,2611,8321,6999
1041,2612,8319,6963
1059,2611,8321,6944
1075,2605,8285,6918
1085,2611,8259,6916
1085,2620,8235,6900
1085,2640,8259,6889
1085,2654,8285,6860
1085,2669,8321,6861
1076,2677,8321,6859
1059,2698,8321,6861
1034,2722,8307,6827
1009,2756,8321,6806
983,2790,8321,6783
959,2843,8321,6778
925,2901,8283,6745
883,2959,8259,6723
831,3001,8238,6697
782,3046,8259,6695
732,3091,8262,6675
681,3133,8259,6667
625,3160,8217,6655
580,3191,8196,6667
547,3216,8181,6663
530,3220,8196,6667
520,3181,8191,6658
530,3133,8196,6667
559,3089,8186,6662
605,3046,8196,6667
653,2977,8189,6648
706,2901,8196,6640
764,2827,8186,6623
832,2756,8196,6640
904,2667,8189,6658
984,2582,8196,6695
1062,2504,8186,6705
1135,2437,8196,6723
1196,2359,8191,6732
1261,2292,8196,6778
1327,2239,8183,6824
1387,2205,8196,6889
1427,2169,8196,6949
1463,2147,8196,7055
1508,2131,8157,7179
1564,2118,8134,7331
1609,2085,8117,7463
1640,2060,8134,7608
1661,2051,8130,7743
1690,2060,8134,7884
1719,2051,8122,7979
1741,2031,8134,8050
1750,2006,8128,8081
1766,2002,8134,8106
1783,2002,8122,8094
1791,2002,8134,8078
1784,1986,8129,8041
1791,1973,8134,8023
1815,1965,8120,7991
1841,1973,8134,7967
1850,1976,8135,7926
1867,1973,8134,7912
1901,1956,8092,7902
1942,1944,8071,7912
1967,1938,8057,7897
1993,1944,8071,7884
2028,1937,8063,7852
2068,1915,8071,7829
2094,1878,8068,7775
2119,1857,8071,7718
2142,1852,8035,7645
2144,1857,8009,7608
2102,1853,7989,7580
2043,1857,8009,7580
1989,1867,8009,7569
1942,1886,8009,7580
1879,1896,7991,7579
1816,1915,8009,7580
1768,1932,8014,7546
1741,1944,8009,7525
1713,1939,7963,7493
1690,1944,7946,7469
1670,1961,7940,7417
1665,1973,7946,7387
1659,1960,7909,7363
1665,1944,7883,7359
1665,1951,7869,7318
1665,1973,7883,7276
1647,1982,7859,7223
1640,1973,7821,7193
1642,1965,7771,7138
1665,1973,7758,7082
1674,1986,7732,7018
1665,2002,7696,6999
1627,2030,7624,6990
1589,2089,7571,6999
1545,2149,7509,6995
1513,2147,7446,7027
1545,1992,7344,7065
1715,1654,7258,7110
2013,1153,7182,7109
2371,580,7133,7110
2779,10,7048,7103
3304,-493,6945,7110
3908,-923,6828,7080
4414,-1276,6757,7055
4696,-1574,6694,7026
4818,-1799,6632,7027
4857,-1924,6532,7017
4818,-1886,6444,7027
4756,-1660,6349,7031
4818,-1247,6257,7055
4948,-708,6143,7061
4818,-87,6069,7082
4187,557,6008,7092
3254,1189,5944,7110
2398,1743,5834,7102
1791,2176,5756,7110
1360,2454,5715,7108
1059,2611,5694,7110
904,2685,5623,7078
858,2727,5568,7055
824,2748,5550,7029
782,2756,5568,7027
762,2754,5542,7006
782,2756,5506,6999
792,2759,5483,6981
782,2756,5506,6972
765,2740,5510,6937
782,2727,5506,6916
812,2725,5489,6892
832,2727,5506,6889
826,2717,5528,6867
832,2698,5568,6861
855,2677,5593,6851
883,2669,5631,6861
883,2665,5673,6855
883,2669,5756,6861
903,2668,5847,6855
933,2669,5944,6861
942,2663,6006,6842
933,2669,6069,6833
928,2678,6123,6820
933,2698,6194,6833
934,2710,6235,6833
933,2727,6257,6833
933,2746,6246,6810
933,2785,6257,6806
923,2827,6277,6798
908,2872,6319,6806
887,2911,6345,6782
858,2959,6382,6750
815,3005,6409,6698
782,3046,6444,6667
764,3072,6464,6633
757,3104,6507,6612
736,3137,6542,6566
706,3162,6570,6529
681,3155,6559,6486
681,3133,6570,6474
698,3103,6594,6455
732,3075,6632,6446
773,3026,6629,6420
832,2959,6632,6418
903,2872,6649,6412
984,2785,6695,6418
1066,2694,6704,6397
1160,2611,6695,6391
1260,2524,6673,6380
1362,2437,6695,6391
1453,2343,6724,6383
1539,2263,6757,6391
1617,2196,6755,6399
1690,2147,6757,6446
1745,2099,6749,6498
1791,2060,6757,6584
1829,2024,6749,6677
1867,2002,6757,6806
1893,1982,6754,6933
1917,1973,6757,7082
1939,1958,6742,7223
1968,1944,6757,7387
1986,1922,6782,7538
1993,1915,6820,7691
1987,1913,6819,7805
1993,1915,6820,7912
2006,1900,6811,7986
2018,1886,6820,8050
2009,1878,6809,8069
1993,1886,6820,8078
1983,1888,6837,8061
1993,1886,6882,8050
2006,1879,6908,8011
2018,1886,6945,7967
2024,1890,6970,7902
2043,1886,7008,7857
2074,1867,7025,7807
2119,1857,7070,7774
2159,1856,7120,7724
2195,1857,7195,7691
2225,1834,7249,7652
2270,1799,7320,7635
2315,1761,7378,7603
2346,1741,7446,7580
2342,1732,7490,7541
2321,1741,7571,7525
2287,1753,7659,7501
2245,1770,7758,7497
2184,1780,7814,7484
2119,1799,7883,7497
2052,1815,7961,7504
1993,1828,8071,7525
1940,1825,8157,7520
1917,1828,8259,7525
1916,1841,8365,7516
1917,1857,8509,7525
1892,1859,8631,7517
1867,1857,8759,7525
1855,1857,8870,7519
1867,1857,9010,7525
1868,1854,9132,7506
1867,1857,9260,7497
1860,1862,9351,7475
1867,1857,9448,7469
1865,1846,9527,7448
1867,1857,9635,7442
1856,1887,9727,7421
1841,1915,9823,7414
1797,1947,9881,7391
1741,2031,9948,7387
1687,2108,9999,7369
1690,2031,10073,7359
1809,1687,10129,7323
2094,1160,10198,7304
2500,591,10232,7279
2951,58,10261,7276
3434,-449,10268,7255
3986,-899,10324,7248
4510,-1265,10386,7228
4818,-1538,10449,7221
4860,-1754,10447,7196
4818,-1886,10449,7193
4820,-1887,10459,7185
4818,-1712,10511,7193
4782,-1378,10522,7175
4818,-899,10511,7165
4857,-312,10462,7150
4566,348,10449,7165
3747,1006,10438,7166
2699,1596,10449,7165
1876,2048,10417,7140
1413,2350,10386,7138
1127,2517,10335,7133
908,2611,10324,7138
782,2663,10312,7107
757,2698,10324,7082
750,2714,10294,7054
732,2727,10261,7055
719,2733,10206,7039
732,2727,10198,7027
735,2709,10193,6999
732,2698,10198,6999
724,2699,10157,6994
732,2698,10136,6999
740,2683,10120,6979
757,2669,10136,6972
767,2667,10107,6961
782,2669,10073,6972
791,2655,10020,6959
807,2640,10011,6944
819,2633,10000,6906
832,2640,10011,6889
844,2638,9982,6865
858,2640,9948,6861
863,2645,9892,6841
858,2669,9886,6833
842,2694,9882,6812
832,2727,9886,6806
832,2755,9841,6784
832,2785,9823,6778
816,2808,9812,6765
782,2843,9823,6778
740,2883,9786,6777
706,2930,9760,6778
680,2968,9739,6754
656,3017,9760,6750
614,3073,9757,6745
555,3133,9760,6750
492,3169,9746,6729
454,3191,9760,6723
438,3204,9754,6713
429,3220,9760,6723
410,3218,9748,6706
404,3191,9760,6695
419,3134,9753,6671
454,3075,9760,6667
496,3016,9747,6646
555,2959,9760,6640
629,2880,9757,6627
706,2785,9760,6640
768,2677,9722,6635
832,2582,9698,6640
913,2500,9675,6635
1009,2437,9698,6667
1092,2368,9702,6701
1160,2292,9698,6750
1221,2207,9652,6786
1286,2147,9635,6861
1342,2110,9622,6955
1387,2089,9635,7082
1423,2057,9624,7202
1463,2031,9635,7359
1503,2010,9633,7522
1539,2002,9635,7691
1563,1985,9594,7815
1589,1973,9573,7940
1616,1957,9556,8052
1640,1944,9573,8161
1643,1923,9565,8219
1640,1915,9573,8272
1643,1914,9566,8311
1665,1915,9573,8355
1684,1898,9537,8354
1690,1886,9510,8355
1683,1882,9486,8348
1690,1886,9510,8355
1712,1873,9516,8326
1741,1857,9510,8299
1762,1847,9463,8263
1791,1857,9448,8244
1828,1862,9438,8199
1867,1857,9448,8161
1891,1839,9414,8110
1917,1828,9385,8078
1951,1815,9342,8027
1993,1799,9323,7995
2022,1767,9281,7956
2043,1741,9260,7940
2051,1729,9222,7904
2043,1741,9197,7884
2003,1755,9148,7857
1942,1770,9135,7857
1874,1779,9126,7839
1816,1799,9135,7829
1762,1816,9098,7802
1715,1828,9072,7801
1671,1824,9051,7795
1640,1828,9072,7801
1616,1841,9071,7781
1614,1857,9072,7774
1622,1859,9054,7754
1640,1857,9072,7746
1642,1857,9074,7712
1640,1857,9072,7691
1630,1854,9028,7664
1640,1857,9010,7663
1651,1862,8995,7644
1665,1857,9010,7635
1661,1846,9000,7612
1665,1857,9010,7608
1660,1886,9006,7588
1640,1915,9010,7580
1580,1957,8971,7556
1513,2060,8947,7552
1462,2158,8928,7535
1463,2089,8947,7525
1576,1736,8943,7489
1867,1189,8947,7469
2284,602,8935,7444
2724,58,8947,7442
3182,-452,8940,7422
3759,-899,8947,7414
4389,-1260,8937,7392
4818,-1538,8947,7387
4902,-1768,8938,7366
4818,-1915,8947,7359
4785,-1920,8937,7337
4818,-1741,8947,7331
4828,-1396,8938,7310
4818,-899,8947,7304
4727,-292,8938,7282
4339,377,8947,7276
3533,1024,8938,7255
2548,1596,8947,7248
1746,2041,8938,7226
1261,2350,8947,7221
974,2524,8938,7200
782,2611,8947,7193
671,2647,8938,7170
631,2669,8947,7165
606,2682,8938,7146
580,2698,8947,7138
559,2714,8938,7112
555,2727,8947,7110
549,2729,8938,7104
555,2727,8947,7110
566,2725,8938,7089
580,2727,8947,7082
578,2727,8938,7072
580,2727,8947,7082
587,2726,8938,7068
605,2727,8947,7055
617,2725,8938,7027
631,2727,8947,7027
634,2725,8938,7022
631,2727,8947,7027
623,2722,8938,7007
631,2727,8947,6999
649,2736,8938,6979
656,2756,8947,6972
635,2768,8938,6947
605,2785,8947,6944
588,2804,8938,6937
580,2843,8947,6944
561,2884,8938,6926
530,2930,8947,6916
500,2968,8938,6895
479,3017,8947,6889
450,3071,8938,6866
404,3133,8947,6861
347,3182,8938,6844
303,3220,8947,6833
274,3246,8938,6797
252,3278,8947,6778
224,3300,8938,6756
202,3307,8947,6750
194,3283,8938,6717
202,3249,8947,6695
218,3207,8938,6668
252,3162,8947,6667
300,3096,8938,6649
353,3017,8947,6640
406,2927,8938,6615
479,2843,8947,6612
570,2755,8938,6601
656,2669,8947,6612
719,2577,8938,6607
782,2495,8947,6612
858,2416,8938,6598
933,2350,8947,6612
987,2286,8938,6634
1034,2234,8947,6695
1087,2184,8937,6759
1135,2147,8947,6861
1162,2112,8939,6977
1186,2089,8947,7138
1221,2068,8936,7298
1261,2060,8947,7469
1281,2047,8941,7610
1286,2031,8947,7746
1294,2008,8934,7846
1312,2002,8947,7940
1326,2002,8947,7996
1337,2002,8947,8050
1347,1984,8907,8085
1362,1973,8885,8133
1375,1970,8870,8155
1387,1973,8885,8161
1391,1958,8863,8128
1387,1944,8822,8106
1378,1937,8749,8075
1387,1944,8697,8050
1418,1944,8634,7991
1463,1944,8572,7940
1495,1942,8475,7886
1513,1944,8384,7857
1530,1932,8265,7809
1564,1915,8134,7774
1605,1887,7965,7733
1640,1857,7821,7718
1656,1821,7688,7688
1665,1799,7571,7663
1661,1790,7414,7614
1640,1799,7258,7580
1592,1808,7093,7539
1539,1828,6945,7525
1487,1845,6775,7502
1438,1857,6632,7497
1381,1853,6514,7475
1337,1857,6444,7469
1315,1869,6355,7457
1312,1886,6257,7469
1301,1889,6142,7467
1286,1886,6069,7469
1275,1884,6002,7448
1286,1886,5944,7442
1299,1885,5864,7423
1312,1886,5819,7414
1308,1890,5782,7379
1312,1886,5756,7359
1318,1870,5704,7334
1337,1857,5694,7331
1341,1861,5714,7303
1337,1886,5756,7276
1313,1922,5753,7233
1286,1973,5756,7221
1253,2022,5773,7202
1236,2031,5819,7193
1258,1922,5841,7165
1362,1654,5881,7165
1580,1223,5934,7163
1917,696,6006,7165
2334,132,6040,7131
2800,-406,6069,7110
3313,-886,6091,7088
3885,-1276,6132,7082
4436,-1589,6156,7048
4818,-1828,6194,7027
4918,-1985,6224,7011
4818,-2002,6257,7027
4737,-1851,6270,7026
4818,-1538,6319,7027
4938,-1094,6384,7007
4818,-522,6444,6999
4293,138,6445,6976
3481,812,6444,6972
2636,1397,6459,6955
1942,1857,6507,6944
1438,2178,6535,6908
1110,2379,6570,6889
930,2475,6597,6865
858,2524,6632,6861
827,2557,6631,6847
807,2582,6632,6861
794,2585,6625,6873
807,2582,6632,6889
831,2583,6620,6869
858,2582,6632,6861
868,2567,6655,6853
883,2553,6695,6861
901,2551,6697,6833
933,2553,6695,6806
958,2540,6683,6774
984,2524,6695,6778
998,2517,6691,6774
1009,2524,6695,6778
1006,2524,6686,6767
1009,2524,6695,6778
1019,2520,6689,6777
1034,2524,6695,6778
1039,2521,6686,6747
1034,2524,6695,6723
1022,2530,6689,6694
1009,2553,6695,6695
995,2577,6685,6689
984,2611,6695,6695
967,2648,6691,6686
933,2698,6695,6695
882,2743,6680,6691
832,2785,6695,6695
793,2821,6716,6675
757,2872,6757,6667
709,2929,6780,6655
656,2988,6820,6667
604,3031,6850,6665
555,3075,6882,6667
493,3120,6876,6647
429,3162,6882,6640
376,3174,6897,6619
353,3162,6945,6612
349,3133,6973,6588
353,3104,7008,6584
357,3064,7028,6575
378,3017,7070,6584
419,2950,7095,6569
479,2872,7133,6557
541,2782,7156,6529
605,2698,7195,6529
674,2612,7218,6523
757,2524,7258,6529
844,2428,7281,6515
933,2350,7320,6529
1014,2287,7358,6554
1085,2234,7446,6612
1138,2170,7537,6657
1186,2118,7633,6723
1232,2081,7686,6796
1286,2060,7758,6916
1340,2029,7840,7043
1387,2002,7946,7193
1417,1979,8010,7326
1438,1973,8071,7469
1457,1960,8135,7591
1488,1944,8259,7718
1526,1923,8383,7818
1564,1915,8509,7912
1585,1902,8594,7969
1589,1886,8697,8023
1583,1863,8804,8049
1589,1857,8947,8078
1611,1857,9070,8077
1640,1857,9197,8078
1656,1840,9306,8058
1665,1828,9448,8050
1679,1824,9575,8022
1715,1828,9698,7995
1765,1816,9781,7945
1816,1799,9886,7912
1855,1788,9979,7875
1892,1799,10073,7857
1927,1798,10124,7813
1968,1770,10198,7774
2006,1716,10265,7719
2043,1683,10324,7691
2066,1676,10316,7656
2068,1683,10324,7635
2039,1677,10343,7597
1993,1683,10386,7580
1939,1706,10380,7557
1892,1741,10386,7552
1835,1757,10401,7529
1766,1770,10449,7525
1690,1783,10450,7514
1640,1799,10449,7525
1618,1799,10435,7518
1614,1799,10449,7525
1601,1809,10422,7516
1589,1828,10386,7525
1581,1834,10331,7518
1589,1828,10324,7525
1588,1824,10317,7510
1589,1828,10324,7497
1585,1831,10287,7459
1589,1828,10261,7442
1585,1824,10218,7420
1589,1828,10198,7414
1589,1837,10156,7389
1589,1857,10136,7387
1560,1906,10097,7380
1513,2002,10073,7387
1449,2088,10025,7366
1413,2060,10011,7359
1477,1822,9999,7340
1715,1393,10011,7331
2078,850,9978,7295
2472,290,9948,7276
2905,-248,9901,7254
3481,-725,9886,7248
4134,-1123,9849,7214
4616,-1422,9823,7193
4794,-1660,9775,7168
4818,-1857,9760,7165
4835,-1984,9744,7143
4818,-1944,9760,7138
4763,-1690,9756,7129
4818,-1247,9760,7138
4955,-702,9726,7120
4818,-87,9698,7110
4128,567,9651,7095
3103,1218,9635,7110
2185,1773,9601,7109
1564,2176,9573,7110
1136,2418,9519,7086
832,2553,9510,7082
672,2623,9506,7074
631,2669,9510,7082
609,2691,9467,7066
580,2698,9448,7055
566,2695,9435,7030
580,2698,9448,7027
584,2703,9431,7010
580,2698,9448,6999
580,2680,9474,6965
605,2669,9510,6944
631,2669,9480,6917
656,2669,9448,6916
667,2654,9423,6908
681,2640,9448,6916
691,2635,9447,6909
706,2640,9448,6916
716,2638,9430,6909
732,2640,9448,6916
746,2640,9447,6909
757,2640,9448,6916
757,2630,9409,6903
757,2640,9385,6889
759,2665,9362,6851
757,2698,9385,6833
737,2711,9390,6812
706,2727,9385,6806
676,2759,9338,6781
656,2814,9323,6778
634,2861,9314,6773
605,2901,9323,6778
567,2937,9286,6757
530,2988,9260,6750
492,3035,9239,6743
454,3075,9260,6750
412,3101,9258,6731
378,3133,9260,6723
351,3165,9244,6712
328,3191,9260,6723
306,3187,9259,6708
303,3162,9260,6695
320,3120,9221,6669
353,3075,9197,6667
387,3018,9175,6650
429,2959,9197,6640
484,2889,9202,6612
555,2814,9197,6612
628,2725,9151,6606
706,2640,9135,6612
789,2552,9125,6597
883,2466,9135,6612
975,2372,9101,6638
1059,2292,9072,6695
1128,2225,9047,6738
1186,2176,9072,6806
1234,2126,9079,6882
1286,2089,9072,6999
1345,2057,9024,7120
1413,2031,9010,7276
1471,1996,9003,7433
1513,1973,9010,7608
1538,1955,8972,7757
1564,1944,8947,7912
1598,1923,8927,8041
1640,1915,8947,8161
1670,1913,8944,8233
1690,1915,8947,8299
1701,1898,8934,8341
1715,1886,8947,8382
1727,1881,8941,8383
1741,1886,8947,8382
1751,1873,8934,8363
1766,1857,8947,8355
1777,1847,8942,8322
1791,1857,8947,8299
1808,1862,8932,8264
1841,1857,8947,8244
1881,1838,8948,8200
1917,1828,8947,8161
1940,1825,8904,8108
1968,1828,8885,8078
2003,1817,8872,8033
2043,1799,8885,7995
2070,1768,8856,7939
2094,1741,8822,7912
2112,1716,8773,7887
2119,1712,8759,7884
2093,1721,8745,7862
2043,1741,8759,7857
1979,1754,8757,7846
1917,1770,8759,7857
1851,1782,8722,7842
1791,1799,8697,7829
1735,1810,8675,7800
1690,1828,8697,7801
1647,1845,8701,7797
1614,1857,8697,7801
1591,1855,8653,7780
1589,1857,8634,7774
1588,1869,8620,7756
1589,1886,8634,7746
1574,1891,8627,7709
1564,1886,8634,7691
1549,1882,8626,7669
1539,1886,8634,7663
1520,1896,8620,7629
1513,1915,8634,7608
1504,1939,8653,7582
1488,1973,8697,7580
1442,2028,8701,7559
1387,2118,8697,7552
1326,2195,8675,7533
1286,2176,8697,7525
1322,1966,8722,7489
1513,1567,8759,7469
1854,1034,8757,7446
2270,464,8759,7442
2721,-89,8747,7411
3254,-580,8759,7387
3847,-991,8752,7356
4364,-1306,8759,7359
4679,-1561,8749,7355
4818,-1770,8759,7359
4850,-1894,8751,7330
4818,-1828,8759,7304
4780,-1530,8750,7261
4818,-1044,8759,7248
4830,-474,8751,7237
4540,145,8759,7248
3804,791,8750,7243
2850,1422,8759,7248
2031,1938,8750,7232
1488,2292,8759,7221
