I,II,PLETH,RESP
6517,8924,4741,621
6509,8929,4648,611
6517,8924,4563,603
6511,8908,4466,599
6517,8924,4385,603
6509,8921,4308,605
6517,8924,4242,603
6511,8893,4153,594
6517,8850,4064,585
6508,8762,3969,581
6517,8701,3886,585
6513,8651,3791,588
6517,8627,3707,585
6506,8575,3627,575
6517,8552,3565,567
6517,8540,3493,566
6517,8552,3422,567
6497,8538,3343,562
6517,8552,3280,550
6551,8560,3219,536
6586,8552,3173,532
6576,8471,3116,532
6586,8404,3066,532
6633,8373,3017,524
6725,8404,2994,514
6777,8408,2975,510
6794,8404,2959,514
6780,8364,2931,518
6794,8329,2923,514
6798,8270,2923,503
6794,8255,2923,496
6770,8269,2900,496
6794,8329,2888,496
6833,8366,2894,489
6864,8404,2923,479
6846,8405,2931,474
6864,8404,2923,479
6923,8377,2910,482
7002,8404,2923,479
7014,8464,2942,468
7002,8552,2959,461
6988,8576,2955,459
7002,8552,2959,461
6996,8471,2971,461
7002,8404,2994,461
7001,8357,2999,461
7002,8404,2994,461
6978,8502,2984,459
7002,8627,2994,461
7065,8683,3010,463
7141,8701,3030,461
7149,8686,3032,451
7141,8701,3030,443
7132,8702,3023,441
7141,8701,3030,443
7107,8660,3033,442
7072,8627,3030,443
7045,8578,3009,451
7072,8552,2994,461
7115,8528,2987,463
7210,8552,2994,461
7333,8584,2995,459
7488,8627,2994,461
7604,8626,2978,461
7696,8627,2959,461
7740,8598,2933,460
7765,8552,2923,461
7720,8442,2920,461
7626,8329,2923,461
7495,8224,2907,460
7418,8180,2888,461
7394,8158,2864,460
7418,8180,2852,461
7417,8190,2834,461
7418,8180,2816,461
7426,8103,2793,460
7488,8032,2781,461
7552,7990,2763,461
7626,8032,2745,461
7684,8098,2719,459
7765,8180,2709,461
7819,8204,2708,463
7834,8180,2709,461
7772,8095,2691,452
7696,8032,2674,443
7596,7982,2654,440
7488,7957,2638,443
7334,7907,2613,444
7210,7883,2602,443
7138,7869,2600,441
7141,7883,2602,443
7141,7872,2585,445
7141,7883,2567,443
7128,7906,2547,435
7141,7957,2531,426
7143,7967,2506,421
7141,7957,2495,426
7103,7935,2494,429
7072,7957,2495,426
7021,7967,2475,415
7002,7957,2460,408
6977,7898,2455,407
7002,7883,2460,408
7024,7900,2444,400
7072,7957,2424,390
7077,7961,2413,385
7072,7957,2424,390
7032,7962,2429,394
7002,8032,2424,390
6932,8069,2403,379
6794,8032,2388,372
6489,7872,2380,372
6032,7660,2388,372
5509,7357,2392,364
5200,6991,2388,355
5367,6648,2368,350
6240,6619,2353,355
7807,7058,2345,358
9914,7957,2353,355
12197,9095,2354,345
14282,10337,2353,337
15761,11519,2347,334
16362,12494,2353,337
15885,13020,2355,339
14421,13014,2353,337
12333,12494,2333,327
10261,11676,2317,319
8698,10773,2309,316
7834,10040,2317,319
7472,9552,2319,320
7349,9296,2317,319
7211,9109,2311,317
7002,8924,2317,319
6751,8709,2321,322
6586,8552,2317,319
6505,8451,2296,310
6448,8404,2281,301
6334,8330,2275,299
6240,8255,2281,301
6205,8185,2280,302
6240,8180,2281,301
6241,8183,2279,301
6240,8180,2281,301
6221,8110,2277,301
6240,8032,2281,301
6231,7934,2284,302
6240,7883,2281,301
6233,7851,2260,299
6240,7883,2246,301
6223,7900,2241,309
6240,7883,2246,319
6286,7793,2240,322
6378,7734,2246,319
6432,7713,2278,315
6448,7734,2353,319
6426,7724,2441,328
6448,7734,2531,337
6481,7737,2595,339
6517,7734,2638,337
6525,7695,2656,334
6586,7734,2674,337
6686,7838,2690,345
6794,7957,2709,355
6832,7991,2711,358
6864,8032,2709,355
6913,8098,2704,350
7002,8180,2709,355
7065,8198,2710,365
7141,8255,2709,372
7230,8380,2703,372
7349,8552,2709,372
7424,8639,2713,379
7488,8701,2709,390
7556,8800,2687,399
7696,8998,2674,408
7862,9193,2668,418
8042,9370,2674,426
8163,9505,2669,426
8250,9668,2674,426
8322,9840,2686,431
8458,10040,2709,443
8613,10183,2714,453
8736,10263,2709,461
8753,10275,2699,468
8736,10337,2709,479
8718,10442,2726,488
8736,10560,2745,496
8733,10583,2747,504
8736,10560,2745,514
8728,10530,2739,523
8736,10560,2745,532
8727,10578,2745,540
8736,10560,2745,550
8720,10459,2737,559
8666,10337,2745,567
8532,10185,2760,574
8389,10040,2781,585
8245,9855,2783,596
8112,9668,2781,603
7934,9461,2774,602
7765,9296,2781,603
7608,9155,2781,609
7488,9073,2781,621
7344,8973,2773,630
7210,8850,2781,638
7083,8677,2795,646
7002,8552,2816,656
6923,8462,2820,665
6864,8404,2816,674
6788,8312,2806,682
6725,8255,2816,691
6643,8214,2833,700
6586,8180,2852,709
6536,8070,2852,717
6517,7957,2852,727
6480,7878,2849,735
6448,7883,2852,745
6398,7882,2848,753
6378,7883,2852,762
6365,7863,2853,770
6378,7883,2852,780
6375,7909,2831,788
6378,7957,2816,798
6366,7965,2809,806
6378,7957,2816,816
6397,7928,2815,823
6448,7957,2816,833
6484,7999,2813,842
6517,8032,2816,851
6532,8011,2812,859
6586,8032,2816,869
6652,8092,2817,877
6725,8180,2816,886
6757,8215,2796,893
6794,8255,2781,904
6826,8291,2772,914
6864,8329,2781,922
6863,8317,2781,921
6864,8329,2781,922
6857,8361,2775,927
6864,8404,2781,940
6849,8389,2780,949
6864,8404,2781,957
6912,8462,2774,965
7002,8552,2781,975
7038,8568,2782,983
7002,8552,2781,993
6912,8531,2759,1000
6864,8552,2745,1011
6837,8550,2735,1018
6794,8552,2745,1028
6682,8541,2755,1036
6586,8552,2781,1046
6552,8544,2798,1053
6586,8552,2816,1064
6577,8546,2821,1072
6517,8552,2852,1081
6443,8537,2896,1087
6448,8552,2959,1099
6471,8558,3014,1115
6448,8552,3101,1135
6334,8476,3212,1146
6240,8404,3351,1152
6211,8360,3481,1156
6240,8404,3636,1170
6221,8469,3815,1188
6170,8552,4028,1206
6112,8594,4235,1214
6101,8627,4456,1223
6097,8618,4677,1232
6101,8627,4919,1241
6074,8637,5158,1246
6032,8701,5419,1259
5954,8768,5672,1276
5893,8850,5918,1294
5845,8886,6127,1301
5824,8924,6345,1312
5783,8963,6562,1328
5754,9073,6773,1347
5735,9189,6928,1356
5754,9296,7058,1365
5759,9350,7175,1379
5754,9445,7308,1401
5734,9573,7420,1413
5754,9742,7522,1418
5770,9881,7595,1421
5754,10040,7664,1436
5674,10171,7714,1454
5616,10263,7771,1472
5597,10259,7811,1479
5616,10263,7843,1489
5603,10284,7841,1502
5616,10337,7843,1525
5702,10353,7828,1544
5893,10411,7807,1560
6069,10511,7751,1568
6170,10635,7700,1578
6192,10659,7644,1591
6240,10635,7593,1613
6317,10602,7506,1633
6378,10635,7415,1649
6335,10626,7315,1655
6240,10560,7237,1667
6164,10441,7144,1682
6170,10411,7058,1702
6184,10463,6962,1712
6170,10560,6880,1720
6134,10576,6776,1725
6170,10560,6666,1737
6267,10533,6532,1747
6378,10560,6417,1755
6425,10563,6302,1759
6448,10560,6203,1773
6456,10534,6080,1789
6448,10560,5953,1808
6344,10590,5805,1817
6170,10635,5668,1826
5970,10632,5528,1833
5824,10635,5419,1844
5707,10603,5309,1850
5616,10560,5205,1862
5524,10445,5074,1870
5477,10337,4955,1879
5461,10271,4838,1878
5477,10337,4741,1879
5477,10451,4631,1883
5477,10560,4527,1897
5469,10574,4414,1906
5477,10560,4313,1915
5471,10538,4209,1915
5477,10560,4135,1915
5467,10558,4074,1911
5477,10560,4028,1915
5467,10540,3957,1921
5477,10560,3886,1932
5468,10561,3818,1933
5477,10560,3779,1932
5469,10489,3730,1929
5477,10411,3672,1932
5478,10335,3601,1933
5477,10337,3565,1932
5396,10329,3546,1922
5200,10263,3529,1915
4869,10049,3485,1910
4506,9742,3458,1915
4213,9317,3450,1916
4160,8850,3458,1915
4503,8445,3439,1904
5408,8404,3422,1897
6837,8855,3413,1888
8597,9742,3422,1879
10355,10721,3417,1865
11855,11601,3422,1862
12824,12319,3435,1862
13034,12940,3458,1862
12312,13267,3458,1845
10816,13089,3458,1826
8969,12331,3465,1811
7349,11378,3494,1808
6287,10640,3513,1800
5824,10337,3529,1791
5717,10275,3529,1778
5754,10263,3529,1773
5792,10181,3521,1765
5824,10114,3529,1755
5811,10043,3543,1736
5754,9965,3565,1720
5643,9832,3566,1705
5546,9742,3565,1702
5485,9709,3558,1696
5477,9742,3565,1684
5467,9743,3564,1663
5477,9742,3565,1649
5489,9725,3559,1639
5546,9742,3565,1631
5584,9734,3565,1612
5616,9742,3565,1596
5607,9714,3545,1583
5616,9668,3529,1578
5614,9547,3517,1562
5616,9445,3529,1542
5597,9372,3535,1520
5616,9370,3529,1507
5668,9362,3503,1496
5754,9370,3494,1489
5802,9359,3492,1479
5824,9370,3494,1472
5832,9358,3472,1461
5893,9370,3458,1454
5965,9364,3453,1443
6032,9370,3458,1436
6058,9351,3442,1426
6101,9370,3422,1418
6139,9373,3400,1408
6170,9370,3387,1401
6176,9332,3363,1391
6240,9370,3351,1383
6346,9464,3346,1372
6448,9593,3351,1365
6474,9660,3336,1361
6517,9742,3315,1365
6625,9838,3291,1366
6794,9965,3280,1365
6917,10034,3261,1355
7002,10114,3244,1347
7061,10226,3220,1343
7141,10411,3208,1347
7221,10569,3190,1348
7349,10709,3173,1347
7494,10827,3147,1343
7626,11006,3137,1347
7675,11194,3133,1356
7696,11378,3137,1365
7716,11495,3121,1365
7765,11601,3101,1365
7777,11679,3077,1369
7765,11750,3066,1383
7721,11756,3048,1393
7696,11750,3030,1401
7679,11735,3004,1399
7696,11750,2994,1401
7685,11708,2991,1405
7626,11601,2994,1418
7505,11409,2980,1429
7418,11230,2959,1436
7373,11064,2931,1434
7349,10932,2923,1436
7261,10756,2920,1442
7141,10560,2923,1454
6998,10327,2918,1456
6864,10114,2923,1454
6708,9882,2925,1448
6586,9668,2923,1454
6499,9452,2902,1462
6448,9296,2888,1472
6353,9143,2881,1471
6240,8998,2888,1472
6132,8823,2885,1470
6101,8701,2888,1472
6098,8613,2887,1469
6101,8552,2888,1472
6060,8418,2868,1473
6032,8255,2852,1472
6016,8093,2842,1460
6032,8032,2852,1454
6028,8017,2853,1453
6032,8032,2852,1454
6024,7996,2844,1444
6032,7957,2852,1436
6023,7902,2855,1433
6032,7883,2852,1436
6030,7865,2829,1430
6032,7883,2816,1418
6014,7884,2811,1405
6032,7883,2816,1401
6063,7858,2813,1393
6101,7883,2816,1383
6096,7922,2817,1364
6101,7957,2816,1347
6122,7941,2795,1334
6170,7957,2781,1330
6178,7994,2774,1323
6170,8032,2781,1312
6169,8013,2778,1292
6240,8032,2781,1277
6341,8097,2780,1266
6448,8180,2781,1259
6497,8187,2762,1242
6517,8180,2745,1223
6509,8178,2735,1208
6517,8180,2745,1206
6513,8107,2747,1201
6517,8032,2745,1188
6508,7997,2736,1166
6517,8032,2745,1152
6515,8041,2749,1144
6517,8032,2745,1135
6505,7989,2719,1115
6517,7957,2709,1099
6521,7906,2718,1089
6517,7883,2745,1081
6475,7869,2751,1063
6448,7883,2745,1046
6416,7875,2733,1035
6378,7883,2745,1028
6298,7878,2760,1012
6240,7883,2781,993
6217,7866,2790,979
6240,7883,2816,975
6241,7911,2846,969
6240,7957,2888,957
6228,7959,2926,938
6240,7957,2994,922
6236,7944,3076,909
6240,7957,3173,904
6231,7951,3263,898
6240,7957,3387,886
6234,7949,3535,867
6240,7957,3707,851
6235,7947,3861,840
6240,7957,4028,833
6209,7954,4210,823
6170,7957,4420,816
6137,7938,4607,813
6170,7957,4777,816
6216,7988,4926,810
6240,8032,5098,798
6215,8030,5271,784
6240,8032,5454,780
6313,8022,5624,780
6378,8032,5811,780
6330,8019,5991,771
6240,8032,6167,762
6188,8032,6309,758
6240,8032,6452,762
6314,8003,6591,765
6378,8032,6738,762
6388,8098,6852,752
6378,8180,6951,745
6355,8187,7024,742
6378,8180,7094,745
6415,8188,7143,745
6448,8255,7201,745
6436,8298,7242,743
6448,8329,7272,745
6478,8339,7268,745
6517,8404,7272,745
6510,8495,7272,743
6517,8627,7272,745
6542,8737,7237,746
6586,8850,7201,745
6588,8926,7160,736
6586,8998,7130,727
6579,9035,7074,723
6586,9073,7023,727
6570,9075,6963,730
6586,9073,6916,727
6636,9049,6843,716
6725,9073,6773,709
6787,9127,6693,708
6864,9222,6631,709
6973,9275,6555,703
7141,9296,6488,691
7276,9260,6401,678
7349,9222,6310,674
7346,9148,6195,674
7349,9073,6096,674
7353,8978,6000,666
7349,8924,5918,656
7282,8880,5810,645
7210,8850,5704,638
7170,8773,5587,630
7210,8701,5490,621
7274,8635,5390,610
7349,8627,5312,603
7389,8619,5224,596
7418,8627,5133,585
7416,8614,5018,567
7418,8627,4919,550
7393,8623,4824,538
7349,8627,4741,532
7252,8609,4642,524
7141,8627,4563,514
7002,8636,4489,504
6864,8627,4420,496
6705,8527,4325,487
6586,8404,4242,479
6515,8288,4175,469
6517,8255,4135,461
6523,8246,4079,452
6517,8255,4028,443
6474,8240,3981,434
6448,8255,3957,426
6434,8281,3922,416
6448,8329,3886,408
6441,8335,3840,399
6448,8329,3814,390
6437,8304,3789,380
6448,8329,3779,372
6433,8358,3768,364
6448,8404,3779,355
6444,8402,3783,343
6448,8404,3779,337
6431,8388,3751,337
6448,8404,3743,337
6445,8402,3752,329
6378,8404,3779,319
6162,8353,3781,315
5824,8255,3779,319
5379,8020,3771,323
4922,7660,3779,319
4579,7218,3777,309
4645,6916,3779,301
5381,6920,3774,299
6864,7362,3779,301
8763,8165,3775,302
10677,9222,3779,301
12369,10315,3776,300
13797,11304,3779,301
14619,12005,3773,302
14351,12345,3779,301
12883,12217,3779,300
10885,11676,3779,301
9139,10843,3758,302
7973,10040,3743,301
7227,9488,3734,300
6794,9296,3743,301
6597,9287,3744,304
6517,9296,3743,301
6381,9195,3726,292
6240,9073,3707,284
6154,8989,3681,281
6101,8998,3672,284
5968,9005,3668,284
5824,8998,3672,284
5746,8989,3655,283
5754,9073,3636,284
5747,9195,3612,282
5754,9296,3600,284
5772,9297,3580,286
5824,9296,3565,284
5824,9296,3543,274
5824,9296,3529,266
5809,9194,3508,264
5824,9073,3494,266
5834,8986,3472,266
5893,8998,3458,266
5967,9008,3437,268
6032,8998,3422,266
6030,8943,3401,257
6032,8924,3387,248
6051,8913,3365,246
6101,8924,3351,248
6124,8888,3330,248
6170,8850,3315,248
6251,8813,3294,249
6378,8850,3280,248
6466,8891,3258,240
6517,8924,3244,230
6532,8906,3223,228
6586,8924,3208,230
6669,8953,3186,232
6794,8998,3173,230
6903,9008,3153,229
7002,9073,3137,230
7064,9173,3114,231
7141,9296,3101,230
7224,9358,3083,230
7349,9445,3066,230
7479,9567,3040,230
7626,9742,3030,230
7738,9882,3027,230
7834,10040,3030,230
7912,10210,3013,230
8042,10411,2994,230
8187,10563,2983,230
8320,10709,2994,230
8388,10845,3000,230
8458,11006,2994,230
8529,11127,2971,230
8597,11230,2959,230
8602,11276,2955,230
8597,11304,2959,230
8588,11291,2945,230
8597,11304,2923,230
8584,11311,2879,230
8597,11304,2816,230
8608,11212,2725,230
8597,11081,2638,230
8500,10900,2567,230
8389,10709,2531,230
8297,10475,2507,230
8250,10263,2495,230
8164,10062,2478,230
8042,9891,2460,230
7888,9674,2434,231
7765,9445,2424,230
7630,9198,2421,229
7488,8998,2424,230
7322,8803,2417,231
7210,8627,2424,230
7131,8426,2439,228
7072,8255,2460,230
6963,8087,2461,239
6864,7957,2460,248
6794,7823,2456,250
6794,7734,2460,248
6793,7668,2456,247
6794,7660,2460,248
6780,7653,2462,249
6794,7660,2460,248
6776,7604,2438,247
6725,7511,2424,248
6630,7390,2420,249
6586,7362,2424,248
6576,7413,2408,246
6586,7511,2388,248
6562,7552,2377,251
6586,7585,2388,248
6672,7617,2394,238
6794,7660,2388,230
6813,7618,2366,229
6725,7511,2353,230
6582,7366,2347,230
6517,7288,2353,230
6521,7282,2352,233
6586,7362,2353,230
6678,7442,2349,220
6864,7511,2353,213
7104,7573,2352,213
7349,7734,2353,213
7523,7959,2349,204
7696,8180,2353,195
7876,8289,2352,194
8042,8329,2353,195
8105,8290,2348,189
8112,8180,2353,177
8083,7996,2354,167
8042,7883,2353,160
7941,7864,2333,150
7834,7883,2317,142
7725,7814,2308,134
7626,7734,2317,124
7502,7700,2319,112
7418,7734,2317,106
7373,7737,2307,108
7349,7734,2317,106
7277,7725,2333,91
7210,7734,2353,71
7162,7716,2351,58
7141,7734,2353,53
7073,7791,2359,46
7002,7883,2388,35
6964,7905,2418,25
7002,7883,2460,18
7029,7851,2502,10
7002,7883,2567,0
6913,7907,2632,-9
6864,7883,2709,-18
6850,7790,2785,-27
6864,7734,2888,-35
6841,7719,3002,-44
6864,7734,3137,-53
6917,7712,3269,-62
7002,7734,3422,-71
7014,7795,3588,-79
7002,7883,3779,-89
6986,7892,3968,-99
7002,7883,4171,-106
6968,7891,4366,-107
6864,7957,4563,-106
6626,7968,4739,-111
6240,7883,4919,-124
5655,7643,5085,-137
4992,7288,5240,-142
4449,6803,5362,-139
4368,6321,5490,-142
4986,6021,5624,-152
6378,6173,5775,-160
8275,6826,5904,-159
10330,7883,6025,-160
12230,9081,6129,-167
13797,10263,6238,-177
14679,11229,6329,-180
14490,11824,6417,-177
13080,11875,6476,-177
10954,11453,6524,-177
8923,10753,6551,-176
7626,10114,6595,-177
7084,9727,6635,-185
7002,9668,6666,-195
7069,9740,6652,-198
7210,9742,6631,-195
7333,9547,6605,-193
7349,9296,6595,-195
7191,9095,6561,-196
7002,8998,6524,-195
6890,8915,6478,-194
6864,8850,6452,-195
6822,8774,6407,-196
6794,8701,6345,-195
6785,8601,6260,-194
6794,8552,6203,-195
6745,8538,6151,-197
6725,8552,6096,-195
6739,8529,6002,-187
6794,8552,5918,-177
6793,8593,5842,-173
6794,8627,5775,-177
6793,8578,5670,-182
6794,8552,5561,-177
6762,8553,5458,-166
6794,8552,5383,-160
6891,8462,5294,-161
7002,8404,5205,-160
7013,8433,5097,-150
7002,8552,4991,-142
7034,8612,4872,-142
7141,8627,4777,-142
7203,8608,4687,-134
7210,8627,4599,-124
7181,8640,4483,-123
7210,8701,4385,-124
7268,8770,4304,-118
7349,8850,4242,-106
7404,8877,4154,-96
7488,8924,4064,-89
7581,8980,3979,-80
7696,9073,3921,-71
7767,9153,3852,-63
7834,9296,3779,-53
7906,9471,3696,-41
8042,9668,3636,-35
8204,9809,3579,-38
8389,9965,3529,-35
8538,10137,3468,-20
8666,10337,3422,0
8740,10486,3380,12
8805,10635,3351,18
8857,10777,3310,25
8944,10932,3280,35
9020,11020,3253,45
9082,11081,3244,53
9086,11129,3225,61
9082,11230,3208,71
9070,11318,3183,80
9082,11378,3173,89
9080,11336,3165,98
9082,11230,3173,106
9036,11068,3173,114
8944,10932,3173,124
8793,10786,3163,134
8666,10635,3173,142
8540,10438,3189,148
8389,10263,3208,160
8169,10079,3207,177
7973,9891,3208,195
7801,9649,3208,206
7626,9445,3208,213
7374,9297,3188,221
7141,9222,3173,230
6970,9095,3164,238
6864,8924,3173,248
6723,8728,3172,264
6586,8627,3173,284
6480,8578,3170,297
6448,8552,3173,301
6431,8468,3158,305
6448,8404,3137,319
6452,8371,3110,339
6448,8404,3101,355
6398,8407,3099,363
6378,8404,3101,372
6376,8382,3085,389
6378,8404,3066,408
6311,8406,3041,419
6240,8404,3030,426
6204,8374,3014,438
6240,8404,2994,461
6256,8463,2957,483
6240,8552,2923,496
6203,8592,2894,502
6240,8627,2888,514
6314,8650,2876,532
6378,8701,2852,550
6375,8711,2809,559
6378,8701,2781,567
6405,8670,2762,582
6448,8701,2745,603
6444,8762,2706,616
6448,8850,2674,621
6471,8892,2652,624
6517,8924,2638,638
6520,8921,2602,658
6517,8924,2567,674
6512,8905,2540,681
6517,8924,2531,691
6483,8952,2512,709
6448,8998,2495,727
6410,8999,2476,736
6378,8998,2460,745
6307,8985,2435,760
6240,8998,2424,780
6186,8989,2422,792
6170,8998,2424,798
6157,9010,2407,803
6170,9073,2388,816
6177,9137,2369,827
6170,9222,2353,833
6124,9263,2328,837
6101,9296,2317,851
6079,9308,2316,870
6032,9370,2317,886
5916,9420,2297,893
5824,9445,2281,904
5793,9413,2276,922
5824,9445,2281,940
5829,9538,2266,947
5824,9668,2246,957
5795,9716,2232,974
5754,9742,2246,993
5672,9780,2264,1001
5616,9891,2281,1011
5599,9978,2281,1026
5616,10040,2281,1046
5588,10056,2286,1056
5546,10114,2317,1064
5517,10182,2352,1077
5546,10263,2388,1099
5583,10273,2413,1112
5616,10263,2460,1117
5614,10252,2523,1120
5616,10337,2602,1135
5608,10452,2670,1153
5616,10560,2745,1170
5611,10570,2826,1178
5616,10560,2923,1188
5608,10560,3010,1203
5616,10635,3101,1223
5612,10688,3196,1235
5616,10709,3315,1241
5607,10680,3438,1245
5616,10709,3565,1259
5614,10751,3674,1276
5616,10783,3779,1294
5604,10752,3866,1304
5616,10783,3957,1312
5620,10878,4042,1318
5616,11006,4135,1330
5591,11028,4212,1339
5616,11006,4278,1347
5679,10996,4325,1353
5754,11081,4385,1365
5766,11164,4442,1376
5754,11230,4492,1383
5740,11228,4510,1381
5754,11230,4527,1383
5753,11211,4543,1389
5754,11230,4563,1401
5746,11247,4563,1407
5754,11304,4563,1418
5748,11339,4552,1428
5754,11378,4527,1436
5751,11372,4471,1434
5754,11378,4420,1436
5741,11365,4381,1444
5754,11378,4349,1454
5780,11368,4285,1453
5824,11378,4206,1454
5831,11369,4126,1460
5824,11378,4064,1472
5808,11343,3993,1473
5824,11304,3921,1472
5829,11242,3843,1468
5824,11230,3779,1472
5801,11218,3708,1471
5824,11230,3636,1472
5863,11213,3546,1470
5893,11230,3458,1472
5877,11232,3364,1470
5893,11230,3280,1472
5952,11152,3188,1471
6032,11081,3101,1472
6047,11038,3008,1468
6032,11081,2923,1472
6013,11099,2832,1473
6032,11081,2745,1472
6034,11011,2650,1459
6032,11006,2567,1454
6018,11019,2487,1453
6032,11006,2424,1454
6033,10886,2364,1443
6032,10783,2317,1436
6014,10742,2265,1434
6032,10783,2210,1436
6061,10767,2146,1427
6101,10709,2103,1418
6103,10631,2077,1414
6101,10635,2068,1418
6091,10643,2047,1413
6101,10635,2032,1401
6096,10572,2023,1386
6101,10560,2032,1383
6095,10564,2033,1383
6101,10560,2032,1383
6093,10474,2024,1374
6101,10411,2032,1365
6099,10388,2045,1355
6101,10411,2068,1347
6086,10375,2083,1335
6101,10337,2103,1330
6129,10310,2119,1328
6170,10337,2139,1330
6173,10334,2152,1322
6170,10337,2175,1312
6158,10323,2203,1300
6170,10337,2246,1294
6184,10326,2284,1286
6240,10337,2317,1277
6307,10330,2335,1264
6378,10337,2353,1259
6410,10336,2367,1257
6448,10411,2388,1259
6481,10504,2405,1252
6517,10560,2424,1241
6516,10493,2439,1227
6517,10411,2460,1223
6491,10350,2476,1223
6448,10337,2495,1223
6397,10289,2509,1214
6448,10263,2531,1206
6581,10245,2550,1202
6725,10263,2567,1206
6790,10269,2567,1206
6864,10337,2567,1206
6973,10405,2563,1203
7072,10411,2567,1206
7022,10269,2564,1205
6864,10114,2567,1206
6685,10009,2565,1203
6586,9965,2567,1206
6532,9859,2563,1205
6517,9742,2567,1206
6506,9658,2568,1202
6517,9668,2567,1206
6511,9671,2548,1212
6517,9668,2531,1223
6527,9641,2521,1226
6586,9668,2531,1223
6671,9699,2536,1218
6794,9742,2531,1223
6906,9739,2509,1232
7002,9742,2495,1241
7028,9731,2490,1240
7002,9742,2495,1241
6925,9708,2484,1245
6864,9668,2460,1259
6799,9629,2430,1269
6725,9668,2424,1277
6591,9696,2426,1275
6448,9668,2424,1277
6315,9538,2402,1280
6240,9445,2388,1294
6187,9414,2386,1306
6170,9445,2388,1312
6160,9436,2370,1309
6170,9445,2353,1312
6166,9490,2345,1320
6170,9593,2353,1330
6159,9647,2353,1329
6170,9668,2353,1330
6161,9650,2350,1335
6170,9668,2353,1347
6158,9664,2349,1351
6170,9668,2353,1347
6162,9625,2355,1342
6170,9593,2353,1347
6164,9561,2332,1356
6170,9593,2317,1365
6150,9614,2312,1365
6101,9593,2317,1365
5930,9467,2314,1363
5616,9296,2317,1365
5207,9017,2319,1364
4922,8627,2317,1365
4899,8173,2296,1364
5269,7957,2281,1365
6159,8167,2276,1363
7696,8850,2281,1365
9627,9811,2277,1365
11509,10932,2281,1365
13071,12025,2295,1356
14351,12940,2317,1347
15064,13457,2321,1342
14629,13535,2317,1347
12873,13150,2312,1350
10608,12419,2317,1347
8802,11478,2317,1336
7765,10635,2317,1330
7164,10080,2314,1327
6794,9891,2317,1330
6606,9877,2315,1323
6517,9891,2317,1312
6353,9802,2315,1298
6170,9668,2317,1294
6066,9520,2314,1294
6032,9445,2317,1294
5938,9396,2316,1285
5824,9370,2317,1277
5753,9318,2313,1267
5754,9296,2317,1259
5744,9281,2317,1246
5754,9296,2317,1241
5757,9285,2310,1240
5754,9296,2317,1241
5675,9268,2333,1232
5616,9222,2353,1223
5590,9122,2354,1213
5616,9073,2353,1206
5611,9058,2349,1193
5616,9073,2353,1188
5654,9032,2350,1187
5754,8998,2353,1188
5818,8978,2352,1178
5824,8998,2353,1170
5788,8970,2346,1167
5824,8924,2353,1170
5919,8860,2368,1163
6032,8850,2388,1152
6076,8841,2391,1140
6101,8850,2388,1135
6124,8833,2383,1131
6170,8850,2388,1135
6195,8869,2388,1137
6240,8924,2388,1135
6299,8955,2385,1123
6378,8998,2388,1117
6415,9017,2387,1116
6448,9073,2388,1117
6490,9147,2386,1108
6586,9296,2388,1099
6683,9449,2386,1096
6794,9593,2388,1099
6909,9662,2386,1098
7072,9742,2388,1099
7225,9870,2386,1100
7349,10114,2388,1099
7412,10379,2385,1089
7488,10635,2388,1081
7583,10821,2387,1078
7696,11006,2388,1081
7747,11163,2385,1081
7765,11304,2388,1081
7773,11377,2388,1082
7834,11453,2388,1081
7906,11521,2382,1072
7973,11601,2388,1064
7983,11635,2403,1060
7973,11676,2424,1064
7953,11711,2428,1064
7973,11750,2424,1064
7985,11704,2416,1063
7973,11601,2424,1064
7901,11444,2439,1062
7834,11304,2460,1064
7783,11150,2464,1065
7765,11006,2460,1064
7710,10822,2449,1054
7626,10635,2460,1046
7511,10428,2478,1043
7418,10263,2495,1046
7296,10084,2493,1046
7141,9891,2495,1046
6961,9648,2508,1045
6864,9445,2531,1046
6828,9253,2536,1045
6794,9073,2531,1046
6682,8854,2521,1046
6586,8701,2531,1046
6554,8606,2547,1044
6586,8552,2567,1046
6569,8437,2570,1047
6517,8329,2567,1046
6456,8235,2557,1036
6448,8180,2567,1028
6442,8090,2583,1025
6448,8032,2602,1028
6438,8006,2603,1028
6448,8032,2602,1028
6442,8027,2598,1028
6448,8032,2602,1028
6439,8025,2600,1020
6448,8032,2602,1011
6442,8009,2599,1005
6448,8032,2602,1011
6439,8089,2598,1014
6448,8180,2602,1011
6443,8219,2621,999
6448,8255,2674,993
6435,8301,2733,993
6448,8404,2781,993
6469,8487,2799,984
6517,8552,2816,975
6550,8557,2834,972
6586,8552,2852,975
6591,8531,2849,970
6586,8552,2852,957
6564,8582,2864,943
6586,8627,2888,940
6642,8628,2891,940
6725,8627,2888,940
6769,8612,2881,932
6794,8627,2888,922
6790,8624,2887,911
6794,8627,2888,904
6784,8611,2882,895
6794,8627,2888,886
6793,8629,2886,876
6794,8627,2888,869
6778,8580,2881,859
6794,8552,2888,851
6809,8535,2897,841
6794,8552,2923,833
6696,8547,2941,824
6586,8552,2959,816
6512,8542,2966,806
6517,8552,2994,798
6525,8543,3035,788
6517,8552,3101,780
6471,8546,3164,771
6448,8552,3244,762
6435,8536,3333,752
6448,8552,3458,745
6445,8579,3591,735
6448,8627,3743,727
6420,8612,3891,717
6378,8552,4064,709
