aVF,V,PLETH
1233,5735,5617
1308,5804,5605
1352,5806,5596
1356,5738,5605
1320,5618,5599
1259,5540,5605
1206,5498,5600
1211,5474,5605
1278,5429,5596
1356,5408,5605
1355,5411,5605
1259,5408,5605
1103,5347,5574
969,5276,5553
879,5245,5539
823,5276,5553
774,5294,5555
726,5276,5553
691,5226,5526
678,5210,5501
677,5207,5466
678,5210,5449
670,5195,5423
678,5210,5397
751,5204,5342
969,5078,5294
1395,4672,5251
2083,3957,5242
3036,2971,5220
4165,1913,5190
5183,1038,5128
5667,659,5086
5269,864,5049
4020,1517,5034
2373,2319,5000
969,3100,4982
212,3776,4966
97,4353,4982
319,4781,4996
581,5078,5034
745,5263,5071
823,5408,5138
855,5497,5215
872,5540,5345
873,5530,5505
872,5540,5709
879,5568,5906
920,5606,6124
986,5603,6341
1065,5606,6591
1120,5626,6840
1162,5672,7110
1193,5703,7367
1259,5738,7629
1345,5772,7849
1453,5804,8044
1550,5801,8197
1647,5804,8356
1739,5823,8493
1840,5870,8615
1961,5881,8677
2131,5870,8719
2340,5847,8738
2567,5870,8771
2782,5904,8776
3003,5935,8771
3240,5930,8739
3487,5935,8719
3715,5955,8674
3923,6001,8615
4108,6015,8523
4262,6001,8459
4362,5960,8403
4407,5935,8356
4403,5903,8271
4359,5870,8200
4276,5822,8137
4165,5804,8096
4018,5782,8019
3826,5738,7940
3577,5634,7851
3293,5540,7785
2996,5481,7701
2712,5474,7629
2452,5448,7546
2228,5408,7473
2015,5356,7369
1792,5342,7266
1555,5338,7150
1356,5342,7058
1214,5312,6952
1114,5276,6850
1012,5228,6720
920,5210,6591
839,5200,6447
775,5210,6332
712,5205,6218
678,5210,6124
670,5204,6011
678,5210,5916
686,5204,5823
726,5210,5761
788,5205,5698
823,5210,5657
786,5202,5603
726,5210,5553
713,5224,5487
775,5276,5449
870,5335,5417
969,5408,5397
1049,5466,5358
1114,5540,5345
1174,5608,5342
1259,5672,5345
1366,5687,5314
1453,5672,5294
1478,5611,5282
1453,5540,5294
1405,5457,5287
1356,5408,5294
1315,5370,5294
1308,5342,5294
1331,5298,5260
1356,5276,5242
1330,5273,5236
1259,5276,5242
1145,5245,5214
1017,5210,5190
894,5191,5178
823,5210,5190
810,5218,5172
823,5210,5138
824,5170,5095
823,5144,5086
826,5127,5084
823,5144,5086
806,5168,5060
823,5210,5034
927,5204,4999
1162,5078,4982
1583,4680,4953
2276,3957,4930
3241,2963,4895
4310,1978,4878
5184,1309,4851
5570,1187,4826
5281,1565,4787
4359,2242,4775
3110,2944,4769
1986,3561,4775
1261,4076,4746
920,4551,4723
803,4941,4716
823,5210,4775
924,5334,4847
1017,5408,4930
1017,5473,5004
969,5540,5138
959,5551,5324
1017,5540,5553
1077,5524,5746
1114,5540,5916
1144,5560,6058
1211,5606,6228
1285,5647,6413
1356,5672,6643
1413,5662,6877
1501,5672,7110
1600,5704,7296
1695,5738,7473
1758,5732,7643
1840,5738,7837
1969,5764,8005
2131,5804,8148
2264,5801,8234
2373,5804,8304
2504,5824,8350
2712,5870,8407
2976,5875,8440
3245,5870,8459
3476,5876,8437
3681,5935,8407
3876,5983,8353
4068,6001,8304
4234,5984,8241
4359,6001,8200
4430,6037,8149
4456,6067,8096
4442,6039,8011
4407,6001,7940
4338,5964,7862
4214,5935,7785
4016,5868,7672
3778,5804,7577
3531,5754,7490
3293,5738,7421
3038,5704,7318
2761,5672,7214
2476,5630,7100
2228,5606,7006
2008,5567,6895
1792,5540,6799
1560,5503,6692
1356,5474,6591
1206,5428,6458
1114,5408,6332
1038,5400,6209
969,5408,6124
893,5379,6038
823,5342,5968
758,5294,5884
726,5276,5813
720,5264,5728
726,5276,5657
719,5275,5573
726,5276,5501
762,5262,5415
823,5276,5345
862,5301,5277
872,5342,5242
875,5363,5208
920,5408,5190
1008,5482,5156
1114,5606,5138
1198,5718,5123
1259,5804,5138
1307,5840,5141
1356,5870,5138
1406,5878,5106
1453,5870,5086
1474,5810,5073
1453,5738,5086
1399,5657,5085
1356,5606,5086
1346,5561,5075
1356,5540,5086
1344,5529,5088
1308,5540,5086
1228,5545,5055
1114,5540,5034
962,5509,5022
823,5474,5034
728,5429,5034
678,5408,5034
659,5396,5024
678,5408,5034
705,5406,5036
678,5408,5034
580,5394,5006
484,5408,4982
444,5443,4951
484,5474,4930
701,5301,4898
1259,4748,4878
2168,3768,4849
3293,2572,4826
4571,1372,4788
5909,396,4775
6761,-115,4768
6345,132,4775
4562,1075,4749
2373,2308,4723
856,3362,4700
242,4155,4723
114,4776,4747
194,5276,4775
443,5558,4782
726,5672,4826
816,5723,4890
726,5804,4982
651,5855,5065
678,5870,5190
718,5854,5348
726,5870,5553
733,5896,5751
775,5935,5968
822,5944,6189
872,5935,6435
910,5918,6664
969,5935,6902
1042,5968,7130
1162,6001,7369
1289,6021,7580
1405,6067,7785
1495,6111,7951
1598,6133,8096
1728,6114,8198
1889,6133,8304
2067,6194,8389
2276,6265,8459
2512,6271,8482
2761,6265,8511
3001,6279,8537
3245,6331,8563
3494,6363,8541
3729,6397,8511
3920,6429,8475
4068,6463,8459
4181,6442,8426
4262,6397,8407
4303,6347,8379
4310,6331,8356
4284,6304,8298
4214,6265,8252
4088,6194,8198
3923,6133,8148
3723,6064,8062
3487,6001,7992
3206,5923,7929
2906,5870,7888
2608,5827,7812
2325,5804,7733
2048,5745,7644
1792,5672,7577
1559,5586,7480
1356,5540,7369
1171,5502,7228
1017,5474,7110
884,5427,6994
775,5408,6902
682,5401,6793
630,5408,6695
602,5378,6581
581,5342,6487
546,5296,6392
533,5276,6332
547,5259,6272
581,5276,6228
603,5302,6164
630,5342,6124
658,5347,6088
678,5342,6072
671,5325,6037
678,5342,6020
729,5384,6005
823,5474,6020
923,5572,6032
1017,5672,6072
1098,5738,6101
1162,5804,6124
1209,5846,6110
1259,5870,6124
1318,5843,6161
1356,5804,6228
1334,5741,6259
1259,5672,6280
1184,5585,6291
1162,5540,6332
1185,5534,6358
1211,5540,6383
1185,5493,6395
1114,5408,6435
998,5321,6466
872,5276,6487
753,5260,6475
678,5276,6487
646,5283,6508
630,5276,6539
604,5235,6534
581,5210,6539
575,5197,6554
581,5210,6591
577,5224,6595
581,5276,6591
642,5306,6577
823,5210,6591
1179,4804,6589
1792,4023,6591
2726,2894,6578
3923,1649,6591
5079,591,6590
5715,66,6591
5427,188,6573
4214,857,6591
2535,1786,6613
1065,2770,6643
260,3661,6633
145,4419,6643
414,4976,6672
726,5342,6747
896,5523,6811
920,5606,6902
870,5633,7009
823,5672,7162
807,5704,7295
823,5738,7421
846,5738,7526
872,5738,7681
890,5727,7866
920,5738,8096
956,5757,8303
1017,5804,8511
1080,5846,8702
1162,5870,8926
1246,5860,9138
1356,5870,9342
1472,5914,9496
1598,6001,9653
1730,6075,9786
1889,6133,9912
2060,6144,9991
2228,6133,10068
2383,6107,10123
2567,6133,10172
2794,6195,10171
3051,6265,10172
3297,6276,10164
3536,6265,10172
3777,6251,10146
4020,6265,10120
4221,6265,10068
4359,6265,10016
4442,6255,9930
4504,6265,9861
4549,6267,9780
4553,6265,9705
4487,6217,9591
4359,6133,9497
4181,6016,9409
3971,5935,9342
3735,5889,9236
3487,5870,9134
3214,5814,9020
2906,5738,8926
2574,5634,8812
2276,5540,8719
2026,5448,8614
1792,5408,8511
1539,5397,8370
1308,5408,8252
1120,5380,8139
969,5342,8044
823,5294,7909
726,5276,7785
701,5263,7665
726,5276,7577
722,5278,7468
678,5276,7369
614,5239,7259
581,5210,7162
584,5192,7044
630,5210,6954
685,5214,6869
726,5210,6799
730,5191,6691
726,5210,6591
737,5241,6496
775,5276,6435
820,5290,6357
872,5342,6280
935,5428,6187
1017,5540,6124
1099,5614,6063
1162,5672,6020
1209,5708,5961
1259,5738,5916
1303,5717,5860
1308,5672,5813
1250,5601,5749
1162,5540,5709
1093,5464,5673
1065,5408,5657
1062,5382,5625
1065,5408,5605
1039,5428,5575
969,5408,5553
833,5336,5517
678,5276,5501
549,5255,5478
484,5276,5449
472,5282,5389
484,5276,5345
491,5263,5313
484,5276,5294
464,5259,5241
436,5210,5190
402,5159,5149
387,5210,5138
440,5303,5099
630,5276,5034
1013,4922,4941
1647,4221,4878
2554,3243,4839
3681,2176,4826
4790,1238,4785
5473,725,4723
5312,775,4633
4214,1319,4567
2556,2072,4507
1017,2836,4463
110,3519,4403
-97,4155,4359
102,4691,4320
387,5078,4307
599,5267,4293
726,5342,4307
779,5367,4339
775,5408,4411
739,5437,4496
726,5474,4619
756,5503,4758
823,5540,4930
893,5544,5103
969,5540,5294
1038,5529,5474
1114,5540,5657
1177,5559,5813
1259,5606,5968
1351,5666,6102
1453,5738,6228
1529,5783,6314
1598,5804,6383
1691,5777,6431
1840,5738,6487
2026,5704,6520
2228,5738,6539
2433,5805,6531
2664,5870,6539
2911,5875,6543
3148,5870,6539
3336,5862,6491
3487,5870,6435
3640,5857,6376
3826,5870,6332
4017,5899,6272
4165,5935,6228
4241,5915,6192
4262,5870,6176
4250,5818,6133
4214,5804,6072
4138,5796,5987
4020,5804,5916
3863,5783,5853
3681,5738,5813
3473,5656,5763
3245,5606,5709
2989,5591,5630
2712,5606,5553
2417,5583,5457
2131,5540,5345
1869,5472,5194
1647,5408,5034
1446,5329,4870
1259,5276,4723
1075,5232,4553
920,5210,4359
800,5188,4141
726,5210,3944
684,5247,3761
678,5276,3581
678,5244,3373
678,5210,3166
667,5194,2972
678,5210,2802
703,5206,2623
726,5210,2439
723,5228,2262
726,5276,2128
761,5292,2018
823,5276,1920
864,5228,1812
872,5210,1713
874,5221,1612
920,5276,1505
1009,5333,1374
1114,5408,1246
1209,5491,1131
1308,5606,1038
1412,5697,937
1501,5738,830
1546,5690,721
1550,5606,623
1516,5501,522
1453,5408,415
1383,5300,303
1356,5210,208
1378,5147,140
1405,5144,104
1375,5171,78
1308,5210,52
1216,5221,20
1114,5210,0
987,5172,-5
872,5144,0
816,5128,1
823,5144,0
840,5149,-2
823,5144,0
784,5124,0
775,5144,0
809,5180,-1
872,5210,0
956,5174,0
1114,5078,0
1405,4836,0
1889,4353,0
2615,3560,0
3584,2638,0
4594,1881,0
5231,1583,0
5065,1790,0
4020,2374,0
2477,3047,0
1065,3627,0
233,4068,0
48,4485,0
275,4885,0
630,5210,0
903,5380,0
1017,5474,0
990,5528,0
920,5540,0
875,5468,0
872,5408,0
881,5414,0
920,5474,0
999,5486,0
1114,5474,0
1216,5481,0
1308,5540,0
1392,5585,0
1501,5606,0
1602,5618,0
1695,5672,0
1777,5740,0
1889,5804,0
2028,5815,0
2179,5804,0
2319,5783,0
2470,5804,0
2635,5834,0
2809,5870,0
2972,5870,0
3148,5870,0
3354,5861,0
3584,5870,0
3793,5866,0
3971,5870,0
4124,5862,0
4262,5870,0
4364,5866,0
4407,5870,0
4379,5860,0
4310,5870,0
4246,5887,0
4214,5935,0
4163,5976,0
4020,6001,0
3757,5959,0
3439,5870,0
3132,5749,0
2857,5672,0
2586,5626,0
2325,5606,0
2087,5565,0
1889,5540,0
1709,5526,0
1550,5540,0
1411,5537,0
1308,5540,0
1212,5534,0
1114,5540,0
991,5513,0
872,5474,0
772,5423,0
726,5408,0
716,5402,0
726,5408,0
727,5397,0
726,5408,0
721,5411,0
726,5408,0
739,5385,0
775,5408,0
834,5466,0
920,5540,0
1016,5589,0
1114,5672,0
1195,5778,0
1259,5870,0
1306,5877,0
1356,5870,0
1422,5888,0
1501,5935,0
1554,5926,0
1550,5870,0
1497,5789,0
1453,5738,0
1458,5692,0
1501,5672,0
1527,5666,0
1501,5672,0
1389,5633,0
1211,5540,0
996,5417,0
823,5342,0
722,5322,0
678,5342,0
662,5341,0
678,5342,0
714,5336,0
726,5342,0
672,5328,0
581,5342,0
516,5390,0
533,5474,0
675,5458,0
1017,5210,0
1630,4577,0
2567,3561,0
3800,2280,0
5134,1055,0
6108,224,0
6199,66,0
5202,564,0
3487,1517,0
1756,2603,0
581,3627,0
109,4459,0
145,5078,0
378,5460,0
581,5672,0
670,5759,0
678,5804,0
653,5824,0
630,5870,0
614,5909,0
630,5935,0
670,5924,0
726,5935,0
785,5963,0
872,6001,0
971,6021,0
1065,6067,0
1114,6120,-1
1162,6133,0
1232,6082,1
1356,6067,0
1511,6139,-2
1695,6265,0
1877,6327,3
2034,6331,0
2165,6314,-9
2325,6331,0
2532,6335,21
2761,6331,52
2963,6315,86
3148,6331,156
3336,6337,241
3536,6331,311
3730,6306,339
3923,6331,363
4109,6392,376
4262,6463,363
4345,6475,321
4359,6463,311
4324,6430,300
4262,6397,208
4164,6329,49
4020,6265,104
3822,6199,664
3584,6133,1765
3306,6029,3071
3003,5935,4204
2697,5856,4970
2422,5804,5449
2161,5733,5772
1889,5672,6020
1599,5604,6182
1356,5540,6280
1186,5454,6334
1065,5408,6383
939,5396,6413
823,5408,6435
734,5379,6439
678,5342,6435
621,5299,6406
581,5276,6383
566,5235,6372
581,5210,6383
586,5196,6385
581,5210,6383
570,5208,6373
581,5210,6383
615,5202,6399
678,5210,6435
738,5204,6458
775,5210,6487
787,5221,6504
823,5276,6539
907,5357,6562
1017,5474,6591
1104,5579,6605
1162,5672,6643
1221,5733,6672
1308,5804,6695
1399,5855,6684
1453,5870,6695
1434,5794,6715
1356,5672,6747
1264,5543,6743
1211,5474,6747
1200,5436,6745
1211,5408,6747
1200,5365,6713
1162,5342,6695
1079,5339,6687
969,5342,6695
836,5315,6666
726,5276,6643
661,5233,6630
630,5210,6643
601,5175,6623
581,5144,6591
591,5119,6548
630,5144,6539
652,5180,6533
630,5210,6539
571,5196,6516
581,5144,6487
836,4913,6443
1453,4353,6435
2315,3401,6434
3245,2242,6435
4245,1077,6401
5327,132,6383
6023,-345,6375
5570,-66,6383
3823,893,6357
1695,2110,6332
303,3126,6297
-48,3891,6280
156,4510,6244
436,5012,6228
656,5291,6217
823,5408,6228
891,5469,6205
872,5540,6176
847,5555,6149
872,5540,6176
907,5522,6207
920,5540,6228
910,5559,6211
920,5606,6228
956,5650,6269
1017,5672,6332
1061,5655,6355
1114,5672,6383
1184,5734,6420
1308,5804,6487
1447,5828,6535
1598,5870,6591
1745,5956,6639
1889,6067,6695
2013,6099,6717
2131,6067,6747
2267,6029,6784
2470,6067,6850
2741,6136,6887
3051,6199,6902
3341,6225,6889
3584,6265,6902
3772,6288,6921
3923,6265,6954
4049,6177,6956
4165,6133,6954
4270,6173,6941
4359,6265,6954
4421,6295,6956
4456,6265,6954
4443,6196,6921
4359,6133,6902
4191,6057,6889
3971,6001,6902
3732,5942,6901
3487,5870,6902
3227,5756,6876
2954,5672,6850
2669,5627,6810
2373,5606,6799
2058,5541,6792
1744,5474,6799
1451,5423,6772
1211,5408,6747
1018,5374,6711
872,5342,6695
744,5301,6664
630,5276,6643
519,5234,6609
436,5210,6591
374,5196,6559
339,5210,6539
320,5207,6506
339,5210,6487
382,5203,6454
436,5210,6435
468,5204,6403
484,5210,6383
486,5205,6350
484,5210,6332
476,5201,6301
484,5210,6280
519,5227,6243
581,5276,6228
650,5329,6215
726,5408,6228
815,5495,6225
920,5606,6228
1026,5690,6216
1114,5738,6228
1161,5720,6229
1162,5672,6228
1137,5581,6194
1114,5474,6176
1093,5351,6163
1065,5276,6176
1041,5254,6172
1065,5276,6176
1113,5285,6169
1114,5276,6176
999,5244,6169
823,5210,6176
668,5166,6172
581,5144,6176
556,5137,6164
581,5144,6176
623,5120,6194
630,5078,6228
582,5004,6230
533,4946,6228
529,4931,6215
581,5012,6228
689,5105,6228
920,5078,6228
1354,4769,6212
2034,4155,6228
2935,3263,6250
3971,2242,6280
4933,1311,6276
5473,791,6280
5226,839,6274
4117,1385,6280
2502,2122,6266
1017,2836,6280
131,3447,6301
-97,4023,6332
79,4541,6325
387,4946,6332
658,5167,6345
823,5276,6383
862,5339,6400
823,5408,6435
765,5430,6476
726,5408,6539
706,5355,6580
726,5342,6643
799,5358,6712
920,5408,6799
1030,5463,6849
1114,5540,6902
1171,5595,6961
1259,5606,7058
1359,5563,7139
1453,5540,7214
1515,5557,7258
1598,5606,7318
1726,5633,7365
1889,5672,7421
2051,5727,7462
2228,5804,7525
2422,5845,7578
2615,5870,7629
2780,5870,7647
2954,5870,7681
3176,5854,7707
3439,5870,7733
3681,5902,7722
3875,5935,7733
4014,5911,7754
4117,5870,7785
4195,5843,7761
4262,5870,7733
4296,5886,7711
4262,5870,7733
4152,5799,7736
4020,5738,7733
3899,5690,7700
3778,5672,7681
3609,5639,7648
3390,5606,7629
3132,5544,7595
2857,5474,7577
2577,5387,7544
2325,5342,7525
2100,5330,7491
1889,5342,7473
1664,5316,7440
1453,5276,7421
1269,5229,7388
1114,5210,7369
959,5178,7336
823,5144,7318
722,5094,7284
678,5078,7266
667,5089,7233
678,5144,7214
680,5186,7177
678,5210,7162
681,5200,7146
726,5210,7162
787,5234,7163
823,5276,7162
817,5283,7128
823,5276,7110
868,5259,7095
920,5276,7110
930,5301,7108
920,5342,7110
941,5386,7097
1017,5474,7110
1128,5574,7112
1259,5672,7110
1393,5735,7074
1501,5804,7058
1553,5838,7047
1550,5804,7058
1509,5669,7050
1453,5540,7058
1394,5473,7057
1356,5474,7058
1332,5453,7025
1308,5408,7006
1248,5359,6993
1162,5342,7006
1047,5317,6999
920,5276,7006
801,5224,7003
726,5210,7006
697,5212,6975
678,5210,6954
633,5171,6939
581,5144,6954
571,5129,6952
630,5144,6954
723,5178,6944
823,5276,6954
956,5357,6950
1211,5276,6954
1657,4849,6945
2325,4089,6954
3183,3115,6950
4117,2176,6954
4829,1501,6943
4940,1319,6954
4236,1643,6954
2906,2308,6954
1425,3018,6920
291,3627,6902
-229,4111,6889
-145,4551,6902
269,4926,6897
678,5210,6902
881,5353,6895
920,5408,6902
913,5408,6892
920,5408,6902
932,5396,6915
969,5408,6954
1035,5430,6976
1114,5474,7006
1175,5501,7021
1259,5540,7058
1376,5591,7092
1501,5672,7162
1566,5727,7233
1598,5738,7318
1628,5699,7368
1695,5672,7421
1779,5660,7462
1889,5672,7525
2024,5683,7574
2179,5738,7629
2327,5809,7654
2470,5870,7681
2621,5870,7692
2809,5870,7733
3035,5888,7762
3293,5935,7785
3550,5963,7771
3778,6001,7785
3948,6039,7807
4068,6067,7837
4164,6035,7812
4262,6001,7785
4338,6003,7764
4359,6067,7785
4317,6117,7788
4262,6133,7785
4206,6099,7752
4117,6067,7733
3950,6030,7700
3729,6001,7681
3490,5941,7646
3245,5870,7629
2979,5787,7596
2712,5738,7577
2461,5698,7542
2228,5672,7525
1984,5630,7494
1744,5606,7473
1526,5574,7436
1356,5540,7421
1206,5468,7394
1065,5408,7369
927,5378,7311
823,5408,7266
756,5427,7224
726,5408,7214
699,5332,7185
678,5276,7162
664,5253,7123
678,5276,7110
701,5296,7082
726,5342,7058
744,5399,7015
775,5474,7006
805,5513,7001
823,5540,7006
831,5557,6975
872,5606,6954
957,5659,6939
1065,5738,6954
1162,5823,6951
1259,5935,6954
1364,6023,6944
1453,6067,6954
1482,6023,6949
1453,5935,6954
1399,5840,6946
1356,5804,6954
1339,5800,6948
1356,5804,6954
1375,5755,6947
1356,5672,6954
1270,5583,6947
1162,5540,6954
1057,5532,6948
969,5540,6954
884,5534,6946
823,5540,6954
794,5541,6949
775,5540,6954
733,5505,6945
678,5474,6954
626,5434,6953
581,5408,6954
525,5399,6924
484,5474,6902
525,5569,6884
726,5540,6902
1132,5157,6907
1792,4353,6902
2763,3171,6866
4020,1847,6850
5287,671,6841
6054,0,6850
5843,-11,6827
4601,594,6799
2796,1552,6758
1162,2638,6747
225,3646,6723
48,4485,6695
297,5079,6635
581,5474,6591
709,5692,6552
726,5804,6539
721,5836,6510
726,5870,6487
722,5903,6451
726,5935,6435
759,5929,6405
823,5935,6383
877,5957,6361
920,6001,6383
956,6029,6411
1017,6067,6435
1081,6107,6424
1162,6133,6435
1245,6123,6457
1356,6133,6487
1473,6184,6480
1598,6265,6487
1730,6309,6505
1889,6331,6539
2060,6329,6535
2228,6331,6539
2382,6316,6553
2567,6331,6591
2796,6358,6594
3051,6397,6591
3296,6414,6580
3536,6463,6591
3768,6530,6586
3971,6595,6591
4129,6599,6585
4262,6595,6591
4368,6592,6581
4407,6595,6591
4355,6559,6593
4262,6529,6591
4184,6498,6555
4117,6463,6539
4003,6387,6533
3826,6331,6539
3599,6298,6510
3342,6265,6487
3043,6151,6460
2712,6001,6435
2378,5866,6376
2083,5804,6332
1826,5764,6298
1598,5738,6280
1387,5695,6226
1211,5672,6176
1059,5639,6134
920,5606,6124
780,5539,6097
678,5474,6072
617,5397,6037
581,5342,6020
529,5291,5988
484,5276,5968
465,5268,5951
484,5276,5968
506,5267,5974
533,5276,5968
569,5276,5931
630,5276,5916
686,5256,5910
726,5276,5916
760,5329,5888
823,5408,5864
916,5465,5848
1017,5540,5864
1108,5630,5868
1211,5738,5864
1321,5810,5835
1405,5870,5813
1439,5891,5779
1453,5870,5761
1465,5772,5731
1453,5672,5709
1402,5609,5675
1356,5606,5657
1347,5588,5629
1356,5540,5605
1326,5464,5566
1259,5408,5553
1153,5370,5549
1017,5342,5553
853,5303,5527
726,5276,5501
677,5261,5469
678,5276,5449
678,5282,5414
678,5276,5397
686,5237,5389
678,5210,5397
642,5190,5380
630,5210,5345
668,5249,5262
775,5276,5138
1042,5099,4968
1598,4551,4826
2388,3593,4726
3245,2440,4671
4151,1287,4611
5134,330,4567
5772,-203,4531
5327,0,4515
3640,923,4483
1598,2176,4463
294,3252,4450
0,4023,4463
217,4596,4461
484,5078,4463
698,5394,4455
872,5540,4463
945,5572,4458
920,5606,4463
875,5638,4470
872,5672,4515
890,5670,4564
920,5672,4619
959,5682,4656
1017,5738,4723
1067,5785,4813
1114,5804,4930
1148,5789,5031
1211,5804,5138
1294,5841,5237
1405,5870,5345
1499,5858,5440
1598,5870,5553
1722,5921,5662
1889,6001,5761
2064,6040,5814
2228,6067,5864
2381,6091,5913
2567,6133,5968
2794,6156,5993
3051,6199,6020
3313,6257,6043
3584,6331,6072
3859,6369,6071
4117,6397,6072
4317,6403,6068
4456,6397,6072
4546,6356,6047
4601,6331,6020
4605,6305,5987
4553,6265,5968
4458,6182,5937
4359,6133,5916
4253,6126,5889
4117,6133,5864
3922,6077,5812
3681,6001,5761
3404,5927,5702
3100,5870,5657
2775,5770,5599
2470,5672,5553
2194,5606,5500
1937,5606,5449
1679,5591,5371
1453,5540,5294
1282,5451,5208
1162,5408,5138
1043,5399,5056
920,5408,4982
804,5374,4899
726,5342,4826
669,5324,4742
630,5342,4671
593,5342,4591
581,5342,4515
580,5332,4426
581,5342,4359
559,5338,4301
533,5342,4256
516,5335,4197
533,5342,4152
570,5353,4101
630,5408,4048
710,5474,3979
823,5540,3944
952,5584,3938
1065,5672,3944
1132,5782,3917
1162,5870,3892
1194,5860,3883
1259,5804,3892
1334,5732,3873
1356,5672,3840
1287,5591,3804
1162,5540,3789
1055,5525,3765
1017,5540,3737
1021,5520,3687
1017,5474,3633
946,5409,3569
823,5342,3529
682,5262,3500
581,5210,3477
536,5193,3428
533,5210,3373
551,5211,3314
581,5210,3270
601,5201,3215
581,5210,3166
523,5207,3122
484,5210,3114
512,5189,3115
630,5144,3114
870,5012,3085
1308,4748,3062
1962,4234,3049
2809,3429,3062
3822,2402,3064
4892,1451,3062
5606,874,3050
5424,857,3062
4206,1312,3081
2470,2044,3114
925,2808,3134
-48,3495,3166
-427,4062,3203
-291,4551,3270
169,4920,3340
630,5144,3425
843,5205,3501
872,5210,3581
885,5224,3650
920,5276,3737
903,5292,3828
872,5276,3944
908,5249,4064
1017,5276,4204
1106,5317,4334
1162,5342,4463
1214,5329,4579
1308,5342,4723
1416,5397,4877
1550,5474,5034
1677,5516,5162
1792,5540,5294
1882,5543,5424
1986,5540,5553
2119,5519,5638
2276,5540,5709
2435,5599,5777
2615,5672,5864
2824,5684,5929
3051,5672,5968
3256,5657,5969
3439,5672,5968
3621,5671,5960
3826,5672,5968
4033,5663,5968
4214,5672,5968
4350,5665,5943
4456,5672,5916
4528,5686,5882
4553,5738,5864
4521,5780,5838
4456,5804,5813
4358,5775,5761
4214,5738,5709
4009,5693,5648
3778,5672,5605
3541,5637,5552
3293,5606,5501
3010,5561,5437
2712,5540,5397
2430,5526,5351
2179,5540,5294
1934,5541,5204
1695,5540,5138
1476,5524,5085
1308,5540,5034
1164,5550,4948
1017,5540,4878
842,5487,4823
678,5474,4775
552,5499,4689
484,5540,4619
447,5535,4579
436,5540,4567
430,5565,4518
436,5606,4463
447,5603,4419
484,5606,4411
533,5628,4389
581,5672,4359
606,5674,4320
630,5672,4307
680,5683,4300
775,5738,4307
880,5794,4304
969,5870,4307
1049,5940,4300
1162,6001,4307
1297,6011,4306
1405,6001,4307
1460,5970,4296
1501,5935,4307
1543,5868,4327
1550,5804,4359
1501,5735,4378
1453,5672,4411
1447,5576,4439
1453,5474,4463
1402,5385,4457
1308,5342,4463
1203,5312,4482
1114,5276,4515
1016,5226,4518
920,5210,4515
852,5211,4521
823,5210,4567
818,5170,4603
823,5144,4619
829,5133,4604
823,5144,4619
784,5152,4660
726,5210,4723
711,5268,4754
823,5210,4775
1099,4851,4789
1550,4155,4826
2185,3160,4853
3003,2044,4878
3844,1036,4891
4359,462,4930
4169,501,4976
3196,1121,5034
1785,2030,5063
533,2968,5086
-114,3782,5096
-97,4485,5138
285,5038,5183
678,5408,5242
895,5561,5284
969,5606,5345
990,5624,5397
1017,5672,5449
1040,5702,5481
1065,5738,5553
1102,5769,5647
1162,5804,5761
1217,5783,5849
1259,5738,5968
1289,5703,6111
1356,5738,6280
1461,5807,6421
1598,5870,6591
1709,5879,6798
1792,5870,7058
1853,5875,7283
1937,5935,7473
2048,5987,7605
2179,6001,7733
2314,5975,7842
2470,6001,7992
2650,6069,8173
2857,6133,8407
3071,6130,8611
3293,6133,8771
3527,6178,8863
3778,6265,8978
4015,6310,9115
4214,6331,9290
4357,6349,9438
4456,6397,9601
4507,6414,9754
4504,6397,9912
4446,6348,10017
4359,6331,10120
4251,6327,10210
4117,6331,10328
3938,6301,10421
3729,6265,10535
3498,6205,10634
3245,6133,10743
2960,6028,10812
2664,5935,10898
2368,5856,10970
2083,5804,11054
1801,5733,11096
1550,5672,11158
1337,5620,11220
1162,5606,11314
1002,5578,11366
872,5540,11417
776,5485,11448
726,5474,11521
693,5475,11587
678,5474,11677
670,5432,11727
678,5408,11781
679,5401,11809
678,5408,11885
670,5374,11953
678,5342,12040
698,5325,12095
726,5342,12196
733,5340,12295
726,5342,12404
740,5351,12447
823,5408,12507
965,5488,12568
1114,5606,12663
1223,5714,12709
1308,5804,12767
1399,5843,12820
1501,5870,12922
1576,5860,12997
1598,5804,13078
1564,5673,13121
1501,5540,13182
1451,5443,13204
1453,5408,13234
1486,5376,13223
1501,5342,13234
1450,5301,13220
1356,5276,13234
1238,5246,13221
1114,5210,13234
982,5165,13220
872,5144,13234
806,5137,13221
775,5144,13234
749,5116,13220
726,5078,13234
718,5045,13221
726,5078,13234
726,5143,13220
726,5210,13234
794,5200,13220
1017,5078,13234
1406,4718,13220
1937,4023,13234
2621,2951,13220
3487,1715,13234
4377,638,13220
4892,66,13234
4610,113,13220
3487,725,13234
1948,1663,13220
630,2704,13234
-55,3647,13220
-97,4419,13234
204,4953,13220
533,5276,13234
733,5431,13220
823,5540,13234
857,5622,13220
872,5672,13234
869,5644,13220
872,5606,13234
887,5587,13220
920,5606,13234
958,5604,13220
1017,5606,13234
1084,5622,13220
1162,5672,13234
1226,5711,13220
1308,5738,13234
1411,5758,13220
1550,5804,13234
1680,5844,13220
1792,5870,13234
1897,5860,13220
2034,5870,13234
2198,5892,13220
2373,5935,13234
2549,5960,13220
2761,6001,13234
