I,II,ABP,RESP
-91,3926,6622,1479
-153,3847,6542,1479
-182,3841,6497,1479
-136,3940,6415,1477
-91,4012,6310,1479
-121,3934,6192,1478
-182,3841,6122,1479
-198,3854,6061,1478
-182,3926,5997,1479
-179,3932,5897,1478
-182,3926,5810,1479
-171,3966,5734,1477
-182,4012,5685,1479
-236,3992,5619,1478
-273,4012,5560,1479
-217,4134,5491,1477
-91,4268,5435,1479
1,4239,5363,1479
0,4097,5310,1479
-52,4016,5266,1475
-91,4097,5248,1479
-122,4222,5214,1491
-182,4268,5185,1507
-230,4216,5147,1510
-182,4183,5123,1507
-85,4212,5085,1501
-91,4268,5060,1507
-212,4255,5025,1518
-273,4183,4998,1534
-207,4086,4957,1546
-182,4012,4935,1562
-291,3951,4905,1575
-364,3926,4873,1589
-276,3900,4824,1599
-182,3841,4810,1616
-222,3738,4812,1632
-273,3670,4810,1644
-215,3636,4770,1642
-182,3585,4748,1644
-285,3501,4745,1653
-364,3500,4748,1671
-279,3589,4710,1684
-182,3670,4685,1699
-225,3683,4681,1711
-273,3756,4685,1726
-179,3916,4649,1735
-91,4012,4623,1753
-190,3909,4618,1778
-364,3756,4623,1808
-407,3713,4587,1825
-364,3756,4560,1836
-416,3731,4556,1844
-546,3670,4560,1863
-601,3647,4525,1880
-546,3670,4498,1890
-509,3665,4493,1888
-546,3670,4498,1890
-582,3689,4462,1899
-546,3670,4435,1918
-475,3567,4431,1932
-455,3500,4435,1945
-529,3508,4400,1955
-637,3500,4373,1973
-612,3326,4368,1986
-364,3073,4373,2000
-18,2890,4337,2009
182,2902,4311,2027
239,3103,4306,2044
364,3500,4311,2055
658,3986,4275,2051
1001,4439,4248,2055
1411,4761,4244,2065
2003,5036,4248,2082
2549,5318,4213,2093
2458,5548,4186,2110
1596,5572,4181,2125
637,5463,4186,2137
258,5513,4151,2134
273,5975,4123,2137
1,6664,4116,2148
-819,7170,4123,2164
-1869,7314,4092,2164
-2822,7341,4061,2164
-3625,7443,4050,2172
-4279,7511,4061,2192
-4674,7371,4036,2197
-4734,7170,3998,2192
-4549,7104,3976,2182
-4279,7085,3998,2192
-3994,6796,4011,2206
-3642,6146,3998,2219
-3176,5302,3956,2216
-2640,4524,3936,2219
-2117,3955,3932,2229
-1639,3670,3936,2247
-1222,3571,3906,2250
-910,3500,3873,2247
-739,3355,3854,2239
-637,3244,3873,2247
-510,3221,3884,2259
-364,3244,3873,2274
-301,3228,3832,2276
-364,3244,3811,2274
-455,3297,3804,2268
-455,3329,3811,2274
-353,3273,3804,2285
-273,3244,3811,2301
-290,3284,3815,2304
-364,3329,3811,2301
-366,3279,3774,2293
-273,3244,3748,2301
-175,3304,3742,2314
-182,3414,3748,2329
-275,3417,3721,2329
-364,3329,3686,2329
-385,3250,3666,2326
-364,3244,3686,2329
-328,3247,3697,2325
-273,3244,3686,2329
-208,3257,3646,2338
-182,3329,3623,2356
-221,3402,3615,2361
-273,3414,3623,2356
-284,3337,3621,2346
-273,3244,3623,2356
-300,3177,3620,2371
-364,3158,3623,2384
-400,3171,3617,2379
-364,3244,3623,2384
-302,3343,3626,2395
-273,3414,3623,2411
-255,3416,3590,2409
-182,3414,3561,2411
-93,3422,3545,2420
-91,3414,3561,2438
-149,3378,3566,2439
-91,3414,3561,2438
136,3522,3544,2443
364,3585,3561,2466
468,3510,3589,2483
546,3414,3623,2493
694,3391,3641,2490
819,3414,3686,2493
852,3424,3745,2499
910,3500,3811,2521
1073,3627,3856,2545
1184,3670,3936,2575
1113,3565,4051,2591
1001,3500,4186,2603
1022,3577,4280,2608
1093,3670,4373,2630
1047,3632,4481,2656
910,3585,4623,2685
808,3630,4748,2697
728,3670,4873,2712
597,3577,4990,2732
455,3500,5123,2767
390,3588,5242,2795
364,3756,5373,2822
266,3777,5497,2835
91,3670,5622,2849
-51,3602,5716,2857
-91,3670,5810,2877
-77,3778,5897,2899
-91,3841,5997,2932
-144,3821,6084,2957
-182,3756,6185,2986
-182,3681,6278,3010
-182,3670,6372,3041
-220,3713,6434,3065
-273,3756,6497,3096
-319,3725,6553,3121
-364,3670,6622,3151
-395,3666,6677,3173
-364,3756,6747,3205
-292,3840,6809,3233
-273,3841,6872,3260
-332,3771,6902,3271
-364,3756,6934,3288
-313,3807,6961,3308
-273,3841,6997,3342
-321,3790,7000,3369
-364,3756,6997,3397
-297,3790,6983,3420
-182,3841,6997,3452
-145,3833,7000,3477
-182,3841,6997,3507
-204,3894,6961,3529
-182,3926,6934,3562
-141,3871,6901,3587
-91,3841,6872,3616
-56,3884,6810,3638
-91,3926,6747,3671
-169,3901,6674,3699
-182,3926,6622,3726
-112,4012,6558,3735
-91,4012,6497,3753
-185,3851,6406,3775
-273,3756,6310,3808
-244,3857,6199,3824
-182,4012,6122,3836
-206,4024,6056,3840
-273,4012,5997,3863
-261,4121,5901,3888
-182,4268,5810,3918
-145,4239,5729,3931
-182,4097,5685,3945
-213,4052,5626,3953
-182,4183,5560,3973
-120,4321,5479,3984
-91,4353,5435,4000
-122,4296,5402,4007
-182,4268,5373,4027
-213,4298,5306,4041
-182,4353,5248,4055
-117,4319,5200,4051
-91,4183,5185,4055
-154,4034,5156,4060
-273,4012,5123,4082
-335,4055,5079,4095
-273,4012,5060,4110
-171,3826,5032,4108
-182,3670,4998,4110
-303,3643,4948,4102
-364,3670,4935,4110
-282,3605,4937,4118
-182,3500,4935,4137
-172,3478,4895,4138
-182,3585,4873,4137
-130,3695,4868,4128
-91,3756,4873,4137
-135,3808,4839,4147
-182,3926,4810,4164
-168,4027,4799,4164
-182,4012,4810,4164
-284,3896,4785,4157
-364,3841,4748,4164
-353,3860,4724,4163
-364,3841,4748,4164
-477,3722,4762,4155
-546,3670,4748,4164
-462,3752,4701,4175
-364,3841,4685,4192
-423,3774,4687,4189
-546,3670,4685,4192
-548,3672,4645,4188
-455,3756,4623,4192
-417,3753,4621,4184
-455,3670,4623,4192
-479,3533,4586,4201
-455,3329,4560,4219
-340,3030,4556,4217
-91,2817,4560,4219
191,2828,4524,4215
273,3073,4498,4219
220,3444,4493,4212
364,3926,4498,4219
809,4412,4462,4229
1275,4780,4435,4247
1672,5018,4430,4243
2185,5292,4435,4247
2611,5568,4401,4253
2276,5634,4373,4274
1098,5463,4366,4276
0,5463,4373,4274
-268,5929,4341,4264
-182,6658,4311,4274
-677,7169,4299,4284
-1821,7341,4311,4301
-2909,7400,4286,4302
-3551,7511,4248,4301
-3989,7504,4225,4291
-4461,7255,4248,4301
-4796,6970,4262,4313
-4734,6999,4248,4329
-4320,7262,4203,4326
-3824,7255,4186,4329
-3410,6601,4186,4326
-3004,5548,4186,4329
-2490,4621,4150,4320
-1912,4097,4123,4329
-1428,3835,4115,4341
-1093,3670,4123,4356
-846,3527,4097,4342
-637,3414,4061,4329
-477,3305,4039,4319
-364,3244,4061,4329
-288,3230,4073,4328
-273,3244,4061,4329
-320,3233,4018,4322
-364,3244,3998,4329
-338,3255,3994,4325
-273,3244,3998,4329
-214,3201,3969,4324
-182,3244,3936,4329
-164,3354,3916,4325
-182,3414,3936,4329
-205,3332,3947,4324
-182,3244,3936,4329
-113,3251,3894,4324
-91,3329,3873,4329
-140,3374,3870,4325
-182,3414,3873,4329
-171,3447,3843,4323
-182,3414,3811,4329
-246,3294,3793,4327
-273,3244,3811,4329
-217,3323,3820,4312
-182,3414,3811,4301
-234,3382,3773,4292
-273,3329,3748,4301
-221,3356,3736,4302
-182,3414,3748,4301
-261,3383,3750,4282
-364,3329,3748,4274
-354,3347,3738,4266
-273,3414,3748,4274
-273,3405,3754,4272
-364,3329,3748,4274
-423,3260,3711,4259
-364,3244,3686,4247
-229,3234,3675,4224
-91,3244,3686,4219
14,3300,3681,4215
91,3414,3686,4219
167,3497,3701,4205
273,3500,3748,4192
411,3437,3784,4172
546,3414,3811,4164
649,3447,3824,4148
728,3500,3873,4137
814,3528,3951,4118
910,3585,4061,4110
987,3653,4155,4093
1001,3670,4248,4082
960,3608,4330,4063
910,3585,4435,4055
896,3634,4549,4040
910,3670,4685,4027
923,3618,4810,3998
910,3585,4935,3973
850,3626,5048,3940
728,3670,5185,3918
577,3648,5315,3887
455,3670,5435,3863
370,3776,5520,3832
273,3841,5622,3808
158,3753,5740,3777
91,3670,5872,3753
95,3750,5969,3723
91,3926,6060,3699
12,3986,6145,3666
-91,3926,6247,3644
-150,3878,6335,3615
-182,3926,6435,3589
-234,3991,6528,3554
-273,4012,6622,3534
-247,3947,6683,3517
-182,3841,6747,3507
-154,3772,6805,3479
-182,3841,6872,3452
-233,3972,6905,3420
-273,4012,6934,3397
-291,3911,6955,3367
-273,3841,6997,3342
-225,3877,7025,3312
-182,3926,7059,3288
-174,3878,7084,3254
-182,3841,7122,3233
-157,3906,7131,3215
-91,4012,7122,3205
-50,4003,7080,3180
-91,3926,7059,3151
-169,3914,7050,3115
-182,4012,7059,3096
-121,4069,7035,3078
-91,4012,6997,3069
-140,3914,6931,3044
-182,3926,6872,3014
-146,4002,6801,2977
-91,4012,6747,2959
-86,3925,6683,2945
-91,3926,6622,2932
-46,4085,6529,2900
0,4268,6435,2877
-27,4304,6330,2860
-91,4268,6247,2849
-111,4258,6152,2821
-91,4268,6060,2795
-83,4242,5952,2773
-91,4268,5872,2767
-90,4343,5801,2753
-91,4353,5747,2740
-100,4262,5678,2721
-91,4268,5622,2712
-69,4402,5558,2697
-91,4439,5497,2685
-156,4226,5420,2667
-182,4012,5373,2658
-156,3988,5338,2642
-182,4012,5310,2630
-294,3858,5244,2613
-364,3670,5185,2603
-295,3654,5139,2588
-182,3756,5123,2575
-153,3753,5089,2556
-182,3670,5060,2548
-188,3633,5023,2545
-182,3670,4998,2548
-193,3699,4957,2536
-182,3756,4935,2521
-147,3855,4924,2500
-182,3926,4935,2493
-303,3888,4915,2490
-364,3841,4873,2493
-279,3870,4819,2482
-182,3926,4810,2466
-232,3872,4814,2443
-364,3756,4810,2438
-413,3718,4769,2438
-364,3841,4748,2438
-360,3985,4744,2422
-455,4012,4748,2411
-556,3889,4714,2407
-546,3756,4685,2411
-445,3683,4675,2399
-364,3670,4685,2384
-379,3655,4660,2364
-455,3670,4623,2356
-521,3694,4599,2350
-546,3670,4623,2356
-527,3499,4637,2359
-455,3244,4623,2356
-302,3003,4576,2337
-91,2902,4560,2329
148,2970,4562,2328
364,3244,4560,2329
545,3651,4520,2312
728,4097,4498,2301
1064,4463,4496,2299
1639,4780,4498,2301
2277,5088,4461,2286
2549,5378,4435,2274
2201,5533,4432,2270
1457,5548,4435,2274
819,5563,4399,2261
546,5804,4373,2247
441,6311,4369,2240
91,6914,4373,2247
-740,7341,4337,2239
-1912,7511,4311,2219
-3014,7541,4306,2195
-3733,7597,4311,2192
-4130,7646,4275,2193
-4461,7597,4248,2192
-4720,7475,4243,2175
-4643,7426,4248,2164
-4200,7365,4214,2161
-3733,6999,4186,2164
-3443,6181,4179,2153
-3096,5207,4186,2137
-2482,4448,4153,2119
-1821,4012,4123,2110
-1417,3744,4113,2095
-1184,3585,4123,2082
-880,3521,4097,2066
-546,3500,4061,2055
-407,3394,4040,2039
-455,3244,4061,2027
-470,3166,4070,2012
-364,3244,4061,2000
-262,3361,4023,1983
-273,3414,3998,1973
-336,3369,3985,1959
-364,3329,3998,1945
-350,3319,4004,1925
-364,3329,3998,1918
-391,3312,3963,1917
-364,3329,3936,1918
-261,3374,3921,1904
-182,3414,3936,1890
-177,3403,3942,1875
-182,3414,3936,1863
-132,3442,3900,1844
-91,3414,3873,1836
-123,3302,3859,1834
-182,3244,3873,1836
-215,3287,3879,1822
-273,3329,3873,1808
-385,3272,3839,1793
-455,3244,3811,1781
-421,3323,3795,1761
-364,3414,3811,1753
-366,3385,3818,1753
-364,3329,3811,1753
-307,3351,3774,1737
-273,3414,3748,1726
-326,3416,3737,1724
-364,3414,3748,1726
-291,3437,3748,1712
-182,3414,3748,1699
-157,3298,3741,1692
-182,3244,3748,1699
-160,3322,3747,1698
-91,3414,3748,1699
-17,3381,3739,1698
91,3329,3748,1699
267,3358,3750,1686
455,3414,3748,1671
599,3399,3732,1663
728,3414,3748,1671
878,3537,3795,1676
1001,3670,3873,1671
1058,3636,3936,1653
1093,3500,3998,1644
1152,3456,4052,1642
1184,3585,4123,1644
1121,3706,4199,1631
1001,3670,4311,1616
925,3531,4433,1608
910,3500,4560,1616
868,3595,4652,1621
728,3670,4748,1616
556,3624,4856,1599
455,3585,4998,1589
400,3626,5127,1585
273,3670,5248,1589
87,3642,5339,1587
0,3670,5435,1589
56,3787,5521,1589
91,3841,5622,1589
1,3733,5713,1576
-91,3670,5810,1562
-85,3784,5894,1553
-91,3926,5997,1562
-199,3903,6092,1568
-273,3841,6185,1562
-196,3875,6246,1542
-91,3926,6310,1534
-114,3869,6366,1535
-182,3841,6435,1534
-156,3933,6489,1517
-91,4012,6560,1507
-114,3928,6622,1506
-182,3841,6684,1507
-191,3877,6714,1491
-182,3926,6747,1479
-255,3839,6773,1478
-364,3756,6809,1479
-378,3791,6813,1464
-273,3841,6809,1452
-151,3777,6796,1450
-91,3756,6809,1452
-84,3880,6813,1437
-91,4012,6809,1425
-96,4002,6774,1423
-91,4012,6747,1425
-61,4151,6713,1410
0,4268,6684,1397
65,4192,6623,1394
91,4097,6560,1397
61,4152,6487,1384
0,4268,6435,1370
-54,4272,6370,1364
-91,4268,6310,1370
-105,4356,6220,1370
-91,4439,6122,1370
-71,4368,6009,1370
-91,4268,5935,1370
-150,4259,5872,1356
-182,4268,5810,1342
-147,4151,5709,1337
-91,4012,5622,1342
-74,3982,5550,1344
-91,4012,5497,1342
-98,3926,5424,1339
-91,3756,5373,1342
-87,3646,5335,1343
-91,3670,5310,1342
-112,3706,5246,1339
-182,3670,5185,1342
-292,3590,5138,1343
-364,3585,5123,1342
-346,3658,5091,1337
-273,3756,5060,1342
-189,3828,5021,1355
-91,3926,4998,1370
-2,4016,4961,1372
0,4012,4935,1370
-91,3879,4901,1366
-182,3756,4873,1370
-248,3705,4829,1370
-364,3670,4810,1370
-517,3590,4805,1367
-546,3585,4810,1370
-431,3681,4783,1371
-364,3756,4748,1370
-462,3701,4706,1364
-546,3670,4685,1370
-470,3755,4671,1383
-364,3841,4685,1397
-411,3773,4693,1399
-546,3670,4685,1397
-592,3651,4643,1395
-546,3670,4623,1397
-530,3578,4620,1396
-546,3414,4623,1397
-418,3214,4588,1397
-91,2988,4560,1397
242,2796,4551,1393
364,2902,4560,1397
424,3361,4534,1409
728,3926,4498,1425
1269,4287,4475,1428
1730,4524,4498,1425
2104,4857,4512,1420
2640,5292,4498,1425
3096,5536,4451,1426
2731,5463,4435,1425
1506,5281,4438,1419
455,5378,4435,1425
321,5874,4396,1437
455,6573,4373,1452
-179,7132,4370,1454
-1548,7426,4373,1452
-2802,7533,4337,1449
-3551,7597,4311,1452
-4070,7624,4304,1452
-4552,7597,4311,1452
-4820,7536,4279,1449
-4734,7511,4248,1452
-4382,7452,4237,1452
-3915,7170,4248,1452
-3461,6497,4223,1448
-3096,5548,4186,1452
-2730,4647,4162,1454
-2185,4097,4186,1452
-1514,3849,4200,1437
-1001,3670,4186,1425
-776,3423,4140,1420
-637,3244,4123,1425
-454,3212,4123,1425
-364,3244,4123,1425
-459,3201,4088,1422
-546,3158,4061,1425
-463,3182,4052,1424
-364,3244,4061,1425
-430,3241,4034,1423
-546,3244,3998,1425
-496,3288,3977,1423
-364,3329,3998,1425
-373,3281,4011,1423
-546,3244,3998,1425
-671,3273,3956,1423
-637,3329,3936,1425
-499,3321,3932,1423
-364,3329,3936,1425
-283,3385,3906,1423
-273,3414,3873,1425
-291,3329,3854,1423
-273,3244,3873,1425
-237,3260,3884,1423
-273,3329,3873,1425
-386,3314,3833,1423
-455,3244,3811,1425
-417,3205,3803,1424
-364,3244,3811,1425
-393,3316,3805,1422
-455,3414,3811,1425
-471,3468,3814,1425
-455,3414,3811,1425
-459,3281,3776,1420
-455,3244,3748,1425
-410,3336,3736,1437
-364,3414,3748,1452
-366,3342,3746,1454
-364,3244,3748,1452
-270,3273,3744,1449
-91,3414,3748,1452
77,3478,3739,1452
182,3414,3748,1452
286,3323,3752,1450
455,3329,3748,1452
639,3386,3725,1451
728,3414,3748,1452
743,3393,3808,1450
819,3414,3873,1452
987,3474,3895,1451
1093,3500,3936,1452
1057,3445,4014,1451
1001,3414,4123,1452
1016,3451,4209,1451
1001,3500,4311,1452
899,3489,4431,1451
819,3500,4560,1452
791,3557,4650,1450
637,3585,4748,1452
339,3523,4865,1451
182,3500,4998,1452
313,3580,5090,1450
455,3670,5185,1452
358,3665,5298,1452
182,3670,5435,1452
160,3758,5535,1449
182,3841,5622,1452
62,3804,5705,1454
-91,3756,5810,1452
-108,3789,5900,1437
-91,3841,5997,1425
-210,3800,6087,1420
-364,3756,6185,1425
-367,3788,6250,1425
-273,3841,6310,1425
-270,3804,6360,1422
-364,3756,6435,1425
-409,3777,6499,1424
-364,3841,6560,1425
-333,3849,6589,1423
-364,3841,6622,1425
-369,3849,6646,1423
-273,3841,6684,1425
-163,3751,6710,1423
-182,3670,6747,1425
-309,3704,6775,1423
-364,3841,6809,1425
-276,3906,6815,1423
-182,3841,6809,1425
-182,3762,6775,1423
-182,3841,6747,1425
-112,3992,6709,1423
-91,4012,6684,1425
-193,3854,6648,1423
-273,3756,6622,1425
-199,3828,6585,1423
-91,3926,6560,1425
-106,3887,6506,1423
-182,3841,6435,1425
-193,3911,6330,1424
-182,4012,6247,1425
-231,3987,6177,1422
-273,3926,6122,1425
-228,3924,6032,1424
-182,3926,5935,1425
-248,3854,5827,1421
-364,3841,5747,1425
-400,3942,5672,1427
-364,4012,5622,1425
-350,3920,5561,1409
-364,3841,5497,1397
-340,3909,5417,1393
-273,4012,5373,1397
-214,3978,5342,1397
-182,3926,5310,1397
-145,3988,5239,1396
-91,4097,5185,1397
-34,4106,5149,1394
0,4097,5123,1397
-16,4168,5057,1407
-91,4268,4998,1425
-169,4279,4955,1430
-182,4268,4935,1425
-152,4286,4895,1416
-182,4268,4873,1425
-289,4134,4866,1441
-364,4012,4873,1452
-334,3993,4843,1448
-273,4012,4810,1452
-288,3937,4775,1466
-364,3841,4748,1479
-398,3816,4703,1477
-364,3841,4685,1479
-336,3789,4685,1492
-364,3670,4685,1507
-394,3557,4646,1506
-364,3500,4623,1507
-322,3447,4620,1518
-364,3414,4623,1534
-455,3448,4586,1535
-455,3585,4560,1534
-343,3717,4556,1542
-273,3756,4560,1562
-324,3723,4525,1575
-364,3756,4498,1589
-279,3838,4491,1603
-182,3841,4498,1616
-225,3723,4466,1616
-364,3670,4435,1616
-473,3754,4424,1624
-546,3841,4435,1644
-620,3797,4411,1658
-637,3756,4373,1671
-581,3801,4349,1681
-546,3841,4373,1699
-576,3773,4388,1712
-546,3756,4373,1726
-418,3859,4326,1736
-364,3926,4311,1753
-468,3805,4313,1768
-546,3670,4311,1781
-460,3618,4271,1781
-364,3500,4248,1781
-356,3171,4246,1786
-273,2902,4248,1808
-19,2945,4211,1827
182,3244,4186,1836
255,3564,4181,1830
455,3926,4186,1836
911,4362,4151,1850
1366,4780,4123,1863
1748,5078,4116,1860
2276,5378,4123,1863
2755,5684,4092,1875
2458,5804,4061,1890
1297,5665,4050,1889
273,5634,4061,1890
161,6041,4036,1900
364,6743,3998,1918
-164,7263,3976,1920
-1457,7426,3998,1918
-2697,7430,4011,1915
-3460,7511,3998,1918
-4004,7615,3955,1914
-4552,7597,3936,1918
-4904,7425,3933,1929
-4825,7255,3936,1945
-4403,7155,3905,1947
-3915,6999,3873,1945
-3526,6533,3856,1942
-3187,5719,3873,1945
-2776,4792,3882,1943
-2276,4097,3873,1945
-1783,3732,3837,1945
-1366,3585,3811,1945
-1021,3483,3797,1939
-728,3414,3811,1945
-505,3395,3817,1957
-364,3414,3811,1973
-320,3362,3776,1973
-364,3244,3748,1973
-413,3160,3734,1970
-364,3244,3748,1973
-261,3384,3754,1968
-273,3414,3748,1973
-398,3300,3714,1984
-455,3244,3686,2000
-354,3293,3670,2001
-273,3329,3686,2000
-320,3256,3695,2005
-364,3244,3686,2027
-272,3346,3647,2046
-182,3414,3623,2055
-244,3318,3616,2050
-364,3244,3623,2055
-361,3321,3618,2066
-273,3414,3623,2082
-244,3341,3627,2083
-273,3244,3623,2082
-278,3292,3588,2087
-273,3414,3561,2110
-319,3411,3551,2128
-364,3329,3561,2137
-334,3300,3557,2131
-273,3329,3561,2137
-285,3296,3563,2158
-364,3244,3561,2192
-411,3280,3526,2211
-364,3414,3498,2219
-264,3483,3486,2223
-182,3414,3498,2247
-161,3281,3497,2275
-182,3244,3498,2301
-180,3316,3495,2312
-91,3414,3498,2329
83,3435,3488,2352
273,3414,3498,2384
400,3400,3521,2400
455,3414,3561,2411
512,3411,3584,2418
637,3414,3623,2438
798,3442,3674,2454
910,3500,3748,2466
981,3543,3806,2470
1093,3585,3873,2493
1237,3627,3949,2522
1275,3670,4061,2548
1153,3682,4178,2557
1001,3670,4311,2575
941,3608,4432,2601
910,3500,4560,2630
823,3397,4678,2641
728,3414,4810,2658
692,3519,4934,2682
637,3585,5060,2712
475,3536,5173,2724
273,3500,5310,2740
148,3563,5441,2762
91,3670,5560,2795
41,3694,5642,2809
0,3670,5747,2822
-27,3660,5869,2840
-91,3670,5997,2877
-179,3656,6088,2905
-182,3670,6185,2932
-99,3723,6280,2952
-91,3756,6372,2986
-237,3709,6424,3016
-364,3670,6497,3041
-314,3673,6590,3050
-182,3670,6684,3069
-166,3630,6719,3090
-273,3670,6747,3123
-360,3789,6793,3148
-364,3841,6872,3178
-351,3742,6913,3204
-364,3670,6934,3233
-380,3715,6949,3245
-364,3756,6997,3260
-320,3684,7033,3278
-273,3670,7059,3315
-250,3804,7054,3345
-273,3926,7059,3370
-329,3860,7056,3379
-364,3756,7059,3397
-311,3772,7031,3419
-182,3841,6997,3452
-103,3804,6952,3468
-182,3756,6934,3479
-335,3817,6907,3483
-364,3926,6872,3507
-249,3913,6803,3533
-182,3841,6747,3562
-244,3867,6684,3573
-273,4012,6622,3589
-169,4085,6525,3601
-91,4012,6435,3616
-171,3901,6337,3614
-273,3926,6247,3616
-241,4017,6138,3621
-182,4012,6060,3644
-251,3884,5994,3659
-364,3841,5935,3671
-359,3937,5835,3668
-273,4012,5747,3671
-245,3926,5673,3676
-273,3841,5622,3699
-278,3894,5550,3715
-273,4012,5497,3726
-289,4051,5459,3720
-273,4097,5435,3726
-202,4208,5372,3736
-182,4268,5310,3753
-276,4146,5261,3752
-364,4012,5248,3753
-313,4065,5218,3750
-182,4268,5185,3753
-127,4382,5143,3747
-182,4353,5123,3753
-254,4280,5091,3763
-273,4268,5060,3781
-241,4274,5016,3780
-182,4268,4998,3781
-119,4230,4989,3776
-91,4183,4998,3781
-119,4103,4976,3777
-182,4012,4935,3781
-240,3912,4882,3779
-273,3841,4873,3781
-282,3787,4877,3772
-273,3756,4873,3781
-261,3711,4831,3792
-273,3670,4810,3808
-319,3643,4809,3804
-364,3670,4810,3808
-352,3715,4772,3816
-273,3756,4748,3836
-193,3779,4744,3835
-182,3841,4748,3836
-208,3931,4711,3838
-182,4012,4685,3863
-104,4029,4681,3879
-91,4012,4685,3890
-210,3972,4649,3884
-364,3926,4623,3890
-416,3863,4618,3898
-364,3841,4623,3918
-327,3871,4587,3928
-364,3926,4560,3945
-432,3911,4556,3955
-455,3841,4560,3973
-419,3790,4525,3982
-364,3841,4498,4000
-342,3896,4493,4012
-364,3841,4498,4027
-387,3655,4463,4025
-364,3500,4435,4027
-282,3394,4429,4030
-182,3244,4435,4055
-87,3001,4404,4071
0,2902,4373,4082
122,3095,4362,4075
273,3500,4373,4082
434,3920,4347,4093
637,4353,4311,4110
1053,4755,4288,4106
1730,5036,4311,4110
2342,5232,4323,4116
2367,5548,4311,4137
1696,5853,4268,4140
819,5804,4248,4137
286,5523,4243,4126
91,5719,4248,4137
-185,6592,4221,4149
-819,7426,4186,4164
-1715,7563,4143,4162
-2640,7341,4123,4164
-3452,7346,4111,4161
-4097,7511,4123,4164
-4538,7415,4130,4157
-4734,7170,4123,4164
-4645,7163,4084,4173
-4279,7341,4061,4192
-3764,7209,4054,4192
-3278,6573,4061,4192
-2876,5676,4033,4185
-2458,4865,3998,4192
-1961,4247,3978,4189
-1457,3841,3998,4192
-1047,3606,4010,4186
-728,3500,3998,4192
-488,3416,3956,4189
-364,3329,3936,4192
-357,3247,3933,4186
-364,3244,3936,4192
-314,3290,3905,4191
-273,3329,3873,4192
-306,3288,3856,4174
-364,3244,3873,4164
-369,3253,3882,4156
-364,3329,3873,4164
-379,3384,3836,4163
-364,3414,3811,4164
-267,3414,3797,4157
-182,3414,3811,4164
-194,3401,3816,4165
-273,3414,3811,4164
-329,3428,3777,4146
-364,3414,3748,4137
-390,3354,3733,4131
-364,3329,3748,4137
-265,3361,3757,4125
-182,3414,3748,4110
-198,3420,3710,4086
-273,3414,3686,4082
-328,3414,3676,4080
-364,3414,3686,4082
-418,3397,3683,4066
-455,3414,3686,4055
-428,3443,3683,4037
-364,3414,3686,4027
-340,3302,3677,4008
-364,3244,3686,4000
-383,3307,3691,3986
-364,3414,3686,3973
-345,3437,3648,3941
-364,3414,3623,3918
-395,3406,3615,3898
-364,3414,3623,3890
-246,3397,3614,3865
-91,3414,3623,3836
25,3471,3648,3799
91,3500,3686,3781
159,3446,3689,3763
273,3414,3686,3753
417,3453,3695,3728
546,3500,3748,3699
644,3481,3806,3661
728,3500,3873,3644
821,3619,3946,3629
910,3756,4061,3616
976,3757,4186,3585
1001,3670,4311,3562
980,3624,4401,3543
910,3670,4498,3534
813,3703,4607,3508
728,3670,4748,3479
678,3601,4875,3446
637,3585,4998,3425
565,3617,5109,3395
455,3670,5248,3370
347,3707,5379,3339
273,3756,5497,3315
229,3806,5582,3284
182,3841,5685,3260
102,3835,5802,3231
0,3841,5935,3205
-76,3876,6034,3172
-91,3926,6122,3151
-77,3936,6203,3133
-91,3926,6310,3123
-146,3892,6406,3098
-182,3841,6497,3069
-152,3795,6558,3033
-91,3841,6622,3014
-91,3948,6675,2997
-182,4012,6747,2986
-277,3965,6809,2960
-273,3926,6872,2932
-202,3961,6903,2897
-182,4012,6934,2877
-242,3977,6956,2860
-273,3926,6997,2849
-223,3940,7027,2824
-182,4012,7059,2795
-223,4034,7060,2759
-273,4012,7059,2740
-244,3992,7047,2724
-182,4012,7059,2712
-171,4018,7062,2684
-182,4012,7059,2658
-144,4000,7024,2635
-91,4012,6997,2630
-107,4014,6963,2619
-182,4012,6934,2603
-221,4000,6871,2571
-182,4012,6809,2548
-118,4018,6741,2529
-91,4012,6684,2521
-96,3990,6596,2506
-91,4012,6497,2493
-76,4062,6386,2476
-91,4097,6310,2466
-142,4061,6241,2450
-182,4012,6185,2438
-187,3988,6095,2422
-182,4012,5997,2411
-164,4068,5887,2395
-91,4183,5810,2384
3,4280,5740,2368
0,4268,5685,2356
-111,4147,5615,2339
-182,4097,5560,2329
-134,4174,5496,2314
-91,4268,5435,2301
-168,4263,5358,2283
-273,4268,5310,2274
-267,4352,5274,2261
-182,4439,5248,2247
-122,4411,5183,2225
-91,4353,5123,2219
-63,4327,5074,2220
-91,4268,5060,2219
-194,4090,5031,2201
-273,3926,4998,2192
-269,3891,4952,2191
-273,3926,4935,2192
-337,3871,4928,2175
-364,3756,4935,2164
-303,3678,4913,2162
-273,3670,4873,2164
-337,3663,4820,2149
-364,3670,4810,2137
-265,3704,4814,2134
-182,3756,4810,2137
-255,3784,4768,2123
-364,3841,4748,2110
-299,3933,4746,2105
-91,4012,4748,2110
19,3996,4709,2097
-91,3926,4685,2082
-281,3861,4682,2073
-364,3841,4685,2082
-346,3830,4649,2086
-364,3841,4623,2082
