III,MCL,ABP
2905,1968,2459
3262,2244,2464
3528,2507,2446
3732,2790,2423
3883,3104,2411
3967,3396,2423
3930,3550,2427
3758,3548,2423
3469,3422,2414
3132,3244,2423
2812,3054,2429
2584,2941,2423
2463,2958,2398
2427,3093,2382
2392,3206,2378
2297,3184,2382
2123,3005,2366
1931,2790,2341
1794,2648,2313
1775,2638,2300
1868,2734,2292
2036,2911,2300
2189,3100,2315
2270,3214,2341
2240,3168,2361
2140,3002,2382
2029,2824,2389
1983,2759,2382
2009,2807,2357
2088,2911,2341
2151,2981,2337
2166,3002,2341
2123,2962,2326
2062,2881,2300
2006,2771,2271
1983,2699,2259
1997,2692,2254
2062,2759,2259
2140,2841,2258
2192,2911,2259
2180,2940,2255
2140,2941,2259
2115,2918,2259
2140,2911,2259
2188,2926,2252
2244,2971,2259
2293,3016,2263
2349,3062,2259
2389,3088,2232
2401,3093,2218
2373,3062,2214
2349,3032,2218
2358,3030,2196
2427,3093,2177
2526,3183,2166
2636,3275,2177
2724,3336,2174
2792,3396,2177
2829,3440,2183
2845,3457,2218
2828,3420,2252
2792,3366,2300
2741,3302,2357
2714,3244,2464
2732,3194,2620
2819,3214,2834
2937,3314,3068
3053,3457,3327
3123,3556,3606
3158,3608,3943
3170,3633,4309
3184,3669,4682
3190,3697,5018
3210,3729,5339
3259,3778,5638
3367,3881,5914
3494,4004,6114
3575,4093,6243
3529,4062,6311
3367,3911,6366
3155,3694,6388
3001,3517,6366
2932,3420,6285
2923,3396,6202
2913,3391,6130
2897,3396,6078
2877,3403,6012
2871,3426,5955
2857,3441,5906
2845,3457,5873
2841,3473,5826
2871,3517,5791
2901,3553,5763
2897,3548,5750
2822,3467,5711
2714,3366,5668
2621,3291,5617
2584,3275,5586
2560,3255,5541
2505,3184,5503
2384,3029,5454
2244,2850,5421
2139,2710,5377
2114,2668,5339
2148,2697,5289
2218,2759,5257
2287,2815,5227
2349,2881,5216
2386,2939,5193
2401,2971,5175
2388,2947,5146
2375,2911,5134
2367,2901,5113
2375,2941,5093
2372,2978,5048
2349,2971,5011
2290,2886,4979
2218,2759,4969
2150,2635,4939
2114,2577,4887
2102,2577,4812
2114,2608,4764
2132,2624,4727
2166,2638,4682
2191,2643,4597
2192,2638,4518
2161,2613,4452
2140,2608,4395
2150,2636,4298
2192,2699,4189
2240,2751,4078
2297,2790,3984
2339,2799,3878
2349,2790,3778
2312,2754,3675
2270,2729,3573
2248,2720,3446
2244,2729,3327
2230,2726,3215
2218,2729,3121
2222,2755,3025
2244,2820,2957
2239,2868,2908
2192,2850,2875
2110,2742,2826
2036,2608,2793
1988,2517,2780
1983,2517,2793
2011,2564,2792
2062,2608,2793
2095,2604,2798
2088,2577,2834
2039,2555,2874
2010,2577,2916
2035,2637,2938
2114,2729,2957
2182,2805,2970
2218,2850,2998
2239,2861,3021
2297,2881,3039
2376,2907,3036
2427,2911,3039
2387,2836,3051
2270,2699,3080
2131,2540,3101
2036,2426,3121
1990,2367,3136
1983,2365,3162
1982,2381,3184
1983,2395,3203
1987,2390,3204
2010,2395,3203
2048,2430,3198
2114,2517,3203
2198,2635,3204
2297,2759,3203
2351,2822,3184
2323,2790,3162
2207,2668,3136
2088,2547,3121
2023,2482,3101
2036,2486,3080
2073,2501,3051
2114,2517,3039
2130,2542,3035
2114,2608,3039
2040,2676,3023
1931,2699,2998
1816,2629,2969
1749,2486,2957
1764,2292,2940
1905,2092,2916
2162,1922,2883
2505,1850,2875
2883,1896,2877
3262,2062,2875
3580,2311,2849
3810,2638,2834
3986,3000,2832
4176,3335,2834
4301,3540,2811
4202,3578,2793
3826,3454,2787
3367,3244,2793
3022,3016,2774
2819,2850,2752
2650,2773,2740
2505,2790,2752
2430,2855,2754
2427,2941,2752
2410,2996,2744
2349,3002,2752
2270,2950,2754
2218,2881,2752
2166,2796,2742
2088,2699,2752
1980,2586,2771
1905,2517,2793
1900,2522,2793
1983,2608,2793
2103,2727,2801
2218,2850,2834
2274,2910,2861
2270,2881,2875
2220,2798,2870
2192,2790,2875
2227,2886,2880
2323,3002,2875
2386,2999,2827
2349,2881,2752
2212,2736,2664
2088,2668,2587
2066,2681,2506
2166,2759,2423
2301,2855,2343
2401,2941,2300
2438,2973,2298
2453,2971,2341
2463,2975,2394
2479,3032,2464
2477,3095,2546
2453,3093,2670
2386,2975,2809
2297,2820,2957
2231,2726,3052
2270,2759,3080
2398,2863,2993
2531,2971,2793
2582,3028,2463
2584,3062,2054
2597,3103,1608
2662,3184,1232
2750,3264,1002
2845,3305,1027
2893,3269,1344
2871,3214,1971
2806,3206,2815
2819,3305,3778
2950,3462,4735
3132,3608,5627
3237,3675,6374
3262,3699,6941
3270,3725,7284
3314,3790,7434
3351,3846,7412
3340,3851,7269
3267,3775,7033
3184,3669,6777
3134,3591,6549
3158,3608,6407
3238,3701,6355
3340,3820,6407
3394,3879,6530
3367,3851,6694
3255,3746,6849
3132,3639,6982
3061,3581,7058
3080,3608,7064
3126,3668,6962
3132,3699,6777
3048,3638,6510
2923,3517,6202
2818,3400,5837
2792,3366,5462
2826,3395,5085
2871,3426,4764
2839,3380,4484
2714,3275,4271
2553,3173,4104
2479,3153,4025
2516,3191,4019
2584,3214,4107
2553,3133,4244
2427,2971,4436
2298,2812,4644
2270,2759,4887
2314,2796,5127
2349,2850,5380
2315,2837,5610
2270,2790,5832
2268,2769,6009
2323,2820,6161
2364,2879,6268
2349,2881,6366
2257,2787,6435
2140,2668,6489
2068,2600,6500
2114,2638,6489
2263,2751,6449
2427,2881,6407
2495,2942,6348
2453,2911,6284
2354,2812,6202
2270,2729,6119
2232,2712,6020
2244,2759,5914
2304,2833,5789
2401,2911,5668
2480,2959,5531
2479,2941,5380
2407,2869,5195
2349,2820,5011
2305,2775,4822
2166,2608,4641
1824,2204,4434
1331,1637,4230
820,1057,4030
470,667,3861
501,738,3691
966,1334,3532
1403,1870,3371
1148,1516,3245
189,288,3130
-679,-788,3039
-872,-1011,2955
-679,-788,2916
-619,-751,2905
-679,-788,2916
-637,-602,2909
-444,-243,2916
-24,281,2940
835,1273,2998
1762,2361,3055
1827,2395,3121
684,926,3180
-679,-788,3245
-1113,-1316,3298
-679,-788,3368
-389,-460,3445
-679,-788,3532
-958,-1076,3597
-679,-788,3655
-347,-488,3709
-679,-788,3778
-1193,-1078,3842
-470,30,3902
1821,2743,3944
4254,5549,3984
5413,6913,4008
5533,6944,4025
5548,6674,4025
5559,6519,4025
5108,6134,4011
4437,5518,3984
4241,5187,3926
4645,5458,3861
5107,6028,3792
5324,6489,3737
5414,6688,3676
5480,6701,3614
5439,6610,3544
5298,6489,3491
5173,6372,3444
5141,6307,3409
5166,6309,3365
5220,6367,3327
5270,6415,3293
5298,6428,3286
5280,6411,3284
5246,6398,3286
5185,6350,3266
5141,6307,3245
5127,6293,3217
5193,6367,3203
5276,6457,3193
5298,6489,3203
5164,6379,3209
4906,6185,3203
4598,5981,3175
4358,5852,3162
4225,5750,3160
4228,5640,3162
4328,5470,3139
4515,5276,3121
4747,5044,3114
5037,4821,3121
5352,4668,3116
5663,4730,3121
5878,5012,3137
5976,5427,3162
5976,5805,3165
5976,6095,3162
5992,6246,3157
5976,6246,3162
5802,6060,3158
5454,5791,3162
5026,5555,3164
4698,5458,3162
4517,5461,3138
4437,5518,3121
4356,5549,3114
4280,5549,3121
4208,5502,3118
4150,5458,3121
4094,5432,3122
4097,5458,3121
4145,5478,3098
4176,5458,3080
4106,5367,3072
3993,5276,3080
3904,5208,3067
3889,5185,3039
3901,5178,3005
3941,5215,2998
3966,5248,2999
3967,5246,2998
3932,5189,2975
3941,5185,2957
4004,5256,2948
4071,5337,2957
4030,5286,2957
3889,5124,2957
3716,4940,2952
3628,4851,2957
3640,4858,2955
3732,4942,2957
3813,5015,2953
3836,5033,2957
3779,4963,2954
3706,4882,2957
3660,4833,2952
3680,4851,2957
3720,4873,2954
3758,4882,2957
3761,4858,2951
3758,4851,2957
3756,4853,2954
3784,4882,2957
3835,4923,2947
3915,5003,2957
3962,5055,2970
3941,5033,2998
3840,4918,3011
3758,4821,3039
3753,4799,3078
3836,4851,3162
3932,4902,3278
4019,4973,3450
4083,5077,3654
4150,5215,3902
4191,5291,4178
4202,5276,4518
4144,5162,4896
4045,5033,5298
3962,4954,5673
3993,5003,6037
4118,5136,6376
4254,5276,6694
4306,5332,6948
4306,5337,7146
4296,5322,7273
4306,5337,7352
4317,5366,7367
4358,5427,7352
4407,5474,7297
4410,5458,7228
4298,5319,7137
4123,5124,7064
3979,4968,6997
3941,4942,6941
3959,4992,6868
3967,5033,6818
3894,4969,6784
3758,4821,6777
3586,4633,6753
3445,4488,6735
3364,4403,6708
3367,4397,6694
3395,4416,6665
3393,4427,6653
3313,4378,6632
3210,4306,6612
3137,4235,6563
3132,4215,6530
3149,4214,6500
3158,4215,6489
3119,4167,6458
3053,4093,6448
2987,4025,6441
2975,4033,6448
3003,4086,6425
3027,4124,6407
2975,4063,6381
2871,3942,6366
2774,3832,6322
2766,3820,6284
2836,3876,6249
2923,3942,6243
2923,3930,6223
2819,3851,6202
2671,3744,6156
2610,3699,6119
2668,3731,6072
2792,3820,6037
2870,3881,5992
2871,3881,5955
2808,3810,5896
2740,3729,5832
2696,3678,5757
2714,3699,5709
2777,3760,5655
2845,3820,5586
2836,3802,5476
2740,3699,5380
2597,3546,5296
2505,3457,5216
2513,3482,5094
2610,3608,4969
2699,3715,4855
2714,3729,4764
2645,3646,4647
2584,3578,4518
2603,3593,4381
2714,3699,4271
2811,3790,4163
2792,3790,4066
2630,3664,3957
2427,3487,3861
2288,3341,3764
2270,3305,3696
2335,3360,3642
2427,3457,3614
2475,3504,3585
2453,3487,3573
2368,3417,3562
2297,3366,3573
2286,3361,3585
2349,3426,3614
2432,3527,3634
2505,3639,3655
2538,3701,3665
2531,3699,3696
2476,3636,3734
2401,3578,3778
2323,3539,3800
2270,3517,3820
2235,3472,3834
2218,3426,3861
2208,3394,3878
2218,3396,3902
2247,3405,3920
2297,3426,3943
2336,3434,3945
2349,3426,3943
2318,3382,3934
2270,3335,3943
2227,3302,3946
2218,3305,3943
2229,3325,3918
2244,3366,3902
2244,3393,3894
2244,3396,3902
2242,3362,3889
2244,3335,3861
2238,3326,3813
2244,3335,3778
2259,3338,3750
2297,3366,3737
2348,3426,3716
2427,3517,3696
2486,3568,3669
2479,3548,3655
2378,3447,3637
2244,3335,3614
2132,3264,3570
2062,3275,3532
1988,3318,3502
1905,3335,3491
1832,3257,3471
1827,3093,3450
1913,2867,3421
2114,2638,3409
2413,2436,3391
2792,2335,3368
3193,2387,3323
3575,2638,3286
3906,3014,3257
4176,3396,3245
4328,3644,3223
4306,3729,3203
4082,3672,3178
3732,3548,3162
3353,3402,3140
3027,3305,3121
2765,3278,3096
2584,3335,3080
2475,3427,3057
2427,3517,3039
2392,3555,3014
2349,3548,2998
2289,3499,2976
2244,3457,2957
2226,3435,2930
2244,3457,2916
2277,3497,2908
2323,3548,2916
2369,3580,2916
2427,3608,2916
2465,3630,2909
2479,3669,2916
2477,3703,2917
2505,3729,2916
2540,3715,2905
2531,3669,2916
2439,3583,2937
2323,3487,2957
2241,3392,2953
2218,3335,2957
2213,3307,2973
2218,3305,2998
2227,3299,3001
2244,3305,2998
2253,3314,2993
2270,3335,2998
2295,3346,2994
2323,3366,2998
2326,3379,2999
2323,3396,2998
2330,3401,2974
2375,3426,2957
2435,3464,2950
2505,3517,2957
2568,3558,2940
2636,3608,2916
2687,3648,2885
2714,3669,2875
2695,3641,2856
2662,3608,2834
2639,3589,2799
2662,3608,2793
2723,3639,2802
2819,3699,2834
2915,3771,2861
3001,3851,2916
3051,3902,2995
3080,3942,3121
3091,3963,3276
3106,3972,3491
3101,3953,3753
3080,3942,4066
3047,3935,4396
3053,3942,4764
3109,3958,5149
3210,4033,5544
3316,4150,5893
3419,4275,6202
3491,4358,6461
3523,4427,6694
3496,4468,6868
3445,4457,6982
3394,4368,7020
3367,4275,7023
3340,4225,6990
3314,4215,6941
3288,4191,6860
3288,4184,6777
3309,4215,6687
3340,4275,6612
3331,4282,6537
3262,4215,6489
3133,4090,6456
3001,3972,6448
2893,3869,6426
2819,3790,6407
2742,3710,6377
2662,3639,6366
2588,3566,6344
2558,3517,6325
2555,3487,6280
2558,3487,6243
2527,3482,6194
2479,3457,6161
2421,3385,6114
2375,3305,6078
2337,3237,6031
2323,3214,5996
2319,3208,5948
2323,3214,5914
2315,3208,5880
2323,3214,5873
2357,3229,5856
2427,3275,5832
2493,3330,5781
2531,3396,5750
2521,3433,5725
2479,3426,5709
2406,3345,5665
2323,3214,5627
2233,3060,5584
2166,2941,5544
2123,2868,5477
2114,2850,5421
2125,2855,5373
2166,2881,5339
2218,2912,5279
2270,2971,5216
2305,3050,5148
2349,3153,5093
2415,3245,5013
2505,3305,4928
2558,3292,4836
2531,3214,4764
2420,3086,4683
2297,2971,4600
2213,2896,4495
2192,2881,4395
2198,2898,4288
2218,2941,4189
2240,2977,4069
2270,3002,3943
2297,3002,3807
2323,3002,3696
2329,2997,3591
2323,3002,3491
2317,3017,3377
2349,3062,3286
2387,3102,3212
2375,3093,3162
2272,3000,3111
2140,2881,3080
2057,2788,3056
2062,2759,3039
2111,2763,3007
2166,2790,2998
2191,2816,3010
2192,2850,3039
2180,2876,3041
2192,2911,3039
2221,2944,3046
2244,2971,3080
2227,2958,3106
2192,2911,3121
2156,2847,3116
2140,2820,3121
2146,2841,3132
2192,2911,3162
2242,2975,3186
2244,3002,3203
2156,2951,3202
2036,2850,3203
1954,2749,3201
1957,2729,3203
2012,2787,3197
2088,2881,3203
2156,2948,3207
2218,3002,3203
2257,3034,3178
2270,3032,3162
2243,2966,3158
2192,2881,3162
2129,2805,3144
2088,2759,3121
2073,2724,3096
2088,2729,3080
2108,2774,3057
2140,2850,3039
2183,2924,3018
2244,3002,2998
2285,3054,2968
2270,3032,2957
2178,2899,2957
2062,2729,2957
1987,2620,2921
2010,2638,2875
2086,2734,2838
2166,2850,2834
2216,2936,2834
2270,3002,2834
2312,3035,2815
2297,3032,2793
2185,2979,2766
2036,2911,2752
1900,2836,2733
1801,2759,2711
1733,2643,2679
1749,2486,2670
1878,2281,2671
2114,2062,2670
2410,1882,2644
2766,1850,2628
3155,2010,2626
3523,2335,2628
3810,2706,2607
4019,3032,2587
4123,3235,2581
4071,3305,2587
3846,3269,2571
3549,3214,2546
3271,3175,2520
3027,3153,2505
2779,3107,2483
2558,3062,2464
2408,3046,2442
2349,3093,2423
2343,3176,2395
2375,3275,2382
2409,3328,2379
2401,3305,2382
2314,3204,2364
2192,3093,2341
2089,3006,2316
2036,2941,2300
2001,2862,2274
1983,2790,2259
1972,2746,2262
1983,2759,2300
2014,2811,2342
2088,2911,2382
2181,3039,2413
2270,3184,2464
2335,3298,2525
2401,3366,2587
2446,3348,2628
2427,3244,2670
2317,3079,2711
2192,2941,2752
2118,2874,2761
2114,2881,2752
2139,2912,2741
2192,2971,2752
2258,3053,2759
2323,3153,2752
2354,3221,2724
2375,3244,2711
2392,3218,2708
2401,3184,2711
2383,3154,2691
2375,3153,2670
2392,3165,2646
2427,3184,2628
2434,3184,2589
2427,3184,2546
2424,3175,2498
2453,3184,2464
2503,3209,2420
2584,3275,2382
2669,3345,2333
2740,3396,2300
2771,3406,2276
2792,3426,2300
2827,3473,2357
2897,3548,2464
2976,3619,2609
3053,3699,2834
3091,3747,3129
3080,3729,3491
3028,3639,3868
3001,3578,4271
3029,3604,4689
3106,3699,5134
3179,3782,5559
3236,3851,5955
3274,3911,6289
3314,3972,6571
3352,4011,6782
3393,4063,6941
3411,4121,7041
3393,4154,7105
3324,4104,7120
3236,4002,7105
3140,3886,7059
3053,3790,7023
2974,3700,6993
2923,3639,6982
2872,3585,6959
2792,3517,6941
2666,3406,6915
2558,3305,6900
2503,3254,6865
2505,3275,6818
2521,3332,6727
2558,3426,6612
2603,3520,6465
2636,3578,6325
2608,3548,6175
2531,3457,6037
2417,3330,5904
2297,3214,5832
2186,3120,5809
2140,3093,5832
2153,3116,5847
2192,3153,5873
2208,3142,5883
2218,3093,5873
2233,3018,5791
2244,2941,5668
2228,2854,5503
2218,2790,5339
2232,2756,5150
2270,2759,4969
2276,2754,4788
2244,2729,4641
2186,2670,4503
2140,2608,4395
2097,2561,4294
2062,2577,4230
2053,2660,4197
2114,2790,4230
2210,2886,4309
2270,2881,4436
2247,2713,4570
2166,2395,4723
2017,1976,4869
1801,1577,5011
1630,1322,5109
1749,1334,5175
2238,1617,5190
2923,2092,5175
3533,2604,5119
3967,3032,5052
4192,3274,4970
4150,3305,4887
3801,3149,4775
3288,2911,4641
2801,2671,4488
2427,2486,4353
2134,2374,4228
1931,2365,4107
1842,2438,3962
1853,2547,3820
1886,2632,3684
1905,2699,3573
1899,2736,3453
1879,2729,3327
1840,2658,3190
1801,2577,3080
1761,2528,2987
1722,2517,2916
1680,2500,2833
1670,2486,2752
1704,2494,2672
1775,2547,2628
1829,2604,2601
1853,2638,2587
1841,2629,2562
1827,2608,2546
1810,2585,2535
1801,2577,2546
1791,2579,2559
1801,2608,2587
1830,2650,2620
1879,2699,2670
1922,2728,2711
1957,2759,2752
1981,2797,2785
2010,2850,2834
2030,2881,2877
2036,2881,2916
2000,2833,2945
1931,2759,2998
1847,2661,3062
1801,2577,3121
1805,2529,3143
1853,2547,3162
1906,2601,3193
1957,2668,3245
1996,2722,3272
2036,2790,3286
2070,2876,3281
2114,2971,3286
2155,3024,3281
2192,3032,3286
2215,3016,3280
2244,3032,3286
2280,3082,3289
2323,3153,3327
2357,3204,3390
2401,3244,3491
2457,3287,3600
2531,3366,3737
2601,3459,3897
2662,3548,4107
2699,3588,4340
2714,3578,4600
2690,3505,4858
2636,3396,5134
2562,3271,5403
2505,3184,5668
2468,3145,5890
2453,3153,6078
2452,3168,6217
2479,3184,6325
2514,3186,6383
2531,3184,6407
2508,3165,6379
2479,3153,6325
2468,3145,6241
2479,3153,6161
2475,3163,6073
2453,3184,5996
2413,3183,5909
2375,3153,5832
2345,3103,5757
2349,3093,5709
2381,3122,5663
2427,3153,5627
2443,3133,5579
2427,3093,5544
2388,3059,5503
2349,3032,5462
2286,2951,5398
2192,2820,5339
2085,2688,5274
2036,2638,5216
2055,2664,5134
2114,2729,5052
2164,2787,4962
2218,2850,4887
2258,2892,4802
2244,2881,4723
2147,2784,4635
2036,2668,4559
1977,2600,4474
1983,2608,4395
1999,2631,4306
2010,2638,4230
2017,2624,4147
2036,2638,4066
2061,2693,3964
2114,2790,3861
2172,2868,3751
2192,2881,3655
2127,2798,3552
2010,2668,3450
1892,2545,3337
1827,2486,3245
1822,2499,3157
1879,2577,3080
1952,2662,2991
1983,2699,2916
1929,2637,2846
1827,2517,2793
1739,2399,2740
1722,2365,2711
1769,2423,2688
1853,2547,2670
1917,2663,2637
1931,2729,2628
1894,2727,2641
1853,2699,2670
1822,2662,2683
1801,2638,2711
1776,2615,2750
1775,2608,2793
1793,2598,2810
1801,2577,2834
1759,2528,2871
1696,2486,2916
1659,2477,2935
1670,2517,2957
1692,2559,2991
1696,2577,3039
1678,2551,3064
1670,2517,3080
1684,2496,3095
1722,2517,3121
1763,2566,3139
1801,2638,3162
1822,2695,3183
1827,2729,3203
1799,2725,3203
1749,2699,3203
1688,2637,3202
1644,2547,3203
1619,2445,3185
1618,2395,3162
1633,2415,3137
1670,2486,3121
1706,2544,3099
1722,2577,3080
1707,2597,3057
1696,2638,3039
1716,2692,3015
1775,2759,2998
1825,2815,2976
1827,2850,2957
1763,2825,2929
1670,2729,2916
1585,2572,2911
1540,2426,2916
1534,2346,2901
1566,2365,2875
1601,2428,2844
1618,2486,2834
1618,2511,2832
1644,2547,2834
1714,2622,2816
1827,2759,2793
1964,2945,2764
2114,3153,2752
2202,3268,2745
2140,3184,2752
1923,2902,2753
1696,2608,2752
1599,2469,2732
1644,2517,2711
1720,2626,2685
1749,2699,2670
1713,2677,2649
1644,2577,2628
1564,2442,2590
1514,2365,2546
1521,2379,2496
1592,2456,2464
1674,2524,2440
1722,2577,2423
1710,2606,2396
1670,2608,2382
1637,2571,2377
1644,2547,2382
1676,2559,2378
1722,2608,2382
1771,2658,2395
1827,2729,2423
1869,2814,2444
1879,2881,2464
1840,2869,2480
1775,2790,2505
1708,2674,2525
1670,2577,2546
1658,2523,2562
1670,2547,2587
1699,2621,2609
1749,2699,2628
1799,2749,2630
1853,2820,2628
1925,2920,2621
2036,3002,2628
2114,2980,2642
2062,2850,2670
1848,2636,2692
1592,2395,2711
1430,2191,2711
1409,2122,2711
1470,2201,2706
1566,2365,2711
1671,2523,2709
1775,2668,2711
1839,2791,2706
1853,2850,2711
1815,2796,2711
1749,2668,2711
1664,2528,2693
1592,2426,2670
1542,2368,2641
1540,2395,2628
1582,2491,2624
1670,2608,2628
1749,2672,2626
1775,2699,2628
1730,2717,2626
1670,2759,2628
1633,2809,2623
1618,2850,2628
1581,2810,2642
1514,2608,2670
1449,2206,2679
1461,1728,2670
1603,1368,2641
1905,1304,2628
2332,1561,2626
2819,2062,2628
3272,2646,2609
3628,3184,2587
3826,3568,2575
3836,3760,2587
3647,3738,2594
3314,3548,2587
2921,3253,2561
2558,2971,2546
2252,2775,2542
2010,2699,2546
1826,2696,2542
1722,2729,2546
1691,2767,2549
1696,2820,2546
1690,2855,2522
1670,2850,2505
1651,2792,2499
1644,2729,2505
1626,2671,2501
1592,2608,2505
1552,2536,2520
1566,2547,2546
1677,2721,2564
1905,3062,2587
2155,3424,2610
2297,3639,2628
2220,3566,2625
1957,3214,2628
1621,2699,2644
1357,2244,2670
1232,2007,2673
1253,2032,2670
1351,2204,2664
1461,2395,2670
1536,2514,2667
1592,2577,2670
1648,2615,2668
1722,2668,2670
1793,2734,2663
1853,2820,2670
1886,2885,2673
1905,2911,2670
1922,2891,2642
1957,2881,2628
1986,2891,2625
1983,2911,2628
1944,2897,2604
1931,2881,2587
1976,2881,2578
2062,2911,2587
2109,2924,2579
2088,2911,2587
2022,2865,2612
1983,2820,2670
2003,2804,2721
2088,2881,2793
2206,3057,2897
2349,3305,3080
2489,3521,3328
2610,3639,3655
2660,3619,4035
2636,3517,4477
2560,3396,4951
2505,3335,5462
2498,3333,5965
2531,3366,6448
2562,3393,6878
2584,3426,7269
2596,3450,7583
2610,3457,7803
2618,3433,7903
2636,3426,7927
2667,3455,7885
2714,3517,7803
2748,3566,7666
2766,3608,7516
2782,3659,7362
2845,3760,7228
2961,3907,7091
3106,4093,6982
3205,4243,6898
3210,4275,6859
3075,4113,6817
2819,3790,6777
2503,3396,6712
2244,3062,6653
2099,2851,6573
2062,2790,6489
2073,2843,6378
2114,2971,6284
2158,3090,6198
2192,3153,6161
2200,3151,6141
2218,3153,6161
2256,3182,6187
2297,3214,6243
2291,3184,6294
2244,3093,6366
2168,2956,6438
2088,2820,6530
2007,2708,6591
1957,2668,6612
1935,2679,6562
1931,2699,6489
1915,2671,6390
1905,2638,6284
1921,2639,6129
1983,2699,5955
2064,2773,5772
2140,2850,5627
2176,2908,5494
2166,2941,5380
2101,2910,5262
2010,2820,5175
1921,2688,5112
1879,2577,5093
1879,2514,5084
1905,2517,5093
1929,2555,5092
1957,2608,5093
1979,2635,5072
1983,2638,5052
1962,2625,5012
1957,2638,4969
1993,2682,4895
2062,2759,4805
2117,2856,4685
2140,2971,4559
2112,3043,4412
2036,3002,4271
1916,2831,4123
1801,2638,3984
1723,2517,3835
1696,2486,3696
1687,2461,3559
1670,2395,3450
1613,2280,3354
1514,2153,3286
1392,2029,3218
1305,1941,3162
1272,1897,3106
1279,1910,3080
1295,1956,3070
1331,2032,3080
1390,2118,3078
1461,2213,3080
1518,2288,3085
1566,2335,3121
1607,2355,3162
1644,2395,3203
1672,2475,3221
1722,2608,3245
1806,2760,3275
1905,2911,3327
1956,2996,3370
1931,2971,3409
1830,2820,3429
1696,2608,3450
1564,2393,3464
1461,2213,3491
1384,2064,3513
1331,1971,3532
1304,1947,3531
1331,2001,3532
1402,2096,3530
1488,2213,3532
1550,2326,3515
1592,2426,3491
1616,2489,3451
1644,2547,3409
1708,2650,3360
1853,2850,3327
2041,3089,3291
2166,3244,3245
2131,3192,3175
1957,2941,3121
1729,2587,3078
1540,2274,3039
1444,2092,2985
1488,2092,2957
1643,2232,2954
1827,2426,2957
1930,2563,2930
1931,2608,2916
1862,2567,2928
1775,2486,2957
1681,2380,2958
1592,2274,2957
1512,2178,2970
1461,2122,2998
1443,2105,3002
1461,2122,2998
1489,2147,2994
1514,2183,2998
1529,2231,2981
1566,2304,2957
1616,2380,2930
1670,2456,2916
1712,2523,2895
1775,2608,2875
1861,2706,2850
1957,2820,2834
2015,2911,2812
2036,2971,2793
2009,2996,2768
1931,3002,2752
1782,2940,2730
1592,2759,2711
1410,2449,2686
1305,2092,2670
1319,1747,2649
1488,1455,2628
1795,1268,2600
2192,1304,2587
2607,1598,2583
3001,2062,2587
3339,2549,2572
3601,3002,2546
3764,3385,2516
3836,3669,2505
3823,3842,2502
3732,3972,2505
3552,4057,2501
3288,4002,2505
2930,3711,2506
2505,3275,2505
2081,2854,2496
1775,2577,2505
1641,2459,2525
1644,2486,2546
1669,2562,2545
1644,2577,2546
1565,2480,2560
1488,2365,2587
1447,2317,2596
1461,2335,2587
1499,2349,2563
1540,2365,2546
1555,2399,2537
1566,2456,2546
1585,2496,2552
1644,2547,2546
1726,2630,2520
1827,2759,2505
1920,2879,2504
2010,2971,2505
2070,3011,2484
2088,3002,2464
2040,2928,2457
1957,2820,2464
1873,2706,2452
1827,2638,2423
1813,2616,2390
1827,2638,2382
1847,2667,2383
1879,2699,2382
1913,2724,2360
1957,2759,2341
2004,2790,2330
2062,2820,2341
2116,2843,2346
2166,2881,2341
2196,2923,2315
2218,2971,2300
2229,3001,2291
2244,3032,2300
2272,3080,2297
2349,3184,2300
2481,3334,2293
2662,3517,2300
2826,3664,2307
2923,3729,2341
2912,3668,2376
2819,3517,2423
2688,3331,2477
2584,3184,2587
2517,3078,2749
2479,3002,2957
2442,2923,3189
2427,2881,3491
2458,2908,3868
2558,3032,4312
2685,3193,4772
2792,3335,5257
2836,3411,5752
2845,3457,6243
2859,3508,6657
2923,3608,6982
3016,3731,7194
3106,3851,7310
3151,3913,7312
3158,3911,7228
3119,3844,7065
3053,3760,6859
2965,3671,6611
2897,3608,6366
2864,3578,6124
2871,3608,5914
2872,3658,5736
2845,3669,5627
2767,3580,5565
2662,3426,5544
2552,3264,5540
2479,3153,5586
2447,3094,5661
2453,3093,5750
2464,3134,5807
2479,3214,5873
2497,3288,5948
2531,3335,6037
2556,3334,6095
2558,3305,6161
2521,3248,6221
2479,3184,6284
2439,3105,6294
2401,3032,6284
2326,2948,6237
2218,2850,6161
2104,2724,6003
2036,2608,5791
2005,2513,5519
1983,2456,5216
1940,2412,4873
1905,2395,4559
1893,2399,4313
1905,2426,4189
1913,2444,4169
1931,2456,4271
1963,2460,4472
2010,2486,4764
2053,2532,5078
2114,2608,5380
2188,2691,5626
2270,2790,5832
2345,2893,5981
2427,3002,6078
2480,3064,6092
2453,3032,6037
2324,2872,5911
2166,2638,5750
2038,2418,5549
1957,2304,5339
1911,2301,5121
1931,2365,4928
2009,2423,4752
2088,2456,4600
2102,2466,4442
2088,2486,4271
2097,2511,4050
2140,2547,3778
2166,2585,3462
2166,2638,3162
2152,2684,2903
2140,2699,2711
2103,2640,2559
2036,2517,2464
1947,2353,2403
1879,2213,2382
1844,2127,2378
1853,2122,2423
1883,2185,2507
1931,2304,2628
1987,2440,2737
2062,2577,2834
2147,2701,2912
2244,2820,2998
2320,2901,3069
2349,2911,3121
2300,2820,3131
2192,2668,3121
2059,2507,3096
1957,2395,3080
1912,2345,3058
