II,MCL,ABP
900,2420,7985
894,2409,7989
908,2427,7966
913,2446,7946
890,2425,7913
875,2409,7902
891,2423,7878
913,2446,7858
907,2430,7812
894,2409,7770
901,2416,7705
913,2446,7638
899,2441,7545
875,2409,7463
866,2386,7370
875,2409,7287
875,2439,7176
875,2446,7068
877,2421,6948
875,2409,6848
860,2410,6723
855,2409,6585
867,2395,6418
875,2409,6277
862,2440,6142
855,2446,6014
866,2400,5855
875,2373,5707
857,2385,5564
836,2409,5443
837,2395,5304
855,2373,5180
856,2377,5070
836,2409,5004
821,2398,4937
836,2336,4873
850,2301,4794
836,2373,4741
814,2427,4691
836,2336,4653
866,2238,4599
836,2373,4565
780,2533,4538
816,2336,4521
898,2028,4477
836,2373,4434
610,3324,4394
486,3760,4390
629,2989,4387
855,1862,4390
908,1545,4368
836,2008,4346
826,2374,4313
894,2336,4302
913,2264,4296
875,2373,4302
864,2455,4285
894,2409,4258
899,2356,4221
875,2373,4214
858,2383,4214
855,2373,4214
841,2378,4187
836,2409,4170
855,2418,4162
875,2409,4170
861,2390,4165
836,2373,4170
829,2358,4172
836,2373,4170
824,2386,4142
797,2373,4126
776,2337,4122
777,2336,4126
787,2364,4102
797,2373,4083
799,2330,4073
797,2300,4083
787,2312,4079
777,2336,4083
771,2319,4083
777,2300,4083
788,2311,4056
797,2336,4039
797,2323,4032
797,2300,4039
792,2294,4018
777,2300,3995
759,2279,3979
758,2263,3995
772,2273,4001
777,2300,3995
763,2303,3966
758,2300,3951
770,2300,3944
777,2300,3951
763,2277,3935
758,2263,3907
773,2264,3870
777,2263,3863
748,2235,3864
719,2227,3863
721,2269,3836
719,2336,3819
690,2366,3812
700,2373,3819
753,2355,3802
758,2300,3775
708,2245,3743
739,2300,3731
825,2398,3712
777,2373,3687
654,2259,3652
739,2300,3644
916,2423,3644
777,2336,3644
517,2164,3616
777,2373,3600
1255,2719,3595
777,2336,3600
-637,1243,3579
-1224,767,3556
18,1653,3530
1672,2847,3512
1938,3012,3481
1108,2373,3468
653,2012,3465
894,2154,3468
1028,2190,3444
777,1935,3424
639,1763,3416
816,1825,3424
952,1844,3408
836,1679,3380
631,1456,3348
486,1278,3336
344,1072,3329
155,803,3336
-52,509,3337
-233,256,3336
-373,39,3313
-466,-146,3292
-526,-306,3279
-544,-402,3292
-485,-427,3299
-330,-402,3292
-126,-351,3263
78,-219,3248
249,9,3245
389,292,3248
503,572,3228
603,876,3205
675,1209,3191
719,1533,3205
756,1817,3212
816,2117,3205
873,2438,3176
875,2701,3161
818,2828,3154
777,2884,3161
797,2951,3157
836,3030,3161
843,3063,3161
836,3066,3161
845,3080,3138
855,3103,3117
843,3094,3104
836,3066,3117
856,3052,3122
875,3066,3117
858,3074,3090
836,3066,3073
840,3056,3064
855,3066,3073
846,3075,3074
836,3066,3073
851,3038,3065
875,3030,3073
866,3033,3077
836,3030,3073
820,3000,3047
836,2993,3029
854,3012,3021
855,3030,3029
842,3007,3027
836,2993,3029
836,3007,3026
836,3030,3029
831,3013,3024
836,2993,3029
848,2999,3031
855,3030,3029
846,3035,3004
836,3030,2985
828,3025,2976
816,3030,2985
797,3023,2984
797,3030,2985
813,3047,2980
816,3066,2985
792,3061,2981
777,3066,2985
790,3085,2982
797,3103,2985
769,3084,2979
739,3066,2985
735,3071,2984
739,3103,2985
719,3122,2973
700,3139,2985
699,3154,3014
700,3176,3073
676,3187,3128
661,3212,3205
676,3248,3295
700,3285,3424
694,3291,3564
680,3285,3731
690,3279,3911
719,3285,4126
734,3273,4343
739,3249,4565
751,3219,4773
777,3212,5004
799,3204,5241
816,3176,5487
834,3108,5707
855,3030,5926
869,2952,6128
875,2884,6321
874,2807,6476
875,2738,6629
879,2675,6775
894,2628,6936
910,2583,7071
913,2555,7199
896,2535,7306
875,2519,7419
871,2482,7509
894,2446,7594
915,2417,7657
913,2409,7726
895,2404,7773
894,2409,7814
910,2409,7829
913,2409,7858
890,2401,7877
875,2409,7902
889,2416,7897
913,2409,7902
917,2380,7897
913,2373,7902
916,2389,7877
913,2409,7858
890,2404,7829
875,2409,7814
883,2430,7771
894,2446,7726
883,2424,7669
875,2409,7638
885,2422,7597
894,2446,7550
876,2433,7463
855,2409,7375
858,2399,7278
875,2409,7199
877,2408,7095
875,2409,6980
877,2422,6839
875,2446,6716
853,2439,6586
836,2409,6453
841,2387,6290
855,2409,6146
850,2441,6007
836,2446,5882
831,2415,5727
836,2409,5575
836,2429,5425
836,2446,5312
836,2417,5195
836,2373,5092
826,2361,4988
816,2409,4917
818,2444,4846
836,2409,4785
840,2359,4708
816,2409,4653
801,2474,4602
836,2409,4565
859,2307,4512
797,2409,4478
726,2552,4449
797,2373,4434
918,2081,4391
816,2409,4346
480,3327,4305
292,3760,4302
488,3028,4302
816,1935,4302
912,1611,4277
816,2044,4258
788,2399,4233
875,2373,4214
915,2308,4182
875,2409,4170
852,2484,4166
875,2446,4170
871,2410,4148
836,2446,4126
820,2464,4112
836,2446,4126
842,2430,4131
836,2446,4126
833,2452,4099
836,2446,4083
828,2426,4072
816,2409,4083
806,2397,4085
797,2409,4083
783,2417,4056
777,2409,4039
785,2394,4027
797,2409,4039
799,2437,4042
797,2446,4039
796,2418,4012
797,2409,3995
788,2429,3984
777,2446,3995
771,2423,3998
777,2409,3995
787,2425,3969
797,2446,3951
799,2426,3939
797,2409,3951
787,2422,3955
777,2446,3951
773,2432,3923
777,2409,3907
775,2404,3900
758,2409,3907
736,2389,3891
739,2373,3863
756,2383,3827
758,2409,3819
739,2402,3819
739,2373,3819
765,2343,3794
777,2336,3775
743,2341,3767
700,2373,3775
693,2417,3761
700,2446,3731
688,2437,3694
700,2446,3687
734,2467,3689
719,2446,3687
665,2387,3661
700,2409,3644
786,2478,3637
739,2446,3644
624,2347,3626
719,2409,3600
893,2531,3568
739,2409,3556
463,2210,3536
719,2446,3512
1204,2842,3478
739,2446,3468
-658,1276,3467
-1224,767,3468
29,1719,3443
1672,2993,3424
1913,3149,3416
1069,2446,3424
620,2070,3409
875,2263,3380
1023,2343,3344
797,2081,3336
677,1892,3336
836,1971,3336
922,2025,3313
777,1862,3292
591,1591,3280
466,1351,3292
310,1109,3298
97,840,3292
-102,572,3264
-253,365,3248
-376,197,3243
-466,37,3248
-516,-127,3232
-525,-219,3205
-478,-220,3170
-350,-183,3161
-162,-163,3158
39,-73,3161
210,154,3154
350,475,3161
468,777,3165
564,1059,3161
623,1344,3132
661,1643,3117
706,1937,3114
777,2263,3117
835,2586,3094
836,2811,3073
788,2887,3063
758,2920,3073
779,2991,3072
816,3066,3073
825,3076,3072
816,3066,3073
820,3095,3051
836,3139,3029
841,3133,3016
836,3103,3029
834,3105,3035
836,3139,3029
832,3140,3002
836,3103,2985
848,3065,2976
855,3066,2985
844,3083,2986
836,3103,2985
844,3105,2977
855,3103,2985
847,3084,2989
836,3066,2985
839,3052,2959
855,3066,2941
855,3087,2933
836,3103,2941
816,3098,2940
816,3103,2941
827,3108,2938
836,3103,2941
835,3073,2936
836,3066,2941
832,3084,2944
816,3103,2941
794,3083,2916
797,3066,2897
822,3074,2889
836,3103,2897
817,3107,2896
797,3103,2897
802,3098,2895
816,3103,2897
811,3095,2890
797,3103,2897
788,3120,2900
777,3139,2897
759,3134,2868
758,3139,2853
775,3157,2848
777,3176,2853
745,3169,2842
719,3176,2853
726,3207,2887
739,3249,2941
721,3265,2977
700,3285,3029
704,3320,3100
719,3358,3205
711,3361,3303
700,3358,3424
711,3369,3573
739,3395,3775
752,3389,3988
758,3358,4214
767,3315,4429
777,3285,4653
780,3250,4866
797,3212,5092
830,3160,5309
855,3103,5531
848,3029,5730
836,2957,5926
847,2890,6101
875,2847,6277
884,2799,6432
875,2738,6585
867,2666,6716
875,2628,6848
880,2612,6959
875,2592,7068
867,2544,7154
875,2519,7243
889,2530,7310
894,2555,7375
882,2542,7415
875,2519,7463
882,2508,7502
894,2519,7550
888,2517,7575
875,2519,7594
867,2521,7590
875,2519,7594
885,2492,7587
894,2482,7594
892,2496,7590
875,2519,7594
846,2517,7574
836,2519,7550
852,2525,7502
875,2519,7463
879,2476,7412
875,2446,7375
873,2454,7326
875,2482,7287
872,2473,7226
875,2446,7155
880,2441,7046
875,2482,6936
851,2518,6816
836,2519,6716
842,2489,6605
855,2482,6497
849,2499,6363
836,2519,6234
830,2505,6093
836,2482,5970
836,2460,5836
836,2446,5707
835,2432,5551
836,2446,5399
832,2470,5248
836,2482,5136
841,2463,5038
836,2446,4960
812,2451,4867
797,2482,4785
808,2484,4703
836,2446,4653
842,2433,4603
816,2519,4565
789,2579,4515
797,2482,4478
820,2354,4431
816,2446,4390
790,2586,4335
797,2409,4302
834,2123,4273
836,2446,4258
777,3343,4229
739,3760,4214
775,3028,4206
836,1935,4214
848,1593,4197
836,2008,4170
849,2370,4134
875,2373,4126
869,2333,4125
855,2446,4126
863,2513,4102
875,2446,4083
857,2378,4070
836,2409,4083
841,2452,4086
855,2446,4083
846,2412,4056
836,2409,4039
851,2428,4026
875,2446,4039
867,2431,4043
836,2409,4039
808,2399,4010
797,2409,3995
786,2397,3987
777,2373,3995
775,2369,3990
777,2409,3995
776,2446,3994
777,2446,3995
780,2413,3971
777,2409,3951
764,2433,3938
758,2446,3951
765,2420,3953
777,2409,3951
779,2429,3940
777,2446,3951
783,2422,3957
797,2409,3951
797,2429,3919
777,2446,3907
755,2408,3906
758,2373,3907
775,2381,3879
777,2409,3863
755,2397,3860
739,2373,3863
739,2368,3837
739,2373,3819
728,2339,3815
739,2300,3819
770,2285,3794
777,2300,3775
737,2310,3770
700,2336,3775
706,2380,3751
719,2409,3731
698,2397,3724
700,2409,3731
739,2449,3712
739,2446,3687
690,2390,3661
719,2409,3644
795,2480,3613
739,2446,3600
614,2341,3598
700,2409,3600
870,2555,3574
719,2446,3556
454,2220,3550
719,2409,3556
1206,2785,3535
739,2409,3512
-660,1270,3487
-1224,767,3468
31,1699,3436
1672,2957,3424
1903,3122,3423
1050,2446,3424
603,2083,3398
875,2263,3380
1034,2327,3376
797,2081,3380
668,1934,3357
855,2044,3336
995,2098,3329
875,1935,3336
660,1701,3318
505,1533,3292
365,1362,3276
194,1132,3292
17,862,3301
-136,621,3292
-256,428,3262
-330,292,3248
-367,184,3245
-369,110,3248
-312,71,3228
-175,73,3205
4,97,3190
175,183,3205
307,349,3213
408,584,3205
492,824,3174
564,1059,3161
610,1296,3158
641,1570,3161
691,1874,3138
777,2190,3117
848,2445,3105
836,2592,3117
754,2646,3119
700,2701,3117
725,2783,3108
777,2847,3117
790,2853,3122
777,2847,3117
782,2865,3090
797,2884,3073
791,2865,3066
777,2847,3073
783,2862,3070
797,2884,3073
796,2868,3073
797,2847,3073
810,2857,3051
816,2884,3029
800,2875,3016
797,2847,3029
820,2833,3035
836,2847,3029
815,2851,3001
797,2847,2985
812,2840,2978
836,2847,2985
824,2848,2983
797,2847,2985
795,2841,2982
816,2847,2985
819,2848,2980
797,2847,2985
781,2838,2987
797,2847,2985
819,2864,2961
816,2884,2941
789,2883,2930
777,2884,2941
789,2882,2944
797,2884,2941
784,2875,2932
777,2884,2941
790,2901,2946
797,2920,2941
776,2916,2912
758,2920,2897
766,2935,2891
777,2957,2897
755,2956,2889
719,2957,2897
700,2968,2914
700,2993,2941
698,3008,2940
700,3030,2941
705,3050,2960
700,3066,3029
674,3061,3098
661,3066,3161
671,3082,3217
680,3103,3336
667,3112,3501
661,3139,3687
685,3171,3849
719,3176,4039
731,3132,4265
739,3103,4521
763,3115,4745
797,3139,4960
812,3105,5173
816,3030,5399
824,2958,5598
836,2920,5795
836,2876,5986
836,2811,6190
849,2728,6368
875,2665,6541
885,2619,6694
875,2592,6848
862,2557,6977
875,2519,7111
895,2463,7228
894,2409,7331
874,2369,7394
875,2373,7463
901,2396,7526
913,2409,7594
890,2388,7633
875,2373,7682
892,2371,7726
913,2373,7770
904,2349,7769
894,2336,7770
906,2347,7777
913,2373,7814
890,2375,7822
875,2373,7814
894,2372,7781
913,2373,7770
895,2362,7748
875,2373,7726
888,2398,7676
913,2409,7638
908,2383,7592
894,2373,7550
901,2392,7480
913,2409,7419
897,2386,7350
875,2373,7287
877,2390,7195
894,2409,7111
890,2388,7021
875,2373,6936
869,2389,6809
875,2409,6672
874,2379,6526
875,2336,6409
879,2333,6280
875,2373,6146
851,2379,5983
836,2336,5838
842,2289,5697
855,2300,5575
850,2330,5437
836,2336,5312
828,2308,5187
836,2300,5092
840,2327,4995
836,2373,4917
835,2364,4836
855,2300,4785
864,2263,4734
836,2336,4697
806,2393,4647
836,2300,4609
871,2198,4562
816,2336,4521
735,2503,4467
797,2300,4434
926,1968,4404
836,2300,4390
493,3275,4362
292,3760,4346
492,3017,4322
836,1862,4302
939,1492,4267
836,1935,4258
796,2333,4257
875,2336,4258
912,2274,4230
875,2373,4214
855,2452,4210
875,2409,4214
865,2354,4189
836,2373,4170
835,2390,4162
855,2373,4170
849,2352,4150
836,2373,4126
850,2401,4111
875,2409,4126
867,2375,4132
836,2336,4126
810,2319,4098
797,2336,4083
783,2342,4073
777,2336,4083
785,2340,4082
797,2373,4083
797,2392,4075
797,2373,4083
800,2333,4084
797,2336,4083
782,2368,4057
777,2373,4039
788,2324,4027
797,2300,4039
791,2332,4041
797,2373,4039
821,2358,4014
836,2336,3995
813,2348,3981
777,2373,3995
765,2346,4001
777,2300,3995
778,2282,3963
758,2300,3951
737,2304,3950
739,2300,3951
750,2297,3924
758,2300,3907
762,2281,3902
777,2263,3907
790,2256,3884
777,2263,3863
740,2270,3853
719,2300,3863
733,2344,3848
739,2373,3819
713,2362,3784
719,2373,3775
762,2398,3772
758,2373,3775
707,2298,3757
739,2300,3731
817,2360,3697
758,2336,3687
630,2256,3686
719,2336,3687
894,2478,3666
739,2373,3644
460,2170,3617
719,2373,3600
1216,2743,3571
758,2373,3556
-646,1261,3548
-1224,767,3556
26,1666,3541
1672,2884,3512
1908,3041,3474
1050,2373,3468
592,1998,3471
855,2154,3468
1012,2213,3438
777,1971,3424
651,1803,3423
836,1862,3424
966,1876,3398
836,1716,3380
618,1510,3376
466,1351,3380
323,1160,3357
136,913,3336
-59,654,3328
-214,438,3336
-327,245,3318
-408,73,3292
-460,-72,3276
-447,-146,3292
-326,-149,3301
-117,-110,3292
93,-67,3262
253,37,3248
367,247,3246
466,548,3248
553,841,3227
622,1095,3205
665,1330,3191
700,1606,3205
753,1927,3212
836,2263,3205
894,2535,3176
875,2701,3161
793,2779,3155
739,2847,3161
756,2918,3156
797,2957,3161
805,2949,3163
797,2957,3161
811,3000,3135
836,3030,3117
840,2996,3109
836,2957,3117
844,2972,3114
855,3030,3117
846,3052,3117
836,3030,3117
843,2999,3094
855,2993,3073
847,2981,3062
836,2957,3073
841,2936,3075
855,2957,3073
850,2987,3064
836,2993,3073
830,2963,3078
836,2957,3073
837,2978,3046
836,2993,3029
835,2966,3022
836,2957,3029
833,2989,3026
836,3030,3029
846,3017,3030
855,2993,3029
848,2987,3005
836,2993,2985
830,2981,2975
836,2993,2985
834,3025,2985
816,3030,2985
796,2977,2979
797,2957,2985
812,3006,2983
816,3066,2985
797,3055,2980
777,3030,2985
768,3040,2982
758,3066,2985
739,3046,2980
739,3030,2985
756,3056,2980
758,3103,2985
726,3106,2990
700,3103,3029
700,3129,3083
700,3176,3161
674,3183,3235
661,3176,3336
681,3194,3452
700,3249,3600
681,3283,3757
661,3285,3951
674,3263,4160
700,3249,4390
700,3230,4603
700,3212,4829
731,3189,5060
777,3176,5312
797,3149,5538
797,3103,5751
808,3027,5939
836,2957,6146
852,2896,6346
855,2847,6541
858,2788,6697
875,2738,6848
894,2686,6993
913,2628,7155
926,2558,7295
933,2519,7419
926,2514,7505
913,2519,7594
905,2487,7675
913,2446,7770
927,2415,7842
933,2409,7902
923,2403,7924
913,2409,7946
911,2415,7957
913,2409,7989
912,2380,8010
913,2373,8033
922,2391,8030
933,2409,8033
935,2390,8024
933,2373,8033
925,2382,8029
913,2409,8033
903,2413,8012
913,2409,7989
932,2407,7940
933,2409,7902
907,2400,7852
894,2409,7814
905,2433,7750
913,2446,7682
893,2422,7589
875,2409,7507
881,2425,7413
894,2446,7331
885,2429,7224
875,2409,7111
877,2407,6974
875,2409,6848
849,2385,6713
836,2373,6585
853,2388,6430
875,2409,6277
861,2393,6112
836,2373,5970
829,2369,5827
836,2373,5707
835,2347,5573
836,2336,5443
847,2357,5298
855,2373,5180
839,2345,5075
816,2336,5004
813,2363,4929
836,2373,4873
842,2346,4817
816,2373,4785
799,2407,4741
836,2336,4697
866,2249,4640
816,2373,4609
759,2528,4583
836,2336,4565
951,2028,4519
836,2373,4478
486,3328,4441
292,3760,4434
492,2979,4415
836,1862,4390
954,1585,4352
875,2081,4346
846,2440,4347
913,2373,4346
929,2278,4316
875,2373,4302
855,2435,4299
894,2373,4302
907,2327,4275
875,2373,4258
844,2399,4253
836,2373,4258
830,2349,4233
836,2373,4214
858,2401,4206
875,2409,4214
859,2390,4194
836,2373,4170
825,2363,4155
816,2373,4170
793,2374,4174
777,2373,4170
784,2369,4158
797,2373,4170
791,2370,4176
777,2373,4170
773,2374,4139
777,2373,4126
776,2354,4124
777,2336,4126
787,2326,4101
797,2336,4083
795,2351,4075
797,2373,4083
808,2381,4063
816,2373,4039
802,2337,4022
777,2300,4039
766,2280,4047
777,2300,4039
786,2326,4006
777,2336,3995
760,2315,3993
758,2300,3995
769,2296,3970
777,2300,3951
774,2283,3942
777,2263,3951
791,2241,3935
797,2227,3907
773,2223,3872
739,2263,3863
723,2320,3860
719,2336,3863
714,2296,3843
739,2300,3819
776,2357,3787
758,2373,3775
706,2318,3770
739,2336,3775
807,2422,3758
739,2409,3731
617,2311,3696
719,2373,3687
897,2516,3687
739,2409,3687
467,2184,3664
739,2373,3644
1233,2761,3620
758,2409,3600
-655,1285,3567
-1224,767,3556
37,1662,3555
1672,2884,3556
1881,3027,3529
1011,2336,3512
564,1956,3507
836,2117,3512
989,2176,3490
758,1935,3468
644,1783,3457
816,1862,3468
896,1872,3455
719,1679,3424
505,1422,3386
389,1205,3380
261,963,3383
58,694,3380
-155,436,3353
-311,219,3336
-416,18,3331
-486,-146,3336
-526,-264,3316
-505,-329,3292
-384,-356,3277
-175,-329,3292
41,-244,3301
214,-73,3292
345,173,3262
466,475,3248
577,785,3246
661,1095,3248
706,1389,3226
739,1679,3205
793,1976,3193
875,2300,3205
931,2589,3206
913,2774,3205
836,2841,3196
777,2884,3205
781,2958,3208
816,3030,3205
835,3042,3180
836,3030,3161
836,3039,3150
836,3066,3161
830,3070,3165
836,3066,3161
859,3069,3136
875,3066,3117
865,3039,3106
855,3030,3117
864,3050,3122
875,3066,3117
864,3043,3090
855,3030,3073
865,3048,3065
875,3066,3073
863,3032,3071
855,2993,3073
866,2993,3070
875,3030,3073
855,3039,3067
836,3030,3073
841,3020,3075
855,3030,3073
847,3030,3048
836,3030,3029
841,3026,3020
855,3030,3029
850,3023,3028
836,3030,3029
831,3046,3026
836,3066,3029
829,3055,3024
816,3030,3029
811,3010,3030
816,3030,3029
812,3055,3004
797,3066,2985
781,3055,2974
777,3066,2985
773,3091,2985
758,3103,2985
744,3076,2977
758,3066,2985
783,3092,2983
777,3139,2985
732,3160,2987
700,3176,3029
706,3195,3088
719,3212,3161
701,3204,3215
680,3212,3292
685,3246,3399
700,3285,3556
697,3287,3721
700,3285,3907
722,3299,4093
739,3322,4302
726,3311,4510
719,3285,4741
745,3251,4975
777,3212,5224
785,3152,5448
797,3103,5663
835,3068,5854
875,3030,6058
879,2945,6254
875,2847,6453
891,2772,6628
913,2738,6804
908,2694,6961
894,2628,7111
897,2553,7224
913,2519,7331
916,2516,7430
913,2519,7550
921,2487,7648
933,2446,7726
927,2413,7765
913,2409,7814
908,2408,7855
913,2409,7902
915,2404,7919
913,2409,7946
913,2409,7964
913,2409,7989
899,2393,7986
875,2373,7989
859,2356,7985
875,2373,7989
903,2398,7964
913,2409,7946
899,2386,7918
894,2373,7902
907,2383,7856
913,2409,7814
893,2413,7762
875,2409,7726
881,2405,7663
894,2409,7594
886,2405,7500
875,2409,7419
881,2413,7326
894,2409,7243
888,2383,7135
875,2373,7024
871,2387,6886
875,2409,6760
871,2398,6624
875,2373,6497
882,2358,6343
875,2373,6190
846,2381,6023
836,2373,5882
856,2348,5743
875,2336,5619
859,2328,5479
836,2336,5356
836,2353,5232
855,2373,5136
855,2383,5038
836,2409,4960
823,2417,4882
836,2373,4829
841,2323,4775
816,2373,4741
797,2426,4695
836,2336,4653
876,2227,4598
836,2373,4565
775,2570,4538
836,2373,4521
935,2002,4478
816,2300,4434
475,3278,4393
292,3760,4390
497,2993,4390
836,1862,4390
943,1591,4362
855,2117,4346
824,2491,4337
894,2409,4346
917,2303,4330
875,2409,4302
863,2485,4264
894,2409,4258
890,2335,4259
855,2373,4258
844,2420,4230
855,2409,4214
847,2372,4207
836,2373,4214
851,2394,4208
875,2409,4214
866,2393,4216
836,2373,4214
812,2364,4185
797,2373,4170
781,2369,4167
777,2373,4170
789,2390,4144
797,2409,4126
785,2395,4121
777,2373,4126
787,2364,4104
797,2373,4083
786,2361,4071
777,2336,4083
786,2319,4080
797,2336,4083
793,2361,4081
797,2373,4083
819,2355,4058
836,2336,4039
814,2316,4027
777,2300,4039
763,2284,4039
777,2300,4039
787,2327,4019
777,2336,3995
761,2309,3960
758,2300,3951
765,2320,3951
777,2336,3951
787,2304,3923
797,2263,3907
795,2250,3903
777,2263,3907
750,2272,3883
739,2300,3863
745,2347,3854
739,2373,3863
715,2344,3847
739,2336,3819
792,2367,3786
777,2373,3775
708,2337,3757
739,2373,3731
832,2449,3696
777,2409,3687
643,2300,3688
739,2373,3687
932,2526,3660
777,2409,3644
489,2171,3639
777,2373,3644
1336,2789,3623
894,2446,3600
-575,1300,3574
-1224,767,3556
22,1678,3525
1691,2920,3512
1909,3055,3510
1011,2336,3512
549,1944,3487
836,2117,3468
1007,2185,3462
777,1935,3468
655,1764,3448
816,1825,3424
884,1818,3410
700,1606,3424
480,1339,3430
350,1132,3424
203,913,3398
0,657,3380
-185,389,3357
-311,146,3336
-413,-69,3306
-505,-219,3292
-566,-311,3286
-544,-365,3292
-405,-397,3289
-175,-365,3292
51,-260,3292
214,-73,3292
329,173,3270
447,475,3248
570,791,3235
661,1095,3248
696,1374,3256
719,1679,3248
781,2024,3218
875,2373,3205
927,2632,3202
894,2774,3205
815,2833,3182
777,2884,3161
802,2942,3149
836,2993,3161
839,3016,3163
836,3030,3161
855,3047,3153
875,3066,3161
868,3068,3164
855,3066,3161
863,3066,3136
875,3066,3117
865,3060,3105
855,3066,3117
864,3074,3122
875,3066,3117
864,3035,3090
855,3030,3073
865,3051,3066
875,3066,3073
861,3041,3071
855,3030,3073
869,3047,3070
875,3066,3073
850,3044,3068
836,3030,3073
854,3045,3074
875,3066,3073
858,3035,3050
836,2993,3029
846,2989,3017
875,3030,3029
875,3047,3035
855,3030,3029
840,2997,3002
836,2993,2985
824,3005,2977
816,3030,2985
823,3046,2984
836,3066,2985
831,3071,2980
816,3066,2985
803,3053,2982
797,3066,2985
786,3089,2980
777,3103,2985
775,3091,2982
777,3103,2985
765,3139,2978
739,3176,2985
710,3174,2995
700,3176,3029
700,3203,3063
700,3249,3117
695,3269,3183
700,3285,3292
707,3304,3416
700,3322,3556
678,3315,3690
680,3322,3863
711,3345,4067
739,3358,4302
737,3324,4520
739,3285,4741
765,3264,4954
797,3249,5180
806,3198,5393
816,3139,5619
845,3085,5837
875,3030,6058
877,2939,6253
875,2847,6453
885,2778,6636
894,2738,6804
881,2684,6932
875,2628,7068
892,2580,7201
913,2555,7331
907,2521,7418
894,2482,7507
899,2446,7593
913,2446,7682
909,2464,7728
894,2482,7770
894,2469,7808
913,2446,7858
917,2419,7878
894,2409,7902
868,2403,7919
875,2409,7946
902,2411,7942
913,2409,7946
892,2399,7941
875,2409,7946
881,2419,7920
894,2409,7902
886,2374,7876
875,2373,7858
880,2410,7810
894,2446,7770
888,2430,7722
875,2409,7682
870,2417,7612
875,2446,7550
873,2450,7482
875,2446,7419
878,2446,7313
875,2446,7199
858,2422,7078
855,2409,6980
869,2411,6857
875,2409,6716
853,2381,6549
836,2373,6409
842,2392,6274
855,2409,6146
847,2386,5986
836,2373,5838
842,2390,5697
855,2409,5575
851,2375,5434
836,2336,5312
828,2342,5206
836,2373,5136
840,2373,5051
836,2373,4960
836,2383,4856
855,2373,4785
864,2342,4728
836,2373,4697
806,2407,4652
836,2336,4609
875,2253,4554
836,2373,4521
772,2507,4491
836,2300,4478
947,2002,4451
836,2373,4434
488,3339,4407
292,3760,4390
494,2969,4362
836,1862,4346
938,1608,4322
836,2117,4302
797,2466,4270
875,2373,4258
912,2263,4251
875,2373,4258
855,2463,4252
875,2409,4258
866,2346,4259
836,2373,4258
834,2397,4231
855,2373,4214
852,2346,4207
836,2373,4214
833,2408,4196
836,2409,4170
818,2365,4137
797,2336,4126
788,2346,4119
777,2373,4126
752,2360,4125
739,2336,4126
754,2339,4118
777,2373,4126
780,2394,4129
777,2409,4126
781,2415,4099
777,2409,4083
753,2381,4076
739,2373,4083
753,2391,4064
777,2409,4039
780,2390,4006
777,2373,3995
786,2383,3986
797,2409,3995
789,2400,3996
777,2373,3995
777,2357,3970
777,2373,3951
760,2380,3939
739,2373,3951
732,2359,3953
739,2373,3951
738,2397,3928
739,2409,3907
752,2380,3880
777,2336,3863
783,2300,3839
758,2300,3819
719,2324,3790
700,2373,3775
704,2421,3765
700,2446,3775
680,2436,3778
700,2446,3775
742,2467,3751
719,2446,3731
656,2389,3706
700,2409,3687
798,2463,3660
739,2409,3644
600,2312,3622
700,2409,3600
900,2569,3566
739,2446,3556
429,2215,3555
700,2446,3556
1266,2881,3529
855,2519,3512
-583,1329,3506
-1224,767,3512
6,1687,3492
1652,2957,3468
1861,3102,3441
972,2373,3424
523,1982,3395
816,2190,3380
992,2298,3376
777,2044,3380
674,1830,3360
836,1862,3336
877,1868,3322
661,1679,3336
431,1403,3343
311,1168,3336
172,940,3308
-39,694,3292
-239,429,3286
-369,183,3292
-458,-23,3277
-525,-146,3248
-565,-212,3212
-544,-256,3205
-431,-286,3206
-233,-256,3205
-22,-152,3178
155,37,3161
297,294,3154
428,621,3161
542,964,3156
622,1278,3161
662,1543,3163
700,1825,3161
761,2161,3134
836,2519,3117
875,2785,3113
855,2920,3117
805,2970,3095
777,3030,3073
783,3113,3063
797,3176,3073
797,3184,3072
797,3176,3073
814,3177,3070
836,3176,3073
842,3151,3067
836,3139,3073
832,3157,3076
836,3176,3073
836,3159,3045
836,3139,3029
836,3138,3026
836,3139,3029
831,3114,3007
836,3103,2985
849,3120,2975
855,3139,2985
843,3118,2985
836,3103,2985
844,3116,2981
855,3139,2985
848,3123,2980
836,3103,2985
831,3108,2987
836,3139,2985
835,3145,2960
836,3139,2941
838,3133,2932
836,3139,2941
823,3123,2941
816,3103,2941
824,3099,2937
836,3139,2941
831,3174,2937
816,3176,2941
804,3143,2941
797,3139,2941
785,3160,2920
777,3176,2897
782,3151,2882
797,3139,2897
798,3154,2906
777,3176,2897
754,3169,2862
758,3176,2853
778,3201,2868
777,3212,2897
739,3180,2896
700,3176,2897
689,3226,2919
700,3285,2985
703,3288,3050
700,3285,3117
698,3316,3183
700,3358,3292
695,3357,3429
700,3358,3600
724,3382,3766
758,3395,3951
775,3342,4149
777,3285,4390
780,3273,4633
797,3285,4873
818,3248,5085
836,3176,5312
840,3098,5535
836,3030,5751
835,2948,5925
855,2884,6102
883,2834,6276
894,2774,6453
881,2685,6589
875,2628,6716
885,2623,6839
894,2628,6980
884,2579,7094
875,2519,7199
882,2496,7283
894,2519,7375
887,2527,7444
875,2519,7507
877,2508,7547
