II,aVF,ABP,RESP
518,968,4761,894
462,905,4732,894
444,839,4717,894
393,820,4686,885
370,839,4674,878
443,865,4668,877
518,904,4674,878
455,947,4651,870
296,968,4630,861
218,943,4602,859
296,904,4586,861
416,873,4566,854
444,839,4586,845
370,790,4628,840
296,775,4674,845
302,826,4675,847
370,904,4674,845
408,914,4684,835
370,839,4717,828
319,759,4724,825
370,775,4717,828
543,892,4704,830
740,1033,4717,828
843,1107,4722,818
814,1097,4717,812
682,1033,4688,809
518,968,4674,812
416,940,4667,811
444,968,4674,812
547,1016,4656,812
592,1033,4630,812
545,999,4594,804
518,968,4586,795
587,986,4584,790
666,1033,4586,795
632,1032,4564,799
518,968,4543,795
463,901,4515,784
518,904,4499,779
591,951,4473,779
592,968,4455,779
542,931,4430,769
518,904,4412,762
530,929,4383,760
518,968,4368,762
451,956,4346,755
370,904,4324,745
300,861,4289,740
222,839,4281,745
146,791,4282,748
148,710,4281,745
255,660,4238,736
370,710,4193,729
378,824,4157,726
296,904,4150,729
227,892,4141,729
222,839,4150,729
226,777,4152,726
222,710,4150,729
252,640,4120,731
370,645,4106,729
473,719,4103,719
444,775,4106,712
304,748,4080,710
222,710,4062,712
283,733,4057,712
370,775,4062,712
341,741,4039,711
222,645,4019,712
166,596,4008,711
222,645,4019,712
299,734,4015,713
370,839,4019,712
644,1099,4018,709
1332,1678,4019,712
2348,2523,3993,720
3405,3421,3975,729
4425,4293,3966,729
5478,5164,3975,729
6285,5785,3971,728
6144,5615,3975,729
4722,4428,3975,726
2591,2711,3975,729
737,1229,3949,737
-370,323,3931,745
-908,-149,3922,745
-1184,-387,3931,745
-1290,-463,3928,751
-1258,-452,3931,762
-1228,-493,3930,766
-1332,-645,3931,762
-1537,-835,3908,757
-1703,-968,3887,762
-1796,-1053,3875,771
-1925,-1162,3887,779
-2164,-1341,3891,777
-2443,-1549,3887,779
-2705,-1738,3862,785
-2961,-1872,3844,795
-3169,-1933,3831,802
-3183,-1872,3844,812
-3060,-1719,3851,821
-3035,-1549,3844,828
-3151,-1416,3812,827
-3035,-1226,3800,828
-2422,-893,3800,835
-1555,-452,3800,845
-859,-40,3772,846
-444,258,3756,845
-156,449,3754,848
74,581,3756,861
231,702,3730,872
370,839,3713,878
545,969,3709,876
666,1033,3713,878
651,1010,3688,883
592,968,3669,894
634,996,3664,903
740,1097,3669,911
764,1181,3646,917
666,1162,3625,928
578,1059,3617,938
592,968,3625,944
661,947,3607,942
666,968,3582,944
610,995,3565,950
592,1033,3582,961
665,1080,3590,967
740,1097,3582,977
728,1066,3550,987
666,1033,3538,994
642,1029,3536,992
666,1033,3538,994
679,1021,3513,1001
666,1033,3494,1010
657,1078,3484,1010
666,1097,3494,1010
668,1040,3491,1016
666,968,3494,1027
686,965,3490,1029
740,1033,3494,1027
794,1088,3483,1025
814,1097,3494,1027
789,1090,3522,1026
740,1097,3582,1027
691,1088,3637,1026
666,1033,3713,1027
680,964,3800,1025
740,968,3931,1027
803,1058,4083,1028
814,1162,4281,1027
768,1193,4491,1017
740,1162,4717,1010
789,1117,4928,1009
888,1097,5154,1010
957,1107,5384,1004
962,1162,5635,994
926,1224,5872,983
888,1226,6115,977
871,1154,6338,969
888,1097,6552,961
927,1112,6730,951
962,1162,6901,944
988,1208,7055,935
1036,1291,7207,928
1112,1392,7324,919
1184,1420,7425,911
1227,1363,7497,901
1258,1355,7557,894
1276,1440,7570,887
1258,1485,7557,878
1229,1408,7509,861
1258,1355,7469,845
1333,1443,7422,831
1332,1549,7382,828
1195,1500,7317,828
1036,1355,7251,828
989,1279,7161,821
1036,1291,7076,812
1068,1283,6977,801
1036,1226,6901,795
946,1160,6827,792
814,1097,6770,795
692,1039,6697,797
666,1033,6639,795
723,1078,6582,786
740,1097,6552,779
660,1036,6507,776
592,968,6465,779
621,958,6407,779
666,968,6377,779
614,936,6348,777
518,904,6334,779
489,924,6303,778
518,968,6290,779
488,957,6267,777
370,904,6246,779
249,875,6196,778
222,904,6159,779
303,948,6126,777
444,968,6115,779
560,947,6088,778
592,904,6071,779
554,876,6047,777
518,904,6028,779
497,956,5981,779
444,968,5940,779
351,927,5892,775
296,904,5853,779
319,933,5787,786
370,968,5722,795
401,949,5648,796
444,904,5591,795
525,887,5521,793
592,904,5460,795
599,909,5388,795
592,904,5329,795
630,920,5258,794
666,968,5198,795
600,995,5128,795
444,968,5067,795
335,916,4993,794
370,904,4936,795
478,935,4880,795
518,968,4848,795
467,988,4816,794
444,1033,4805,795
517,1097,4783,796
592,1097,4761,795
535,963,4725,787
370,775,4717,779
257,690,4716,774
296,775,4717,779
425,915,4687,782
518,968,4674,779
512,906,4682,768
444,839,4717,762
384,848,4725,762
370,904,4717,762
375,907,4701,754
370,839,4717,745
361,771,4738,742
370,775,4761,745
363,821,4760,741
296,839,4761,729
210,803,4755,715
222,775,4761,712
362,811,4757,714
518,904,4761,712
584,989,4757,702
592,1033,4761,696
624,1038,4743,695
666,1033,4717,696
633,1028,4682,688
518,1033,4674,679
423,1037,4672,675
444,1033,4674,679
560,1024,4649,682
666,1033,4630,679
674,1045,4606,670
592,1033,4586,663
513,992,4553,659
518,968,4543,663
596,972,4542,665
666,968,4543,663
660,931,4503,653
592,904,4455,646
531,925,4404,644
518,968,4368,646
511,963,4317,645
444,904,4281,646
340,847,4263,647
296,839,4281,646
334,832,4287,637
370,775,4281,629
362,701,4251,626
370,710,4237,629
403,795,4230,630
370,839,4237,629
262,779,4220,628
222,710,4193,629
306,721,4158,629
370,775,4150,629
300,783,4148,629
222,775,4150,629
246,777,4125,629
296,775,4106,629
235,728,4093,629
148,710,4106,629
158,750,4110,628
222,775,4106,629
232,716,4079,630
222,645,4062,629
284,655,4051,626
370,710,4062,629
373,727,4065,637
296,710,4062,646
243,715,4037,647
296,775,4019,646
532,951,4006,645
1036,1355,4019,646
1845,2032,4023,644
2887,2905,4019,646
4073,3892,3990,652
5256,4905,3975,663
6110,5675,3968,666
6144,5744,3975,663
5099,4876,3970,658
3257,3356,3975,663
1333,1796,3975,671
-74,645,3975,679
-814,3,3949,679
-1110,-258,3931,679
-1201,-332,3922,679
-1184,-387,3931,679
-1114,-502,3929,676
-1110,-645,3931,679
-1275,-777,3928,687
-1555,-904,3931,696
-1792,-1039,3924,695
-1925,-1162,3931,696
-2074,-1293,3935,701
-2369,-1485,3931,712
-2756,-1723,3901,720
-3035,-1872,3887,729
-3122,-1856,3886,738
-3109,-1743,3887,745
-3140,-1682,3860,744
-3183,-1678,3844,745
-3130,-1631,3841,752
-2887,-1420,3844,762
-2451,-1045,3817,762
-1851,-581,3800,762
-1178,-140,3797,766
-592,194,3800,779
-210,394,3774,788
0,516,3756,795
171,653,3753,801
370,839,3756,812
539,997,3731,820
592,1033,3713,828
552,979,3709,835
518,968,3713,845
546,1045,3687,853
592,1097,3669,861
625,1046,3665,867
666,968,3669,878
725,972,3644,888
740,1033,3625,894
719,1074,3621,893
740,1097,3625,894
815,1139,3600,900
814,1162,3582,911
695,1113,3577,919
592,1033,3582,928
616,1002,3558,935
666,1033,3538,944
614,1053,3531,950
518,1033,3538,961
512,1009,3517,971
592,1033,3494,977
650,1080,3481,975
666,1097,3494,977
694,1064,3494,985
740,1033,3494,994
735,1029,3486,994
666,1033,3494,994
614,1022,3491,999
666,1033,3494,1010
793,1070,3498,1014
888,1097,3538,1010
882,1108,3591,1005
814,1162,3669,1010
736,1236,3754,1020
666,1226,3887,1027
627,1110,4048,1026
666,1033,4237,1027
741,1064,4419,1029
740,1097,4630,1027
664,1048,4858,1016
666,1033,5110,1010
793,1130,5345,1010
888,1226,5591,1010
849,1203,5830,1001
814,1162,6071,994
909,1215,6285,992
1036,1291,6508,994
1056,1272,6729,986
1036,1226,6945,977
1097,1248,7108,975
1184,1291,7251,977
1178,1282,7379,971
1110,1291,7513,961
1085,1366,7600,950
1110,1420,7644,944
1136,1381,7643,936
1184,1355,7644,928
1272,1421,7628,918
1332,1485,7600,911
1306,1454,7533,901
1258,1420,7469,894
1260,1462,7399,887
1258,1485,7338,878
1151,1375,7249,866
962,1226,7163,861
822,1182,7068,862
814,1226,6989,861
874,1227,6893,852
888,1162,6814,845
821,1106,6736,843
740,1097,6683,845
714,1079,6613,837
740,1033,6552,828
760,1003,6489,824
740,1033,6465,828
676,1065,6441,829
592,1033,6421,828
525,946,6370,826
518,904,6334,828
560,936,6299,828
592,968,6290,828
568,918,6264,827
518,839,6246,828
477,832,6217,827
444,904,6202,828
401,946,6175,828
370,904,6159,828
369,835,6131,825
370,839,6115,828
338,911,6085,836
296,968,6071,845
298,949,6048,846
370,904,6028,845
482,907,5981,843
592,968,5940,845
661,1005,5892,844
666,968,5853,845
607,906,5789,845
518,904,5722,845
433,950,5645,836
370,968,5591,828
345,929,5527,824
370,904,5460,828
419,933,5366,829
444,968,5285,828
437,944,5209,825
444,904,5154,828
486,932,5084,830
518,1033,5023,828
496,1092,4965,818
444,1033,4936,812
419,908,4894,809
444,839,4848,812
507,858,4787,811
592,904,4761,812
665,932,4753,812
666,968,4761,812
572,1002,4739,804
444,968,4717,795
369,853,4700,790
370,775,4717,795
390,816,4736,798
370,904,4761,795
320,908,4762,785
296,839,4761,779
324,800,4749,776
370,839,4761,779
389,894,4779,778
370,904,4805,779
312,853,4805,779
222,775,4805,779
146,713,4798,771
148,710,4805,762
205,731,4800,757
222,710,4805,762
191,650,4802,765
222,645,4805,762
347,734,4785,752
444,839,4761,745
421,886,4728,744
370,904,4717,745
395,920,4712,744
444,904,4717,745
422,850,4701,747
370,839,4674,745
382,889,4624,736
444,904,4586,729
469,829,4554,726
444,775,4543,729
430,825,4521,728
444,904,4499,729
431,894,4465,730
370,839,4455,729
328,844,4452,720
370,904,4455,712
444,928,4433,710
444,904,4412,712
379,888,4384,712
370,904,4368,712
433,913,4341,713
444,904,4324,712
352,893,4301,703
296,904,4281,696
341,911,4247,693
370,904,4237,696
281,850,4235,695
222,775,4237,696
309,726,4211,696
444,775,4193,696
454,873,4185,687
370,904,4193,679
358,834,4175,676
444,775,4150,679
477,780,4117,680
370,775,4106,679
275,735,4097,678
370,775,4106,679
583,924,4107,679
740,1097,4106,679
1015,1390,4080,678
1777,2065,4062,679
2961,3069,4051,679
4071,4002,4062,679
4987,4750,4062,678
5996,5551,4062,679
6795,6172,4054,679
6292,5744,4062,679
4115,3963,4064,678
1481,1807,4062,679
-127,474,4036,679
-592,65,4019,679
-739,-77,4008,677
-962,-258,4019,679
-1066,-318,4019,680
-1036,-258,4019,679
-1141,-331,4009,675
-1406,-581,4019,679
-1612,-805,4022,688
-1703,-904,4019,696
-1835,-1009,3990,694
-2073,-1226,3975,696
-2344,-1512,3968,703
-2591,-1743,3975,712
-2811,-1862,3969,712
-2961,-1872,3975,712
-3027,-1827,3977,718
-3035,-1743,3975,729
-3051,-1632,3947,730
-3035,-1485,3931,729
-2914,-1320,3926,732
-2591,-1097,3931,745
-2035,-745,3909,757
-1332,-258,3887,762
-690,221,3875,760
-296,516,3887,762
-132,606,3889,768
0,645,3887,779
240,757,3868,787
518,904,3844,795
695,995,3809,802
740,1033,3800,812
718,1070,3801,819
666,1097,3800,828
608,1076,3771,835
592,1033,3756,845
657,1039,3754,852
740,1097,3756,861
770,1134,3730,869
740,1097,3713,878
700,1019,3709,885
666,968,3713,894
651,980,3687,902
666,1033,3669,911
690,1080,3664,918
666,1097,3669,928
605,1096,3645,935
592,1097,3625,944
644,1082,3618,951
666,1033,3625,961
616,975,3604,968
592,968,3582,977
661,1007,3567,985
740,1033,3582,994
724,1022,3583,1001
666,1033,3582,1010
674,1078,3572,1018
740,1097,3582,1027
771,1057,3580,1034
740,1033,3582,1044
691,1066,3580,1052
666,1097,3625,1060
679,1066,3698,1066
740,1033,3800,1077
811,1057,3894,1087
814,1097,4019,1093
713,1074,4170,1091
592,1033,4368,1093
568,1061,4573,1101
666,1162,4805,1110
799,1234,5038,1109
888,1226,5285,1110
928,1180,5517,1115
962,1162,5766,1126
984,1167,6007,1129
962,1162,6246,1126
904,1143,6457,1123
888,1162,6683,1126
952,1227,6909,1128
1036,1291,7120,1126
1040,1302,7264,1117
962,1291,7382,1110
907,1309,7488,1106
962,1355,7600,1110
1087,1376,7665,1110
1184,1355,7688,1110
1222,1334,7666,1107
1258,1355,7644,1110
1314,1400,7603,1112
1332,1420,7557,1110
1271,1395,7486,1099
1184,1355,7425,1093
1137,1322,7357,1092
1110,1291,7294,1093
1048,1253,7205,1086
962,1226,7120,1077
905,1203,7024,1071
888,1162,6945,1077
865,1108,6851,1080
814,1097,6770,1077
763,1137,6688,1065
740,1162,6639,1060
718,1111,6589,1059
666,1033,6552,1060
605,1003,6498,1052
592,1033,6465,1044
613,1055,6431,1038
592,1033,6421,1044
507,971,6395,1046
444,904,6377,1044
445,852,6346,1033
444,839,6334,1027
395,863,6308,1025
370,904,6290,1027
410,919,6257,1026
444,904,6246,1027
426,886,6226,1027
444,904,6202,1027
536,944,6150,1018
592,968,6115,1010
547,964,6086,1006
518,968,6071,1010
575,981,6028,1012
592,968,5984,1010
479,921,5933,1001
370,904,5897,994
391,937,5834,989
444,968,5766,994
410,961,5688,997
370,968,5635,994
411,994,5572,982
444,968,5504,977
390,876,5408,978
370,839,5329,977
480,908,5254,967
592,968,5198,961
574,915,5126,960
518,839,5067,961
548,849,5011,952
592,904,4979,944
533,910,4935,942
444,904,4892,944
453,939,4837,937
518,968,4805,928
510,934,4774,924
444,904,4761,928
439,935,4735,923
518,968,4717,911
572,937,4700,897
518,904,4717,894
396,932,4739,896
296,968,4761,894
247,941,4755,884
222,904,4761,878
224,928,4775,877
296,968,4805,878
424,930,4808,869
518,839,4805,861
529,796,4792,859
518,839,4805,861
530,897,4821,854
518,904,4848,845
462,864,4854,840
444,839,4848,845
497,859,4819,847
518,904,4805,845
443,923,4797,835
370,904,4805,828
371,864,4788,824
370,839,4761,828
312,837,4724,831
296,839,4717,828
363,799,4716,817
370,710,4717,812
226,631,4692,812
74,645,4674,812
47,727,4651,803
74,775,4630,795
72,758,4583,793
148,775,4543,795
373,872,4510,794
592,968,4499,795
636,980,4475,796
592,968,4455,795
634,1018,4428,785
740,1097,4412,779
757,1103,4384,778
666,1033,4368,779
591,971,4345,770
592,968,4324,762
587,982,4290,760
518,968,4281,762
462,928,4280,755
518,904,4281,745
634,918,4253,740
666,968,4237,745
602,1015,4232,749
592,1033,4237,745
692,1029,4213,735
740,1033,4193,729
594,1026,4184,726
370,968,4193,729
288,860,4176,729
370,775,4150,729
435,755,4116,728
370,775,4106,729
255,780,4098,728
222,775,4106,729
290,773,4107,728
370,775,4106,729
371,768,4081,728
296,775,4062,729
223,789,4050,728
222,775,4062,729
268,707,4065,727
296,645,4062,729
264,645,4037,729
222,710,4019,729
200,758,4006,726
222,775,4019,729
275,803,4023,736
370,904,4019,745
454,1001,3990,747
444,968,3975,745
355,816,3967,743
296,710,3975,745
290,716,3971,747
222,710,3975,745
91,623,3974,742
74,581,3975,745
252,674,3952,753
518,839,3931,762
904,1123,3917,763
1629,1743,3931,762
2691,2697,3937,761
3775,3679,3931,762
4778,4565,3902,760
5848,5486,3887,762
6682,6181,3881,768
6366,5874,3887,779
4508,4288,3883,782
1999,2259,3887,779
149,841,3887,773
-666,194,3887,779
-984,-161,3864,788
-1258,-452,3844,795
-1419,-578,3832,793
-1332,-581,3844,795
-1165,-647,3846,802
-1184,-775,3844,812
-1445,-865,3833,812
-1777,-968,3844,812
-2010,-1181,3850,816
-2147,-1420,3844,828
-2318,-1572,3813,837
-2591,-1678,3800,845
-2896,-1825,3799,851
-3109,-1936,3800,861
-3217,-1920,3774,869
-3257,-1807,3756,878
-3266,-1714,3752,885
-3183,-1614,3756,894
-2947,-1421,3733,901
-2517,-1097,3713,911
-1942,-711,3703,919
-1332,-323,3713,928
-789,50,3710,932
-370,387,3713,944
-93,638,3713,960
74,775,3713,977
228,838,3689,986
444,904,3669,994
662,987,3648,1006
740,1033,3625,1027
668,1008,3576,1045
592,968,3538,1060
619,981,3523,1067
666,1033,3538,1077
643,1059,3540,1089
592,1033,3538,1110
610,990,3531,1129
666,968,3538,1143
684,985,3538,1148
666,1033,3538,1159
689,1083,3519,1176
740,1097,3494,1193
739,1067,3461,1200
666,1033,3451,1209
616,1024,3449,1224
666,1033,3451,1242
748,1031,3426,1252
740,1033,3407,1259
642,1056,3395,1265
592,1097,3407,1275
659,1115,3407,1282
740,1097,3407,1292
704,1058,3398,1302
592,1033,3407,1309
539,1029,3407,1306
592,1033,3407,1309
658,1009,3393,1316
666,968,3407,1325
646,960,3435,1323
666,1033,3494,1325
718,1133,3560,1332
740,1162,3669,1342
705,1078,3803,1340
666,968,3975,1342
679,928,4152,1349
740,968,4368,1358
795,1015,4599,1353
814,1033,4848,1342
810,1047,5079,1335
814,1097,5329,1342
839,1147,5585,1345
888,1162,5853,1342
943,1185,6092,1330
962,1291,6334,1325
890,1402,6571,1323
740,1355,6814,1325
626,1154,7019,1318
666,1033,7207,1309
828,1127,7367,1296
962,1291,7513,1292
1002,1333,7611,1291
1036,1291,7688,1292
1123,1282,7736,1285
1184,1291,7775,1275
1153,1251,7767,1263
1110,1226,7731,1259
1137,1283,7663,1258
1184,1355,7600,1259
1182,1358,7517,1250
1184,1355,7425,1242
1258,1421,7308,1238
1332,1485,7207,1242
1281,1429,7110,1244
1110,1291,7032,1242
931,1189,6938,1233
814,1162,6858,1226
733,1142,6779,1220
666,1097,6727,1226
638,1051,6659,1233
666,1033,6596,1242
698,1031,6518,1243
666,1033,6465,1242
579,1015,6411,1240
518,968,6377,1242
513,897,6328,1247
518,839,6290,1259
506,822,6238,1269
518,839,6202,1275
546,848,6154,1272
518,839,6115,1275
439,843,6062,1288
444,904,6028,1309
574,993,5994,1320
666,1033,5984,1325
549,964,5961,1327
296,839,5940,1342
108,759,5907,1359
74,775,5897,1375
130,826,5878,1382
222,839,5853,1391
337,818,5799,1404
444,839,5766,1424
482,914,5741,1441
444,968,5722,1458
388,929,5660,1472
370,839,5591,1491
397,795,5516,1506
444,839,5460,1524
483,915,5389,1538
518,968,5329,1557
579,997,5262,1573
666,1033,5198,1590
696,1060,5106,1604
592,1033,5023,1623
406,920,4946,1640
296,775,4892,1656
317,686,4823,1664
370,710,4761,1673
373,810,4702,1683
370,904,4674,1706
393,930,4647,1730
370,904,4630,1756
272,879,4589,1772
222,904,4543,1789
310,952,4485,1803
444,968,4455,1822
483,918,4431,1837
444,839,4412,1855
426,798,4375,1870
444,839,4368,1888
448,940,4381,1903
444,1033,4412,1921
475,1046,4412,1937
518,968,4412,1955
487,830,4418,1968
370,710,4455,1988
274,689,4482,2004
296,775,4499,2021
373,841,4494,2027
370,775,4499,2037
295,661,4497,2050
296,710,4499,2070
400,916,4490,2081
444,1033,4499,2087
339,939,4502,2089
222,839,4499,2104
212,915,4470,2119
222,1033,4455,2137
159,965,4450,2144
148,775,4455,2153
329,688,4433,2160
592,775,4412,2170
716,901,4399,2174
666,968,4412,2186
576,962,4401,2200
518,904,4368,2220
456,836,4313,2228
370,839,4281,2236
286,900,4257,2240
222,904,4237,2253
190,799,4190,2264
222,710,4150,2286
325,743,4115,2303
444,839,4106,2319
511,886,4097,2323
518,904,4106,2336
492,956,4108,2355
444,1033,4106,2385
373,1062,4078,2404
296,1033,4062,2418
236,957,4056,2428
222,839,4062,2451
291,724,4042,2475
444,710,4019,2501
566,791,3990,2516
518,839,3975,2534
313,776,3948,2553
148,710,3931,2584
166,746,3921,2610
296,839,3931,2634
376,885,3931,2646
370,904,3931,2667
350,957,3923,2693
370,1033,3931,2733
428,1076,3933,2766
518,1097,3931,2799
616,1116,3905,2826
666,1097,3887,2866
636,1004,3877,2905
592,904,3887,2948
626,886,3889,2978
740,968,3887,3015
831,1096,3866,3051
814,1226,3844,3097
724,1308,3814,3131
666,1291,3800,3164
671,1170,3792,3190
666,1033,3800,3230
596,964,3799,3268
518,968,3800,3313
518,979,3794,3349
592,968,3800,3396
661,957,3799,3441
666,968,3800,3495
588,962,3792,3541
444,904,3800,3594
312,833,3803,3641
296,839,3800,3694
384,918,3772,3738
444,968,3756,3793
407,920,3751,3846
370,839,3756,3909
402,792,3738,3959
444,775,3713,4008
436,770,3682,4051
444,839,3669,4108
478,982,3660,4154
444,1097,3669,4191
328,1079,3673,4199
296,968,3669,4207
414,855,3641,4211
518,775,3625,4224
465,696,3621,4223
370,645,3625,4224
409,694,3604,4218
518,839,3582,4224
484,926,3566,4221
296,839,3582,4224
239,723,3601,4219
518,839,3625,4224
954,1172,3631,4220
1258,1485,3625,4224
1532,1786,3598,4219
2073,2324,3582,4224
2684,2956,3574,4220
2739,3098,3582,4224
2168,2591,3580,4219
1703,2065,3582,4224
1787,2018,3578,4219
1851,2065,3582,4224
1240,1627,3577,4219
222,839,3582,4224
-500,236,3582,4219
-814,-65,3582,4224
-1051,-287,3558,4219
-1258,-452,3538,4224
-1251,-448,3526,4219
-1110,-387,3538,4224
-1090,-473,3543,4219
-1184,-645,3538,4224
-1230,-735,3512,4219
-1258,-775,3494,4224
-1443,-924,3485,4219
-1777,-1162,3494,4224
-2113,-1345,3496,4219
-2369,-1420,3494,4224
-2560,-1479,3485,4219
-2665,-1549,3494,4224
-2668,-1556,3499,4219
-2591,-1420,3494,4224
-2457,-1193,3466,4219
-2221,-968,3451,4224
-1858,-756,3447,4219
-1406,-452,3451,4224
-925,-30,3429,4219
-444,387,3407,4224
-32,651,3395,4219
222,775,3407,4224
355,881,3411,4219
518,1033,3407,4224
747,1168,3384,4219
888,1226,3363,4224
847,1244,3335,4219
740,1291,3320,4224
694,1355,3311,4219
666,1355,3320,4224
620,1266,3320,4219
666,1162,3320,4224
878,1128,3311,4219
1110,1162,3320,4224
1218,1219,3336,4219
1258,1291,3363,4224
1344,1391,3370,4219
1406,1485,3363,4224
1315,1498,3337,4219
1110,1420,3320,4224
951,1326,3308,4219
888,1291,3320,4224
835,1282,3325,4219
740,1226,3320,4224
660,1130,3291,4219
666,1097,3276,4224
721,1159,3270,4219
740,1226,3276,4224
718,1210,3257,4219
740,1162,3232,4224
826,1148,3200,4219
888,1162,3189,4224
880,1173,3178,4219
888,1226,3189,4224
963,1316,3202,4219
1036,1355,3232,4224
1060,1309,3250,4219
1110,1291,3276,4224
1190,1358,3301,4219
1184,1420,3363,4224
1093,1390,3449,4219
1110,1355,3582,4224
1254,1390,3736,4219
1258,1420,3931,4224
990,1354,4137,4219
740,1291,4368,4224
779,1369,4596,4219
962,1549,4848,4224
1010,1635,5102,4219
962,1549,5373,4224
1019,1401,5630,4219
1184,1355,5897,4224
1319,1436,6155,4219
1406,1549,6421,4224
1477,1606,6665,4219
1481,1614,6901,4224
1408,1592,7106,4219
1406,1549,7294,4224
1535,1495,7439,4219
1629,1485,7557,4224
1542,1519,7630,4219
1406,1549,7688,4224
1400,1559,7715,4219
1481,1614,7731,4224
1482,1689,7715,4219
1406,1678,7688,4224
1390,1573,7627,4219
1481,1549,7557,4224
1550,1687,7463,4219
1481,1807,7382,4224
1293,1695,7293,4219
1110,1420,7207,4224
1007,1224,7094,4219
962,1226,6989,4224
904,1316,6885,4219
814,1355,6814,4224
735,1307,6741,4219
740,1226,6683,4224
855,1166,6611,4219
1036,1162,6552,4224
1160,1196,6478,4219
1110,1226,6421,4224
875,1195,6363,4219
592,1097,6334,4224
429,976,6290,4219
444,904,6246,4224
540,894,6185,4219
592,904,6159,4224
563,878,6136,4219
518,839,6115,4224
505,838,6060,4219
518,904,6028,4224
546,1007,6016,4219
592,1097,6028,4224
601,1108,6007,4219
518,1033,5984,4224
428,948,5955,4219
518,968,5940,4224
785,1083,5898,4219
962,1162,5853,4224
830,1100,5800,4219
518,968,5766,4224
326,909,5718,4219
370,968,5678,4224
508,1037,5629,4219
592,1033,5591,4224
603,998,5528,4219
592,1033,5460,4224
570,1107,5381,4219
518,1097,5329,4224
436,964,5281,4219
370,839,5242,4224
370,834,5176,4219
444,904,5110,4224
538,926,5036,4219
592,904,4979,4224
595,929,4910,4219
592,1033,4848,4224
621,1117,4787,4219
666,1097,4761,4224
665,990,4738,4219
592,904,4717,4224
511,921,4681,4219
518,1033,4674,4224
607,1124,4674,4219
666,1097,4674,4224
619,963,4641,4219
518,839,4630,4224
453,803,4642,4219
444,839,4674,4224
449,881,4673,4219
444,904,4674,4224
421,910,4685,4219
370,904,4717,4224
306,874,4722,4219
296,839,4717,4224
402,842,4705,4219
592,904,4717,4224
739,967,4731,4219
740,968,4761,4224
606,923,4783,4219
444,904,4805,4224
334,898,4803,4219
296,839,4805,4224
333,752,4801,4219
444,775,4805,4224
546,907,4785,4219
518,968,4761,4224
376,849,4729,4219
296,710,4717,4224
360,743,4697,4219
444,904,4674,4224
426,998,4637,4219
370,968,4630,4224
365,896,4632,4219
370,839,4630,4224
343,773,4587,4219
370,710,4543,4224
495,704,4508,4219
592,775,4499,4224
545,860,4477,4219
444,904,4455,4224
423,904,4427,4219
444,904,4412,4224
392,913,4386,4219
296,904,4368,4224
284,847,4343,4219
370,775,4324,4224
426,744,4294,4219
370,775,4281,4224
261,801,4274,4219
222,775,4281,4224
303,738,4263,4219
444,775,4237,4224
533,863,4203,4219
518,904,4193,4224
440,863,4189,4219
370,839,4193,4224
326,878,4174,4219
296,904,4150,4224
297,844,4116,4219
370,775,4106,4224
481,785,4101,4219
518,839,4106,4224
408,830,4099,4219
222,775,4106,4224
110,784,4107,4219
148,904,4106,4224
269,1023,4079,4219
370,1033,4062,4224
437,955,4053,4219
518,904,4062,4224
593,908,4060,4219
592,904,4062,4224
528,855,4058,4219
518,839,4062,4224
600,900,4055,4219
666,968,4062,4224
637,955,4064,4219
592,904,4062,4224
639,920,4034,4219
740,1033,4019,4224
741,1126,4013,4219
592,1097,4019,4224
460,998,3998,4219
518,968,3975,4224
651,1001,3960,4219
592,968,3975,4224
375,884,3981,4219
296,904,3975,4224
365,960,3946,4219
296,839,3931,4224
168,678,3924,4219
370,839,3931,4224
656,1101,3927,4219
222,775,3931,4224
-828,-46,3930,4219
-1184,-258,3931,4224
-229,616,3910,4219
888,1549,3887,4224
919,1467,3858,4219
296,775,3844,4224
148,490,3833,4219
518,710,3844,4224
620,810,3849,4219
296,645,3844,4224
76,573,3813,4219
148,645,3800,4224
183,579,3798,4219
0,323,3800,4224
-222,90,3774,4219
-370,-65,3756,4224
-515,-237,3750,4219
-666,-387,3756,4224
-662,-360,3735,4219
-370,-129,3713,4224
187,214,3699,4219
888,645,3713,4224
1633,1208,3715,4219
2369,1872,3713,4224
2983,2452,3703,4220
3183,2646,3713,4224
2628,2180,3716,4219
1332,1097,3713,4224
-157,-138,3687,4220
-1184,-968,3669,4224
-1619,-1283,3659,4219
-1851,-1420,3669,4224
-2158,-1626,3670,4220
-2369,-1743,3669,4224
-2285,-1599,3660,4219
-2073,-1355,3669,4224
-1982,-1257,3673,4220
-1925,-1226,3669,4224
-1656,-1011,3642,4214
-1184,-581,3625,4207
-729,-139,3618,4188
-370,194,3625,4174
-29,459,3622,4149
296,710,3625,4124
469,928,3626,4087
444,1097,3625,4058
334,1199,3601,4028
296,1226,3582,4008
354,1190,3571,3980
444,1162,3582,3959
515,1163,3582,3930
592,1162,3582,3909
709,1165,3574,3880
814,1226,3582,3859
826,1329,3583,3831
740,1355,3582,3810
657,1261,3560,3779
666,1162,3538,3760
771,1183,3509,3739
888,1291,3494,3727
935,1361,3484,3701
888,1355,3494,3677
817,1319,3499,3647
814,1291,3494,3627
891,1275,3466,3601
962,1291,3451,3578
936,1333,3444,3546
814,1355,3451,3528
670,1323,3445,3509
592,1291,3451,3495
622,1323,3453,3467
740,1420,3451,3445
857,1511,3423,3422
888,1549,3407,3412
817,1510,3403,3394
740,1420,3407,3379
