II,aVR,ABP
1422,4629,7626
1541,4491,7621
1422,4629,7626
1355,4694,7614
1422,4629,7626
1442,4599,7626
1422,4629,7626
1435,4604,7585
1422,4629,7547
1368,4694,7497
1462,4629,7467
1600,4492,7420
1462,4629,7388
1225,4857,7342
1462,4629,7309
1856,4228,7257
1503,4572,7229
916,5124,7190
1503,4514,7150
2429,3574,7088
1503,4514,7070
-8,6015,7070
1706,4343,7070
5560,788,7020
5362,1714,6991
98,7829,6983
-2600,10915,6991
2016,5911,6948
7759,-629,6911
6962,-522,6894
1828,4229,6911
-474,6299,6905
1056,4629,6911
2016,3614,6912
934,4686,6911
216,5315,6864
772,4629,6832
1032,4240,6820
406,4743,6832
-95,5044,6796
-81,4800,6752
-146,4642,6724
-447,4743,6752
-602,4654,6766
-528,4343,6752
-464,4091,6698
-447,4000,6673
-409,3974,6666
-366,4057,6673
-374,4254,6635
-406,4514,6594
-445,4756,6565
-447,4972,6594
-407,5151,6609
-325,5314,6594
-217,5438,6535
-81,5543,6514
63,5599,6513
203,5600,6514
333,5525,6466
487,5429,6435
679,5334,6425
894,5257,6435
1101,5152,6396
1300,5029,6355
1491,4898,6332
1665,4800,6355
1803,4711,6360
1909,4629,6355
1986,4548,6339
2031,4514,6355
2049,4510,6361
2072,4514,6355
2111,4484,6309
2153,4457,6276
2175,4446,6256
2194,4457,6276
2217,4437,6283
2234,4400,6276
2230,4355,6230
2234,4343,6196
2265,4339,6176
2315,4343,6196
2346,4319,6205
2356,4286,6196
2354,4243,6148
2356,4229,6117
2352,4224,6102
2356,4229,6117
2369,4220,6115
2397,4229,6117
2419,4235,6108
2437,4229,6117
2441,4191,6111
2437,4172,6117
2429,4169,6110
2437,4172,6117
2446,4140,6108
2437,4114,6117
2394,4107,6112
2356,4114,6117
2342,4089,6102
2356,4057,6117
2361,4039,6120
2356,4057,6117
2337,4066,6066
2315,4057,6037
2288,4024,6023
2275,4000,6037
2271,3971,6024
2275,3943,6037
2270,3904,6080
2275,3886,6196
2279,3865,6351
2275,3829,6594
2250,3760,6905
2234,3714,7309
2232,3701,7752
2234,3714,8262
2214,3710,8783
2194,3714,9295
2185,3716,9698
2194,3714,10009
2183,3694,10225
2153,3714,10407
2120,3772,10495
2112,3829,10486
2104,3828,10366
2072,3829,10248
2017,3868,10151
1990,3943,10089
1993,3983,9998
1990,4000,9930
1948,4015,9896
1909,4057,9930
1896,4091,9984
1909,4114,10089
1912,4112,10206
1869,4172,10327
1808,4258,10380
1869,4229,10407
1957,4136,10404
1828,4286,10407
1623,4513,10348
1787,4343,10248
2072,4020,10087
1787,4343,9930
1333,4848,9759
1787,4343,9612
2487,3533,9447
1747,4343,9295
541,5684,9121
1747,4400,8977
4397,1616,8836
3737,2743,8738
-693,8250,8643
-2600,10915,8580
1654,6321,8498
6784,229,8421
6397,-61,8301
2234,3943,8182
191,5903,8046
1259,4686,7944
1980,3915,7846
1137,4857,7785
595,5426,7725
1097,4857,7706
1417,4488,7691
1097,4857,7706
920,5082,7701
1178,4857,7706
1360,4683,7692
1300,4743,7706
1278,4731,7706
1381,4629,7706
1442,4600,7664
1462,4629,7626
1505,4579,7576
1503,4572,7547
1449,4626,7500
1544,4572,7467
1696,4441,7421
1584,4572,7388
1361,4793,7337
1584,4572,7309
1949,4193,7267
1584,4572,7229
1003,5160,7170
1584,4572,7150
2498,3616,7145
1584,4514,7150
100,6006,7109
1787,4400,7070
5549,921,7025
5281,1829,6991
36,7852,6934
-2600,10915,6911
2035,6007,6906
7759,-457,6911
6977,-408,6868
1909,4229,6832
-330,6264,6813
1219,4629,6832
2160,3631,6828
1056,4686,6832
330,5312,6828
894,4629,6832
1173,4216,6792
569,4686,6752
89,4982,6726
122,4743,6752
65,4562,6765
-244,4629,6752
-410,4532,6698
-325,4229,6673
-221,3961,6665
-162,3829,6673
-109,3766,6636
-81,3829,6594
-113,4004,6565
-162,4229,6594
-217,4429,6610
-244,4629,6594
-230,4842,6534
-162,5086,6514
-67,5291,6515
41,5429,6514
151,5478,6464
284,5486,6435
440,5462,6428
609,5429,6435
781,5357,6391
975,5257,6355
1194,5116,6343
1422,4972,6355
1621,4835,6319
1787,4743,6276
1923,4676,6250
2031,4629,6276
2103,4568,6285
2153,4514,6276
2194,4470,6230
2234,4457,6196
2261,4452,6174
2275,4457,6196
2275,4436,6209
2275,4400,6196
2284,4353,6140
2315,4343,6117
2347,4346,6117
2356,4343,6117
2344,4305,6068
2356,4286,6037
2397,4283,6032
2437,4286,6037
2441,4252,5993
2437,4229,5958
2450,4223,5947
2478,4229,5958
2484,4199,5920
2478,4172,5879
2472,4159,5856
2478,4172,5879
2476,4169,5881
2478,4172,5879
2490,4173,5866
2519,4172,5879
2530,4139,5874
2519,4114,5879
2490,4106,5868
2478,4114,5879
2477,4091,5872
2478,4057,5879
2459,4036,5868
2437,4057,5879
2415,4073,5872
2397,4057,5879
2371,3996,5864
2356,3943,5879
2351,3905,5918
2356,3886,6037
2353,3853,6202
2356,3829,6435
2359,3799,6705
2356,3772,7070
2332,3730,7506
2315,3714,8023
2311,3714,8541
2315,3714,9056
2299,3679,9513
2275,3657,9930
2250,3669,10250
2234,3714,10486
2211,3728,10601
2194,3714,10645
2174,3692,10613
2153,3714,10566
2125,3764,10484
2112,3829,10407
2101,3864,10309
2072,3886,10248
2019,3899,10213
1990,3943,10248
1992,3998,10309
1990,4057,10407
1945,4092,10485
1909,4114,10566
1918,4113,10630
1909,4172,10724
1845,4255,10787
1869,4229,10804
1941,4140,10728
1828,4286,10645
1633,4507,10557
1787,4343,10486
2066,4028,10367
1787,4343,10248
1312,4850,10116
1706,4400,10009
2369,3659,9879
1665,4457,9771
484,5730,9651
1584,4457,9533
4083,1770,9365
3453,2914,9215
-774,8307,9076
-2600,10915,8977
1461,6451,8852
6378,514,8738
6044,200,8609
2112,4057,8500
203,5944,8367
1259,4743,8262
1982,3951,8162
1219,4800,8103
756,5287,8042
1300,4686,8023
1673,4295,8012
1422,4629,8023
1275,4818,8012
1503,4572,8023
1635,4404,8024
1544,4514,8023
1505,4577,7977
1584,4514,7944
1606,4479,7903
1584,4514,7865
1599,4519,7778
1584,4572,7706
1516,4642,7648
1584,4572,7626
1711,4435,7582
1584,4572,7547
1359,4793,7500
1584,4572,7467
1951,4200,7413
1584,4572,7388
1002,5129,7377
1584,4514,7388
2498,3576,7355
1584,4514,7309
110,6006,7250
1828,4343,7229
5625,805,7193
5362,1714,7150
82,7798,7086
-2600,10915,7070
2018,5999,7070
7759,-514,7070
7002,-493,7022
1950,4172,6991
-285,6253,6979
1259,4629,6991
2196,3601,6956
1097,4629,6911
377,5252,6881
934,4572,6911
1190,4153,6928
569,4629,6911
88,4956,6851
122,4743,6832
61,4547,6833
-244,4572,6832
-388,4455,6780
-284,4172,6752
-180,3925,6748
-122,3772,6752
-51,3648,6704
0,3657,6673
-25,3817,6666
-81,4057,6673
-137,4286,6627
-162,4514,6594
-162,4744,6585
-122,4972,6594
-40,5136,6551
81,5257,6514
207,5348,6501
325,5429,6514
436,5454,6478
569,5429,6435
734,5350,6409
934,5257,6435
1142,5142,6442
1341,5029,6435
1524,4906,6415
1706,4800,6435
1869,4701,6446
1990,4629,6435
2060,4563,6379
2112,4514,6355
2172,4471,6353
2234,4457,6355
2269,4453,6309
2275,4457,6276
2269,4434,6265
2275,4400,6276
2290,4357,6241
2315,4343,6196
2338,4337,6147
2356,4343,6117
2359,4336,6066
2356,4343,6037
2350,4344,6028
2356,4343,6037
2369,4312,6003
2397,4286,5958
2420,4271,5927
2437,4286,5958
2437,4291,6000
2437,4286,6037
2435,4256,6035
2437,4229,6037
2433,4195,6032
2437,4172,6037
2449,4137,6004
2478,4114,5958
2502,4100,5899
2519,4114,5879
2519,4122,5845
2519,4114,5799
2503,4077,5727
2478,4057,5720
2445,4052,5752
2437,4057,5799
2442,4031,5788
2437,4000,5799
2397,3983,5851
2356,4000,5958
2340,3993,6034
2356,3943,6117
2364,3862,6227
2356,3829,6435
2333,3831,6707
2315,3829,7070
2294,3770,7479
2275,3714,7944
2250,3694,8409
2234,3714,8897
2225,3717,9354
2234,3714,9771
2241,3709,10084
2234,3714,10327
2196,3704,10479
2153,3714,10566
2121,3755,10549
2112,3829,10486
2100,3871,10390
2072,3886,10327
2026,3891,10271
1990,3943,10248
1966,4009,10228
1950,4057,10248
1926,4054,10272
1909,4057,10327
1888,4097,10386
1869,4172,10486
1844,4214,10574
1787,4286,10645
1712,4370,10649
1747,4343,10645
1808,4254,10611
1665,4400,10566
1449,4624,10451
1584,4457,10327
1822,4138,10192
1503,4457,10089
1029,4973,9964
1462,4514,9851
2149,3757,9721
1422,4572,9612
212,5890,9483
1341,4629,9374
3924,1889,9249
3372,2972,9136
-815,8336,9001
-2600,10915,8897
1539,6375,8781
6540,343,8659
6257,-22,8487
2356,3829,8341
488,5700,8208
1584,4457,8103
2306,3638,7968
1503,4514,7865
995,5079,7794
1503,4572,7785
1839,4254,7772
1544,4629,7785
1355,4843,7806
1544,4629,7865
1635,4498,7904
1503,4629,7944
1435,4692,7947
1503,4629,7944
1523,4601,7902
1503,4629,7865
1520,4602,7792
1503,4629,7706
1430,4698,7598
1503,4629,7547
1639,4467,7512
1503,4572,7467
1261,4769,7368
1503,4514,7309
1907,4116,7296
1544,4514,7309
953,5127,7265
1584,4514,7229
2542,3552,7216
1584,4514,7229
186,5936,7190
2397,3886,7150
6853,-158,7129
6703,686,7150
785,7280,7125
-2600,10915,7070
1868,6049,7003
7759,-629,6991
6921,-537,6991
1625,4343,6991
-607,6432,6946
1178,4629,6911
2239,3527,6889
1056,4629,6911
262,5292,6919
853,4572,6911
1139,4138,6864
487,4629,6832
-15,4933,6812
41,4686,6832
-5,4510,6838
-325,4572,6832
-485,4440,6787
-366,4114,6752
-231,3874,6708
-162,3772,6673
-112,3692,6619
-81,3714,6594
-95,3876,6583
-122,4114,6594
-166,4322,6563
-203,4514,6514
-210,4725,6451
-162,4972,6435
-74,5175,6430
41,5314,6435
159,5383,6420
284,5429,6435
417,5441,6443
569,5429,6435
739,5361,6380
934,5257,6355
1140,5129,6353
1341,5029,6355
1515,4943,6306
1665,4857,6276
1795,4739,6271
1909,4629,6276
2000,4546,6229
2072,4514,6196
2121,4504,6189
2153,4514,6196
2171,4517,6152
2194,4514,6117
2218,4484,6107
2234,4457,6117
2233,4425,6078
2234,4400,6037
2248,4362,6018
2275,4343,6037
2295,4334,6035
2315,4343,6037
2334,4339,6036
2356,4343,6037
2373,4342,5996
2397,4343,5958
2420,4316,5937
2437,4286,5958
2435,4250,5962
2437,4229,5958
2451,4196,5942
2478,4172,5958
2487,4156,5965
2478,4172,5958
2452,4180,5909
2437,4172,5879
2431,4134,5862
2437,4114,5879
2438,4109,5874
2437,4114,5879
2431,4088,5869
2437,4057,5879
2441,4038,5869
2437,4057,5879
2416,4068,5874
2397,4057,5879
2376,4019,5859
2356,4000,5879
2328,3980,5930
2315,3943,6037
2315,3871,6141
2315,3829,6276
2295,3823,6453
2275,3829,6752
2267,3782,7144
2275,3714,7626
2275,3661,8128
2275,3657,8659
2273,3657,9157
2275,3657,9612
2259,3649,9963
2234,3657,10248
2207,3656,10442
2194,3657,10566
2177,3663,10564
2153,3714,10486
2112,3778,10352
2072,3829,10248
2029,3828,10153
1990,3829,10089
1946,3861,10023
1909,3943,10009
1871,4014,10025
1828,4057,10089
1763,4077,10151
1706,4114,10248
1675,4146,10353
1625,4229,10486
1538,4333,10578
1544,4343,10645
1591,4298,10653
1462,4457,10645
1269,4650,10578
1422,4457,10486
1685,4160,10353
1422,4514,10248
1030,5007,10131
1544,4457,10009
2292,3599,9839
1625,4343,9692
496,5605,9556
1706,4286,9453
4305,1527,9324
3656,2686,9215
-694,8205,9095
-2600,10915,8977
1536,6392,8808
6621,286,8659
6415,-145,8523
2519,3714,8421
594,5647,8290
1625,4457,8182
2312,3652,8083
1503,4514,8023
1000,5054,7957
1503,4514,7944
1821,4164,7962
1503,4514,8023
1304,4723,8058
1503,4514,8103
1616,4387,8136
1503,4514,8182
1439,4575,8186
1503,4514,8182
1521,4488,8146
1503,4514,8103
1521,4487,8016
1503,4514,7944
1430,4584,7883
1503,4514,7865
1637,4370,7826
1503,4514,7785
1264,4755,7726
1503,4514,7706
1901,4091,7694
1544,4457,7706
962,5061,7698
1584,4457,7706
2527,3482,7702
1584,4400,7706
212,5809,7669
2397,3829,7626
6773,-118,7571
6581,743,7547
712,7284,7508
-2600,10915,7467
1883,6129,7407
7759,-514,7388
6946,-521,7383
1706,4229,7388
-503,6285,7346
1259,4514,7309
2304,3404,7284
1137,4457,7309
372,5102,7315
975,4400,7309
1259,3974,7283
609,4457,7309
122,4762,7348
203,4514,7388
183,4328,7381
-122,4400,7388
-289,4307,7391
-203,4000,7388
-115,3744,7336
-81,3657,7309
-50,3660,7302
-41,3772,7309
-94,3970,7263
-162,4229,7229
-222,4492,7216
-244,4743,7229
-226,4951,7194
-162,5143,7150
-70,5303,7100
41,5429,7070
154,5482,7018
284,5486,6991
435,5440,6981
609,5372,6991
789,5261,6956
975,5143,6911
1160,5033,6858
1341,4972,6832
1498,4921,6788
1625,4857,6752
1717,4760,6704
1787,4686,6673
1835,4642,6626
1869,4629,6594
1888,4615,6549
1909,4629,6514
1930,4643,6461
1950,4629,6435
1965,4560,6420
1990,4514,6435
2027,4507,6432
2072,4514,6435
2100,4480,6425
2112,4457,6435
2121,4457,6430
2153,4457,6435
2196,4400,6426
2234,4343,6435
2253,4324,6430
2275,4343,6435
2296,4325,6425
2315,4286,6435
2325,4245,6433
2356,4229,6435
2401,4200,6398
2437,4172,6355
2437,4138,6301
2437,4114,6276
2453,4079,6238
2478,4057,6196
2478,4046,6134
2478,4057,6117
2493,4058,6112
2519,4057,6117
2512,4033,6092
2478,4000,6117
2442,3957,6179
2437,3943,6276
2441,3942,6340
2437,3943,6435
2413,3914,6546
2397,3886,6673
2392,3857,6747
2397,3829,6832
2393,3770,6931
2397,3714,7070
2400,3671,7198
2397,3657,7388
2373,3632,7655
2356,3600,8023
2353,3559,8406
2356,3543,8818
2339,3536,9239
2315,3543,9692
2292,3537,10085
2275,3543,10407
2250,3556,10624
2234,3600,10804
2220,3653,10916
2194,3714,10963
2134,3749,10899
2072,3772,10804
2024,3800,10701
1990,3886,10645
1936,3987,10590
1869,4057,10566
1799,4072,10543
1747,4114,10566
1697,4202,10611
1665,4286,10724
1645,4292,10848
1584,4343,10963
1483,4455,11006
1503,4457,11042
1591,4350,11052
1503,4457,11042
1354,4657,10940
1584,4457,10804
1938,4076,10636
1706,4343,10486
1274,4837,10312
1747,4343,10168
2483,3519,10033
1787,4286,9930
622,5590,9802
1869,4286,9692
4545,1491,9567
3859,2629,9453
-646,8185,9313
-2600,10915,9215
1700,6335,9129
6946,171,9056
6678,-226,8932
2600,3714,8818
611,5675,8694
1706,4457,8580
2429,3636,8434
1584,4514,8341
1059,5064,8285
1584,4514,8262
1915,4157,8203
1584,4514,8182
1379,4728,8202
1584,4514,8262
1698,4382,8268
1584,4514,8262
1537,4580,8248
1625,4514,8262
1651,4481,8232
1625,4514,8182
1637,4499,8097
1625,4514,8023
1569,4548,7933
1665,4457,7865
1823,4317,7782
1706,4457,7706
1472,4681,7608
1706,4457,7547
2089,4084,7498
1706,4457,7467
1096,5015,7412
1706,4400,7388
2665,3470,7379
1747,4400,7388
352,5773,7349
2437,3829,7309
6694,8,7280
6459,914,7309
643,7349,7321
-2600,10915,7309
1899,6257,7252
7759,-229,7229
6943,-278,7222
1706,4286,7229
-510,6241,7188
1259,4514,7150
2333,3464,7124
1178,4514,7150
375,5143,7159
934,4457,7150
1212,4064,7100
569,4572,7070
63,4886,7053
122,4629,7070
114,4416,7070
-162,4457,7070
-324,4338,7054
-244,4000,7070
-132,3709,7076
-41,3600,7070
46,3601,7021
81,3714,6991
30,3894,6976
-41,4114,6991
-101,4340,6985
-122,4572,6991
-105,4776,6989
-41,4972,6991
64,5134,6950
203,5257,6911
347,5306,6886
487,5314,6911
621,5290,6923
772,5257,6911
944,5200,6858
1137,5143,6832
1327,5066,6823
1503,4972,6832
1666,4846,6798
1828,4743,6752
1971,4672,6695
2072,4629,6673
2121,4568,6659
2153,4514,6673
2190,4473,6674
2234,4457,6673
2261,4429,6631
2275,4400,6594
2288,4363,6568
2315,4343,6594
2340,4329,6608
2356,4343,6594
2367,4350,6535
2397,4343,6514
2427,4304,6514
2437,4286,6514
2426,4284,6463
2437,4286,6435
2478,4253,6430
2519,4229,6435
2522,4221,6388
2519,4229,6355
2531,4203,6348
2559,4172,6355
2565,4154,6311
2559,4172,6276
2553,4179,6265
2559,4172,6276
2557,4139,6235
2559,4114,6196
2561,4099,6176
2559,4114,6196
2537,4123,6191
2519,4114,6196
2512,4075,6194
2519,4057,6196
2505,4056,6150
2478,4057,6117
2448,4027,6098
2437,4000,6117
2434,3975,6110
2437,3943,6117
2435,3877,6133
2437,3829,6196
2437,3815,6257
2437,3829,6355
2421,3809,6495
2397,3772,6752
2367,3732,7101
2356,3714,7547
2355,3686,8012
2356,3657,8500
2338,3620,8970
2315,3600,9453
2291,3586,9884
2275,3600,10248
2252,3623,10486
2234,3657,10645
2213,3678,10712
2194,3714,10724
2168,3762,10654
2153,3829,10566
2135,3868,10465
2112,3886,10407
2081,3894,10352
2072,3943,10327
2076,4007,10304
2072,4057,10327
2025,4063,10377
1990,4057,10486
2000,4047,10603
1990,4114,10724
1921,4208,10782
1950,4172,10804
2032,4071,10767
1909,4229,10724
1709,4453,10644
1909,4229,10566
2220,3856,10448
1869,4229,10327
1334,4819,10166
1869,4286,10009
2699,3404,9834
1869,4286,9692
512,5695,9554
1990,4114,9453
5220,821,9333
4671,1886,9215
-316,7908,9077
-2600,10915,8977
2051,5984,8865
7718,-571,8738
7190,-733,8560
2478,3772,8421
261,5925,8319
1584,4514,8262
2454,3608,8173
1503,4629,8103
904,5257,8042
1503,4629,8023
1881,4222,8000
1503,4629,8023
1269,4873,8059
1503,4629,8103
1622,4479,8097
1462,4629,8103
1375,4704,8106
1462,4629,8103
1509,4593,8026
1503,4629,7944
1522,4611,7879
1503,4629,7865
1429,4668,7827
1503,4572,7785
1636,4422,7729
1503,4572,7706
1267,4813,7666
1503,4572,7626
1886,4152,7568
1503,4514,7547
897,5109,7538
1503,4514,7547
2443,3569,7513
1503,4514,7467
123,5943,7407
2275,4000,7388
6611,88,7378
6418,914,7388
616,7351,7358
-2600,10915,7309
1930,6183,7241
7759,-343,7229
6848,-283,7233
1544,4457,7229
-659,6480,7175
1137,4686,7150
2182,3565,7146
975,4629,7150
173,5306,7101
772,4629,7070
1066,4203,7063
406,4686,7070
-108,5001,7025
-41,4743,6991
-45,4503,6979
-325,4514,6991
-473,4405,6951
-366,4114,6911
-241,3853,6892
-162,3714,6911
-90,3651,6886
-41,3714,6832
-49,3869,6765
-81,4057,6752
-131,4239,6752
-162,4457,6752
-162,4707,6708
-122,4972,6673
-55,5174,6651
41,5314,6673
144,5403,6681
244,5486,6673
343,5537,6625
487,5543,6594
693,5474,6574
934,5372,6594
1155,5250,6600
1341,5143,6594
1505,5026,6547
1665,4914,6514
1805,4808,6495
1909,4743,6514
1977,4704,6519
2031,4686,6514
2077,4655,6470
2112,4629,6435
2132,4595,6412
2153,4572,6435
2175,4536,6445
2194,4514,6435
2194,4501,6382
2194,4514,6355
2205,4518,6348
2234,4514,6355
2258,4483,6317
2275,4457,6276
2289,4424,6250
2315,4400,6276
2340,4363,6288
2356,4343,6276
2355,4331,6223
2356,4343,6196
2356,4343,6186
2356,4343,6196
2348,4333,6187
2356,4343,6196
2376,4346,6199
2397,4343,6196
2395,4312,6150
2397,4286,6117
2410,4254,6100
2437,4229,6117
2445,4191,6112
2437,4172,6117
2416,4165,6110
2397,4172,6117
2372,4150,6100
2356,4114,6117
2348,4073,6147
2356,4057,6196
2359,4034,6199
2356,4000,6196
2337,3954,6181
2315,3943,6196
2290,3948,6211
2275,3943,6276
2267,3887,6369
2275,3829,6514
2279,3786,6674
2275,3772,6911
2253,3741,7219
2234,3714,7626
2225,3700,8075
2234,3714,8580
2240,3717,9073
2234,3714,9533
2212,3702,9886
2194,3714,10168
2175,3735,10360
2153,3772,10486
2113,3797,10509
2072,3829,10486
2029,3868,10413
1990,3943,10327
1946,4013,10199
1909,4057,10089
1861,4068,9988
1787,4114,9930
1688,4201,9892
1625,4286,9930
1616,4299,10004
1584,4343,10089
1498,4438,10123
1503,4457,10168
1578,4397,10211
1503,4514,10248
1340,4687,10213
1462,4514,10168
1690,4220,10101
1462,4514,10009
1109,4972,9820
1544,4514,9612
2197,3768,9422
1625,4457,9295
644,5606,9142
1706,4400,8977
3982,1880,8792
3372,2972,8659
-612,8158,8533
-2600,10915,8421
719,7063,8283
5118,1543,8182
5182,920,8091
2112,4114,8023
647,5663,7930
1625,4514,7865
2259,3777,7809
1584,4572,7785
1142,5088,7735
1544,4629,7706
1788,4318,7686
1503,4629,7706
1329,4816,7704
1503,4629,7706
1604,4510,7692
1503,4629,7706
1440,4692,7705
1503,4629,7706
1541,4572,7667
1544,4572,7626
1561,4545,7571
1544,4572,7547
1493,4610,7509
1584,4514,7467
1719,4369,7404
1584,4514,7388
1352,4744,7388
1584,4514,7388
1957,4131,7339
1584,4514,7309
1007,5104,7298
1625,4514,7309
2556,3588,7271
1625,4514,7229
259,5890,7181
2356,3943,7150
6568,100,7095
6296,971,7070
534,7375,7063
-2600,10915,7070
1950,6241,7029
7759,-229,6991
6870,-222,6969
1625,4400,6991
-553,6376,6994
1219,4629,6991
2244,3546,6952
1056,4572,6911
273,5191,6853
853,4514,6832
1112,4133,6826
447,4629,6832
-42,4909,6792
41,4629,6752
28,4417,6726
-244,4457,6752
-338,4310,6764
-162,3943,6752
-2,3648,6699
81,3543,6673
156,3526,6662
203,3600,6673
164,3745,6663
81,3943,6673
-3,4159,6677
-41,4400,6673
-35,4634,6624
0,4857,6594
48,5038,6582
122,5200,6594
217,5329,6559
325,5429,6514
435,5458,6484
569,5429,6514
737,5344,6531
934,5257,6514
1136,5168,6454
1341,5086,6435
1536,4976,6436
1706,4857,6435
1826,4745,6384
1909,4686,6355
1972,4655,6349
2031,4629,6355
2077,4568,6311
2112,4514,6276
2135,4491,6264
2153,4514,6276
2168,4527,6239
2194,4514,6196
2220,4473,6172
2234,4457,6196
2230,4454,6201
2234,4457,6196
2253,4427,6180
2275,4400,6196
2277,4384,6202
2275,4400,6196
2274,4404,6152
2275,4400,6117
2255,4387,6096
2234,4400,6117
2224,4408,6126
2234,4400,6117
2238,4361,6068
2234,4343,6037
2225,4341,6022
2234,4343,6037
2252,4313,6035
2275,4286,6037
2290,4259,6026
2315,4229,6037
2338,4164,6033
2356,4114,6037
2366,4097,6024
2397,4114,6037
2430,4115,6035
2437,4114,6037
2396,4111,6017
2356,4114,6037
2346,4089,6068
2356,4057,6117
2340,4023,6138
2315,4000,6196
2304,3949,6285
2315,3886,6435
2320,3830,6618
2315,3829,6911
2298,3840,7304
2275,3829,7785
2245,3765,8257
2234,3714,8738
2236,3698,9211
2234,3714,9692
2211,3712,10092
2194,3714,10407
2180,3730,10601
2153,3772,10724
2101,3799,10751
2072,3829,10724
2073,3853,10641
2072,3886,10566
2030,3905,10478
1990,3943,10407
1983,3994,10333
1990,4057,10327
1959,4091,10378
1909,4114,10486
1870,4137,10569
1869,4172,10645
1874,4178,10707
1828,4229,10804
1745,4308,10868
1787,4286,10883
1887,4202,10808
1787,4343,10724
1606,4543,10633
1787,4343,10566
2068,4026,10454
1747,4400,10327
1262,4941,10162
1747,4400,10009
2486,3549,9837
1706,4400,9692
473,5763,9551
1869,4286,9453
4866,1165,9335
4347,2172,9215
-329,7926,9074
-2600,10915,8977
1481,6418,8868
6581,286,8738
6144,39,8554
1990,4114,8421
154,5991,8329
1503,4572,8262
2345,3679,8134
1462,4629,8023
890,5218,7951
1422,4629,7944
1760,4247,7927
1422,4629,7944
1230,4857,7974
1462,4629,8023
1572,4489,8023
1422,4629,8023
1343,4697,8018
1422,4629,8023
1447,4599,7982
1422,4629,7944
1436,4604,7900
1422,4629,7865
1351,4696,7782
1422,4629,7706
1555,4471,7643
1422,4572,7626
1183,4763,7589
1422,4514,7547
1822,4126,7490
1462,4514,7467
866,5111,7431
1462,4514,7388
2393,3576,7323
1462,4514,7309
95,5912,7310
2234,3943,7309
6539,47,7257
6337,914,7229
570,7368,7222
-2600,10915,7229
1945,6168,7184
7759,-343,7150
6828,-264,7136
1503,4457,7150
-725,6436,7114
1056,4629,7070
2113,3540,7042
934,4629,7070
146,5285,7082
731,4572,7070
1000,4137,7019
325,4629,6991
-180,4945,6975
-81,4686,6991
-54,4455,6991
-325,4457,6991
-480,4294,6954
-366,3943,6911
-215,3678,6853
-122,3600,6832
-66,3609,6824
-41,3714,6832
-55,3892,6798
-81,4114,6752
-130,4338,6695
-162,4572,6673
-146,4797,6660
-81,5029,6673
-4,5226,6671
81,5372,6673
175,5427,6660
284,5429,6673
407,5396,6676
569,5372,6673
767,5327,6627
975,5257,6594
1161,5145,6574
1341,5029,6594
1527,4908,6595
1706,4800,6594
1836,4695,6579
1909,4629,6594
1949,4590,6599
1990,4572,6594
2033,4537,6547
2072,4514,6514
2094,4504,6496
2112,4514,6514
2130,4495,6517
2153,4457,6514
2173,4409,6476
2194,4400,6435
2212,4401,6379
2234,4400,6355
2254,4366,6344
2275,4343,6355
2293,4334,6348
2315,4343,6355
2336,4322,6352
2356,4286,6355
2361,4242,6341
2356,4229,6355
2346,4225,6364
2356,4229,6355
2377,4205,6301
2397,4172,6276
2396,4129,6274
2397,4114,6276
2398,4110,6227
2397,4114,6196
2375,4106,6190
2356,4114,6196
2348,4119,6148
2356,4114,6117
2357,4079,6130
2356,4057,6196
2353,4052,6212
2356,4057,6196
2342,4031,6166
2315,4000,6196
2284,3966,6234
2275,3943,6276
2276,3907,6272
2275,3886,6276
2254,3863,6285
2234,3829,6355
2225,3761,6450
2234,3714,6594
2236,3702,6755
2234,3714,6991
2228,3694,7295
2234,3657,7706
2238,3616,8164
2234,3600,8659
2214,3588,9112
2194,3600,9533
2172,3622,9877
2153,3657,10168
2128,3679,10363
2112,3714,10486
2095,3762,10510
2072,3829,10486
2029,3868,10409
1990,3886,10327
1963,3894,10211
1950,3943,10089
1930,4007,9946
1909,4057,9851
1880,4062,9808
1869,4057,9851
1880,4049,9918
1869,4114,10009
1822,4204,10082
1869,4172,10168
1935,4078,10221
1787,4229,10248
1584,4439,10211
1787,4229,10168
2105,3897,10095
1787,4286,10009
1274,4864,9857
1747,4343,9692
2508,3484,9513
1747,4343,9374
509,5761,9215
1909,4343,9056
4936,1222,8875
4428,2172,8738
-287,7889,8610
-2600,10915,8500
1487,6496,8364
6621,400,8262
6197,113,8169
2031,4114,8103
190,5943,8010
1544,4514,7944
2374,3625,7888
1462,4572,7865
875,5158,7815
1422,4572,7785
1775,4193,7765
1422,4572,7785
1197,4796,7783
1422,4572,7785
1556,4436,7771
1422,4572,7785
1326,4632,7784
1381,4572,7785
1393,4568,7746
1341,4629,7706
1293,4630,7651
1219,4686,7626
1131,4790,7587
1219,4743,7547
1371,4584,7486
1259,4686,7467
1070,4888,7463
1381,4629,7467
1838,4188,7427
1503,4514,7388
933,5072,7341
1584,4457,7309
2560,3512,7253
1625,4457,7229
253,5849,7220
2478,3829,7229
6922,-134,7193
6743,743,7150
800,7297,7098
-2600,10915,7070
1863,6112,7022
7759,-514,6991
6929,-466,6970
1625,4343,6991
-630,6420,6996
1137,4629,6991
2199,3496,6945
1016,4572,6911
206,5278,6888
772,4629,6911
1037,4213,6921
366,4686,6911
-151,4988,6858
-81,4743,6832
-72,4540,6824
-325,4572,6832
-447,4438,6794
